"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","16.57","16.70","17.09","16.42","12.04M","-3.16%"
"02/02/2023","17.11","16.50","17.16","16.20","20.89M","6.21%"
"02/01/2023","16.11","15.24","16.20","15.14","18.38M","5.92%"
"01/31/2023","15.21","15.10","15.22","14.82","8.54M","2.49%"
"01/30/2023","14.84","14.81","15.32","14.65","11.78M","-1.13%"
"01/27/2023","15.01","15.14","15.41","14.99","12.27M","-1.25%"
"01/26/2023","15.20","15.63","15.71","15.10","9.83M","-1.43%"
"01/25/2023","15.42","15.13","15.46","14.81","8.16M","-0.06%"
"01/24/2023","15.43","13.81","18.54","13.81","11.83M","-0.58%"
"01/23/2023","15.52","15.67","15.74","15.48","10.27M","0.45%"
"01/20/2023","15.45","14.93","15.78","14.85","16.45M","4.53%"
"01/19/2023","14.78","15.03","15.27","14.38","20.35M","-4.83%"
"01/18/2023","15.53","16.24","16.36","15.36","16.97M","-2.94%"
"01/17/2023","16.00","15.68","16.01","15.32","14.59M","2.37%"
"01/13/2023","15.63","15.14","15.69","15.05","16.66M","1.82%"
"01/12/2023","15.35","14.79","15.45","14.65","18.83M","5.28%"
"01/11/2023","14.58","14.15","14.59","14.04","13.48M","3.11%"
"01/10/2023","14.14","13.37","14.22","13.31","16.34M","2.61%"
"01/09/2023","13.78","13.23","13.88","13.12","16.55M","5.67%"
"01/06/2023","13.04","12.78","13.07","12.55","14.25M","2.19%"
"01/05/2023","12.76","12.25","12.92","12.12","14.00M","2.41%"
"01/04/2023","12.46","11.99","12.48","11.77","16.28M","5.06%"
"01/03/2023","11.86","12.50","12.60","11.76","14.31M","-3.10%"
"12/30/2022","12.24","12.25","12.43","12.04","11.77M","-1.84%"
"12/29/2022","12.47","12.22","12.57","12.15","10.76M","2.72%"
"12/28/2022","12.14","12.50","12.62","12.10","11.52M","-3.19%"
"12/27/2022","12.54","12.99","13.02","12.51","9.03M","-3.54%"
"12/23/2022","13.00","13.01","13.12","12.73","10.54M","-0.54%"
"12/22/2022","13.07","13.60","13.64","12.70","14.83M","-4.95%"
"12/21/2022","13.75","13.54","14.14","13.50","15.39M","1.18%"
"12/20/2022","13.59","13.53","13.93","13.46","13.21M","-0.59%"
"12/19/2022","13.67","14.31","14.31","13.52","10.73M","-4.54%"
"12/16/2022","14.32","14.57","14.90","14.21","14.03M","-2.98%"
"12/15/2022","14.76","14.72","14.93","14.44","13.55M","-2.12%"
"12/14/2022","15.08","15.03","15.21","14.65","17.45M","0.33%"
"12/13/2022","15.03","16.13","16.22","14.66","21.90M","-2.78%"
