"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","49.85","51.00","51.30","49.56","9.74M","-4.92%"
"02/02/2023","52.43","54.18","54.48","51.86","7.24M","-3.25%"
"02/01/2023","54.19","52.75","54.77","52.55","6.58M","2.38%"
"01/31/2023","52.93","52.48","52.93","52.19","7.92M","0.36%"
"01/30/2023","52.74","53.17","53.60","52.66","4.48M","-1.09%"
"01/27/2023","53.32","54.06","54.06","53.22","5.69M","-1.50%"
"01/26/2023","54.13","54.88","54.88","53.57","5.63M","-1.74%"
"01/25/2023","55.09","53.05","55.41","52.95","6.04M","3.18%"
"01/24/2023","53.39","60.08","60.08","47.19","4.50M","-0.45%"
"01/23/2023","53.63","52.78","53.74","52.40","4.69M","0.54%"
"01/20/2023","53.34","52.06","53.46","51.93","4.86M","1.66%"
"01/19/2023","52.47","51.37","52.87","50.88","6.81M","1.82%"
"01/18/2023","51.53","53.02","53.25","51.44","8.27M","-1.79%"
"01/17/2023","52.47","53.72","53.88","52.23","7.00M","-3.46%"
"01/13/2023","54.35","53.36","54.49","53.25","6.55M","1.78%"
"01/12/2023","53.40","53.57","53.59","52.61","6.11M","1.79%"
"01/11/2023","52.46","53.35","53.65","52.06","6.12M","-1.30%"
"01/10/2023","53.15","52.49","53.23","52.22","4.12M","1.78%"
"01/09/2023","52.22","52.79","53.09","52.04","7.48M","-0.89%"
"01/06/2023","52.69","52.31","53.29","51.42","7.42M","2.89%"
"01/05/2023","51.21","50.55","51.26","50.02","7.03M","-0.58%"
"01/04/2023","51.51","50.60","51.85","50.32","11.43M","3.89%"
"01/03/2023","49.58","48.27","49.73","48.11","8.43M","5.04%"
"12/30/2022","47.20","47.59","47.60","46.65","3.92M","-0.34%"
"12/29/2022","47.36","47.59","47.85","47.24","3.86M","-0.02%"
"12/28/2022","47.37","48.38","48.43","47.03","5.24M","-2.83%"
"12/27/2022","48.75","48.06","49.12","47.97","5.26M","1.88%"
