"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","27.31","27.62","27.68","26.67","3.50M","-1.66%"
"02/02/2023","27.77","28.02","28.11","27.64","2.95M","-0.32%"
"02/01/2023","27.86","27.62","28.08","27.53","3.76M","0.40%"
"01/31/2023","27.75","27.70","27.76","27.33","4.56M","0.73%"
"01/30/2023","27.55","27.43","27.83","27.41","2.59M","0.11%"
"01/27/2023","27.52","27.57","27.68","27.40","2.04M","-0.07%"
"01/26/2023","27.54","27.52","27.68","27.35","7.29M","-0.15%"
"01/25/2023","27.58","27.08","27.64","27.04","4.20M","0.95%"
"01/24/2023","27.32","26.93","31.29","26.86","3.53M","0.85%"
"01/23/2023","27.09","27.14","27.37","26.92","4.73M","-0.44%"
"01/20/2023","27.21","26.80","27.23","26.54","8.87M","1.42%"
"01/19/2023","26.83","26.98","27.03","26.76","2.19M","-0.78%"
"01/18/2023","27.04","27.73","27.73","27.01","2.56M","-2.10%"
"01/17/2023","27.62","27.95","28.06","27.59","3.60M","-0.61%"
"01/13/2023","27.79","27.71","27.97","27.58","2.98M","-0.39%"
"01/12/2023","27.90","27.94","28.19","27.83","3.17M","-0.11%"
"01/11/2023","27.93","27.61","28.12","27.61","3.69M","1.34%"
"01/10/2023","27.56","27.83","27.86","27.23","5.89M","-1.15%"
"01/09/2023","27.88","27.59","28.08","27.53","6.07M","0.98%"
"01/06/2023","27.61","27.42","27.80","27.37","3.38M","1.77%"
"01/05/2023","27.13","27.49","27.60","27.09","2.66M","-2.34%"
"01/04/2023","27.78","27.59","28.00","27.57","2.51M","1.24%"
"01/03/2023","27.44","27.50","27.58","26.99","2.38M","0.07%"
"12/30/2022","27.42","27.82","27.86","27.23","2.53M","-1.51%"
"12/29/2022","27.84","27.64","27.92","27.64","1.43M","1.05%"
"12/28/2022","27.55","27.78","28.01","27.52","1.94M","-0.90%"
"12/27/2022","27.80","27.74","27.88","27.55","1.99M","0.32%"
"12/23/2022","27.71","27.33","27.71","27.33","1.59M","1.06%"
"12/22/2022","27.42","27.48","27.48","26.92","1.86M","-0.47%"
"12/21/2022","27.55","27.18","27.55","27.18","2.69M","1.77%"
"12/20/2022","27.07","27.00","27.28","26.91","4.11M","0.07%"
"12/19/2022","27.05","27.21","27.34","26.97","3.03M","-0.51%"
"12/16/2022","27.19","27.17","27.23","26.59","6.49M","-0.91%"
"12/15/2022","27.44","27.68","27.77","27.27","4.24M","-1.37%"
"12/14/2022","27.82","28.01","28.35","27.69","3.47M","-0.39%"
"12/13/2022","27.93","28.46","28.58","27.72","3.85M","-0.53%"
"12/12/2022","28.08","27.57","28.08","27.35","4.47M","2.52%"
"12/09/2022","27.39","27.65","27.80","27.33","4.22M","-1.37%"
"12/08/2022","27.77","27.64","27.84","27.51","4.59M","0.36%"
"12/07/2022","27.67","27.78","27.89","27.51","5.74M","-0.61%"
"12/06/2022","27.84","27.57","27.86","27.38","3.29M","1.20%"
"12/05/2022","27.51","27.28","27.58","27.18","3.49M","-0.22%"
"12/02/2022","27.57","27.52","27.72","27.29","4.35M","-0.65%"
"12/01/2022","27.75","28.09","28.24","27.68","6.62M","-0.68%"
"11/30/2022","27.94","27.17","28.10","27.06","6.17M","2.61%"
"11/29/2022","27.23","27.09","27.28","26.89","6.27M","0.04%"
"11/28/2022","27.22","27.05","27.33","26.85","5.75M","-0.26%"
"11/25/2022","27.29","27.25","27.35","27.12","923.80K","0.40%"
"11/23/2022","27.18","26.77","27.23","26.69","3.55M","1.42%"
"11/22/2022","26.80","26.62","26.84","26.46","3.30M","0.94%"
"11/21/2022","26.55","26.41","26.72","26.27","4.26M","0.87%"
"11/18/2022","26.32","25.83","26.43","25.83","3.52M","2.97%"
"11/17/2022","25.56","25.70","26.01","25.33","5.52M","-1.69%"
"11/16/2022","26.00","25.66","26.22","25.66","4.10M","1.25%"
"11/15/2022","25.68","26.16","26.25","25.33","4.74M","-0.31%"
"11/14/2022","25.76","25.90","26.15","25.63","5.19M","-0.19%"
"11/11/2022","25.81","26.02","26.11","25.56","4.53M","-1.07%"
"11/10/2022","26.09","25.54","26.14","25.29","4.97M","4.82%"
"11/09/2022","24.89","25.03","25.56","24.89","7.77M","-0.16%"
"11/08/2022","24.93","24.43","25.24","24.42","8.82M","2.30%"
"11/07/2022","24.37","25.65","25.80","23.79","9.66M","-5.87%"
"11/04/2022","25.89","25.68","26.26","25.60","5.98M","0.90%"
"11/03/2022","25.66","25.42","25.85","25.15","3.75M","0.16%"
"11/02/2022","25.62","25.80","26.16","25.44","5.70M","-0.81%"
"11/01/2022","25.83","25.86","25.98","25.55","5.70M","0.54%"
"10/31/2022","25.69","25.80","25.97","25.49","7.80M","-0.77%"
"10/28/2022","25.89","25.32","25.92","25.23","5.97M","2.05%"
"10/27/2022","25.37","25.46","25.78","25.31","4.80M","0.79%"
"10/26/2022","25.17","25.28","25.37","24.94","5.95M","0.16%"
"10/25/2022","25.13","24.65","25.18","24.56","5.15M","1.86%"
"10/24/2022","24.67","24.70","24.91","24.48","3.05M","0.73%"
"10/21/2022","24.49","24.27","24.66","24.08","6.78M","1.41%"
"10/20/2022","24.15","24.80","24.83","24.08","6.30M","-2.93%"
"10/19/2022","24.88","24.95","25.26","24.72","6.13M","-1.54%"
"10/18/2022","25.27","25.19","25.53","25.15","4.80M","1.53%"
"10/17/2022","24.89","24.84","25.34","24.78","6.35M","1.63%"
"10/14/2022","24.49","25.40","25.50","24.30","5.68M","-2.97%"
"10/13/2022","25.24","23.90","25.25","23.78","7.06M","4.34%"
"10/12/2022","24.19","24.86","24.86","24.16","4.08M","-2.73%"
"10/11/2022","24.87","24.44","25.36","24.34","5.66M","1.43%"
"10/10/2022","24.52","24.60","24.85","24.43","2.94M","0.04%"
"10/07/2022","24.51","25.08","25.19","24.34","2.71M","-2.35%"
"10/06/2022","25.10","26.04","26.04","25.05","4.01M","-4.05%"
"10/05/2022","26.16","26.55","26.55","25.92","4.35M","-2.75%"
"10/04/2022","26.90","26.16","26.92","26.00","5.29M","3.42%"
"10/03/2022","26.01","25.74","26.47","25.43","7.98M","3.26%"
