"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","440.64","451.00","454.46","440.02","1.39M","-0.05%"
"02/02/2023","440.86","439.44","444.67","436.00","1.23M","-0.39%"
"02/01/2023","442.59","445.45","449.02","442.12","899.83K","-1.22%"
"01/31/2023","448.04","441.42","448.07","435.63","1.32M","1.99%"
"01/30/2023","439.28","445.01","448.65","436.49","1.51M","0.37%"
"01/27/2023","437.65","433.18","443.99","430.93","2.14M","-1.31%"
"01/26/2023","443.47","458.00","473.20","438.99","3.04M","-4.28%"
"01/25/2023","463.29","457.79","466.00","457.67","1.14M","0.87%"
"01/24/2023","459.31","452.21","462.99","407.77","1.12M","1.87%"
"01/23/2023","450.87","451.97","454.48","448.33","1.05M","0.02%"
"01/20/2023","450.76","445.99","452.30","440.09","2.13M","1.91%"
"01/19/2023","442.31","448.15","453.01","442.21","1.31M","-0.84%"
"01/18/2023","446.06","453.73","454.08","445.51","1.93M","-2.09%"
"01/17/2023","455.57","463.34","465.23","453.73","1.93M","-1.27%"
"01/13/2023","461.43","474.40","474.40","454.79","2.61M","-5.44%"
"01/12/2023","487.98","491.71","494.00","485.89","1.10M","-1.00%"
"01/11/2023","492.93","496.20","499.36","489.49","943.94K","-0.58%"
"01/10/2023","495.79","496.97","502.31","490.95","897.48K","0.08%"
"01/09/2023","495.41","518.03","518.03","488.12","1.84M","-4.99%"
"01/06/2023","521.42","529.81","540.84","505.05","1.08M","-1.34%"
"01/05/2023","528.52","526.53","533.71","522.94","766.25K","0.39%"
"01/04/2023","526.45","535.87","540.35","522.37","921.69K","-2.57%"
"01/03/2023","540.33","544.92","547.80","537.90","586.76K","-0.97%"
"12/30/2022","545.61","542.93","546.87","539.51","564.87K","0.67%"
"12/29/2022","542.00","540.22","544.22","538.21","486.58K","0.29%"
"12/28/2022","540.41","543.45","545.37","540.24","705.33K","-0.14%"
"12/27/2022","541.19","538.00","544.04","537.00","443.33K","1.20%"
"12/23/2022","534.77","531.71","536.25","529.88","475.83K","0.64%"
"12/22/2022","531.37","539.00","542.10","526.38","430.51K","-1.38%"
"12/21/2022","538.79","531.00","540.56","529.78","513.82K","1.74%"
"12/20/2022","529.57","533.63","540.81","528.17","641.97K","-0.55%"
"12/19/2022","532.52","529.58","538.00","526.46","782.70K","0.50%"
"12/16/2022","529.87","527.17","532.38","521.61","1.43M","0.26%"
"12/15/2022","528.49","532.73","533.37","522.61","477.61K","-0.62%"
"12/14/2022","531.78","528.75","537.67","524.95","575.92K","1.18%"
"12/13/2022","525.59","537.01","537.06","523.34","838.13K","-1.79%"
"12/12/2022","535.18","530.50","535.89","525.92","515.35K","1.18%"
"12/09/2022","528.94","539.00","545.73","528.83","589.62K","-2.15%"
"12/08/2022","540.55","545.00","546.75","539.26","377.54K","0.06%"
"12/07/2022","540.21","532.18","540.94","529.90","577.98K","1.58%"
"12/06/2022","531.81","543.80","543.80","528.36","571.18K","-1.78%"
"12/05/2022","541.43","539.52","543.19","533.84","659.64K","-0.76%"
"12/02/2022","545.60","528.58","549.87","527.39","843.65K","2.89%"
"12/01/2022","530.30","534.62","535.42","521.60","568.25K","-0.56%"
