"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","472.22","478.13","484.70","468.90","1.72M","-3.88%"
"02/02/2023","491.27","484.80","494.62","479.46","2.29M","3.69%"
"02/01/2023","473.81","456.19","477.51","453.26","2.24M","4.10%"
"01/31/2023","455.13","444.52","455.39","442.31","2.03M","2.84%"
"01/30/2023","442.57","451.99","453.18","440.12","2.32M","-3.55%"
"01/27/2023","458.86","457.48","467.13","451.65","2.35M","-0.91%"
"01/26/2023","463.07","461.86","477.73","444.66","6.33M","3.19%"
"01/25/2023","448.77","428.74","449.29","427.28","3.45M","1.21%"
"01/24/2023","443.41","446.00","446.00","437.00","1.39M","0.22%"
"01/23/2023","442.44","441.00","450.78","436.77","1.80M","0.14%"
"01/20/2023","441.83","429.20","443.24","428.58","1.52M","3.13%"
"01/19/2023","428.43","416.02","434.27","415.30","2.67M","2.94%"
"01/18/2023","416.20","420.79","431.50","414.64","1.71M","-0.49%"
"01/17/2023","418.24","415.00","419.42","407.95","1.35M","0.81%"
"01/13/2023","414.89","408.67","417.35","408.06","1.12M","0.39%"
"01/12/2023","413.26","409.83","420.84","395.85","2.31M","4.95%"
"01/11/2023","393.78","384.82","393.92","383.21","1.25M","3.40%"
"01/10/2023","380.84","374.37","383.77","374.37","1.05M","0.60%"
"01/09/2023","378.56","373.88","392.99","373.19","2.08M","3.28%"
"01/06/2023","366.53","371.59","371.59","353.62","2.68M","0.06%"
"01/05/2023","366.32","388.45","389.70","365.25","1.79M","-6.99%"
"01/04/2023","393.85","390.95","397.06","384.74","1.40M","2.17%"
"01/03/2023","385.50","395.08","398.65","380.65","1.09M","-0.71%"
"12/30/2022","388.27","383.80","389.67","382.29","699.34K","-0.41%"
"12/29/2022","389.85","380.95","392.12","379.01","919.34K","3.67%"
"12/28/2022","376.05","380.43","385.62","372.74","767.47K","-1.21%"
"12/27/2022","380.64","380.15","383.83","374.11","820.92K","-0.32%"
"12/23/2022","381.86","375.00","381.90","371.47","856.74K","0.51%"
"12/22/2022","379.94","383.97","386.77","373.65","1.28M","-3.05%"
"12/21/2022","391.91","387.13","395.36","381.15","962.69K","1.41%"
"12/20/2022","386.47","376.50","388.37","375.82","951.50K","1.09%"
"12/19/2022","382.30","394.30","397.99","381.01","1.40M","-3.06%"
"12/16/2022","394.37","399.83","404.36","392.14","1.87M","-1.57%"
"12/15/2022","400.64","408.25","413.87","399.71","1.15M","-4.24%"
"12/14/2022","418.39","416.51","429.23","411.55","1.45M","0.53%"
"12/13/2022","416.17","424.43","432.17","410.10","1.95M","3.62%"
"12/12/2022","401.64","395.56","407.06","394.71","1.47M","2.05%"
"12/09/2022","393.58","394.07","403.27","393.05","838.52K","-0.67%"
"12/08/2022","396.23","392.09","398.04","385.22","1.03M","1.98%"
"12/07/2022","388.52","389.27","395.80","385.05","1.01M","-0.16%"
"12/06/2022","389.15","392.24","394.82","381.56","1.47M","-0.79%"
"12/05/2022","392.26","406.00","409.87","385.17","1.71M","-4.99%"
"12/02/2022","412.87","417.23","421.60","409.73","1.24M","-2.99%"
"12/01/2022","425.60","416.16","431.42","414.72","1.78M","2.23%"
"11/30/2022","416.30","394.11","417.27","393.01","1.96M","4.90%"
"11/29/2022","396.85","400.87","402.17","394.68","1.01M","-1.26%"
"11/28/2022","401.93","403.94","406.22","397.48","1.04M","-1.30%"
"11/25/2022","407.21","406.68","409.61","403.98","401.41K","-0.53%"
"11/23/2022","409.37","399.84","410.60","396.75","1.04M","2.27%"
"11/22/2022","400.28","389.49","401.93","384.05","1.38M","3.33%"
"11/21/2022","387.38","394.20","395.97","382.50","1.34M","-3.00%"
"11/18/2022","399.38","407.91","410.00","394.28","1.21M","-0.30%"
"11/17/2022","400.58","402.85","408.77","397.85","1.53M","-2.82%"
"11/16/2022","412.20","415.40","417.49","405.42","1.13M","-1.74%"
"11/15/2022","419.48","414.21","425.39","414.21","1.82M","4.77%"
"11/14/2022","400.40","401.51","406.60","391.22","1.56M","-2.32%"
"11/11/2022","409.91","408.95","424.44","405.00","2.14M","1.45%"
"11/10/2022","404.06","393.26","410.55","390.64","2.91M","11.84%"
"11/09/2022","361.27","365.00","368.83","361.20","1.15M","-2.66%"
"11/08/2022","371.14","365.00","375.29","359.10","1.57M","2.19%"
"11/07/2022","363.20","365.00","365.08","351.25","1.72M","0.40%"
"11/04/2022","361.75","388.51","389.93","354.18","2.84M","-6.18%"
"11/03/2022","385.56","390.62","395.62","384.86","1.38M","-1.81%"
"11/02/2022","392.68","419.33","419.33","392.34","1.77M","-6.18%"
"11/01/2022","418.56","427.08","430.24","416.60","1.36M","-0.52%"
"10/31/2022","420.74","418.00","428.23","414.91","1.89M","0.08%"
"10/28/2022","420.40","416.23","421.44","403.77","3.12M","1.14%"
"10/27/2022","415.67","426.96","427.63","408.61","5.62M","13.44%"
"10/26/2022","366.41","353.80","382.58","351.00","3.61M","-2.72%"
"10/25/2022","376.66","368.58","377.50","365.00","2.11M","2.76%"
"10/24/2022","366.56","368.00","370.90","359.25","1.66M","1.63%"
"10/21/2022","360.67","352.38","361.63","347.35","1.45M","1.24%"
"10/20/2022","356.26","356.13","366.47","351.04","1.66M","0.23%"
"10/19/2022","355.44","350.71","359.86","350.52","1.38M","-0.38%"
"10/18/2022","356.79","362.34","367.47","351.05","2.10M","2.35%"
"10/17/2022","348.61","351.43","358.88","347.51","2.57M","2.00%"
"10/14/2022","341.76","366.02","366.85","340.90","3.20M","-5.57%"
"10/13/2022","361.90","347.75","366.57","337.00","2.74M","-1.96%"
"10/12/2022","369.13","372.49","376.31","365.93","1.84M","-0.58%"
"10/11/2022","371.30","381.65","381.72","366.88","2.04M","-2.75%"
"10/10/2022","381.78","401.39","402.20","377.15","1.78M","-4.84%"
"10/07/2022","401.21","410.00","412.43","398.96","1.23M","-4.12%"
"10/06/2022","418.43","422.12","433.39","416.54","1.74M","-0.51%"
"10/05/2022","420.58","402.75","425.75","402.01","1.77M","2.19%"
"10/04/2022","411.55","402.13","413.66","400.83","1.97M","5.06%"
"10/03/2022","391.71","380.08","394.02","374.73","2.33M","3.73%"
"09/30/2022","377.61","385.00","396.08","377.36","1.83M","-2.05%"
"09/29/2022","385.50","382.88","386.31","377.74","1.50M","-0.86%"
"09/28/2022","388.85","378.44","390.39","376.42","1.53M","2.61%"
"09/27/2022","378.95","376.76","379.30","371.20","2.13M","2.39%"
"09/26/2022","370.10","376.48","382.61","367.71","2.38M","-1.84%"
"09/23/2022","377.04","382.93","387.33","374.36","2.21M","-2.57%"
"09/22/2022","386.97","399.87","404.46","386.70","2.42M","-3.60%"
"09/21/2022","401.43","415.19","418.94","401.39","2.52M","-2.38%"
"09/20/2022","411.20","421.50","421.50","411.01","1.65M","-3.26%"
"09/19/2022","425.05","422.80","426.50","418.84","879.56K","-0.18%"
"09/16/2022","425.80","431.47","434.01","421.11","2.14M","-2.24%"
"09/15/2022","435.55","444.92","457.80","434.21","1.95M","-4.80%"
"09/14/2022","457.49","454.37","460.57","448.21","1.03M","1.13%"
"09/13/2022","452.38","450.00","458.38","449.40","1.45M","-5.02%"
"09/12/2022","476.29","475.20","482.69","469.26","1.17M","1.33%"
"09/09/2022","470.03","457.51","471.92","457.51","1.39M","4.27%"
"09/08/2022","450.77","439.04","453.25","438.08","1.20M","1.49%"
"09/07/2022","444.16","430.99","446.39","430.20","881.34K","3.18%"
"09/06/2022","430.47","430.11","437.76","424.35","958.45K","-0.93%"
"09/02/2022","434.51","438.37","447.49","431.28","1.56M","0.92%"
"09/01/2022","430.56","429.81","431.70","416.68","1.58M","-0.93%"
"08/31/2022","434.62","440.00","446.00","433.84","1.37M","-0.51%"
"08/30/2022","436.84","442.50","444.08","429.51","960.32K","0.24%"
"08/29/2022","435.78","440.00","447.58","435.51","857.78K","-2.00%"
"08/26/2022","444.69","467.29","467.50","444.67","897.96K","-4.58%"
"08/25/2022","466.03","456.40","466.33","453.30","1.06M","1.86%"
"08/24/2022","457.52","460.29","463.42","455.16","833.50K","-0.54%"
"08/23/2022","459.99","459.99","464.07","456.38","790.24K","0.06%"
"08/22/2022","459.71","466.57","469.24","455.77","1.01M","-3.47%"
"08/19/2022","476.26","484.17","484.69","473.32","981.61K","-2.72%"
"08/18/2022","489.60","486.36","490.46","480.22","981.00K","0.17%"
"08/17/2022","488.76","489.00","493.66","485.48","875.37K","-1.61%"
"08/16/2022","496.74","499.00","500.40","491.55","1.43M","-1.45%"
"08/15/2022","504.07","502.00","510.99","498.56","985.28K","-0.48%"
"08/12/2022","506.51","503.60","507.65","493.08","1.66M","1.41%"
"08/11/2022","499.45","520.00","521.58","497.42","1.48M","-3.24%"
"08/10/2022","516.20","501.96","516.62","500.98","1.83M","5.90%"
"08/09/2022","487.46","492.28","497.77","483.48","983.44K","-1.51%"
"08/08/2022","494.95","495.10","503.48","491.98","1.64M","0.02%"
"08/05/2022","494.85","478.08","503.27","475.26","2.98M","0.38%"
"08/04/2022","493.00","467.79","495.48","463.63","2.98M","4.57%"
"08/03/2022","471.45","460.75","472.91","457.15","1.40M","3.74%"
"08/02/2022","454.44","444.66","461.07","442.25","1.11M","0.15%"
"08/01/2022","453.77","438.99","455.57","435.70","1.73M","1.59%"
"07/29/2022","446.66","429.23","448.77","426.43","2.02M","2.33%"
