"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","67.62","68.31","68.86","67.32","1.35M","-2.07%"
"02/02/2023","69.05","67.68","69.75","67.50","2.24M","2.89%"
"02/01/2023","67.11","66.03","67.48","65.32","1.95M","1.33%"
"01/31/2023","66.23","65.57","66.26","64.23","4.31M","1.10%"
"01/30/2023","65.51","65.18","66.26","65.06","1.70M","-0.05%"
"01/27/2023","65.54","65.80","66.48","65.43","1.72M","-0.38%"
"01/26/2023","65.79","67.00","67.29","65.64","2.34M","-0.87%"
"01/25/2023","66.37","66.35","66.65","65.63","1.21M","-0.73%"
"01/24/2023","66.86","66.96","67.49","66.53","1.05M","-0.22%"
"01/23/2023","67.01","65.96","67.53","65.72","1.32M","2.35%"
"01/20/2023","65.47","64.52","65.54","63.99","1.08M","1.49%"
"01/19/2023","64.51","64.79","64.98","63.79","1.55M","-0.69%"
"01/18/2023","64.96","65.31","65.81","64.76","1.66M","0.29%"
"01/17/2023","64.77","64.81","65.48","64.46","2.33M","0.17%"
"01/13/2023","64.66","63.70","64.94","63.60","1.50M","0.95%"
"01/12/2023","64.05","64.30","64.59","63.64","1.67M","-0.62%"
"01/11/2023","64.45","64.50","64.72","63.69","1.43M","0.37%"
"01/10/2023","64.21","62.83","64.50","62.81","1.83M","0.64%"
"01/09/2023","63.80","63.87","65.12","63.76","2.30M","0.24%"
"01/06/2023","63.65","62.03","64.07","61.51","1.46M","3.78%"
"01/05/2023","61.33","61.46","61.71","60.67","1.22M","-0.97%"
"01/04/2023","61.93","61.74","62.78","61.56","2.01M","1.88%"
"01/03/2023","60.79","60.40","60.89","59.95","1.48M","1.22%"
"12/30/2022","60.06","59.76","60.08","59.10","1.38M","-0.05%"
"12/29/2022","60.09","58.67","60.37","58.53","1.08M","3.28%"
"12/28/2022","58.18","58.69","59.16","58.08","1.05M","-1.47%"
"12/27/2022","59.05","59.29","59.70","58.63","689.55K","0.02%"
"12/23/2022","59.04","59.04","59.12","58.33","808.34K","0.12%"
"12/22/2022","58.97","59.41","59.42","58.42","1.76M","-1.80%"
"12/21/2022","60.05","60.04","60.47","59.42","1.87M","0.98%"
"12/20/2022","59.47","58.34","59.74","58.16","1.94M","0.47%"
"12/19/2022","59.19","60.50","60.73","58.77","1.75M","-1.87%"
"12/16/2022","60.32","60.86","61.53","59.70","3.72M","-1.73%"
"12/15/2022","61.38","63.58","63.59","61.01","3.16M","-4.67%"
"12/14/2022","64.39","64.49","65.53","63.79","1.44M","-0.80%"
"12/13/2022","64.91","65.86","66.99","64.39","2.33M","-0.58%"
"12/12/2022","65.29","64.20","65.32","64.16","1.53M","1.56%"
"12/09/2022","64.29","63.91","65.57","63.77","3.41M","0.58%"
"12/08/2022","63.92","63.69","64.15","63.13","1.69M","1.49%"
"12/07/2022","62.98","62.68","63.31","62.31","2.25M","-0.16%"
"12/06/2022","63.08","64.42","64.45","62.74","2.08M","-2.44%"
"12/05/2022","64.66","65.29","66.26","64.21","1.72M","-2.66%"
"12/02/2022","66.43","66.48","67.34","65.99","1.71M","-2.41%"
"12/01/2022","68.07","67.35","68.50","65.92","3.10M","0.68%"
"11/30/2022","67.61","64.86","68.14","64.50","7.56M","-5.82%"
"11/29/2022","71.79","73.02","73.33","71.69","1.89M","-1.07%"
"11/28/2022","72.57","74.28","74.32","72.25","1.67M","-2.80%"
"11/25/2022","74.66","74.62","75.19","74.25","486.21K","0.00%"
"11/23/2022","74.66","73.87","75.14","73.75","932.02K","1.06%"
"11/22/2022","73.88","72.77","74.01","72.38","1.03M","1.88%"
"11/21/2022","72.52","73.39","73.50","72.31","1.12M","-1.63%"
"11/18/2022","73.72","73.39","74.03","72.97","1.53M","1.18%"
"11/17/2022","72.86","71.47","72.92","70.86","929.91K","0.73%"
"11/16/2022","72.33","73.64","73.64","72.29","815.24K","-2.20%"
"11/15/2022","73.96","74.26","74.97","73.43","876.49K","1.07%"
"11/14/2022","73.18","73.14","74.21","72.63","1.16M","-0.44%"
"11/11/2022","73.50","72.43","74.04","71.64","1.41M","2.21%"
"11/10/2022","71.91","70.65","72.10","70.13","1.53M","5.73%"
"11/09/2022","68.01","68.88","69.11","67.78","1.41M","-2.06%"
"11/08/2022","69.44","69.59","70.52","69.04","1.02M","0.07%"
"11/07/2022","69.39","68.58","69.74","68.23","1.15M","0.87%"
"11/04/2022","68.79","69.03","71.00","67.83","1.30M","1.70%"
"11/03/2022","67.64","67.73","68.19","66.85","780.72K","-1.79%"
"11/02/2022","68.87","70.61","71.32","68.72","1.20M","-3.03%"
"11/01/2022","71.02","69.94","71.34","69.57","1.44M","2.53%"
"10/31/2022","69.27","68.85","69.75","68.24","1.79M","-0.19%"
"10/28/2022","69.40","67.72","69.45","67.69","1.55M","2.86%"
"10/27/2022","67.47","68.26","68.98","67.23","2.39M","0.01%"
"10/26/2022","67.46","66.75","68.76","66.46","1.83M","-0.57%"
"10/25/2022","67.85","66.36","67.94","65.94","1.39M","2.28%"
"10/24/2022","66.34","65.89","66.54","65.34","1.34M","1.13%"
"10/21/2022","65.60","62.61","65.82","62.24","1.70M","4.99%"
"10/20/2022","62.48","62.57","63.69","62.12","1.61M","0.31%"
"10/19/2022","62.29","62.30","63.31","61.94","1.28M","-0.72%"
"10/18/2022","62.74","64.68","65.08","62.15","1.93M","-0.68%"
"10/17/2022","63.17","63.70","64.27","62.80","2.19M","1.22%"
"10/14/2022","62.41","64.53","64.63","62.28","2.42M","-2.65%"
"10/13/2022","64.11","61.04","64.34","60.56","2.15M","2.86%"
"10/12/2022","62.33","62.42","63.40","62.03","1.20M","0.44%"
"10/11/2022","62.06","63.89","64.00","61.78","1.71M","-3.09%"
"10/10/2022","64.04","66.35","66.57","63.62","2.53M","-3.09%"
"10/07/2022","66.08","66.00","66.28","65.22","1.31M","-1.37%"
"10/06/2022","67.00","66.45","67.14","65.95","2.57M","-0.28%"
"10/05/2022","67.19","66.07","67.60","65.92","1.45M","0.95%"
