"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","21.17","21.21","21.41","21.00","2.51M","-1.40%"
"02/02/2023","21.47","20.93","21.69","20.88","3.02M","3.62%"
"02/01/2023","20.72","20.26","20.75","19.90","3.25M","2.27%"
"01/31/2023","20.26","20.16","20.29","20.09","2.80M","0.45%"
"01/30/2023","20.17","20.29","20.42","20.05","3.40M","-1.71%"
"01/27/2023","20.52","20.70","20.78","20.45","2.87M","-0.97%"
"01/26/2023","20.72","20.63","20.82","20.36","3.05M","0.39%"
"01/25/2023","20.64","20.50","21.28","20.42","9.54M","5.68%"
"01/24/2023","19.53","19.48","19.56","19.27","1.47M","-0.10%"
"01/23/2023","19.55","19.30","19.57","19.17","1.27M","1.51%"
"01/20/2023","19.26","18.77","19.30","18.64","1.81M","2.94%"
"01/19/2023","18.71","18.73","18.80","18.51","1.81M","-0.85%"
"01/18/2023","18.87","19.34","19.40","18.80","2.08M","-2.08%"
"01/17/2023","19.27","19.43","19.51","19.17","1.82M","-0.98%"
"01/13/2023","19.46","19.14","19.47","19.13","1.61M","0.57%"
"01/12/2023","19.35","19.34","19.45","19.19","1.66M","0.21%"
"01/11/2023","19.31","19.39","19.45","19.02","2.29M","-0.41%"
"01/10/2023","19.39","19.04","19.40","18.89","1.42M","1.68%"
"01/09/2023","19.07","19.10","19.34","18.98","1.50M","0.37%"
"01/06/2023","19.00","18.91","19.07","18.63","1.70M","1.71%"
"01/05/2023","18.68","18.89","18.92","18.55","1.44M","-1.58%"
"01/04/2023","18.98","18.53","19.01","18.34","2.52M","3.72%"
"01/03/2023","18.30","18.37","18.55","18.08","1.78M","0.55%"
"12/30/2022","18.20","18.03","18.21","17.95","1.86M","-0.11%"
"12/29/2022","18.22","18.03","18.36","17.99","1.46M","1.50%"
"12/28/2022","17.95","18.25","18.39","17.94","1.65M","-1.81%"
"12/27/2022","18.28","18.31","18.46","18.10","1.51M","-0.16%"
"12/23/2022","18.31","18.18","18.54","17.91","3.70M","2.81%"
"12/22/2022","17.81","17.55","17.84","17.43","1.58M","0.45%"
"12/21/2022","17.73","17.65","17.86","17.51","1.86M","1.26%"
"12/20/2022","17.51","17.45","17.56","17.25","2.49M","0.46%"
"12/19/2022","17.43","17.78","17.83","17.32","2.02M","-2.24%"
"12/16/2022","17.83","17.70","17.91","17.57","3.89M","0.28%"
"12/15/2022","17.78","18.37","18.57","17.74","2.15M","-4.82%"
"12/14/2022","18.68","18.57","18.88","18.37","2.33M","-0.11%"
"12/13/2022","18.70","18.74","18.95","18.45","2.79M","2.80%"
"12/12/2022","18.19","18.01","18.20","17.84","2.07M","0.78%"
