"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","190.95","192.19","195.45","190.76","2.65M","-2.66%"
"02/02/2023","196.16","195.47","197.71","192.83","2.81M","1.14%"
"02/01/2023","193.94","184.07","196.30","183.80","4.46M","5.22%"
"01/31/2023","184.31","182.39","185.15","178.00","4.27M","2.69%"
"01/30/2023","179.48","179.34","182.74","178.84","3.78M","-1.13%"
"01/27/2023","181.54","177.49","182.94","177.09","2.08M","0.84%"
"01/26/2023","180.02","176.62","180.20","174.73","2.99M","3.40%"
"01/25/2023","174.10","170.84","174.38","168.98","1.31M","0.54%"
"01/24/2023","173.17","170.95","174.26","169.49","1.54M","0.08%"
"01/23/2023","173.03","169.23","175.75","168.51","3.38M","2.69%"
"01/20/2023","168.50","166.55","168.68","164.26","2.32M","2.12%"
"01/19/2023","165.00","168.80","169.26","164.86","2.16M","-3.33%"
"01/18/2023","170.68","172.42","175.30","170.54","1.57M","0.21%"
"01/17/2023","170.33","170.71","170.77","167.79","1.99M","-0.87%"
"01/13/2023","171.82","168.62","171.95","168.22","2.01M","0.95%"
"01/12/2023","170.21","170.09","171.87","167.38","1.70M","0.88%"
"01/11/2023","168.73","166.66","168.88","165.23","2.02M","1.60%"
"01/10/2023","166.07","163.55","166.25","161.98","2.21M","3.17%"
"01/09/2023","160.97","162.29","164.45","160.04","1.83M","0.84%"
"01/06/2023","159.63","155.85","160.17","153.89","2.06M","3.99%"
"01/05/2023","153.51","156.10","157.26","153.10","1.69M","-2.82%"
"01/04/2023","157.96","158.28","160.36","156.10","1.68M","1.88%"
"01/03/2023","155.05","159.78","160.45","153.11","1.90M","-1.89%"
"12/30/2022","158.03","155.53","158.18","154.07","1.02M","-0.06%"
"12/29/2022","158.12","154.84","159.70","153.49","2.00M","4.23%"
"12/28/2022","151.70","152.90","154.85","150.90","1.43M","-1.35%"
"12/27/2022","153.78","155.55","155.56","153.24","1.37M","-2.47%"
"12/23/2022","157.67","156.21","157.82","154.20","1.21M","0.10%"
"12/22/2022","157.51","159.86","161.01","153.96","2.63M","-3.62%"
"12/21/2022","163.43","160.87","163.84","160.01","1.74M","2.46%"
"12/20/2022","159.51","157.99","161.22","157.05","1.10M","-0.47%"
"12/19/2022","160.27","164.29","164.33","158.53","1.42M","-2.11%"
"12/16/2022","163.72","164.35","165.43","161.66","3.70M","-0.87%"
"12/15/2022","165.16","168.26","169.65","164.59","2.57M","-3.74%"
"12/14/2022","171.57","173.23","175.36","169.00","1.97M","-1.57%"
"12/13/2022","174.31","180.57","180.57","171.29","3.08M","0.72%"
"12/12/2022","173.07","169.89","173.28","169.10","2.04M","1.97%"
"12/09/2022","169.72","169.71","172.87","168.40","1.96M","-1.02%"
"12/08/2022","171.47","164.65","171.87","163.53","2.52M","4.59%"
"12/07/2022","163.95","161.45","164.30","160.00","1.43M","0.53%"
"12/06/2022","163.08","166.66","167.87","161.14","1.90M","-3.14%"
"12/05/2022","168.37","169.81","170.30","166.54","1.20M","-1.57%"
"12/02/2022","171.06","169.17","171.20","167.32","1.62M","-1.37%"
"12/01/2022","173.44","177.55","178.07","173.13","2.08M","-1.36%"
"11/30/2022","175.84","165.07","176.66","162.61","3.65M","6.77%"
"11/29/2022","164.69","164.68","166.26","162.79","1.35M","0.36%"
"11/28/2022","164.10","169.05","170.86","163.38","2.76M","-4.97%"
"11/25/2022","172.69","174.97","175.52","172.69","735.36K","-1.43%"
"11/23/2022","175.20","174.09","179.03","173.27","1.59M","1.03%"
"11/22/2022","173.41","169.75","173.43","168.00","1.70M","2.70%"
"11/21/2022","168.85","170.44","171.27","168.12","1.27M","-1.80%"
"11/18/2022","171.94","172.82","172.83","169.22","1.53M","1.09%"
"11/17/2022","170.09","162.56","170.40","162.56","1.46M","1.92%"
"11/16/2022","166.88","171.54","172.85","165.48","2.20M","-4.54%"
"11/15/2022","174.81","175.22","176.66","171.89","2.34M","3.43%"
"11/14/2022","169.01","168.04","172.65","168.04","1.82M","-0.55%"
"11/11/2022","169.94","166.52","171.00","163.54","2.52M","2.70%"
"11/10/2022","165.47","163.98","165.81","161.67","4.49M","6.95%"
"11/09/2022","154.72","159.94","161.03","154.63","2.78M","-5.14%"
"11/08/2022","163.11","161.41","165.10","159.77","2.66M","3.30%"
"11/07/2022","157.90","152.70","158.22","151.31","2.45M","4.53%"
"11/04/2022","151.06","149.90","151.84","146.93","2.39M","4.29%"
"11/03/2022","144.85","146.39","146.39","142.76","2.37M","-2.53%"
"11/02/2022","148.61","151.95","158.50","148.41","2.98M","-2.13%"
"11/01/2022","151.85","150.48","153.85","147.80","4.31M","3.95%"
"10/31/2022","146.08","149.77","150.58","145.54","3.31M","-3.68%"
"10/28/2022","151.66","145.96","152.19","145.00","2.55M","4.51%"
"10/27/2022","145.12","149.33","151.86","144.86","2.20M","-1.47%"
"10/26/2022","147.28","146.69","152.64","144.14","2.02M","-0.98%"
"10/25/2022","148.74","145.44","148.79","144.81","2.83M","2.62%"
"10/24/2022","144.94","144.01","145.77","140.45","1.92M","-0.21%"
"10/21/2022","145.25","138.71","145.59","137.51","2.50M","4.47%"
"10/20/2022","139.04","142.08","143.74","138.57","2.90M","-1.61%"
"10/19/2022","141.32","140.37","143.98","139.83","2.16M","0.26%"
"10/18/2022","140.95","143.44","146.48","137.73","2.22M","-0.23%"
"10/17/2022","141.27","141.81","143.16","139.50","1.97M","2.30%"
"10/14/2022","138.09","144.90","145.54","137.08","2.89M","-3.55%"
"10/13/2022","143.17","134.19","145.24","132.08","3.31M","2.06%"
"10/12/2022","140.28","142.55","143.79","140.13","2.07M","-2.41%"
"10/11/2022","143.75","145.00","145.77","141.56","3.00M","-2.54%"
"10/10/2022","147.50","151.74","151.96","146.08","1.81M","-2.80%"
"10/07/2022","151.75","154.87","154.87","150.36","2.75M","-4.55%"
"10/06/2022","158.99","161.26","163.79","158.87","1.56M","-1.40%"
"10/05/2022","161.24","156.83","162.35","155.13","1.90M","0.84%"
"10/04/2022","159.89","156.48","159.96","155.49","2.39M","5.22%"
"10/03/2022","151.96","149.52","153.90","147.80","2.42M","3.02%"
"09/30/2022","147.51","149.75","152.79","147.43","2.11M","-2.32%"
"09/29/2022","151.01","153.96","155.04","146.95","2.84M","-3.47%"
"09/28/2022","156.44","152.95","157.10","152.27","2.10M","1.91%"
"09/27/2022","153.51","154.41","156.50","150.75","1.74M","1.03%"
"09/26/2022","151.95","153.05","154.96","151.24","2.17M","-0.65%"
