"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","11,295.67","11,039.69","11,690.02","10,696.92","","3.25%"
"12/01/2022","10,939.76","12,030.97","12,159.23","10,672.45","","-9.06%"
"11/01/2022","12,030.06","11,571.52","12,030.06","10,633.45","601.31M","5.48%"
"10/01/2022","11,405.57","11,059.17","11,681.85","10,440.64","5.99B","3.96%"
"09/01/2022","10,971.22","12,158.88","12,752.83","10,966.95","6.00B","-10.60%"
"08/01/2022","12,272.03","12,877.04","13,720.91","12,240.82","5.09B","-5.22%"
"07/01/2022","12,947.98","11,472.63","12,986.64","11,366.07","4.68B","12.55%"
"06/01/2022","11,503.72","12,750.31","12,897.63","11,037.21","5.73B","-9.00%"
"05/01/2022","12,642.10","12,864.83","13,556.67","11,492.29","5.78B","-1.65%"
"04/01/2022","12,854.80","14,886.91","15,161.89","12,835.48","4.50B","-13.37%"
"03/01/2022","14,838.49","14,197.66","15,265.42","13,020.40","6.03B","4.22%"
"02/01/2022","14,237.81","14,966.60","15,196.40","13,065.44","4.87B","-4.64%"
"01/01/2022","14,930.05","16,395.51","16,513.87","13,724.85","5.33B","-8.52%"
"12/01/2021","16,320.08","16,347.96","16,607.19","15,508.74","4.94B","1.14%"
"11/01/2021","16,135.92","15,879.61","16,764.85","15,785.31","4.30B","1.80%"
"10/01/2021","15,850.47","14,731.38","15,856.90","14,384.93","3.65B","7.90%"
"09/01/2021","14,689.62","15,637.13","15,701.40","14,684.55","3.82B","-5.73%"
"08/01/2021","15,582.51","15,046.10","15,620.62","14,773.19","3.52B","4.16%"
"07/01/2021","14,959.90","14,530.63","15,142.35","14,455.07","3.61B","2.78%"
"06/01/2021","14,554.80","13,764.27","14,582.30","13,469.85","3.75B","6.34%"
"05/01/2021","13,686.51","13,923.04","13,955.00","12,967.18","3.76B","-1.26%"
"04/01/2021","13,860.76","13,268.88","14,073.48","13,255.82","3.66B","5.88%"
"03/01/2021","13,091.44","13,106.02","13,301.62","12,208.39","5.48B","1.41%"
"02/01/2021","12,909.44","13,067.65","13,879.77","12,758.12","3.70B","-0.12%"
"01/01/2021","12,925.38","12,950.22","13,563.70","12,537.42","4.21B","0.29%"
