"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","67.59","67.33","67.64","66.38","3.64M","-0.40%"
"02/02/2023","67.86","68.21","68.85","67.50","3.23M","-0.06%"
"02/01/2023","67.90","67.62","68.13","66.77","3.30M","0.10%"
"01/31/2023","67.83","67.53","68.14","67.10","4.99M","0.09%"
"01/30/2023","67.77","68.07","68.45","67.71","2.65M","-0.78%"
"01/27/2023","68.30","67.85","68.68","67.84","3.98M","0.49%"
"01/26/2023","67.97","67.68","68.00","67.13","2.29M","0.98%"
"01/25/2023","67.31","67.34","67.34","66.70","4.14M","0.31%"
"01/24/2023","67.10","66.87","67.45","66.60","1.90M","0.25%"
"01/23/2023","66.93","66.39","67.30","66.12","2.68M","0.83%"
"01/20/2023","66.38","65.44","66.44","64.84","3.04M","1.64%"
"01/19/2023","65.31","65.86","66.57","65.28","2.71M","-1.11%"
"01/18/2023","66.04","66.99","67.10","65.71","2.50M","-1.27%"
"01/17/2023","66.89","66.25","67.25","66.23","3.19M","1.06%"
"01/13/2023","66.19","66.16","66.54","65.81","2.15M","-0.54%"
"01/12/2023","66.55","66.12","66.83","65.57","3.52M","0.83%"
"01/11/2023","66.00","64.66","66.07","64.10","5.02M","2.90%"
"01/10/2023","64.14","64.37","64.51","63.81","3.12M","-0.87%"
"01/09/2023","64.70","64.02","64.86","63.68","3.88M","0.97%"
"01/06/2023","64.08","63.75","64.45","63.68","4.26M","1.09%"
"01/05/2023","63.39","64.26","64.28","63.12","3.78M","-1.89%"
"01/04/2023","64.61","64.00","65.22","63.85","3.89M","1.27%"
"01/03/2023","63.80","63.86","64.03","62.85","4.48M","0.58%"
"12/30/2022","63.43","63.61","63.78","62.74","2.37M","-0.94%"
"12/29/2022","64.03","63.50","64.20","63.43","2.46M","1.27%"
"12/28/2022","63.23","64.03","64.45","63.15","2.89M","-1.37%"
"12/27/2022","64.11","64.41","64.42","63.63","3.82M","-0.47%"
"12/23/2022","64.41","63.32","64.41","63.24","1.85M","1.51%"
"12/22/2022","63.45","63.96","64.20","62.52","3.20M","-1.23%"
"12/21/2022","64.24","63.98","64.80","63.93","3.82M","1.79%"
"12/20/2022","63.11","63.31","63.61","62.59","4.31M","-0.68%"
"12/19/2022","63.54","63.48","64.09","63.00","3.59M","0.09%"
"12/16/2022","63.48","63.76","64.13","62.39","10.96M","-1.79%"
"12/15/2022","64.64","64.24","65.02","64.07","4.53M","-0.03%"
"12/14/2022","64.66","65.06","65.64","64.40","4.72M","-0.46%"
"12/13/2022","64.96","66.00","66.44","64.40","4.21M","0.45%"
"12/12/2022","64.67","64.56","64.91","64.10","4.90M","0.34%"
"12/09/2022","64.45","64.13","64.90","64.00","4.42M","0.61%"
"12/08/2022","64.06","63.60","64.42","63.59","3.86M","0.77%"
"12/07/2022","63.57","62.71","63.82","62.71","5.02M","1.37%"
"12/06/2022","62.71","62.35","62.94","62.27","5.55M","0.76%"
"12/05/2022","62.24","62.31","62.90","61.75","5.07M","-1.05%"
"12/02/2022","62.90","62.33","63.23","62.13","3.36M","0.14%"
"12/01/2022","62.81","63.41","63.92","62.58","3.90M","-0.41%"
"11/30/2022","63.07","61.51","63.16","61.10","6.93M","1.24%"
"11/29/2022","62.30","61.91","62.55","61.44","5.29M","0.91%"
"11/28/2022","61.74","64.56","64.68","61.52","7.73M","-4.80%"
"11/25/2022","64.85","64.81","64.96","64.53","1.69M","0.51%"
"11/23/2022","64.52","65.13","65.39","64.19","3.28M","-1.19%"
"11/22/2022","65.30","65.37","65.68","65.09","3.13M","0.00%"
"11/21/2022","65.30","64.65","65.37","64.61","2.83M","0.93%"
"11/18/2022","64.70","65.00","65.20","64.31","2.99M","0.45%"
"11/17/2022","64.41","63.22","64.43","63.13","3.09M","0.89%"
"11/16/2022","63.84","64.54","64.72","63.69","3.57M","-1.39%"
"11/15/2022","64.74","64.90","65.39","63.96","4.41M","1.03%"
"11/14/2022","64.08","64.82","65.22","64.06","3.99M","-1.39%"
"11/11/2022","64.98","65.60","65.82","64.66","3.56M","-0.60%"
"11/10/2022","65.37","64.75","65.88","64.12","4.62M","3.35%"
"11/09/2022","63.25","63.28","64.28","63.10","2.96M","-0.14%"
"11/08/2022","63.34","63.18","63.92","62.85","3.00M","0.33%"
"11/07/2022","63.13","63.12","63.31","62.59","3.11M","0.19%"
"11/04/2022","63.01","61.91","63.46","61.70","3.71M","2.24%"
"11/03/2022","61.63","60.38","61.99","59.94","2.83M","0.92%"
"11/02/2022","61.07","61.79","62.46","60.61","3.99M","-1.83%"
"11/01/2022","62.21","62.50","62.94","62.01","3.59M","-0.10%"
"10/31/2022","62.27","61.54","62.46","61.51","6.62M","-0.06%"
"10/28/2022","62.31","60.99","62.41","60.91","2.98M","1.91%"
"10/27/2022","61.14","61.00","61.74","60.89","3.29M","0.89%"
"10/26/2022","60.60","60.49","60.95","60.21","3.81M","0.18%"
"10/25/2022","60.49","59.08","60.55","59.00","6.58M","2.51%"
"10/24/2022","59.01","58.28","59.13","58.16","4.18M","2.39%"
"10/21/2022","57.63","57.45","57.78","56.68","3.78M","0.28%"
"10/20/2022","57.47","57.91","58.33","57.45","3.19M","-0.62%"
"10/19/2022","57.83","58.13","58.74","57.41","3.66M","-1.36%"
"10/18/2022","58.63","58.30","58.91","58.02","4.07M","1.98%"
"10/17/2022","57.49","56.37","57.71","56.14","5.01M","3.51%"
"10/14/2022","55.54","58.25","58.43","55.50","4.16M","-3.49%"
"10/13/2022","57.55","56.52","57.78","55.87","4.44M","0.03%"
"10/12/2022","57.53","57.87","58.15","57.52","2.93M","-0.91%"
"10/11/2022","58.06","57.40","58.34","57.10","3.62M","1.24%"
"10/10/2022","57.35","58.31","58.82","57.32","3.14M","-1.17%"
"10/07/2022","58.03","58.24","58.68","57.68","3.29M","-0.84%"
"10/06/2022","58.52","59.56","59.89","58.22","3.83M","-1.68%"
