"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","371.01","365.03","375.81","357.71","1.02M","-0.11%"
"02/02/2023","371.41","373.25","381.81","368.76","1.90M","1.03%"
"02/01/2023","367.62","350.00","374.13","348.09","2.64M","10.32%"
"01/31/2023","333.24","323.27","333.68","321.78","957.15K","3.53%"
"01/30/2023","321.88","324.01","329.73","321.06","826.44K","-3.57%"
"01/27/2023","333.79","317.29","337.96","317.29","1.12M","4.55%"
"01/26/2023","319.25","324.18","325.65","314.50","715.09K","-0.41%"
"01/25/2023","320.56","315.74","322.66","314.05","552.89K","-0.11%"
"01/24/2023","320.90","322.03","323.53","318.50","464.03K","-0.61%"
"01/23/2023","322.86","318.12","327.52","316.44","731.34K","1.84%"
"01/20/2023","317.02","312.30","317.17","309.23","645.19K","2.02%"
"01/19/2023","310.74","311.81","317.97","310.29","734.96K","-1.56%"
"01/18/2023","315.66","316.48","329.77","315.44","865.03K","0.34%"
"01/17/2023","314.58","317.99","319.50","312.29","690.09K","-0.24%"
"01/13/2023","315.35","309.05","316.56","309.05","676.42K","0.67%"
"01/12/2023","313.25","311.23","313.98","306.10","506.30K","0.05%"
"01/11/2023","313.08","309.21","314.98","308.57","605.93K","2.11%"
"01/10/2023","306.60","303.89","306.85","301.45","453.90K","0.08%"
"01/09/2023","306.37","304.38","312.74","302.78","1.05M","1.89%"
"01/06/2023","300.70","285.71","302.04","284.81","1.06M","6.83%"
"01/05/2023","281.48","285.02","285.91","280.24","589.19K","-2.53%"
"01/04/2023","288.79","285.24","290.34","284.21","728.62K","2.22%"
"01/03/2023","282.52","286.01","286.50","279.99","441.15K","-0.44%"
"12/30/2022","283.78","283.03","286.58","280.18","516.06K","-0.98%"
"12/29/2022","286.58","285.35","290.60","284.28","405.41K","1.53%"
"12/28/2022","282.25","286.84","288.50","282.00","303.22K","-1.58%"
"12/27/2022","286.77","286.37","288.69","284.60","500.54K","0.23%"
"12/23/2022","286.10","282.00","287.31","281.00","430.46K","1.46%"
"12/22/2022","281.97","284.00","284.89","277.49","591.95K","-1.86%"
"12/21/2022","287.31","288.98","290.75","283.07","781.97K","1.09%"
"12/20/2022","284.21","288.59","289.05","282.39","656.72K","-2.06%"
"12/19/2022","290.19","294.99","295.05","287.95","811.91K","-1.59%"
"12/16/2022","294.88","294.24","301.95","292.38","2.13M","-1.42%"
"12/15/2022","299.14","304.75","305.79","296.99","1.07M","-3.32%"
"12/14/2022","309.40","304.31","312.93","303.62","1.28M","1.56%"
"12/13/2022","304.65","319.52","321.79","302.23","1.19M","0.94%"
"12/12/2022","301.80","293.00","304.19","290.99","913.02K","3.27%"
"12/09/2022","292.23","286.47","293.92","285.00","1.05M","1.73%"
"12/08/2022","287.27","285.11","289.75","285.00","534.61K","0.22%"
"12/07/2022","286.65","285.42","289.44","284.89","342.92K","-0.16%"
"12/06/2022","287.12","288.61","288.72","284.01","590.58K","-0.91%"
"12/05/2022","289.76","298.05","301.10","287.77","701.89K","-4.32%"
"12/02/2022","302.85","295.55","305.04","293.05","556.23K","0.65%"
"12/01/2022","300.89","302.28","302.31","293.62","855.54K","-0.57%"
"11/30/2022","302.61","291.48","303.58","286.83","1.12M","3.61%"
"11/29/2022","292.07","291.10","292.83","287.18","592.22K","1.30%"
"11/28/2022","288.32","292.01","296.51","287.90","679.10K","-1.93%"
"11/25/2022","293.99","294.81","297.58","293.72","227.12K","-1.02%"
"11/23/2022","297.03","296.23","300.52","292.71","593.28K","0.38%"
