"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","91.71","91.74","92.71","91.38","2.53M","-0.13%"
"02/02/2023","91.83","89.00","92.09","88.78","2.84M","4.79%"
"02/01/2023","87.63","85.58","87.82","85.30","2.19M","1.91%"
"01/31/2023","85.99","85.23","86.17","84.86","2.31M","1.36%"
"01/30/2023","84.84","84.75","85.31","84.51","1.08M","-0.52%"
"01/27/2023","85.28","85.90","86.35","85.08","1.13M","-0.87%"
"01/26/2023","86.03","86.76","87.53","85.93","1.46M","-0.84%"
"01/25/2023","86.76","85.90","86.80","85.56","1.22M","0.72%"
"01/24/2023","86.14","84.63","86.45","83.76","1.43M","1.89%"
"01/23/2023","84.54","83.84","84.92","83.64","986.49K","0.91%"
"01/20/2023","83.78","82.62","84.07","81.58","1.65M","2.03%"
"01/19/2023","82.11","82.30","82.88","81.87","1.18M","-0.57%"
"01/18/2023","82.58","83.68","83.92","82.07","1.26M","-1.31%"
"01/17/2023","83.68","83.92","83.92","82.86","1.27M","-0.45%"
"01/13/2023","84.06","83.49","84.38","83.49","1.40M","-0.34%"
"01/12/2023","84.35","85.27","85.51","84.21","1.51M","-0.74%"
"01/11/2023","84.98","85.60","85.70","84.02","1.46M","-0.96%"
"01/10/2023","85.80","85.76","85.85","84.85","1.05M","0.12%"
"01/09/2023","85.70","86.10","86.64","85.59","1.46M","-0.44%"
"01/06/2023","86.08","85.25","86.60","85.25","1.33M","1.13%"
"01/05/2023","85.12","84.31","85.21","83.71","1.58M","0.81%"
"01/04/2023","84.44","83.00","84.58","82.79","1.61M","2.31%"
"01/03/2023","82.53","82.69","83.06","81.73","1.20M","1.18%"
"12/30/2022","81.57","80.91","81.58","80.60","1.09M","-0.02%"
"12/29/2022","81.59","81.16","82.24","80.96","878.34K","1.19%"
"12/28/2022","80.63","81.41","81.93","80.43","926.59K","-0.92%"
"12/27/2022","81.38","80.51","82.00","80.31","1.50M","1.09%"
"12/23/2022","80.50","78.78","80.55","78.63","1.18M","2.18%"
"12/22/2022","78.78","78.20","78.80","77.09","1.25M","0.01%"
"12/21/2022","78.77","78.46","79.27","78.31","970.98K","1.23%"
"12/20/2022","77.81","76.85","78.00","76.59","1.43M","0.65%"
"12/19/2022","77.31","77.26","78.42","76.43","1.47M","0.23%"
"12/16/2022","77.13","77.42","78.21","76.50","3.68M","-1.62%"
"12/15/2022","78.40","79.62","80.31","78.01","1.80M","-3.08%"
"12/14/2022","80.89","80.45","81.96","80.39","2.62M","-0.06%"
"12/13/2022","80.94","80.00","81.66","79.20","3.71M","3.38%"
"12/12/2022","78.29","75.84","78.51","75.43","2.06M","3.49%"
"12/09/2022","75.65","75.52","76.41","75.10","1.16M","0.05%"
"12/08/2022","75.61","75.83","76.16","75.37","1.15M","-0.08%"
"12/07/2022","75.67","75.87","76.51","75.47","1.62M","-0.60%"
"12/06/2022","76.13","77.21","77.69","75.42","1.89M","-1.39%"
"12/05/2022","77.20","77.63","78.45","76.74","1.01M","-1.84%"
"12/02/2022","78.65","79.01","79.39","78.14","1.46M","-1.52%"
"12/01/2022","79.86","79.80","80.42","79.26","1.61M","0.13%"
"11/30/2022","79.76","78.50","80.01","77.30","2.19M","1.27%"
"11/29/2022","78.76","78.15","79.17","78.12","1.22M","0.78%"
"11/28/2022","78.15","78.65","79.06","77.95","943.83K","-1.26%"
"11/25/2022","79.15","78.19","79.30","77.98","382.53K","1.23%"
"11/23/2022","78.19","78.08","78.49","77.70","715.87K","0.12%"
"11/22/2022","78.10","76.92","78.15","76.80","856.57K","2.00%"
"11/21/2022","76.57","77.10","77.12","76.11","943.73K","-0.82%"
"11/18/2022","77.20","77.09","77.77","76.79","1.18M","1.27%"
"11/17/2022","76.23","75.40","76.37","74.32","893.70K","0.07%"
"11/16/2022","76.18","76.72","76.96","75.55","1.31M","-1.06%"
"11/15/2022","77.00","77.39","77.85","76.15","1.51M","0.80%"
"11/14/2022","76.39","77.08","77.87","76.39","1.18M","-1.44%"
"11/11/2022","77.51","75.90","77.96","75.53","1.62M","3.20%"
"11/10/2022","75.11","75.77","76.15","74.58","1.47M","2.39%"
"11/09/2022","73.36","73.39","74.60","72.90","1.21M","-1.00%"
"11/08/2022","74.10","73.00","75.16","72.95","1.19M","1.70%"
"11/07/2022","72.86","72.44","72.96","71.61","1.31M","0.89%"
"11/04/2022","72.22","72.04","72.64","70.84","939.70K","1.52%"
"11/03/2022","71.14","70.62","71.38","69.74","1.15M","-0.68%"
"11/02/2022","71.63","72.52","73.72","71.57","1.28M","-2.01%"
"11/01/2022","73.10","73.25","73.74","72.74","1.01M","0.48%"
"10/31/2022","72.75","72.23","72.95","71.79","1.72M","0.22%"
"10/28/2022","72.59","71.15","72.83","71.07","1.48M","2.02%"
"10/27/2022","71.15","71.91","72.42","71.01","1.29M","-0.34%"
"10/26/2022","71.39","72.00","72.29","71.07","1.85M","-0.45%"
"10/25/2022","71.71","70.97","71.99","70.58","1.33M","0.52%"
"10/24/2022","71.34","70.57","71.63","70.23","1.58M","1.65%"
"10/21/2022","70.18","68.01","70.27","67.84","2.18M","3.25%"
"10/20/2022","67.97","68.59","69.59","67.43","1.54M","-0.64%"
