"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","794.84","804.72","811.66","792.14","388.23K","-1.34%"
"02/02/2023","805.66","810.27","813.23","800.26","457.95K","-0.28%"
"02/01/2023","807.93","788.56","814.76","784.72","515.16K","1.97%"
"01/31/2023","792.35","796.65","802.38","785.24","413.51K","0.34%"
"01/30/2023","789.63","777.00","797.40","776.95","472.55K","2.39%"
"01/27/2023","771.17","797.26","800.56","767.27","905.48K","-3.68%"
"01/26/2023","800.63","804.60","811.18","799.89","352.76K","0.02%"
"01/25/2023","800.47","797.96","804.98","790.52","359.10K","0.17%"
"01/24/2023","799.09","794.84","806.79","791.06","400.92K","0.59%"
"01/23/2023","794.40","792.58","796.74","784.03","486.21K","0.13%"
"01/20/2023","793.38","792.89","794.37","787.15","429.62K","-0.04%"
"01/19/2023","793.73","806.75","812.03","792.49","348.06K","-1.41%"
"01/18/2023","805.08","807.40","815.19","803.80","351.92K","-0.58%"
"01/17/2023","809.74","816.29","821.64","807.55","299.94K","-0.70%"
"01/13/2023","815.47","806.26","816.97","806.01","324.96K","0.57%"
"01/12/2023","810.85","826.14","826.14","808.81","517.66K","-1.77%"
"01/11/2023","825.50","830.24","834.59","824.07","339.73K","-0.17%"
"01/10/2023","826.88","828.71","833.01","820.60","350.82K","-0.22%"
"01/09/2023","828.71","839.83","844.97","826.83","334.63K","-1.64%"
"01/06/2023","842.52","846.68","856.57","839.00","420.22K","0.99%"
"01/05/2023","834.29","824.70","837.15","823.67","366.63K","0.91%"
"01/04/2023","826.74","846.02","850.72","824.25","499.04K","-1.66%"
"01/03/2023","840.72","842.43","843.88","833.51","455.49K","-0.39%"
"12/30/2022","844.03","840.52","844.30","839.47","284.08K","0.04%"
"12/29/2022","843.66","847.45","849.40","841.30","265.71K","-0.11%"
"12/28/2022","844.62","842.38","851.19","840.28","334.01K","0.09%"
"12/27/2022","843.84","837.21","847.51","836.24","265.17K","1.23%"
"12/23/2022","833.55","823.78","835.42","823.00","188.40K","1.19%"
"12/22/2022","823.78","834.65","834.65","821.12","369.31K","-1.18%"
"12/21/2022","833.62","826.74","836.30","819.35","398.63K","1.21%"
"12/20/2022","823.63","820.57","831.13","815.93","432.28K","0.88%"
"12/19/2022","816.43","811.35","828.01","811.10","523.93K","0.57%"
"12/16/2022","811.77","806.82","815.33","800.38","1.18M","0.57%"
"12/15/2022","807.20","809.99","811.97","801.42","485.32K","-0.90%"
"12/14/2022","814.50","820.92","826.17","807.17","529.52K","-0.52%"
"12/13/2022","818.76","844.72","845.14","815.72","513.21K","-1.87%"
"12/12/2022","834.35","831.07","834.89","824.16","314.98K","0.79%"
"12/09/2022","827.80","834.30","836.36","826.58","327.19K","-1.02%"
"12/08/2022","836.36","832.04","839.74","831.65","322.88K","0.91%"
"12/07/2022","828.79","828.72","834.48","821.50","550.42K","-0.10%"
"12/06/2022","829.66","840.00","841.19","820.80","676.75K","-1.59%"
"12/05/2022","843.10","849.70","851.45","840.32","322.02K","-1.78%"
"12/02/2022","858.41","848.93","859.23","846.81","365.65K","0.14%"
"12/01/2022","857.18","869.06","869.99","853.74","339.53K","-0.85%"
"11/30/2022","864.54","847.36","870.92","845.24","797.50K","1.74%"
"11/29/2022","849.73","852.00","855.10","843.18","411.65K","-0.33%"
"11/28/2022","852.56","851.24","861.50","851.24","422.98K","-0.40%"
"11/25/2022","855.97","850.13","858.38","848.45","154.20K","0.61%"
"11/23/2022","850.82","850.76","855.19","850.00","225.80K","-0.15%"
"11/22/2022","852.13","850.96","853.90","844.50","332.85K","0.68%"
"11/21/2022","846.39","841.95","852.25","840.37","493.65K","0.97%"
"11/18/2022","838.27","829.98","839.52","827.88","399.50K","1.00%"
"11/17/2022","829.98","833.98","835.81","822.15","358.22K","-0.48%"
"11/16/2022","833.98","814.68","841.84","814.22","631.27K","1.07%"
"11/15/2022","825.12","825.54","828.00","808.23","568.34K","0.02%"
"11/14/2022","824.92","822.19","833.00","819.62","562.25K","1.14%"
"11/11/2022","815.60","839.34","842.22","808.80","652.30K","-3.35%"
"11/10/2022","843.85","847.93","848.65","834.25","467.72K","1.83%"
"11/09/2022","828.70","830.32","841.25","827.45","427.61K","-0.58%"
"11/08/2022","833.51","834.84","840.67","826.24","309.52K","0.40%"
"11/07/2022","830.20","816.30","830.96","815.88","373.14K","1.77%"
"11/04/2022","815.74","821.52","827.28","805.25","473.45K","-0.44%"
"11/03/2022","819.37","812.37","824.16","808.64","339.66K","0.52%"
"11/02/2022","815.11","837.46","842.33","813.91","690.66K","-2.26%"
"11/01/2022","834.00","838.51","839.40","828.97","562.02K","-0.38%"
"10/31/2022","837.17","832.18","845.24","831.53","534.89K","0.10%"
"10/28/2022","836.30","811.39","839.22","809.67","567.51K","2.84%"
"10/27/2022","813.22","817.00","819.19","801.94","946.48K","4.60%"
"10/26/2022","777.46","778.44","780.59","768.31","734.85K","0.22%"
"10/25/2022","775.73","771.57","778.42","761.65","652.01K","0.95%"
"10/24/2022","768.46","750.00","770.08","749.82","580.85K","3.28%"
"10/21/2022","744.07","731.03","744.74","729.59","418.28K","1.80%"
"10/20/2022","730.92","739.15","742.01","727.43","427.89K","-0.92%"
"10/19/2022","737.72","739.63","748.39","734.16","372.85K","-0.59%"
