"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","84.73","83.48","84.85","83.44","1.58M","1.04%"
"02/02/2023","83.86","85.43","85.54","83.79","2.18M","-0.83%"
"02/01/2023","84.56","82.47","85.12","82.08","3.05M","2.83%"
"01/31/2023","82.23","81.52","82.23","81.01","2.54M","1.57%"
"01/30/2023","80.96","80.78","81.52","80.37","1.32M","-0.30%"
"01/27/2023","81.20","80.92","81.60","80.39","1.46M","0.15%"
"01/26/2023","81.08","81.41","81.46","80.16","1.35M","0.15%"
"01/25/2023","80.96","81.50","81.50","80.04","1.45M","-1.40%"
"01/24/2023","82.11","80.26","82.53","80.26","1.53M","0.93%"
"01/23/2023","81.35","80.62","81.79","79.89","1.10M","0.67%"
"01/20/2023","80.81","80.04","80.84","79.16","1.79M","1.46%"
"01/19/2023","79.65","81.53","81.77","79.62","1.55M","-2.62%"
"01/18/2023","81.79","83.22","83.40","81.77","1.79M","-1.43%"
"01/17/2023","82.98","83.26","83.49","82.88","1.95M","-0.32%"
"01/13/2023","83.25","82.64","83.30","82.22","1.27M","0.42%"
"01/12/2023","82.90","82.00","82.99","80.75","2.50M","1.22%"
"01/11/2023","81.90","82.23","82.23","81.14","2.68M","0.28%"
"01/10/2023","81.67","81.38","81.77","80.77","1.97M","0.25%"
"01/09/2023","81.47","81.98","82.93","81.32","1.63M","-0.46%"
"01/06/2023","81.85","80.99","82.05","80.41","1.56M","2.15%"
"01/05/2023","80.13","80.51","80.81","79.96","2.12M","-0.79%"
"01/04/2023","80.77","79.78","80.87","79.30","1.61M","2.09%"
"01/03/2023","79.12","78.94","79.46","78.41","1.30M","1.03%"
"12/30/2022","78.31","78.80","78.99","77.55","995.95K","-0.96%"
"12/29/2022","79.07","78.04","79.23","77.60","957.72K","2.16%"
"12/28/2022","77.40","78.60","78.75","77.39","879.49K","-1.41%"
"12/27/2022","78.51","78.37","78.97","78.01","955.36K","0.19%"
"12/23/2022","78.36","77.90","78.63","77.74","810.37K","0.28%"
"12/22/2022","78.14","78.56","78.78","77.10","1.38M","-1.13%"
"12/21/2022","79.03","78.44","79.13","77.91","1.62M","1.42%"
"12/20/2022","77.92","77.90","78.26","77.51","1.82M","0.06%"
"12/19/2022","77.87","78.63","79.01","77.57","1.53M","-0.93%"
"12/16/2022","78.60","78.21","78.73","77.70","4.04M","-0.28%"
"12/15/2022","78.82","79.34","79.57","77.99","2.08M","-1.78%"
"12/14/2022","80.25","81.00","81.94","79.90","3.03M","-0.86%"
"12/13/2022","80.95","82.00","82.00","80.58","2.57M","0.51%"
"12/12/2022","80.54","78.90","80.62","78.52","1.63M","2.65%"
"12/09/2022","78.46","79.87","80.00","78.36","1.42M","-1.61%"
"12/08/2022","79.74","79.88","80.00","79.06","2.36M","0.94%"
"12/07/2022","79.00","78.97","79.49","78.36","2.10M","-0.24%"
"12/06/2022","79.19","78.47","79.22","78.25","2.64M","0.90%"
"12/05/2022","78.48","78.82","79.26","77.84","1.96M","-1.59%"
"12/02/2022","79.75","78.07","80.16","77.52","2.00M","1.17%"
"12/01/2022","78.83","77.62","78.91","77.34","1.78M","0.95%"
"11/30/2022","78.09","76.81","78.17","75.52","3.46M","1.57%"
"11/29/2022","76.88","76.46","77.62","76.14","1.87M","0.71%"
"11/28/2022","76.34","78.02","78.36","76.19","2.07M","-2.96%"
"11/25/2022","78.67","78.54","79.02","78.22","971.09K","0.73%"
"11/23/2022","78.10","77.97","78.53","77.51","1.90M","-0.19%"
"11/22/2022","78.25","78.56","78.59","77.60","1.92M","0.08%"
"11/21/2022","78.19","77.47","78.52","76.81","2.07M","0.55%"
"11/18/2022","77.76","78.18","78.76","77.42","3.70M","0.53%"
"11/17/2022","77.35","77.00","77.41","75.71","3.42M","-1.34%"
"11/16/2022","78.40","78.45","79.75","78.33","2.17M","-0.39%"
"11/15/2022","78.71","78.47","79.48","78.19","2.35M","1.21%"
"11/14/2022","77.77","76.76","79.56","76.72","4.18M","0.52%"
"11/11/2022","77.37","75.66","78.03","75.61","2.98M","2.34%"
"11/10/2022","75.60","74.52","76.11","74.52","2.64M","4.12%"
