"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","61.24","62.69","64.02","61.01","17.85M","-1.97%"
"02/02/2023","62.47","63.22","63.39","61.53","12.93M","-1.62%"
"02/01/2023","63.50","64.26","64.51","62.29","12.54M","-1.99%"
"01/31/2023","64.79","64.20","64.79","63.63","10.32M","1.03%"
"01/30/2023","64.13","65.82","65.96","64.07","9.47M","-3.62%"
"01/27/2023","66.54","67.15","67.93","66.51","8.76M","-0.82%"
"01/26/2023","67.09","65.38","67.13","64.75","12.52M","3.98%"
"01/25/2023","64.52","63.86","64.54","62.31","9.99M","0.14%"
"01/24/2023","64.43","58.56","74.58","58.56","8.49M","-3.11%"
"01/23/2023","66.50","67.31","67.71","66.33","9.86M","-0.61%"
"01/20/2023","66.91","66.12","67.11","65.43","12.44M","1.89%"
"01/19/2023","65.67","64.04","66.01","63.78","9.99M","1.94%"
"01/18/2023","64.42","65.20","67.05","64.28","13.89M","-0.46%"
"01/17/2023","64.72","65.42","65.99","64.56","7.48M","-0.90%"
"01/13/2023","65.31","65.75","66.13","64.67","7.20M","-0.65%"
"01/12/2023","65.74","64.50","66.48","64.25","12.33M","2.57%"
"01/11/2023","64.09","65.00","65.00","63.63","7.59M","-0.09%"
"01/10/2023","64.15","64.26","64.59","63.12","6.58M","0.11%"
"01/09/2023","64.08","64.87","66.58","63.98","12.35M","0.52%"
"01/06/2023","63.75","63.41","64.63","62.94","9.83M","2.46%"
"01/05/2023","62.22","61.12","62.73","60.75","10.68M","1.82%"
"01/04/2023","61.11","59.94","61.84","59.70","12.18M","0.10%"
"01/03/2023","61.05","62.30","62.95","60.11","12.95M","-3.08%"
"12/30/2022","62.99","62.00","62.99","61.92","8.18M","1.14%"
"12/29/2022","62.28","61.58","62.71","61.29","7.32M","0.32%"
"12/28/2022","62.08","63.89","63.89","61.75","10.22M","-3.50%"
"12/27/2022","64.33","64.31","64.83","63.88","8.68M","0.59%"
"12/23/2022","63.95","62.52","63.98","62.38","11.83M","3.48%"
"12/22/2022","61.80","63.73","63.85","60.61","12.92M","-3.03%"
"12/21/2022","63.73","63.63","63.92","62.46","11.59M","2.18%"
"12/20/2022","62.37","62.24","63.24","62.03","9.84M","-0.06%"
"12/19/2022","62.41","63.00","63.24","61.73","10.04M","-0.19%"
"12/16/2022","62.53","61.95","62.80","61.27","19.37M","-1.00%"
"12/15/2022","63.16","62.99","63.29","62.10","10.70M","-0.82%"
"12/14/2022","63.68","64.84","65.17","62.83","13.39M","-0.93%"
"12/13/2022","64.28","65.37","65.76","63.85","13.29M","0.39%"
"12/12/2022","64.03","62.90","64.64","62.60","12.45M","2.28%"
"12/09/2022","62.60","63.58","64.03","62.52","11.98M","-1.74%"
"12/08/2022","63.71","65.55","65.96","63.06","13.21M","-0.38%"
"12/07/2022","63.95","64.21","65.17","63.53","11.57M","-0.30%"
"12/06/2022","64.14","66.13","67.22","63.74","12.98M","-3.35%"
"12/05/2022","66.36","69.22","70.25","65.92","15.08M","-2.71%"
"12/02/2022","68.21","68.30","69.21","67.83","9.09M","-0.86%"
"12/01/2022","68.80","70.30","70.35","68.78","9.25M","-0.99%"
"11/30/2022","69.49","70.40","70.53","68.65","13.85M","0.55%"
"11/29/2022","69.11","69.40","69.99","68.62","12.70M","1.29%"
"11/28/2022","68.23","68.15","69.43","67.34","13.38M","-2.92%"
"11/25/2022","70.28","71.18","71.28","70.14","5.43M","-1.18%"
"11/23/2022","71.12","71.25","72.24","70.11","12.38M","-2.27%"
"11/22/2022","72.77","70.57","72.88","70.10","15.94M","4.57%"
"11/21/2022","69.59","69.11","69.99","66.77","21.67M","-2.33%"
"11/18/2022","71.25","69.04","71.38","68.52","16.25M","-0.29%"
"11/17/2022","71.46","70.76","71.49","69.77","11.62M","-0.65%"
"11/16/2022","71.93","73.18","74.00","71.92","13.15M","-3.36%"
"11/15/2022","74.43","73.51","74.84","72.06","17.10M","1.57%"
"11/14/2022","73.28","73.75","75.78","73.22","15.58M","-1.41%"
"11/11/2022","74.33","71.16","74.71","71.05","20.66M","5.46%"
"11/10/2022","70.48","69.51","70.53","67.55","18.62M","3.75%"
"11/09/2022","67.93","72.65","73.03","67.14","24.78M","-9.22%"
"11/08/2022","74.83","75.75","75.75","74.02","16.03M","-1.50%"
"11/07/2022","75.97","74.05","76.11","73.82","17.47M","3.69%"
"11/04/2022","73.27","74.47","75.76","72.61","16.03M","1.54%"
"11/03/2022","72.16","70.49","72.60","69.90","12.82M","1.49%"
"11/02/2022","71.10","73.40","73.54","70.96","16.18M","-3.66%"
"11/01/2022","73.80","74.02","74.49","73.16","13.01M","1.65%"
"10/31/2022","72.60","71.20","74.13","71.10","13.65M","1.06%"
"10/28/2022","71.84","72.49","73.28","69.85","13.81M","-0.04%"
"10/27/2022","71.87","73.59","74.17","71.76","12.75M","-0.90%"
"10/26/2022","72.52","71.60","73.29","71.50","12.73M","2.01%"
"10/25/2022","71.09","70.82","71.57","70.21","12.41M","0.37%"
"10/24/2022","70.83","70.81","72.14","70.30","12.90M","-0.60%"
"10/21/2022","71.26","69.83","71.66","69.16","16.72M","3.50%"
"10/20/2022","68.85","69.45","70.48","68.28","15.40M","0.57%"
"10/19/2022","68.46","67.60","68.98","67.43","17.12M","1.00%"
"10/18/2022","67.78","67.75","68.26","65.86","15.68M","0.62%"
"10/17/2022","67.36","68.08","69.40","67.27","14.84M","1.02%"
"10/14/2022","66.68","67.40","69.06","66.18","17.85M","-1.94%"
"10/13/2022","68.00","63.66","68.49","63.66","22.62M","4.44%"
"10/12/2022","65.11","63.66","65.86","62.77","17.65M","1.69%"
"10/11/2022","64.03","64.16","65.45","62.73","22.47M","-2.44%"
"10/10/2022","65.63","69.10","70.28","65.59","24.07M","-5.97%"
"10/07/2022","69.80","70.86","72.04","69.06","29.08M","-0.99%"
"10/06/2022","70.50","67.60","70.83","67.51","23.48M","4.07%"
"10/05/2022","67.74","66.07","68.16","65.64","25.49M","2.37%"
"10/04/2022","66.17","65.16","67.14","64.73","25.15M","3.29%"
"10/03/2022","64.06","63.72","65.03","63.40","25.45M","4.25%"
"09/30/2022","61.45","60.80","62.22","60.41","19.49M","-1.06%"
"09/29/2022","62.11","61.22","63.12","60.55","30.09M","1.14%"
"09/28/2022","61.41","58.96","61.60","58.63","22.34M","4.92%"
"09/27/2022","58.53","58.88","59.47","57.67","28.19M","1.12%"
"09/26/2022","57.88","58.31","59.23","57.43","25.39M","-1.45%"
"09/23/2022","58.73","59.69","60.07","58.04","29.65M","-5.09%"
"09/22/2022","61.88","63.19","64.27","61.75","20.34M","-1.28%"
"09/21/2022","62.68","65.63","65.96","62.32","18.60M","-2.49%"
"09/20/2022","64.28","64.10","64.82","63.25","20.26M","-0.62%"
"09/19/2022","64.68","62.60","64.94","62.43","19.68M","0.42%"
"09/16/2022","64.41","65.00","65.04","63.01","57.45M","-1.04%"
"09/15/2022","65.09","65.80","66.14","65.00","24.38M","-3.14%"
"09/14/2022","67.20","66.22","67.79","65.76","28.41M","2.85%"
"09/13/2022","65.34","65.63","66.78","64.52","25.45M","-2.19%"
"09/12/2022","66.80","67.00","67.81","65.68","26.35M","1.81%"
"09/09/2022","65.61","65.55","65.88","64.29","21.88M","1.55%"
"09/08/2022","64.61","66.00","66.20","64.03","22.05M","-1.25%"
"09/07/2022","65.43","65.30","66.01","64.40","22.49M","-2.17%"
"09/06/2022","66.88","68.99","69.51","66.58","21.68M","-2.75%"
"09/02/2022","68.77","70.61","70.90","68.27","22.79M","0.54%"
"09/01/2022","68.40","69.24","69.93","67.84","21.50M","-3.66%"
"08/31/2022","71.00","70.34","72.40","69.55","21.58M","-1.40%"
"08/30/2022","72.01","73.50","73.86","71.18","26.15M","-4.32%"
"08/29/2022","75.26","73.20","77.13","72.82","30.00M","2.32%"
"08/26/2022","73.55","74.39","75.36","73.12","20.58M","-1.25%"
"08/25/2022","74.48","75.50","76.10","73.53","22.78M","-0.57%"
"08/24/2022","74.91","74.15","75.69","73.08","39.63M","1.52%"
"08/23/2022","73.79","70.77","74.84","70.47","59.62M","6.90%"
"08/22/2022","69.03","68.60","70.38","67.27","47.93M","-3.17%"
