"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","110.18","110.85","111.37","109.98","1.62M","-1.28%"
"02/02/2023","111.61","111.31","111.99","109.82","1.96M","0.22%"
"02/01/2023","111.36","108.58","112.09","107.76","2.57M","1.88%"
"01/31/2023","109.31","109.28","109.65","108.20","2.77M","0.49%"
"01/30/2023","108.78","110.39","111.06","108.60","2.65M","-1.67%"
"01/27/2023","110.63","112.00","112.24","108.95","2.80M","-1.43%"
"01/26/2023","112.23","111.90","112.89","110.58","2.67M","1.28%"
"01/25/2023","110.81","110.80","111.32","109.31","2.68M","-0.24%"
"01/24/2023","111.08","105.00","111.44","103.50","7.69M","8.64%"
"01/23/2023","102.25","99.81","103.06","99.06","3.98M","3.08%"
"01/20/2023","99.19","97.86","99.46","97.34","2.22M","1.20%"
"01/19/2023","98.01","99.52","99.52","97.17","2.10M","-1.73%"
"01/18/2023","99.74","102.05","102.55","99.62","2.36M","-1.84%"
"01/17/2023","101.61","103.00","103.28","101.53","2.15M","-1.03%"
"01/13/2023","102.67","100.88","102.78","100.56","1.70M","1.26%"
"01/12/2023","101.39","100.47","101.90","100.27","1.94M","0.33%"
"01/11/2023","101.06","100.59","101.14","99.43","2.25M","0.57%"
"01/10/2023","100.49","98.76","100.53","98.28","1.84M","0.70%"
"01/09/2023","99.79","100.26","101.17","99.53","1.81M","-0.53%"
"01/06/2023","100.32","98.49","100.61","98.49","1.59M","2.60%"
"01/05/2023","97.78","97.93","98.24","96.96","1.74M","-0.44%"
"01/04/2023","98.21","99.07","99.35","97.77","1.77M","-0.22%"
"01/03/2023","98.43","98.88","99.23","97.67","1.97M","-0.55%"
"12/30/2022","98.97","97.99","99.32","97.60","1.26M","0.39%"
"12/29/2022","98.59","99.86","99.99","98.35","1.37M","-0.66%"
"12/28/2022","99.25","100.70","100.83","99.15","1.02M","-1.07%"
"12/27/2022","100.32","100.74","101.16","100.07","1.04M","-0.23%"
"12/23/2022","100.55","99.77","101.09","99.30","1.54M","0.73%"
"12/22/2022","99.82","100.70","100.98","98.45","2.57M","-1.21%"
"12/21/2022","101.04","100.13","101.45","99.90","1.69M","1.64%"
"12/20/2022","99.41","99.35","100.31","98.95","2.06M","0.30%"
"12/19/2022","99.11","98.27","99.97","98.27","1.99M","0.90%"
"12/16/2022","98.23","97.08","98.69","96.49","4.95M","0.31%"
