"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","27.63","27.79","27.99","27.24","3.65M","-2.16%"
"02/02/2023","28.24","27.60","28.43","27.60","4.11M","2.99%"
"02/01/2023","27.42","27.42","27.55","26.97","4.02M","-0.22%"
"01/31/2023","27.48","27.09","27.48","27.05","5.34M","1.25%"
"01/30/2023","27.14","27.33","27.58","27.13","2.35M","-1.42%"
"01/27/2023","27.53","27.26","27.66","27.25","3.45M","0.88%"
"01/26/2023","27.29","27.21","27.31","26.70","3.16M","0.78%"
"01/25/2023","27.08","27.13","27.17","26.80","2.02M","-0.44%"
"01/24/2023","27.20","27.41","27.44","27.04","2.11M","-0.40%"
"01/23/2023","27.31","26.85","27.42","26.73","1.93M","1.71%"
"01/20/2023","26.85","26.60","26.86","26.44","3.58M","0.90%"
"01/19/2023","26.61","26.62","26.85","26.53","2.42M","-0.49%"
"01/18/2023","26.74","27.12","27.28","26.71","3.43M","-1.04%"
"01/17/2023","27.02","27.17","27.23","26.94","3.37M","-0.11%"
"01/13/2023","27.05","27.04","27.33","26.99","2.39M","-0.99%"
"01/12/2023","27.32","27.19","27.38","26.87","2.41M","0.89%"
"01/11/2023","27.08","26.33","27.12","26.33","3.39M","3.56%"
"01/10/2023","26.15","26.12","26.24","25.91","2.43M","-0.46%"
"01/09/2023","26.27","26.64","26.74","26.27","3.55M","-1.76%"
"01/06/2023","26.74","26.15","26.90","26.14","3.65M","3.00%"
"01/05/2023","25.96","26.04","26.18","25.62","2.83M","-1.63%"
"01/04/2023","26.39","25.63","26.48","25.59","4.68M","3.73%"
"01/03/2023","25.44","25.80","25.87","25.18","4.52M","1.48%"
"12/30/2022","25.07","25.08","25.18","24.77","2.66M","-0.52%"
"12/29/2022","25.20","24.87","25.24","24.78","2.82M","1.98%"
"12/28/2022","24.71","25.41","25.49","24.66","3.42M","-2.37%"
"12/27/2022","25.31","25.16","25.39","24.99","2.04M","0.56%"
"12/23/2022","25.17","24.85","25.21","24.73","2.02M","0.96%"
"12/22/2022","24.93","24.89","25.08","24.40","2.66M","-0.40%"
"12/21/2022","25.03","24.91","25.38","24.91","3.76M","1.17%"
"12/20/2022","24.74","24.79","24.94","24.59","2.32M","-0.64%"
"12/19/2022","24.90","25.17","25.29","24.72","3.89M","-0.99%"
"12/16/2022","25.15","25.10","25.34","24.74","8.59M","-1.37%"
"12/15/2022","25.50","25.28","25.65","25.19","3.91M","0.04%"
"12/14/2022","25.49","25.37","25.84","25.22","3.42M","-0.55%"
"12/13/2022","25.63","26.10","26.15","25.09","5.01M","1.30%"
"12/12/2022","25.30","25.41","25.52","25.08","4.46M","-0.20%"
"12/09/2022","25.35","25.49","25.67","25.32","2.79M","-0.67%"
