"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.85","61.61","61.77","59.65","2.12M","-2.06%"
"02/02/2023","62.13","61.98","62.39","61.30","2.52M","0.52%"
"02/01/2023","61.81","61.51","62.28","61.00","2.64M","-0.19%"
"01/31/2023","61.93","61.45","61.96","60.63","3.25M","1.36%"
"01/30/2023","61.10","60.33","61.58","60.24","2.23M","0.78%"
"01/27/2023","60.63","60.96","61.21","60.55","2.07M","-0.66%"
"01/26/2023","61.03","60.63","61.18","60.48","1.63M","0.30%"
"01/25/2023","60.85","60.41","60.90","59.97","1.36M","-0.16%"
"01/24/2023","60.95","60.42","61.10","59.85","1.47M","0.10%"
"01/23/2023","60.89","60.33","61.53","60.08","2.01M","0.76%"
"01/20/2023","60.43","59.90","60.47","58.97","2.21M","0.68%"
"01/19/2023","60.02","60.80","60.86","59.84","1.95M","-1.33%"
"01/18/2023","60.83","62.85","62.96","60.76","2.42M","-3.29%"
"01/17/2023","62.90","62.77","63.19","62.72","2.50M","0.38%"
"01/13/2023","62.66","62.49","63.01","62.24","2.03M","-0.21%"
"01/12/2023","62.79","64.20","64.26","62.65","2.52M","-1.84%"
"01/11/2023","63.97","63.70","64.25","63.60","1.65M","0.47%"
"01/10/2023","63.67","63.33","63.76","63.02","1.42M","0.28%"
"01/09/2023","63.49","62.50","63.76","62.46","2.31M","1.36%"
"01/06/2023","62.64","61.90","62.86","61.71","2.25M","2.49%"
"01/05/2023","61.12","62.02","62.24","60.82","2.38M","-2.22%"
"01/04/2023","62.51","62.41","63.10","62.17","1.92M","0.74%"
"01/03/2023","62.05","61.47","62.08","60.34","2.22M","1.27%"
"12/30/2022","61.27","61.86","61.89","60.67","1.82M","-0.91%"
"12/29/2022","61.83","61.65","62.06","61.53","1.35M","0.88%"
"12/28/2022","61.29","61.92","62.35","61.23","1.82M","-0.84%"
"12/27/2022","61.81","61.22","61.96","60.94","1.78M","1.20%"
"12/23/2022","61.08","59.98","61.12","59.98","1.34M","1.58%"
"12/22/2022","60.13","60.26","60.40","59.07","1.75M","-0.61%"
"12/21/2022","60.50","59.40","60.52","59.36","1.69M","2.18%"
"12/20/2022","59.21","59.28","59.69","58.83","1.90M","-0.25%"
"12/19/2022","59.36","59.23","59.81","58.79","1.99M","0.20%"
"12/16/2022","59.24","59.53","59.67","58.33","5.28M","-1.82%"
"12/15/2022","60.34","60.98","61.20","59.83","2.42M","-1.37%"
"12/14/2022","61.18","61.29","62.12","60.66","1.98M","0.10%"
"12/13/2022","61.12","61.51","62.37","60.45","2.85M","0.82%"
"12/12/2022","60.62","60.12","60.65","59.72","2.86M","1.42%"
"12/09/2022","59.77","59.75","60.38","59.65","2.02M","-0.38%"
"12/08/2022","60.00","59.39","60.04","59.09","2.05M","0.08%"
"12/07/2022","59.95","60.28","60.65","59.78","2.31M","-1.07%"
"12/06/2022","60.60","60.33","60.62","59.55","3.14M","0.55%"
"12/05/2022","60.27","60.45","60.73","59.97","2.91M","-1.07%"
"12/02/2022","60.92","59.69","60.93","59.68","3.76M","0.86%"
"12/01/2022","60.40","61.00","61.69","60.26","2.41M","-0.25%"
"11/30/2022","60.55","58.20","60.82","58.19","10.10M","3.88%"
"11/29/2022","58.29","58.08","58.33","57.51","2.41M","-0.10%"
"11/28/2022","58.35","58.72","59.07","58.06","2.74M","-1.47%"
"11/25/2022","59.22","59.19","59.49","59.04","1.12M","0.36%"
"11/23/2022","59.01","58.29","59.03","58.15","2.17M","1.13%"
"11/22/2022","58.35","58.21","58.74","58.06","2.65M","0.86%"
"11/21/2022","57.85","57.73","58.22","57.52","2.14M","0.28%"
"11/18/2022","57.69","56.60","57.70","56.60","3.49M","3.26%"
"11/17/2022","55.87","56.84","57.12","55.64","3.14M","-3.32%"
"11/16/2022","57.79","57.28","58.49","57.22","3.42M","1.19%"
"11/15/2022","57.11","57.65","57.98","56.48","3.62M","-0.44%"
"11/14/2022","57.36","57.00","57.75","56.06","7.45M","-1.60%"
"11/11/2022","58.29","59.34","59.35","57.67","4.94M","-2.07%"
"11/10/2022","59.52","58.91","59.63","58.11","4.47M","3.93%"
"11/09/2022","57.27","57.56","57.60","56.96","5.13M","-1.00%"
"11/08/2022","57.85","57.47","58.24","57.02","5.50M","0.94%"
"11/07/2022","57.31","57.94","58.26","56.52","3.27M","-1.00%"
"11/04/2022","57.89","57.14","58.03","56.58","3.26M","1.45%"
"11/03/2022","57.06","55.99","57.36","55.65","4.13M","0.79%"
"11/02/2022","56.61","56.33","57.78","56.06","3.69M","0.50%"
"11/01/2022","56.33","56.40","56.64","55.38","3.10M","0.46%"
"10/31/2022","56.07","57.50","57.61","55.13","4.17M","-2.37%"
"10/28/2022","57.43","55.54","57.47","55.39","4.90M","3.50%"
"10/27/2022","55.49","56.00","56.16","55.23","3.48M","-0.14%"
"10/26/2022","55.57","56.54","56.77","55.44","3.60M","-0.91%"
"10/25/2022","56.08","55.48","56.42","55.23","4.31M","1.56%"
"10/24/2022","55.22","55.15","55.73","54.74","4.38M","1.69%"
"10/21/2022","54.30","54.04","54.82","53.29","5.53M","0.99%"
"10/20/2022","53.77","54.48","54.79","53.50","3.44M","-1.88%"
"10/19/2022","54.80","55.00","55.40","54.56","1.93M","-1.60%"
"10/18/2022","55.69","56.05","56.52","55.49","3.18M","0.76%"
"10/17/2022","55.27","54.93","55.99","54.81","2.63M","2.71%"
"10/14/2022","53.81","55.62","55.67","53.54","2.10M","-2.11%"
"10/13/2022","54.97","52.75","55.11","52.51","3.31M","2.79%"
"10/12/2022","53.48","54.93","55.05","53.46","2.77M","-2.99%"
"10/11/2022","55.13","55.07","55.79","54.58","2.08M","-0.51%"
"10/10/2022","55.41","55.52","56.12","55.33","2.21M","0.16%"
"10/07/2022","55.32","56.54","56.84","54.85","2.07M","-2.36%"
"10/06/2022","56.66","58.06","58.30","56.42","2.15M","-3.10%"
"10/05/2022","58.47","58.93","59.00","57.68","1.97M","-2.24%"
"10/04/2022","59.81","58.19","59.84","57.96","2.33M","3.28%"
"10/03/2022","57.91","57.65","58.52","56.56","3.03M","2.99%"
"09/30/2022","56.23","57.30","57.46","56.05","4.78M","-1.21%"
"09/29/2022","56.92","59.49","59.59","56.82","2.77M","-4.94%"
"09/28/2022","59.88","60.49","60.49","59.33","2.50M","0.54%"
"09/27/2022","59.56","61.17","61.33","59.26","2.76M","-2.04%"
"09/26/2022","60.80","62.64","62.86","60.17","2.93M","-3.40%"
"09/23/2022","62.94","63.25","63.61","62.09","1.93M","-1.61%"
"09/22/2022","63.97","64.38","64.40","63.55","1.72M","-0.79%"
"09/21/2022","64.48","65.85","66.32","64.48","1.43M","-1.38%"
"09/20/2022","65.38","66.11","66.15","64.95","1.82M","-1.86%"
"09/19/2022","66.62","66.09","66.67","65.73","1.89M","0.39%"
"09/16/2022","66.36","66.19","66.75","66.19","3.87M","-0.17%"
"09/15/2022","66.47","66.92","66.97","66.24","2.85M","-1.19%"
"09/14/2022","67.27","66.95","68.31","66.93","2.49M","0.64%"
"09/13/2022","66.84","68.61","68.86","66.57","2.83M","-3.38%"
"09/12/2022","69.18","68.06","69.27","67.94","4.44M","1.74%"
"09/09/2022","68.00","68.12","68.35","67.47","3.30M","0.18%"
"09/08/2022","67.88","66.40","67.90","66.18","5.64M","0.97%"
"09/07/2022","67.23","64.15","67.57","63.80","4.74M","5.82%"
"09/06/2022","63.53","64.31","64.60","63.36","2.15M","-0.75%"
"09/02/2022","64.01","64.88","65.69","63.75","2.29M","-1.26%"
"09/01/2022","64.83","64.46","64.85","63.86","2.30M","0.73%"
"08/31/2022","64.36","65.25","65.46","64.31","3.01M","-1.32%"
"08/30/2022","65.22","66.20","66.47","64.96","1.48M","-1.81%"
"08/29/2022","66.42","66.28","67.02","65.85","2.94M","-0.40%"
"08/26/2022","66.69","68.00","68.12","66.56","1.65M","-1.64%"
"08/25/2022","67.80","67.26","67.81","66.91","1.52M","0.83%"
"08/24/2022","67.24","67.41","67.64","66.89","1.77M","-0.21%"
"08/23/2022","67.38","67.82","67.82","67.02","1.84M","-0.69%"
"08/22/2022","67.85","68.95","69.06","67.74","2.18M","-2.23%"
"08/19/2022","69.40","69.59","69.94","69.03","2.66M","0.01%"
"08/18/2022","69.39","69.01","69.52","68.97","2.25M","0.84%"
"08/17/2022","68.81","68.52","69.15","68.43","1.89M","0.03%"
"08/16/2022","68.79","68.60","69.12","68.56","2.33M","-0.06%"
"08/15/2022","68.83","67.60","68.93","67.40","3.41M","1.80%"
"08/12/2022","67.61","67.06","67.66","66.72","2.54M","1.38%"
"08/11/2022","66.69","66.81","67.51","66.56","1.87M","0.15%"
"08/10/2022","66.59","66.50","66.77","66.13","2.27M","0.85%"
"08/09/2022","66.03","65.73","66.10","65.44","2.09M","0.90%"
"08/08/2022","65.44","65.39","65.70","65.08","1.95M","1.08%"
"08/05/2022","64.74","64.82","64.97","63.86","2.50M","0.02%"
"08/04/2022","64.73","65.51","65.70","64.67","1.98M","-0.99%"
"08/03/2022","65.38","65.08","65.76","64.79","2.55M","0.35%"
"08/02/2022","65.15","65.12","65.59","63.50","3.56M","-0.81%"
"08/01/2022","65.68","65.35","65.83","65.15","2.55M","0.02%"
"07/29/2022","65.67","65.27","66.10","65.27","4.39M","0.35%"
"07/28/2022","65.44","64.00","65.54","63.83","3.96M","5.72%"
"07/27/2022","61.90","61.44","62.08","61.15","2.15M","0.73%"
"07/26/2022","61.45","60.48","61.55","60.48","1.82M","1.25%"
"07/25/2022","60.69","60.10","60.74","60.10","1.66M","0.98%"
