"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","169.12","170.96","171.29","167.05","5.31M","-0.50%"
"02/02/2023","169.97","169.46","170.56","168.51","5.62M","-0.93%"
"02/01/2023","171.56","170.88","172.32","169.51","4.10M","0.32%"
"01/31/2023","171.02","170.20","171.07","169.32","4.67M","0.91%"
"01/30/2023","169.48","169.78","171.46","169.14","5.09M","-0.08%"
"01/27/2023","169.62","169.77","170.23","168.58","5.45M","-0.35%"
"01/26/2023","170.22","171.63","171.67","170.04","4.56M","-0.99%"
"01/25/2023","171.93","170.34","171.98","169.34","3.84M","0.73%"
"01/24/2023","170.69","169.61","170.87","168.45","4.12M","0.93%"
"01/23/2023","169.12","170.01","170.76","168.71","5.42M","-0.45%"
"01/20/2023","169.88","168.95","169.89","167.46","5.78M","0.15%"
"01/19/2023","169.63","171.28","172.17","169.48","4.68M","-1.16%"
"01/18/2023","171.62","175.24","175.74","171.33","5.03M","-2.52%"
"01/17/2023","176.06","176.15","177.55","175.49","5.03M","0.47%"
"01/13/2023","175.24","175.40","175.73","174.16","4.72M","-0.31%"
"01/12/2023","175.78","177.66","178.37","175.32","4.24M","-1.27%"
"01/11/2023","178.05","179.39","179.71","175.68","4.37M","0.11%"
"01/10/2023","177.85","178.79","179.53","177.09","3.57M","-0.83%"
"01/09/2023","179.33","180.44","182.77","178.81","3.31M","-0.98%"
"01/06/2023","181.10","178.81","181.83","178.80","3.71M","2.26%"
"01/05/2023","177.10","177.96","178.77","176.86","3.64M","-1.04%"
"01/04/2023","178.97","179.41","180.54","177.55","4.34M","-0.25%"
"01/03/2023","179.41","180.59","180.75","176.57","4.91M","-0.69%"
"12/30/2022","180.66","181.38","181.96","179.29","3.14M","-0.73%"
"12/29/2022","181.98","181.92","182.86","181.89","2.55M","0.13%"
"12/28/2022","181.75","184.10","184.54","181.64","2.67M","-0.72%"
"12/27/2022","183.07","183.28","183.61","182.27","2.89M","0.44%"
"12/23/2022","182.26","180.91","182.55","180.45","2.20M","0.65%"
"12/22/2022","181.09","181.86","182.05","178.92","4.13M","-0.77%"
"12/21/2022","182.50","181.55","183.68","181.40","3.81M","0.70%"
"12/20/2022","181.23","181.82","182.25","180.64","3.25M","-0.06%"
"12/19/2022","181.34","180.86","183.47","180.35","4.26M","0.55%"
"12/16/2022","180.34","180.08","181.19","178.48","15.71M","0.05%"
"12/15/2022","180.25","181.98","182.71","178.39","6.13M","-1.70%"
"12/14/2022","183.36","184.07","185.88","182.13","5.39M","-0.28%"
"12/13/2022","183.87","186.48","186.84","182.94","5.63M","-0.05%"
"12/12/2022","183.97","184.18","184.18","182.35","4.60M","0.48%"
"12/09/2022","183.10","184.21","184.21","183.05","3.12M","-0.37%"
"12/08/2022","183.78","181.81","183.98","181.26","3.80M","0.88%"
"12/07/2022","182.18","181.81","182.45","180.69","4.24M","0.30%"
"12/06/2022","181.63","183.75","184.29","180.70","5.22M","-0.81%"
"12/05/2022","183.12","183.43","183.94","182.32","4.07M","-1.38%"
"12/02/2022","185.69","184.00","186.31","183.84","3.55M","-0.11%"
"12/01/2022","185.90","185.48","186.33","184.15","4.68M","0.21%"
"11/30/2022","185.51","181.90","185.70","180.24","7.92M","1.60%"
"11/29/2022","182.59","183.30","183.42","181.02","4.38M","-0.71%"
"11/28/2022","183.89","184.40","185.49","183.51","6.41M","-0.12%"
"11/25/2022","184.11","184.58","185.00","183.94","1.84M","-0.52%"
"11/23/2022","185.08","185.00","186.08","184.50","2.51M","0.13%"
"11/22/2022","184.84","185.81","186.62","184.37","4.11M","0.01%"
"11/21/2022","184.82","182.27","185.13","182.09","4.40M","1.92%"
"11/18/2022","181.33","180.21","181.84","180.02","4.50M","0.72%"
"11/17/2022","180.03","177.49","180.16","177.43","3.92M","0.95%"
"11/16/2022","178.33","178.30","179.63","177.72","4.70M","0.64%"
"11/15/2022","177.19","178.04","178.70","175.42","5.15M","0.26%"
"11/14/2022","176.73","178.67","179.18","176.50","5.63M","-0.74%"
"11/11/2022","178.05","181.13","181.69","175.44","7.39M","-2.01%"
"11/10/2022","181.70","182.65","182.92","178.56","6.70M","1.76%"
"11/09/2022","178.55","179.95","181.07","178.40","4.72M","-1.20%"
"11/08/2022","180.71","180.44","182.11","178.80","3.72M","0.28%"
"11/07/2022","180.21","179.52","180.62","178.83","3.25M","0.80%"
"11/04/2022","178.78","177.92","179.79","176.53","3.92M","0.56%"
"11/03/2022","177.78","176.78","178.90","176.53","3.75M","-0.26%"
"11/02/2022","178.24","180.78","183.58","178.17","4.97M","-1.39%"
"11/01/2022","180.76","180.94","182.81","179.89","4.08M","-0.45%"
"10/31/2022","181.58","181.18","182.98","180.54","4.88M","-0.36%"
"10/28/2022","182.23","179.70","182.93","179.48","6.72M","1.87%"
"10/27/2022","178.88","180.37","180.93","178.57","5.42M","-0.11%"
"10/26/2022","179.07","179.26","180.90","178.32","5.14M","0.45%"
"10/25/2022","178.27","178.12","178.87","176.61","5.22M","0.33%"
"10/24/2022","177.68","174.81","177.98","174.67","5.32M","2.67%"
"10/21/2022","173.06","171.20","173.68","170.58","5.07M","0.93%"
"10/20/2022","171.46","174.20","174.36","171.11","4.31M","-1.10%"
"10/19/2022","173.36","174.82","175.84","172.33","5.20M","-0.97%"
"10/18/2022","175.06","174.82","176.91","173.41","4.55M","1.35%"
"10/17/2022","172.73","172.27","173.59","171.07","6.40M","1.49%"
"10/14/2022","170.19","175.98","176.26","169.99","5.94M","-2.53%"
"10/13/2022","174.61","167.10","175.04","166.82","8.41M","3.08%"
"10/12/2022","169.39","168.73","170.70","166.60","9.80M","4.18%"
"10/11/2022","162.59","162.24","164.27","161.56","5.22M","0.48%"
"10/10/2022","161.82","161.99","163.04","161.19","4.84M","0.13%"
"10/07/2022","161.61","162.30","163.01","160.98","4.78M","-0.73%"
"10/06/2022","162.80","165.79","166.02","162.49","4.62M","-1.93%"
"10/05/2022","166.00","166.97","167.09","163.73","3.54M","-0.66%"
"10/04/2022","167.11","167.39","168.73","165.55","4.60M","1.13%"
"10/03/2022","165.25","163.52","165.69","163.02","5.09M","1.22%"
"09/30/2022","163.26","167.69","168.24","163.01","5.97M","-2.01%"
"09/29/2022","166.61","168.80","169.14","165.00","5.17M","-1.22%"
"09/28/2022","168.67","166.91","169.62","165.24","5.48M","1.60%"
"09/27/2022","166.01","168.24","170.00","165.24","5.40M","-1.45%"
"09/26/2022","168.45","168.33","170.01","167.53","5.33M","-0.04%"
"09/23/2022","168.52","168.39","168.75","166.53","4.57M","-0.05%"
"09/22/2022","168.60","168.40","169.89","168.05","4.29M","0.09%"
"09/21/2022","168.44","169.88","172.03","168.34","5.13M","-0.28%"
"09/20/2022","168.92","167.58","169.15","166.86","3.87M","0.11%"
"09/19/2022","168.73","167.06","168.81","166.50","3.72M","1.05%"
"09/16/2022","166.97","166.36","167.17","165.25","12.01M","0.66%"
"09/15/2022","165.88","168.53","168.56","165.34","5.46M","-1.66%"
"09/14/2022","168.68","168.12","169.19","167.57","5.16M","0.76%"
"09/13/2022","167.41","172.50","172.83","166.95","6.93M","-3.73%"
"09/12/2022","173.90","173.22","174.44","172.75","5.95M","0.39%"
"09/09/2022","173.22","172.65","174.55","171.67","3.66M","0.32%"
"09/08/2022","172.67","172.78","173.43","170.56","3.89M","-0.33%"
"09/07/2022","173.25","170.62","173.77","169.93","6.07M","2.21%"
"09/06/2022","169.51","170.98","172.59","169.13","4.90M","-0.67%"
"09/02/2022","170.66","173.72","174.97","169.89","5.80M","-1.27%"
"09/01/2022","172.85","170.92","172.98","170.24","4.85M","0.34%"
"08/31/2022","172.27","173.81","174.41","172.20","5.60M","-0.42%"
"08/30/2022","172.99","174.34","174.68","172.33","4.03M","-0.86%"
"08/29/2022","174.49","174.55","175.29","173.21","4.18M","-0.31%"
"08/26/2022","175.04","179.96","179.98","174.67","5.25M","-2.36%"
"08/25/2022","179.27","179.03","179.35","177.39","3.40M","0.01%"
"08/24/2022","179.26","178.37","179.50","178.11","3.34M","0.50%"
"08/23/2022","178.37","177.82","178.86","177.29","2.57M","-0.04%"
"08/22/2022","178.45","180.13","180.47","178.02","3.38M","-0.95%"
"08/19/2022","180.17","179.76","181.01","179.32","3.70M","-0.13%"
"08/18/2022","180.40","180.82","180.93","179.94","3.01M","0.10%"
"08/17/2022","180.22","180.10","181.07","179.72","2.67M","-0.06%"
"08/16/2022","180.32","179.78","180.70","178.64","3.40M","0.58%"
"08/15/2022","179.28","177.77","179.36","176.80","3.04M","1.10%"
"08/12/2022","177.33","175.93","177.38","175.38","3.76M","1.31%"
"08/11/2022","175.04","176.36","177.12","174.67","2.74M","-0.51%"
"08/10/2022","175.94","175.81","176.43","174.72","4.04M","0.83%"
"08/09/2022","174.50","174.79","175.23","173.96","3.23M","0.37%"
"08/08/2022","173.85","175.79","175.97","173.32","2.85M","-0.40%"
"08/05/2022","174.55","174.39","174.70","172.40","3.30M","-0.75%"
"08/04/2022","175.87","176.42","176.74","174.57","3.82M","-0.54%"
"08/03/2022","176.83","175.08","177.06","174.24","4.40M","0.76%"
"08/02/2022","175.49","176.94","177.15","175.22","3.78M","-0.83%"
"08/01/2022","176.95","174.55","177.69","174.55","4.03M","1.14%"
"07/29/2022","174.96","173.66","175.48","173.39","4.22M","0.07%"
"07/28/2022","174.84","171.87","175.12","171.19","3.13M","1.89%"
"07/27/2022","171.59","170.49","171.95","169.06","4.48M","-0.14%"
"07/26/2022","171.83","170.57","171.99","169.24","3.73M","1.17%"
"07/25/2022","169.85","170.31","170.86","169.04","3.36M","0.14%"
"07/22/2022","169.61","169.14","170.57","168.49","3.76M","0.65%"
"07/21/2022","168.51","167.99","169.41","167.56","3.09M","0.15%"
"07/20/2022","168.26","170.05","170.57","167.46","3.46M","-1.06%"
"07/19/2022","170.06","170.25","170.75","168.63","4.20M","1.07%"
"07/18/2022","168.26","171.15","171.24","167.85","3.48M","-1.67%"
"07/15/2022","171.12","171.34","172.92","170.02","4.66M","0.08%"
"07/14/2022","170.98","168.29","171.16","167.70","4.22M","0.52%"
"07/13/2022","170.10","168.54","171.44","167.98","4.53M","0.35%"
"07/12/2022","169.50","173.00","173.32","168.87","5.20M","-0.57%"
"07/11/2022","170.47","171.41","172.80","170.02","4.93M","-0.82%"
"07/08/2022","171.88","170.57","172.70","170.55","3.48M","0.89%"
"07/07/2022","170.36","169.52","171.04","169.38","5.15M","-0.20%"
"07/06/2022","170.70","170.00","171.95","169.48","4.21M","1.00%"
"07/05/2022","169.01","168.63","169.39","165.33","4.97M","-0.22%"
"07/01/2022","169.39","166.74","169.52","165.76","3.92M","1.64%"
"06/30/2022","166.66","167.13","167.58","165.63","6.30M","-0.04%"
"06/29/2022","166.73","166.06","167.56","165.35","3.65M","1.66%"
"06/28/2022","164.01","167.15","168.45","163.85","4.39M","-1.41%"
"06/27/2022","166.35","165.87","167.13","165.34","4.60M","0.13%"
"06/24/2022","166.13","165.64","166.19","163.94","5.95M","1.24%"
"06/23/2022","164.10","163.78","165.14","163.15","5.81M","1.28%"
"06/22/2022","162.03","160.33","162.99","159.56","4.71M","0.82%"
"06/21/2022","160.71","158.17","160.96","157.35","4.45M","2.32%"
"06/17/2022","157.06","157.03","158.99","156.16","9.88M","0.02%"
"06/16/2022","157.03","156.63","158.46","155.11","7.21M","-0.48%"
"06/15/2022","157.79","157.92","159.84","155.93","5.94M","1.07%"
"06/14/2022","156.12","160.00","160.05","154.86","6.16M","-2.27%"
"06/13/2022","159.74","160.53","162.87","159.06","6.30M","-1.71%"
"06/10/2022","162.52","160.97","163.92","159.45","5.20M","-0.16%"
"06/09/2022","162.78","165.19","166.93","162.67","3.52M","-1.78%"
"06/08/2022","165.73","165.74","166.81","165.11","2.65M","-0.50%"
"06/07/2022","166.56","165.68","166.86","164.22","4.17M","0.62%"
"06/06/2022","165.54","166.46","167.62","164.73","3.45M","0.42%"
"06/03/2022","164.85","165.86","166.59","164.36","4.22M","-1.10%"
"06/02/2022","166.68","165.62","166.75","162.65","4.68M","0.11%"
"06/01/2022","166.49","168.18","168.38","163.82","5.61M","-0.75%"
"05/31/2022","167.75","170.98","170.98","165.37","13.61M","-2.34%"
"05/27/2022","171.77","171.26","171.81","170.20","6.71M","0.98%"
