"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","92.31","92.30","93.44","91.73","1.49M","-0.60%"
"02/02/2023","92.87","92.51","93.11","90.81","2.11M","0.86%"
"02/01/2023","92.08","92.64","93.18","90.07","1.99M","-0.51%"
"01/31/2023","92.55","92.20","92.95","87.04","4.97M","-0.90%"
"01/30/2023","93.39","92.46","93.73","92.37","2.45M","0.37%"
"01/27/2023","93.05","91.98","93.36","91.94","1.87M","0.86%"
"01/26/2023","92.26","91.05","92.28","90.62","1.37M","1.73%"
"01/25/2023","90.69","88.92","90.76","88.70","1.06M","1.02%"
"01/24/2023","89.77","89.18","90.07","88.04","827.23K","0.48%"
"01/23/2023","89.34","88.02","89.74","88.02","876.33K","1.57%"
"01/20/2023","87.96","87.34","88.13","86.68","1.45M","1.21%"
"01/19/2023","86.91","86.33","87.58","85.97","1.73M","-0.57%"
"01/18/2023","87.41","89.69","89.94","87.31","1.24M","-2.16%"
"01/17/2023","89.34","89.53","89.92","88.50","1.12M","0.02%"
"01/13/2023","89.32","87.71","89.64","87.07","1.06M","1.09%"
"01/12/2023","88.36","89.35","89.54","88.21","1.25M","-1.00%"
"01/11/2023","89.25","88.20","90.74","88.11","2.15M","1.86%"
"01/10/2023","87.62","86.89","87.73","86.20","1.05M","0.86%"
"01/09/2023","86.87","87.56","88.21","86.48","1.75M","-0.67%"
"01/06/2023","87.46","85.24","87.63","84.78","1.59M","3.64%"
"01/05/2023","84.39","84.79","84.95","84.00","1.85M","-0.73%"
"01/04/2023","85.01","84.27","85.14","84.18","1.66M","1.48%"
"01/03/2023","83.77","84.25","85.00","83.29","1.74M","-0.18%"
"12/30/2022","83.92","84.73","85.17","83.29","1.06M","-1.86%"
"12/29/2022","85.51","84.73","85.84","84.52","752.47K","1.32%"
"12/28/2022","84.40","85.22","85.47","84.35","1.03M","-0.80%"
"12/27/2022","85.08","85.88","86.41","84.82","947.03K","-0.56%"
"12/23/2022","85.56","84.97","85.70","84.83","688.47K","0.56%"
"12/22/2022","85.08","85.53","85.78","83.97","1.06M","-1.32%"
"12/21/2022","86.22","85.87","86.94","85.69","1.03M","1.61%"
"12/20/2022","84.85","84.46","85.56","84.38","1.33M","0.64%"
"12/19/2022","84.31","84.96","85.86","83.68","1.58M","-0.72%"
"12/16/2022","84.92","84.35","85.40","83.51","5.56M","-1.37%"
"12/15/2022","86.10","87.10","87.11","85.62","1.53M","-2.35%"
"12/14/2022","88.17","89.80","90.37","87.86","1.63M","-1.87%"
"12/13/2022","89.85","92.01","92.40","89.63","1.48M","-0.47%"
"12/12/2022","90.27","88.47","90.47","87.30","1.24M","2.50%"
"12/09/2022","88.07","89.12","89.65","87.94","1.43M","-1.17%"
"12/08/2022","89.11","89.54","90.85","88.72","1.84M","-1.25%"
"12/07/2022","90.24","89.55","91.69","88.80","1.41M","0.50%"
"12/06/2022","89.79","90.20","90.89","88.82","1.43M","-0.14%"
"12/05/2022","89.92","91.28","91.38","88.60","1.60M","-2.45%"
"12/02/2022","92.18","89.88","92.31","89.88","1.46M","1.39%"
"12/01/2022","90.92","90.46","91.53","89.57","1.84M","1.38%"
"11/30/2022","89.68","88.56","90.15","87.64","4.84M","-0.18%"
"11/29/2022","89.84","89.73","90.42","89.23","1.49M","0.34%"
"11/28/2022","89.54","91.54","92.49","89.47","1.36M","-3.17%"
"11/25/2022","92.47","91.99","92.49","91.64","626.03K","0.75%"
"11/23/2022","91.78","91.13","91.95","90.75","729.89K","0.08%"
"11/22/2022","91.71","91.66","92.22","91.37","999.95K","0.77%"
"11/21/2022","91.01","90.79","91.31","89.72","1.19M","0.12%"
"11/18/2022","90.90","90.87","91.55","89.63","1.60M","1.21%"
"11/17/2022","89.81","88.83","90.42","88.50","2.29M","-3.34%"
"11/16/2022","92.91","93.34","93.95","92.36","1.65M","-0.45%"
"11/15/2022","93.33","94.27","95.20","92.64","1.44M","-0.44%"
"11/14/2022","93.74","94.30","95.40","93.70","1.61M","-1.33%"
"11/11/2022","95.00","94.58","96.17","93.70","1.97M","1.47%"
"11/10/2022","93.62","91.91","93.82","90.75","1.77M","4.64%"
"11/09/2022","89.47","89.61","91.11","89.25","1.02M","-1.30%"
"11/08/2022","90.65","89.93","91.02","89.20","1.34M","0.69%"
"11/07/2022","90.03","90.00","90.39","88.95","1.27M","0.17%"
"11/04/2022","89.88","87.89","89.90","87.26","1.62M","3.90%"
"11/03/2022","86.51","85.54","87.28","85.19","1.36M","-0.32%"
"11/02/2022","86.79","88.06","89.27","86.48","2.12M","-1.73%"
"11/01/2022","88.32","87.46","89.18","87.46","1.60M","0.22%"
"10/31/2022","88.13","86.50","88.52","86.43","2.49M","0.14%"
"10/28/2022","88.01","83.00","88.31","82.81","3.59M","7.54%"
"10/27/2022","81.84","81.48","82.65","81.36","1.74M","1.19%"
"10/26/2022","80.88","80.54","81.28","80.33","1.78M","0.92%"
"10/25/2022","80.14","79.38","80.36","79.33","2.18M","0.14%"
"10/24/2022","80.03","78.91","80.39","78.80","1.86M","1.51%"
"10/21/2022","78.84","77.45","79.09","76.55","6.28M","1.65%"
"10/20/2022","77.56","78.48","79.60","77.51","1.77M","-1.54%"
