"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","142.61","142.78","143.38","141.17","5.99M","0.31%"
"02/02/2023","142.17","142.17","142.71","141.21","6.44M","-0.71%"
"02/01/2023","143.19","142.08","144.10","141.35","7.20M","0.57%"
"01/31/2023","142.38","141.23","142.47","140.76","9.37M","0.97%"
"01/30/2023","141.01","140.96","142.12","140.28","6.30M","0.31%"
"01/27/2023","140.57","141.07","141.36","139.29","6.87M","-0.41%"
"01/26/2023","141.15","141.73","141.74","140.74","5.39M","-0.40%"
"01/25/2023","141.72","140.39","141.75","138.73","6.89M","-0.07%"
"01/24/2023","141.82","140.69","142.38","139.81","6.77M","0.55%"
"01/23/2023","141.05","143.36","143.70","140.69","7.44M","-1.34%"
"01/20/2023","142.97","142.32","143.15","140.15","8.60M","0.39%"
"01/19/2023","142.42","143.31","146.22","142.24","12.36M","-2.73%"
"01/18/2023","146.41","149.66","149.93","146.04","10.43M","-2.68%"
"01/17/2023","150.44","150.79","152.13","150.40","9.05M","-0.29%"
"01/13/2023","150.88","149.61","151.05","149.42","5.54M","0.71%"
"01/12/2023","149.81","151.70","151.73","149.52","7.47M","-0.56%"
"01/11/2023","150.66","152.32","152.56","149.35","8.68M","-0.81%"
"01/10/2023","151.89","152.10","152.70","150.94","4.71M","-0.10%"
"01/09/2023","152.04","153.44","154.80","152.00","5.61M","-1.22%"
"01/06/2023","153.92","151.85","154.46","151.75","7.88M","2.38%"
"01/05/2023","150.34","152.21","152.48","150.13","5.20M","-1.24%"
"01/04/2023","152.23","151.99","153.39","151.23","7.29M","0.44%"
"01/03/2023","151.57","150.95","151.71","149.12","6.36M","0.01%"
"12/30/2022","151.56","152.43","152.68","150.44","4.53M","-0.68%"
"12/29/2022","152.59","152.81","153.24","152.14","3.80M","0.41%"
"12/28/2022","151.96","154.27","154.65","151.90","4.16M","-1.29%"
"12/27/2022","153.95","152.70","154.32","152.66","4.04M","0.87%"
"12/23/2022","152.62","152.31","152.92","151.67","3.40M","0.28%"
"12/22/2022","152.19","151.13","152.41","150.88","5.90M","0.23%"
"12/21/2022","151.84","150.75","152.63","150.72","5.00M","0.92%"
"12/20/2022","150.46","149.32","150.90","149.27","5.43M","0.04%"
"12/19/2022","150.40","150.22","151.38","149.24","5.80M","-0.03%"
"12/16/2022","150.44","150.36","151.07","149.02","19.97M","-0.44%"
"12/15/2022","151.11","151.72","152.00","149.74","6.97M","-1.13%"
"12/14/2022","152.84","152.79","154.44","152.17","7.39M","0.39%"
"12/13/2022","152.24","153.41","154.23","150.79","7.66M","-0.15%"
"12/12/2022","152.47","151.22","152.56","151.04","5.97M","1.03%"
"12/09/2022","150.92","150.70","151.95","150.22","5.87M","-0.26%"
"12/08/2022","151.32","149.46","151.38","149.01","5.18M","0.72%"
"12/07/2022","150.24","149.01","150.43","149.01","6.17M","0.64%"
"12/06/2022","149.28","149.72","150.08","148.27","6.85M","0.13%"
"12/05/2022","149.09","148.71","149.67","148.27","5.39M","-1.01%"
"12/02/2022","150.61","148.47","150.77","148.08","4.94M","0.91%"
"12/01/2022","149.25","149.53","150.36","148.57","6.93M","0.06%"
"11/30/2022","149.16","145.65","149.16","145.13","12.40M","2.53%"
"11/29/2022","145.48","145.75","146.06","144.53","5.63M","-0.76%"
"11/28/2022","146.60","146.39","147.34","146.14","6.63M","-0.08%"
"11/25/2022","146.72","146.79","147.20","146.40","2.41M","0.18%"
"11/23/2022","146.45","145.90","146.63","145.57","4.30M","0.57%"
"11/22/2022","145.62","145.43","145.79","144.84","5.37M","0.86%"
"11/21/2022","144.38","143.06","145.19","142.83","6.38M","1.27%"
"11/18/2022","142.57","141.92","142.76","141.27","5.67M","1.21%"
"11/17/2022","140.87","141.11","141.69","139.86","5.19M","-0.61%"
"11/16/2022","141.74","141.50","142.91","140.98","6.19M","0.89%"
