"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","350.00","336.77","350.36","336.17","2.10M","3.69%"
"02/02/2023","337.55","340.00","344.92","335.21","1.71M","2.70%"
"02/01/2023","328.69","323.74","332.81","322.86","1.19M","0.83%"
"01/31/2023","326.00","319.51","326.25","315.34","1.06M","2.74%"
"01/30/2023","317.30","317.67","321.69","316.83","784.58K","-0.78%"
"01/27/2023","319.80","313.15","321.64","312.06","835.28K","1.71%"
"01/26/2023","314.41","311.69","314.67","307.83","568.98K","1.36%"
"01/25/2023","310.20","307.66","310.31","304.48","447.43K","-0.80%"
"01/24/2023","312.69","312.01","316.45","306.72","676.34K","0.31%"
"01/23/2023","311.71","305.64","312.15","304.94","994.01K","2.09%"
"01/20/2023","305.32","299.30","306.24","297.49","864.70K","2.52%"
"01/19/2023","297.81","305.48","305.61","297.12","816.90K","-3.25%"
"01/18/2023","307.81","315.70","317.54","307.45","863.18K","-2.19%"
"01/17/2023","314.71","317.54","319.00","314.64","687.52K","-0.88%"
"01/13/2023","317.49","313.51","318.83","312.03","567.48K","0.73%"
"01/12/2023","315.18","313.56","317.00","311.16","711.51K","1.24%"
"01/11/2023","311.32","313.95","313.95","307.74","849.20K","0.26%"
"01/10/2023","310.50","309.44","311.18","307.48","926.16K","0.32%"
"01/09/2023","309.52","309.55","312.64","308.84","878.11K","0.31%"
"01/06/2023","308.55","302.84","310.50","302.84","1.14M","3.51%"
"01/05/2023","298.10","296.18","298.82","293.66","722.35K","0.41%"
"01/04/2023","296.89","294.68","296.90","291.62","743.66K","1.76%"
"01/03/2023","291.76","293.00","293.88","288.61","636.89K","0.26%"
"12/30/2022","291.00","290.79","291.79","287.49","324.10K","-0.34%"
"12/29/2022","292.00","289.56","293.49","287.59","542.51K","1.79%"
"12/28/2022","286.87","293.00","294.25","286.79","313.35K","-1.95%"
"12/27/2022","292.57","292.01","295.20","289.61","378.22K","0.55%"
"12/23/2022","290.96","289.87","291.18","288.47","325.21K","0.15%"
"12/22/2022","290.52","289.22","290.89","284.15","623.74K","-0.59%"
"12/21/2022","292.24","289.59","292.81","288.45","569.40K","1.96%"
"12/20/2022","286.62","282.43","288.15","281.19","554.42K","1.39%"
"12/19/2022","282.70","285.77","288.59","281.89","675.04K","-1.07%"
"12/16/2022","285.75","286.26","289.52","284.54","1.20M","-1.34%"
"12/15/2022","289.63","292.76","292.90","288.81","740.82K","-2.48%"
"12/14/2022","296.99","298.50","304.28","294.94","697.02K","-0.44%"
"12/13/2022","298.29","304.59","304.59","296.20","1.05M","0.83%"
"12/12/2022","295.84","290.23","296.26","288.42","750.88K","2.21%"
"12/09/2022","289.44","291.91","294.31","289.10","504.75K","-0.91%"
"12/08/2022","292.11","294.00","295.23","290.94","506.92K","0.02%"
"12/07/2022","292.06","288.99","292.25","288.99","684.88K","0.68%"
"12/06/2022","290.09","292.64","294.77","287.10","689.17K","-0.95%"
"12/05/2022","292.87","293.10","294.21","290.20","658.58K","-1.52%"
"12/02/2022","297.38","293.14","297.55","292.25","893.70K","-0.05%"
"12/01/2022","297.52","301.09","302.05","296.25","1.03M","-0.48%"
"11/30/2022","298.94","294.13","299.04","288.69","1.66M","1.58%"
"11/29/2022","294.29","295.17","299.07","292.66","1.12M","-0.26%"
"11/28/2022","295.07","303.00","304.43","293.79","1.35M","-3.58%"
"11/25/2022","306.03","307.73","308.35","305.76","344.40K","-0.10%"
"11/23/2022","306.35","310.15","310.61","305.35","801.49K","-0.98%"
"11/22/2022","309.39","309.51","311.58","306.82","677.73K","0.64%"
"11/21/2022","307.41","304.02","308.70","304.02","508.92K","0.58%"
"11/18/2022","305.63","307.78","307.78","302.52","732.36K","0.49%"
"11/17/2022","304.14","304.25","305.14","295.48","866.85K","-1.69%"
"11/16/2022","309.37","310.04","310.69","306.40","668.17K","-0.54%"
"11/15/2022","311.06","311.86","313.24","307.50","1.16M","1.34%"
"11/14/2022","306.96","306.63","312.81","305.67","828.22K","-0.52%"
"11/11/2022","308.57","305.32","309.80","302.20","819.23K","1.73%"
"11/10/2022","303.32","300.67","304.63","297.93","1.14M","4.87%"
"11/09/2022","289.23","295.93","296.42","288.22","1.04M","-3.35%"
"11/08/2022","299.25","302.76","303.43","295.65","604.91K","-0.46%"
"11/07/2022","300.64","300.12","301.29","298.13","1.02M","0.59%"
"11/04/2022","298.88","292.41","300.06","287.30","1.58M","4.44%"
"11/03/2022","286.17","283.55","293.72","278.76","1.81M","0.92%"
"11/02/2022","283.55","286.29","295.12","283.25","1.12M","-1.87%"
"11/01/2022","288.94","293.23","293.65","287.71","856.18K","-0.58%"
"10/31/2022","290.62","288.76","292.95","287.90","991.46K","-0.35%"
"10/28/2022","291.65","285.15","292.33","282.92","939.81K","2.85%"
"10/27/2022","283.58","281.66","287.23","280.66","817.80K","1.68%"
"10/26/2022","278.90","284.10","284.29","276.71","1.09M","-1.05%"
"10/25/2022","281.86","276.52","282.61","275.48","1.03M","1.72%"
"10/24/2022","277.09","271.60","278.47","271.00","916.92K","2.86%"
"10/21/2022","269.39","261.02","271.26","258.89","1.91M","3.65%"
"10/20/2022","259.91","266.60","268.82","258.93","861.35K","-2.13%"
"10/19/2022","265.58","266.33","268.17","262.22","662.52K","-0.47%"
"10/18/2022","266.83","269.27","270.52","263.25","904.30K","1.85%"
"10/17/2022","261.98","264.72","267.30","259.54","905.96K","3.04%"
"10/14/2022","254.24","260.16","261.98","252.55","746.01K","-1.90%"
"10/13/2022","259.16","247.82","260.67","244.85","1.36M","2.37%"
"10/12/2022","253.17","255.95","256.40","252.45","697.04K","-0.72%"
"10/11/2022","255.00","250.60","258.87","250.10","822.19K","0.84%"
"10/10/2022","252.87","256.78","256.86","250.84","711.21K","-0.52%"
"10/07/2022","254.19","257.87","258.76","252.40","613.04K","-2.58%"
"10/06/2022","260.93","263.43","265.49","260.72","774.68K","-0.86%"
"10/05/2022","263.19","258.49","264.87","256.48","983.30K","0.06%"
