"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","58.80","58.74","59.78","58.26","2.77M","-2.44%"
"02/02/2023","60.27","59.12","60.89","58.97","3.65M","3.13%"
"02/01/2023","58.44","56.79","58.65","56.07","5.28M","2.72%"
"01/31/2023","56.89","56.20","56.98","55.07","7.90M","9.42%"
"01/30/2023","51.99","52.16","53.02","51.93","2.97M","-1.20%"
"01/27/2023","52.62","52.19","53.19","51.98","2.23M","0.48%"
"01/26/2023","52.37","52.27","52.83","51.38","1.80M","0.75%"
"01/25/2023","51.98","51.12","52.19","51.04","1.64M","0.70%"
"01/24/2023","51.62","51.65","52.00","50.80","1.70M","1.10%"
"01/23/2023","51.06","50.53","51.45","50.42","1.51M","0.69%"
"01/20/2023","50.71","50.42","50.75","49.47","1.95M","1.06%"
"01/19/2023","50.18","50.94","51.06","49.89","1.97M","-1.55%"
"01/18/2023","50.97","51.30","52.28","50.88","2.47M","-0.20%"
"01/17/2023","51.07","50.81","51.37","50.56","2.60M","0.65%"
"01/13/2023","50.74","49.36","50.93","49.27","2.09M","0.85%"
"01/12/2023","50.31","49.99","50.51","49.12","2.05M","0.96%"
"01/11/2023","49.83","49.00","49.92","48.85","1.85M","2.89%"
"01/10/2023","48.43","47.73","48.51","47.41","1.29M","0.62%"
"01/09/2023","48.13","48.55","49.10","48.08","1.51M","-0.37%"
"01/06/2023","48.31","48.02","48.53","47.82","1.95M","1.34%"
"01/05/2023","47.67","46.79","47.93","46.60","2.04M","0.55%"
"01/04/2023","47.41","46.88","47.66","46.52","2.42M","2.62%"
"01/03/2023","46.20","46.40","46.49","45.53","1.50M","1.47%"
"12/30/2022","45.53","45.27","45.76","45.11","1.32M","-0.63%"
"12/29/2022","45.82","45.04","46.15","44.59","930.53K","2.07%"
"12/28/2022","44.89","45.94","46.03","44.80","1.22M","-2.14%"
"12/27/2022","45.87","45.60","46.04","45.34","1.09M","0.17%"
"12/23/2022","45.79","45.71","46.05","45.34","963.85K","-0.52%"
"12/22/2022","46.03","45.14","46.05","44.89","1.21M","0.59%"
"12/21/2022","45.76","45.52","46.08","45.34","1.39M","2.19%"
"12/20/2022","44.78","44.72","45.23","44.40","1.62M","-0.67%"
"12/19/2022","45.08","45.88","46.19","44.99","2.10M","-2.63%"
"12/16/2022","46.30","46.11","46.62","45.78","4.34M","-1.59%"
"12/15/2022","47.05","45.13","47.37","44.90","4.06M","1.55%"
"12/14/2022","46.33","46.21","46.83","45.51","2.77M","1.18%"
"12/13/2022","45.79","47.16","47.61","45.44","2.75M","2.16%"
"12/12/2022","44.82","44.06","45.02","43.80","1.94M","2.05%"
"12/09/2022","43.92","43.83","44.47","43.62","1.16M","-1.10%"
"12/08/2022","44.41","44.36","45.01","44.08","1.47M","-0.43%"
"12/07/2022","44.60","43.69","44.85","43.55","1.55M","2.81%"
"12/06/2022","43.38","43.89","44.05","42.78","2.17M","-0.75%"
"12/05/2022","43.71","43.68","44.13","43.45","1.37M","-1.97%"
"12/02/2022","44.59","44.21","45.09","44.04","1.47M","-1.24%"
"12/01/2022","45.15","45.36","46.13","44.82","2.29M","0.83%"
"11/30/2022","44.78","43.85","44.85","42.80","6.00M","1.56%"
"11/29/2022","44.09","43.48","44.31","43.40","1.92M","0.62%"
"11/28/2022","43.82","44.02","44.39","43.62","1.91M","-1.57%"
"11/25/2022","44.52","44.27","44.58","44.20","987.98K","-0.40%"
"11/23/2022","44.70","43.73","44.79","43.32","1.81M","2.22%"
"11/22/2022","43.73","43.11","43.75","43.00","1.54M","3.11%"
"11/21/2022","42.41","42.82","42.84","42.05","1.60M","-1.03%"
"11/18/2022","42.85","43.56","43.65","42.19","1.44M","0.02%"
"11/17/2022","42.84","42.55","42.90","41.72","1.92M","-1.97%"
"11/16/2022","43.70","43.34","43.79","43.06","2.26M","0.18%"
"11/15/2022","43.62","43.58","44.30","42.70","2.42M","2.61%"
"11/14/2022","42.51","44.20","44.35","42.49","2.56M","-4.19%"
"11/11/2022","44.37","43.82","44.87","43.48","2.79M","1.35%"
"11/10/2022","43.78","41.08","44.22","41.03","4.70M","13.48%"
"11/09/2022","38.58","38.60","40.22","38.31","2.83M","-0.87%"
"11/08/2022","38.92","38.92","39.40","38.21","2.99M","0.52%"
"11/07/2022","38.72","38.51","38.77","37.63","2.05M","1.20%"
"11/04/2022","38.26","37.90","38.62","37.33","2.19M","2.79%"
"11/03/2022","37.22","37.82","38.08","37.06","2.75M","-3.67%"
"11/02/2022","38.64","39.62","40.62","38.62","2.58M","-2.91%"
"11/01/2022","39.80","40.91","41.04","39.44","2.86M","-0.48%"
"10/31/2022","39.99","39.81","40.12","39.05","2.74M","-0.84%"
"10/28/2022","40.33","38.97","40.45","38.79","2.04M","2.80%"
"10/27/2022","39.23","38.98","40.24","38.51","3.23M","0.90%"
"10/26/2022","38.88","39.10","39.91","38.79","3.13M","-1.69%"
"10/25/2022","39.55","37.96","40.51","37.78","5.78M","4.19%"
