"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","144.42","144.51","146.24","144.38","857.92K","-0.46%"
"02/02/2023","145.09","142.19","145.44","141.30","895.62K","2.07%"
"02/01/2023","142.15","140.37","143.10","139.44","889.43K","-0.39%"
"01/31/2023","142.70","140.20","142.70","137.79","3.18M","2.89%"
"01/30/2023","138.69","137.73","140.96","137.73","760.88K","0.20%"
"01/27/2023","138.41","138.62","140.31","137.05","706.45K","-0.15%"
"01/26/2023","138.62","127.50","138.82","127.50","1.25M","7.33%"
"01/25/2023","129.15","129.37","130.07","127.13","877.82K","-0.68%"
"01/24/2023","130.03","130.66","131.21","128.86","671.09K","-1.53%"
"01/23/2023","132.05","132.51","133.96","131.34","673.41K","-0.32%"
"01/20/2023","132.48","130.36","132.74","129.29","491.77K","2.09%"
"01/19/2023","129.77","130.49","130.49","128.29","718.48K","-0.87%"
"01/18/2023","130.91","134.17","134.20","130.88","529.83K","-1.94%"
"01/17/2023","133.50","135.47","136.05","133.21","594.02K","-1.40%"
"01/13/2023","135.40","135.26","135.52","134.12","568.92K","-0.42%"
"01/12/2023","135.97","134.59","136.11","133.21","509.08K","1.79%"
"01/11/2023","133.58","133.29","134.06","132.63","461.66K","0.64%"
"01/10/2023","132.73","132.74","133.10","131.29","466.46K","0.19%"
"01/09/2023","132.48","134.27","135.48","132.18","804.49K","0.22%"
"01/06/2023","132.19","131.42","132.78","131.05","514.05K","1.78%"
"01/05/2023","129.88","129.62","130.34","127.86","577.14K","-0.70%"
"01/04/2023","130.80","130.29","131.76","129.84","597.41K","1.35%"
"01/03/2023","129.06","128.34","129.66","127.32","474.00K","0.90%"
"12/30/2022","127.91","127.41","128.69","127.06","367.59K","-0.56%"
"12/29/2022","128.63","128.19","129.42","128.01","286.56K","1.28%"
"12/28/2022","127.01","129.69","130.60","127.00","257.21K","-1.97%"
"12/27/2022","129.56","128.63","130.71","128.43","312.67K","0.67%"
"12/23/2022","128.70","127.47","128.99","126.93","302.61K","1.01%"
"12/22/2022","127.41","127.35","127.76","124.83","647.66K","-0.79%"
"12/21/2022","128.43","128.74","129.26","128.04","448.41K","0.42%"
"12/20/2022","127.89","128.97","129.55","127.44","403.68K","-0.56%"
"12/19/2022","128.61","130.88","131.70","127.76","552.16K","-1.51%"
"12/16/2022","130.58","131.14","131.35","129.09","1.10M","-1.73%"
"12/15/2022","132.88","132.17","133.76","131.24","709.44K","-1.81%"
"12/14/2022","135.33","136.27","137.59","134.71","624.51K","-0.86%"
"12/13/2022","136.50","140.20","140.45","135.58","650.83K","-0.46%"
"12/12/2022","137.13","135.50","137.15","134.26","595.51K","1.50%"
"12/09/2022","135.11","135.68","137.23","134.70","653.42K","-0.63%"
"12/08/2022","135.96","135.94","136.79","134.55","556.78K","0.56%"
"12/07/2022","135.20","134.53","135.90","134.42","463.45K","0.27%"
"12/06/2022","134.83","135.83","136.58","133.67","438.47K","-0.55%"
"12/05/2022","135.58","136.74","136.90","135.12","525.68K","-1.63%"
"12/02/2022","137.82","135.27","138.60","134.66","814.15K","1.22%"
"12/01/2022","136.16","136.61","136.97","134.78","676.00K","0.20%"
"11/30/2022","135.89","132.35","136.63","131.83","1.34M","2.41%"
"11/29/2022","132.69","130.19","133.31","130.19","836.27K","1.99%"
"11/28/2022","130.10","131.94","132.01","129.81","505.29K","-2.16%"
"11/25/2022","132.97","133.04","133.71","132.62","232.07K","-0.28%"
"11/23/2022","133.35","133.85","134.55","132.43","303.45K","0.02%"
"11/22/2022","133.32","132.24","133.58","131.79","513.38K","1.51%"
"11/21/2022","131.34","128.38","131.98","127.69","776.07K","1.78%"
"11/18/2022","129.04","131.07","131.58","128.71","928.06K","-0.34%"
"11/17/2022","129.48","128.43","129.67","127.19","664.15K","-0.30%"
"11/16/2022","129.87","129.97","130.63","129.23","757.37K","-0.24%"
"11/15/2022","130.18","131.67","132.87","129.35","785.74K","0.33%"
"11/14/2022","129.75","129.25","132.06","128.68","837.69K","0.22%"
"11/11/2022","129.47","125.82","130.25","125.05","764.72K","3.51%"
"11/10/2022","125.08","123.97","125.12","121.97","1.40M","4.22%"
"11/09/2022","120.01","120.99","121.32","119.43","790.53K","-1.32%"
"11/08/2022","121.61","123.14","123.58","121.15","1.15M","-0.82%"
"11/07/2022","122.61","125.16","125.17","122.19","768.02K","-1.52%"
"11/04/2022","124.50","123.62","125.37","122.43","989.98K","2.70%"
"11/03/2022","121.23","118.23","122.01","117.95","1.01M","2.27%"
"11/02/2022","118.54","119.81","122.29","118.02","881.46K","-1.70%"
"11/01/2022","120.59","121.76","122.41","118.94","831.55K","0.32%"
"10/31/2022","120.21","119.86","121.22","118.41","862.74K","-0.41%"
"10/28/2022","120.70","118.83","121.16","118.23","858.49K","1.22%"
"10/27/2022","119.25","116.56","121.66","116.37","1.26M","2.48%"
"10/26/2022","116.36","115.80","119.24","114.77","1.02M","0.37%"
"10/25/2022","115.93","114.51","117.71","112.00","781.99K","-0.30%"
"10/24/2022","116.28","117.45","117.99","116.27","676.18K","-0.56%"
"10/21/2022","116.94","113.76","117.21","112.97","617.44K","3.61%"
"10/20/2022","112.87","114.40","115.73","112.52","448.73K","-1.34%"
"10/19/2022","114.40","116.23","116.39","113.68","347.85K","-1.97%"
"10/18/2022","116.70","115.70","117.78","115.70","732.14K","0.66%"
"10/17/2022","115.94","115.92","116.95","115.02","547.53K","1.96%"
"10/14/2022","113.71","116.66","116.96","113.62","554.30K","-1.80%"
"10/13/2022","115.79","111.68","116.62","110.56","447.86K","2.00%"
"10/12/2022","113.52","115.08","115.08","113.49","579.60K","-0.79%"
"10/11/2022","114.42","113.14","115.93","112.25","504.70K","0.24%"
"10/10/2022","114.15","114.81","115.20","113.34","477.21K","0.39%"
"10/07/2022","113.71","114.58","114.71","112.83","583.74K","-1.91%"
"10/06/2022","115.92","116.14","117.74","115.53","785.95K","-1.25%"
"10/05/2022","117.39","116.27","118.62","115.39","668.19K","-0.63%"
"10/04/2022","118.14","117.06","118.43","116.54","595.41K","2.73%"
"10/03/2022","115.00","114.06","116.12","112.62","843.09K","2.41%"
"09/30/2022","112.29","113.39","115.36","111.96","1.13M","-1.69%"
"09/29/2022","114.22","113.80","114.59","111.98","877.82K","-1.37%"
"09/28/2022","115.81","114.60","116.37","114.24","923.12K","2.22%"
"09/27/2022","113.29","114.53","115.45","111.73","689.82K","0.33%"
"09/26/2022","112.92","113.66","114.78","110.73","964.19K","-0.92%"
"09/23/2022","113.97","114.10","114.80","112.46","812.90K","-1.65%"
"09/22/2022","115.88","118.01","118.19","115.75","537.69K","-1.88%"
"09/21/2022","118.10","120.17","122.60","118.05","763.51K","-1.10%"
"09/20/2022","119.41","122.14","122.14","117.76","958.38K","-3.78%"
"09/19/2022","124.10","118.76","124.15","118.40","1.18M","5.11%"
"09/16/2022","118.07","125.30","125.33","116.60","2.64M","-11.01%"
"09/15/2022","132.68","132.00","134.30","131.75","644.12K","0.46%"
"09/14/2022","132.07","137.62","138.00","131.54","818.35K","-4.14%"
"09/13/2022","137.78","139.36","140.03","137.44","612.41K","-3.03%"
"09/12/2022","142.08","140.67","143.25","140.65","397.18K","1.79%"
"09/09/2022","139.58","140.09","140.40","139.08","579.43K","0.05%"
"09/08/2022","139.51","137.85","139.60","136.41","747.85K","0.22%"
"09/07/2022","139.20","136.36","139.45","136.36","514.69K","2.22%"
"09/06/2022","136.18","136.42","137.63","135.57","748.69K","0.05%"
"09/02/2022","136.11","137.99","139.11","135.50","637.24K","-0.27%"
"09/01/2022","136.48","136.28","136.77","135.08","797.32K","-0.32%"
"08/31/2022","136.92","139.13","139.38","136.88","1.15M","-1.60%"
"08/30/2022","139.15","138.22","139.76","136.55","638.26K","0.93%"
"08/29/2022","137.87","137.94","138.98","136.86","367.38K","-0.77%"
"08/26/2022","138.94","143.76","143.76","138.77","354.83K","-3.22%"
"08/25/2022","143.56","140.52","143.59","140.34","376.79K","2.57%"
"08/24/2022","139.96","140.78","141.15","139.26","509.20K","-0.83%"
"08/23/2022","141.13","140.59","142.09","140.59","386.30K","0.51%"
"08/22/2022","140.41","141.04","141.07","139.28","420.94K","-1.93%"
"08/19/2022","143.17","144.52","145.15","142.65","590.38K","-1.36%"
"08/18/2022","145.14","144.18","145.48","143.06","440.76K","0.45%"
"08/17/2022","144.49","143.99","145.22","143.46","408.38K","-0.87%"
"08/16/2022","145.76","143.00","146.26","142.85","419.44K","1.70%"
"08/15/2022","143.32","142.85","143.60","142.01","355.99K","-0.42%"
"08/12/2022","143.92","141.99","144.03","141.99","369.24K","1.31%"
"08/11/2022","142.06","141.53","142.73","140.35","515.75K","0.62%"
"08/10/2022","141.18","141.35","142.58","140.91","458.40K","1.61%"
"08/09/2022","138.94","137.85","138.96","137.38","608.56K","0.70%"
"08/08/2022","137.97","136.69","138.99","135.85","591.55K","2.03%"
"08/05/2022","135.22","136.88","137.82","133.79","999.17K","-1.83%"
"08/04/2022","137.74","138.50","139.43","137.43","956.07K","-1.01%"
"08/03/2022","139.15","139.38","140.04","137.21","523.14K","0.75%"
"08/02/2022","138.11","138.37","138.76","136.96","939.79K","-0.53%"
"08/01/2022","138.84","139.75","140.84","138.35","874.94K","-1.26%"
"07/29/2022","140.61","141.01","141.45","139.43","1.34M","0.32%"
"07/28/2022","140.16","140.37","141.57","138.34","593.47K","0.60%"
"07/27/2022","139.33","136.99","139.68","136.35","719.41K","1.75%"
"07/26/2022","136.93","141.34","141.86","134.27","1.10M","-4.85%"
"07/25/2022","143.91","141.92","144.28","141.21","1.01M","1.63%"
"07/22/2022","141.60","142.48","143.03","141.34","466.80K","-0.19%"
"07/21/2022","141.87","138.81","141.95","138.33","580.17K","2.04%"
"07/20/2022","139.03","137.94","139.33","137.23","398.84K","0.54%"
"07/19/2022","138.28","135.62","138.93","135.27","446.05K","2.97%"
"07/18/2022","134.29","136.73","137.15","133.80","697.45K","-1.11%"
"07/15/2022","135.80","137.46","137.58","135.28","475.94K","0.27%"
"07/14/2022","135.44","134.45","136.24","133.81","499.68K","-1.14%"
"07/13/2022","137.00","135.96","137.67","135.56","486.00K","-0.82%"
"07/12/2022","138.13","137.83","139.46","137.83","685.14K","0.22%"
"07/11/2022","137.83","138.44","140.13","137.11","475.78K","-1.42%"
"07/08/2022","139.81","142.24","142.24","139.16","599.64K","-1.26%"
"07/07/2022","141.59","139.77","142.19","139.60","731.70K","2.25%"
"07/06/2022","138.48","137.75","139.09","135.48","607.62K","0.96%"
"07/05/2022","137.16","137.11","137.33","135.10","655.35K","-1.15%"
"07/01/2022","138.75","136.88","139.29","134.82","897.63K","0.91%"
"06/30/2022","137.50","137.22","137.88","135.48","867.14K","-1.02%"
"06/29/2022","138.92","140.00","140.00","137.98","540.19K","-0.02%"
"06/28/2022","138.95","141.99","143.06","138.87","543.27K","-1.93%"
"06/27/2022","141.69","141.04","142.84","140.61","622.52K","0.78%"
"06/24/2022","140.60","136.77","140.75","136.48","1.19M","3.53%"
"06/23/2022","135.80","136.10","137.01","133.79","586.13K","-0.59%"
"06/22/2022","136.60","137.55","139.18","135.77","628.21K","-2.09%"
"06/21/2022","139.51","140.40","142.06","138.78","794.40K","-0.12%"
"06/17/2022","139.68","142.14","142.94","138.76","1.12M","-1.25%"
"06/16/2022","141.45","144.64","144.66","140.10","547.83K","-3.93%"
"06/15/2022","147.23","148.46","149.42","145.24","750.49K","0.00%"
"06/14/2022","147.23","142.39","147.51","142.21","949.60K","2.48%"
"06/13/2022","143.67","148.67","149.01","142.96","675.30K","-5.17%"
"06/10/2022","151.50","153.68","153.68","151.16","585.25K","-2.98%"
"06/09/2022","156.16","157.87","158.98","156.03","525.52K","-2.17%"
"06/08/2022","159.62","161.18","162.93","158.70","497.19K","-1.65%"
"06/07/2022","162.30","159.65","162.66","159.19","516.85K","0.91%"
"06/06/2022","160.84","160.08","161.21","158.88","547.44K","1.08%"
"06/03/2022","159.12","158.81","160.17","158.41","327.19K","-0.36%"
"06/02/2022","159.69","158.62","159.90","155.90","600.77K","1.41%"
