"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","141.75","141.82","143.68","140.17","756.03K","-1.82%"
"02/02/2023","144.38","139.94","145.35","139.93","872.00K","3.67%"
"02/01/2023","139.27","139.48","142.50","137.91","1.24M","1.27%"
"01/31/2023","137.53","135.88","137.69","133.63","677.05K","1.66%"
"01/30/2023","135.28","137.47","138.15","134.71","485.77K","-2.37%"
"01/27/2023","138.56","134.54","139.15","133.02","504.18K","2.67%"
"01/26/2023","134.96","135.97","135.97","132.99","969.42K","-0.09%"
"01/25/2023","135.08","132.69","135.20","132.00","355.98K","0.16%"
"01/24/2023","134.87","140.75","140.97","133.66","748.77K","-4.18%"
"01/23/2023","140.75","137.73","142.55","137.52","1.22M","2.13%"
"01/20/2023","137.82","133.30","137.84","132.03","734.39K","3.62%"
"01/19/2023","133.01","131.16","133.62","130.59","393.81K","0.33%"
"01/18/2023","132.57","132.65","135.19","131.91","584.68K","0.07%"
"01/17/2023","132.48","133.81","135.44","132.41","660.79K","-0.96%"
"01/13/2023","133.77","130.93","134.25","128.12","1.29M","1.22%"
"01/12/2023","132.16","135.46","135.46","131.23","1.42M","-2.49%"
"01/11/2023","135.53","134.27","137.79","128.91","1.65M","1.60%"
"01/10/2023","133.40","134.39","140.54","132.26","1.61M","-0.37%"
"01/09/2023","133.89","135.12","136.45","133.08","674.41K","0.27%"
"01/06/2023","133.53","140.53","140.53","131.02","1.13M","-3.80%"
"01/05/2023","138.81","140.24","141.06","138.20","763.97K","-2.46%"
"01/04/2023","142.31","142.79","144.21","141.06","640.87K","0.83%"
"01/03/2023","141.14","141.91","143.12","139.21","900.82K","0.66%"
"12/30/2022","140.22","142.11","142.11","138.30","413.41K","-1.83%"
"12/29/2022","142.84","139.62","143.02","138.96","287.68K","3.45%"
"12/28/2022","138.08","140.23","141.26","137.92","398.29K","-1.51%"
"12/27/2022","140.20","140.25","140.82","138.51","331.82K","-0.31%"
"12/23/2022","140.63","141.12","141.12","139.59","354.07K","-0.53%"
"12/22/2022","141.38","140.61","141.41","138.48","303.38K","-0.54%"
"12/21/2022","142.15","141.37","144.00","139.94","509.70K","1.91%"
"12/20/2022","139.48","138.61","139.59","136.64","693.76K","0.84%"
"12/19/2022","138.32","138.41","139.62","137.16","718.77K","0.48%"
"12/16/2022","137.66","139.72","141.11","136.69","2.06M","-2.40%"
"12/15/2022","141.04","141.64","141.87","139.94","561.97K","-1.86%"
"12/14/2022","143.71","147.40","148.66","143.25","741.66K","-2.86%"
"12/13/2022","147.94","148.48","150.17","144.18","1.66M","3.80%"
"12/12/2022","142.53","141.34","143.16","141.27","732.08K","2.43%"
"12/09/2022","139.15","141.39","142.64","139.06","414.80K","-1.97%"
"12/08/2022","141.94","140.08","144.07","138.84","780.61K","1.90%"
"12/07/2022","139.30","137.95","141.00","137.95","662.67K","1.46%"
"12/06/2022","137.29","138.50","139.90","135.88","632.17K","0.26%"
"12/05/2022","136.94","137.26","137.96","135.16","851.55K","-1.64%"
"12/02/2022","139.23","139.76","140.60","138.66","558.32K","-1.78%"
"12/01/2022","141.75","141.08","142.71","139.66","845.25K","1.45%"
"11/30/2022","139.73","134.48","140.64","131.13","1.44M","4.55%"
"11/29/2022","133.65","134.50","134.82","132.88","547.15K","-0.02%"
"11/28/2022","133.68","137.55","139.04","133.10","722.26K","-2.37%"
"11/25/2022","136.93","137.06","137.61","135.87","194.35K","-0.32%"
"11/23/2022","137.37","137.21","138.09","136.37","509.96K","0.56%"
"11/22/2022","136.61","137.49","138.12","135.74","765.08K","0.15%"
"11/21/2022","136.40","135.00","137.00","134.30","616.35K","0.17%"
"11/18/2022","136.17","138.06","138.57","135.19","712.26K","0.36%"
"11/17/2022","135.68","137.00","137.47","133.97","1.03M","-2.49%"
"11/16/2022","139.14","140.77","142.15","137.77","507.14K","-2.21%"
"11/15/2022","142.28","145.25","146.19","141.53","819.89K","-0.52%"
"11/14/2022","143.03","142.64","145.02","142.40","1.03M","-0.30%"
"11/11/2022","143.46","137.31","145.20","135.54","1.51M","5.19%"
"11/10/2022","136.38","130.00","136.68","130.00","1.21M","7.99%"
"11/09/2022","126.29","125.51","128.46","124.49","598.44K","-0.65%"
"11/08/2022","127.11","129.30","129.52","123.58","1.69M","-1.63%"
"11/07/2022","129.21","130.00","130.21","128.11","1.47M","-0.98%"
"11/04/2022","130.49","129.47","130.66","126.19","2.11M","2.37%"
"11/03/2022","127.47","128.40","129.71","124.62","1.31M","-2.04%"
"11/02/2022","130.12","136.16","136.46","129.98","999.77K","-4.72%"
"11/01/2022","136.57","135.23","138.06","134.96","1.18M","2.24%"
"10/31/2022","133.58","134.70","135.53","132.92","983.25K","-1.74%"
"10/28/2022","135.94","135.48","137.02","134.38","573.95K","0.47%"
"10/27/2022","135.30","136.10","137.24","134.23","609.95K","-0.84%"
"10/26/2022","136.44","136.38","139.01","135.22","723.77K","0.01%"
"10/25/2022","136.43","133.12","136.90","132.38","824.47K","2.80%"
"10/24/2022","132.72","132.02","133.16","129.65","518.35K","1.66%"
"10/21/2022","130.55","126.90","130.58","124.36","564.91K","3.67%"
"10/20/2022","125.93","127.00","129.59","125.02","575.86K","-1.36%"
"10/19/2022","127.66","129.25","129.25","125.37","704.74K","-2.08%"
"10/18/2022","130.37","130.64","132.63","129.82","1.05M","2.95%"
"10/17/2022","126.63","123.98","127.87","122.89","1.09M","5.42%"
"10/14/2022","120.12","122.27","122.51","118.31","1.13M","-0.88%"
"10/13/2022","121.19","114.26","122.23","113.46","646.31K","3.57%"
"10/12/2022","117.01","120.07","120.14","116.98","546.26K","-1.67%"
"10/11/2022","119.00","120.39","120.91","117.82","972.37K","-1.94%"
"10/10/2022","121.35","124.55","124.55","120.33","596.09K","-2.14%"
"10/07/2022","124.00","127.81","128.66","123.62","898.31K","-4.33%"
"10/06/2022","129.61","130.43","131.49","129.31","588.73K","-1.32%"
"10/05/2022","131.35","126.14","131.89","125.57","786.20K","2.51%"
"10/04/2022","128.13","127.11","130.16","126.80","944.47K","2.88%"
"10/03/2022","124.54","121.77","125.44","120.28","756.76K","3.50%"
"09/30/2022","120.33","121.86","122.92","120.24","832.00K","-0.85%"
"09/29/2022","121.36","120.08","121.79","119.07","621.24K","0.30%"
"09/28/2022","121.00","119.50","121.89","117.94","683.67K","2.48%"
"09/27/2022","118.07","122.47","122.64","116.18","1.17M","-2.08%"
"09/26/2022","120.58","121.74","124.35","120.48","624.59K","-1.41%"
"09/23/2022","122.31","122.29","123.68","120.12","851.53K","-0.75%"
"09/22/2022","123.23","125.00","125.53","123.02","765.40K","-2.16%"
"09/21/2022","125.95","128.05","131.09","125.52","643.87K","-1.41%"
"09/20/2022","127.75","128.86","129.22","126.41","881.13K","-1.96%"
"09/19/2022","130.31","129.13","130.39","126.80","654.34K","0.13%"
"09/16/2022","130.14","130.74","131.07","128.22","1.88M","-1.55%"
"09/15/2022","132.19","135.74","136.29","132.17","751.36K","-1.83%"
"09/14/2022","134.66","133.51","135.43","132.74","978.08K","1.47%"
"09/13/2022","132.71","138.60","138.66","132.55","882.20K","-6.79%"
"09/12/2022","142.37","141.74","142.78","141.06","588.34K","0.53%"
"09/09/2022","141.62","139.13","142.13","138.55","508.53K","2.16%"
"09/08/2022","138.62","134.04","138.70","133.86","430.71K","2.95%"
"09/07/2022","134.65","132.10","135.10","130.13","424.75K","1.85%"
"09/06/2022","132.20","134.13","134.24","131.65","549.77K","-1.78%"
"09/02/2022","134.59","136.92","136.92","133.90","626.63K","-0.55%"
"09/01/2022","135.33","133.97","135.56","132.99","729.43K","0.20%"
"08/31/2022","135.06","136.43","137.33","134.03","753.27K","-0.87%"
"08/30/2022","136.25","136.88","137.18","135.55","670.18K","-0.05%"
"08/29/2022","136.32","136.09","137.77","135.76","619.48K","-0.91%"
"08/26/2022","137.57","144.90","144.90","136.99","748.12K","-4.74%"
"08/25/2022","144.42","142.73","144.57","141.66","344.47K","2.14%"
"08/24/2022","141.39","140.75","142.41","140.68","425.34K","0.17%"
"08/23/2022","141.15","141.07","142.32","139.44","385.26K","-0.44%"
"08/22/2022","141.78","143.09","143.80","141.10","430.84K","-2.31%"
"08/19/2022","145.13","148.11","149.06","144.95","448.70K","-2.05%"
"08/18/2022","148.17","148.51","149.25","145.02","753.86K","-1.70%"
"08/17/2022","150.74","154.59","155.36","149.92","835.49K","-3.56%"
"08/16/2022","156.30","156.15","157.39","155.25","448.90K","-0.86%"
"08/15/2022","157.65","157.16","158.31","156.11","485.70K","-0.16%"
"08/12/2022","157.91","161.46","162.31","156.72","1.55M","-1.89%"
"08/11/2022","160.96","159.67","163.93","158.78","1.87M","1.71%"
"08/10/2022","158.26","153.91","158.48","152.48","684.55K","4.47%"
"08/09/2022","151.49","153.67","154.71","150.07","470.90K","-1.69%"
"08/08/2022","154.09","154.31","155.79","152.72","563.66K","0.24%"
"08/05/2022","153.72","151.18","154.02","150.81","584.78K","0.50%"
"08/04/2022","152.95","153.12","153.58","151.26","515.49K","-0.83%"
"08/03/2022","154.23","154.54","155.45","151.66","683.04K","0.08%"
"08/02/2022","154.10","156.93","160.18","153.69","1.43M","-4.21%"
"08/01/2022","160.87","169.64","170.00","160.56","2.03M","5.03%"
"07/29/2022","153.17","153.78","155.83","152.04","900.77K","-0.81%"
"07/28/2022","154.42","151.59","155.16","149.51","629.79K","2.48%"
"07/27/2022","150.69","148.62","151.59","147.62","428.57K","1.91%"
"07/26/2022","147.86","146.49","147.95","145.48","439.18K","1.00%"
"07/25/2022","146.39","146.32","147.63","145.38","356.18K","-0.19%"
"07/22/2022","146.67","147.96","148.78","144.84","389.98K","-0.87%"
"07/21/2022","147.96","141.75","150.73","141.35","826.17K","5.69%"
"07/20/2022","139.99","138.32","141.07","138.01","692.35K","1.89%"
"07/19/2022","137.39","134.22","137.66","134.05","832.95K","3.79%"
"07/18/2022","132.37","135.44","136.00","131.53","680.56K","-2.06%"
"07/15/2022","135.15","136.11","136.67","132.00","823.91K","1.10%"
"07/14/2022","133.68","133.50","135.02","130.65","896.69K","-2.49%"
"07/13/2022","137.09","136.03","138.34","134.95","518.02K","-1.09%"
"07/12/2022","138.60","144.07","144.94","138.33","634.57K","-4.14%"
"07/11/2022","144.59","144.80","146.35","144.18","426.29K","-0.97%"
"07/08/2022","146.01","145.19","147.33","144.51","873.43K","-0.33%"
"07/07/2022","146.50","145.90","148.49","145.09","706.53K","0.35%"
"07/06/2022","145.99","144.88","147.22","144.24","880.53K","0.99%"
"07/05/2022","144.56","141.05","144.61","137.72","690.02K","0.34%"
"07/01/2022","144.07","142.39","144.32","140.11","432.50K","1.30%"
"06/30/2022","142.22","140.36","143.79","139.65","762.09K","-0.04%"
"06/29/2022","142.28","142.00","142.69","139.37","360.96K","0.67%"
"06/28/2022","141.33","144.52","145.76","140.86","388.82K","-2.51%"
"06/27/2022","144.97","146.57","146.77","143.55","393.80K","-0.38%"
"06/24/2022","145.53","145.36","146.59","143.80","1.08M","0.85%"
"06/23/2022","144.31","139.07","145.02","138.62","700.99K","4.39%"
"06/22/2022","138.24","134.55","140.09","134.13","868.41K","1.92%"
"06/21/2022","135.64","137.05","138.25","135.56","579.38K","0.54%"
"06/17/2022","134.91","136.93","140.97","132.78","1.65M","-1.91%"
"06/16/2022","137.54","136.74","137.85","134.84","720.20K","-2.04%"
"06/15/2022","140.41","140.88","142.07","137.87","679.59K","1.64%"
"06/14/2022","138.14","137.57","138.82","135.25","475.57K","0.20%"
"06/13/2022","137.87","137.94","139.00","134.93","912.59K","-2.84%"
"06/10/2022","141.90","143.66","144.87","141.80","814.90K","-3.11%"
"06/09/2022","146.45","148.52","149.46","146.32","498.99K","-1.84%"
"06/08/2022","149.20","150.79","151.87","148.65","333.67K","-1.88%"
"06/07/2022","152.06","148.32","152.45","147.86","458.17K","2.16%"
"06/06/2022","148.84","148.75","150.35","147.98","433.96K","0.79%"
"06/03/2022","147.67","148.97","149.26","146.88","519.84K","-2.11%"
"06/02/2022","150.86","146.48","150.99","145.52","401.48K","3.26%"
"06/01/2022","146.10","149.78","151.80","144.01","899.56K","-2.39%"
"05/31/2022","149.67","154.93","155.29","149.18","1.46M","-4.17%"
"05/27/2022","156.18","147.84","156.42","147.54","1.15M","6.50%"
"05/26/2022","146.65","143.65","146.93","142.82","617.44K","2.75%"
"05/25/2022","142.73","143.50","144.09","140.87","479.27K","-0.96%"
"05/24/2022","144.11","145.54","145.67","142.18","479.15K","-1.62%"
"05/23/2022","146.48","148.29","148.51","145.16","656.87K","-0.17%"
"05/20/2022","146.73","144.39","146.92","142.58","712.67K","2.22%"
"05/19/2022","143.55","141.75","144.70","140.18","993.48K","0.74%"
"05/18/2022","142.49","144.09","145.26","141.07","776.40K","-3.48%"
"05/17/2022","147.63","148.87","150.04","145.90","595.17K","0.57%"
"05/16/2022","146.79","147.06","149.60","145.71","652.13K","-1.22%"
"05/13/2022","148.61","145.69","148.81","145.44","1.17M","4.03%"
"05/12/2022","142.85","141.41","144.23","139.70","663.51K","0.56%"
"05/11/2022","142.05","144.53","146.44","141.86","697.68K","-2.05%"
"05/10/2022","145.02","145.31","146.30","140.74","934.02K","1.80%"
"05/09/2022","142.45","145.88","147.09","141.60","1.03M","-3.67%"
"05/06/2022","147.87","146.13","148.87","142.90","1.31M","-0.03%"
"05/05/2022","147.92","156.19","156.22","146.59","1.16M","-5.83%"
"05/04/2022","157.08","148.28","158.15","140.54","2.03M","2.76%"
"05/03/2022","152.86","147.16","155.33","147.16","1.35M","3.36%"
"05/02/2022","147.89","146.17","148.86","143.85","1.02M","0.87%"
"04/29/2022","146.61","146.12","151.02","145.62","1.13M","0.14%"
"04/28/2022","146.41","145.00","148.15","143.67","734.93K","2.79%"
"04/27/2022","142.43","142.87","145.70","141.93","712.18K","-0.11%"
"04/26/2022","142.59","148.07","148.63","142.22","1.07M","-4.64%"
"04/25/2022","149.53","150.82","150.82","146.12","1.20M","-2.01%"
"04/22/2022","152.59","157.84","158.19","152.22","696.81K","-4.31%"
"04/21/2022","159.47","164.53","164.53","159.27","558.45K","-2.85%"
"04/20/2022","164.15","161.19","165.23","160.21","525.62K","2.08%"
"04/19/2022","160.80","160.43","161.66","158.88","605.93K","0.26%"
"04/18/2022","160.38","161.48","161.85","158.77","389.01K","-0.64%"
"04/14/2022","161.42","164.23","164.70","161.18","569.73K","-1.68%"
"04/13/2022","164.17","160.65","164.80","160.62","512.72K","1.80%"
"04/12/2022","161.26","166.02","167.18","160.26","558.19K","-2.72%"
"04/11/2022","165.77","171.17","171.62","165.46","550.13K","-3.90%"
"04/08/2022","172.49","171.85","174.10","170.62","654.65K","0.05%"
"04/07/2022","172.41","166.27","173.65","166.27","829.56K","3.79%"
"04/06/2022","166.11","164.34","166.82","161.37","718.01K","-0.04%"
"04/05/2022","166.17","168.50","169.01","166.03","833.27K","-2.17%"
"04/04/2022","169.86","171.56","173.04","169.32","510.66K","-1.00%"
"04/01/2022","171.57","175.72","175.73","168.23","925.22K","-1.66%"
"03/31/2022","174.46","178.07","179.58","174.43","837.15K","-2.26%"
"03/30/2022","178.49","179.96","180.96","177.11","406.94K","-0.99%"
"03/29/2022","180.28","180.30","181.65","178.87","437.81K","1.65%"
"03/28/2022","177.35","177.59","179.15","176.29","508.11K","0.31%"
"03/25/2022","176.80","180.33","180.59","174.17","518.97K","-1.42%"
"03/24/2022","179.34","177.50","179.35","176.00","382.23K","1.52%"
"03/23/2022","176.65","182.83","182.83","176.57","630.48K","-4.28%"
"03/22/2022","184.54","180.47","184.75","179.81","565.89K","2.16%"
"03/21/2022","180.64","181.19","182.98","178.75","652.21K","-0.96%"
"03/18/2022","182.39","177.60","182.76","176.66","1.19M","2.26%"
"03/17/2022","178.36","175.55","179.25","175.06","562.00K","1.28%"
"03/16/2022","176.10","170.25","176.38","170.25","955.66K","4.28%"
"03/15/2022","168.88","164.46","169.00","163.28","852.77K","4.05%"
"03/14/2022","162.31","167.55","170.34","161.80","957.94K","-2.16%"
"03/11/2022","165.89","173.41","174.36","165.51","820.14K","-3.74%"
"03/10/2022","172.34","170.37","173.44","170.03","454.50K","-0.14%"
"03/09/2022","172.58","169.46","172.82","168.34","860.88K","4.40%"
"03/08/2022","165.31","170.56","173.36","165.21","1.17M","-4.03%"
"03/07/2022","172.26","176.01","176.01","170.37","749.31K","-2.36%"
"03/04/2022","176.43","176.35","177.99","172.75","841.66K","-1.44%"
"03/03/2022","179.00","178.86","179.29","175.81","493.04K","0.95%"
"03/02/2022","177.31","176.69","179.04","175.56","590.23K","0.06%"
"03/01/2022","177.20","179.84","180.13","175.82","574.61K","-1.34%"
"02/28/2022","179.61","181.92","183.23","178.34","836.58K","-1.96%"
"02/25/2022","183.20","177.84","184.49","176.87","653.52K","2.93%"
"02/24/2022","177.98","169.96","178.44","169.03","693.88K","2.66%"
"02/23/2022","173.37","176.40","179.80","173.25","618.01K","-1.53%"
"02/22/2022","176.07","178.67","180.50","175.49","851.53K","-1.75%"
"02/18/2022","179.21","177.80","180.23","176.02","621.39K","0.78%"
"02/17/2022","177.82","180.65","181.77","177.55","581.72K","-2.25%"
"02/16/2022","181.92","179.42","182.23","177.89","763.38K","0.57%"
"02/15/2022","180.88","182.56","184.97","179.19","822.86K","-0.14%"
"02/14/2022","181.13","180.14","183.15","179.08","768.30K","0.32%"
"02/11/2022","180.55","184.28","185.10","178.92","804.26K","-2.03%"
"02/10/2022","184.30","185.42","188.11","183.18","817.62K","-2.62%"
"02/09/2022","189.26","186.52","190.56","186.52","607.83K","2.45%"
"02/08/2022","184.74","180.55","185.57","180.25","514.26K","1.23%"
"02/07/2022","182.49","183.13","185.50","181.64","636.82K","-0.25%"
"02/04/2022","182.95","186.82","186.82","182.39","1.01M","-2.66%"
"02/03/2022","187.94","184.73","189.69","183.58","1.77M","1.52%"
"02/02/2022","185.12","174.98","186.51","172.55","2.12M","6.22%"
"02/01/2022","174.28","172.86","174.84","170.76","1.09M","1.23%"
"01/31/2022","172.17","168.71","172.19","168.10","996.22K","1.62%"
"01/28/2022","169.43","164.35","169.50","162.20","959.95K","3.41%"
"01/27/2022","163.85","167.93","168.42","163.36","893.18K","-1.57%"
"01/26/2022","166.47","168.14","172.50","165.40","726.45K","-1.42%"
"01/25/2022","168.86","170.63","171.41","167.17","932.40K","-3.02%"
"01/24/2022","174.11","173.20","174.95","164.62","1.98M","-0.44%"
"01/21/2022","174.88","175.14","176.78","173.00","848.95K","-0.15%"
"01/20/2022","175.14","177.88","179.79","174.45","809.46K","-0.94%"
"01/19/2022","176.80","174.56","177.86","173.68","1.19M","1.74%"
"01/18/2022","173.78","175.18","177.27","173.60","1.08M","-2.63%"
"01/14/2022","178.47","178.59","180.21","175.66","1.47M","-0.59%"
"01/13/2022","179.53","183.08","183.08","177.77","1.37M","-1.79%"
"01/12/2022","182.81","178.42","183.17","178.24","928.57K","2.44%"
"01/11/2022","178.46","183.00","183.32","172.22","2.12M","-2.88%"
"01/10/2022","183.75","178.65","184.00","177.79","874.73K","1.16%"
"01/07/2022","181.65","181.51","183.48","179.46","884.23K","0.03%"
"01/06/2022","181.60","179.08","183.01","176.28","1.32M","0.30%"
"01/05/2022","181.06","183.33","185.51","180.95","991.36K","-1.30%"
"01/04/2022","183.45","190.47","190.47","180.37","2.19M","-4.55%"
"01/03/2022","192.20","199.43","201.05","189.92","1.12M","-4.41%"
"12/31/2021","201.06","199.11","203.16","199.09","759.10K","0.75%"
"12/30/2021","199.56","197.62","201.02","197.54","493.34K","1.05%"
"12/29/2021","197.48","195.70","198.01","195.26","417.92K","1.09%"
"12/28/2021","195.36","198.64","199.15","194.74","521.60K","-1.32%"
"12/27/2021","197.98","196.00","198.74","194.27","714.23K","2.17%"
"12/23/2021","193.77","191.70","194.42","191.13","622.43K","1.18%"
"12/22/2021","191.51","189.56","191.90","189.56","819.67K","1.31%"
"12/21/2021","189.04","188.36","190.42","187.01","1.56M","0.44%"
"12/20/2021","188.22","185.64","188.69","184.82","1.47M","0.34%"
"12/17/2021","187.59","185.94","191.78","184.60","5.13M","-0.10%"
"12/16/2021","187.77","192.50","192.85","186.88","1.52M","-1.46%"
"12/15/2021","190.56","183.00","190.89","183.00","1.69M","4.59%"
"12/14/2021","182.19","185.69","186.58","181.80","1.38M","-2.79%"
"12/13/2021","187.42","188.50","189.28","187.09","863.27K","-0.19%"
"12/10/2021","187.78","187.25","188.85","185.68","917.28K","0.19%"
"12/09/2021","187.43","190.03","192.63","187.01","837.22K","-1.52%"
"12/08/2021","190.32","186.19","191.04","185.15","850.07K","2.56%"
"12/07/2021","185.57","183.89","187.85","183.57","779.92K","2.25%"
"12/06/2021","181.48","181.43","183.15","174.67","1.35M","-0.92%"
"12/03/2021","183.17","181.31","184.40","176.73","1.18M","1.77%"
"12/02/2021","179.99","183.87","187.80","178.64","1.16M","-2.78%"
"12/01/2021","185.14","181.64","187.31","179.02","1.03M","1.64%"
"11/30/2021","182.16","185.27","188.37","181.71","1.38M","-1.65%"
"11/29/2021","185.22","182.72","186.63","180.99","1.18M","1.16%"
"11/26/2021","183.09","178.45","187.05","178.01","633.27K","3.47%"
"11/24/2021","176.95","178.96","180.90","176.50","1.02M","-1.49%"
"11/23/2021","179.62","180.60","183.05","176.58","712.32K","-1.18%"
"11/22/2021","181.76","188.25","189.59","181.36","922.82K","-3.74%"
"11/19/2021","188.82","189.07","191.90","188.12","819.72K","0.81%"
"11/18/2021","187.30","187.40","188.85","184.57","485.74K","-0.05%"
"11/17/2021","187.39","188.00","189.51","184.46","702.04K","-0.06%"
"11/16/2021","187.51","182.30","187.80","182.00","924.65K","2.26%"
"11/15/2021","183.36","184.04","186.39","182.48","867.81K","-0.13%"
"11/12/2021","183.59","179.72","183.69","177.87","1.15M","2.55%"
"11/11/2021","179.02","176.73","179.06","176.42","694.42K","1.79%"
"11/10/2021","175.88","174.31","176.37","173.63","755.81K","0.76%"
"11/09/2021","174.55","173.19","176.77","173.19","800.12K","0.79%"
"11/08/2021","173.19","169.62","174.24","169.62","596.98K","2.58%"
"11/05/2021","168.84","170.09","171.03","162.65","1.01M","-1.83%"
"11/04/2021","171.99","174.00","174.13","168.67","611.00K","-1.21%"
"11/03/2021","174.09","182.89","182.89","170.00","1.34M","-1.26%"
"11/02/2021","176.31","176.80","177.78","175.19","764.40K","-0.03%"
