"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","165.39","164.70","167.12","164.10","1.51M","-0.47%"
"02/02/2023","166.17","165.50","166.81","163.11","1.93M","0.84%"
"02/01/2023","164.79","163.85","166.57","162.17","1.84M","-0.39%"
"01/31/2023","165.43","163.00","165.44","161.78","2.30M","1.58%"
"01/30/2023","162.86","162.19","163.45","162.05","1.94M","-0.19%"
"01/27/2023","163.17","161.99","165.09","161.95","2.05M","0.77%"
"01/26/2023","161.93","161.02","161.99","159.31","1.40M","1.09%"
"01/25/2023","160.18","157.22","160.72","156.63","2.23M","1.11%"
"01/24/2023","158.42","159.73","159.73","157.49","1.63M","-0.58%"
"01/23/2023","159.34","155.22","160.99","154.55","2.43M","2.89%"
"01/20/2023","154.87","148.44","155.11","147.31","4.17M","4.63%"
"01/19/2023","148.02","150.50","150.88","147.10","5.76M","-2.66%"
"01/18/2023","152.07","152.49","155.21","149.59","6.67M","-6.04%"
"01/17/2023","161.85","163.13","163.55","161.16","3.58M","-1.31%"
"01/13/2023","164.00","164.75","165.26","161.36","4.38M","-2.86%"
"01/12/2023","168.82","167.00","169.07","166.64","2.17M","1.80%"
"01/11/2023","165.84","165.12","166.69","165.04","3.20M","0.55%"
"01/10/2023","164.94","163.49","165.05","162.46","2.14M","0.40%"
"01/09/2023","164.28","164.95","166.86","163.09","2.47M","0.04%"
"01/06/2023","164.21","162.50","164.79","158.91","2.25M","3.04%"
"01/05/2023","159.37","160.96","161.64","157.31","2.17M","-2.66%"
"01/04/2023","163.73","161.60","166.10","160.65","2.02M","2.64%"
"01/03/2023","159.52","159.65","161.60","157.67","1.65M","1.00%"
"12/30/2022","157.94","157.24","158.57","156.22","1.04M","0.07%"
"12/29/2022","157.83","156.25","158.05","155.61","994.24K","1.26%"
"12/28/2022","155.86","156.32","157.03","155.35","970.56K","-0.06%"
"12/27/2022","155.96","155.36","156.64","154.33","732.67K","0.61%"
"12/23/2022","155.02","154.23","156.14","154.18","1.03M","0.47%"
"12/22/2022","154.29","153.17","154.54","151.09","1.52M","0.25%"
"12/21/2022","153.90","153.65","155.49","153.26","1.54M","1.46%"
"12/20/2022","151.68","150.48","153.68","150.35","2.14M","1.01%"
"12/19/2022","150.16","150.27","152.54","148.94","2.07M","-0.15%"
"12/16/2022","150.39","148.86","150.89","148.05","7.00M","0.14%"
"12/15/2022","150.18","147.50","150.41","147.07","3.04M","0.37%"
"12/14/2022","149.62","153.37","154.67","149.20","3.21M","-2.86%"
"12/13/2022","154.03","160.73","161.08","153.03","2.57M","-1.70%"
"12/12/2022","156.70","154.59","156.76","152.13","2.18M","1.70%"
"12/09/2022","154.08","153.62","155.86","153.07","1.76M","-0.17%"
"12/08/2022","154.34","155.85","157.01","153.61","1.93M","-0.49%"
"12/07/2022","155.10","151.10","156.33","150.52","2.58M","2.13%"
"12/06/2022","151.86","152.99","153.79","149.69","2.56M","-0.82%"
"12/05/2022","153.11","162.77","162.83","152.58","3.81M","-6.77%"
"12/02/2022","164.23","162.72","164.60","162.24","1.57M","-0.35%"
"12/01/2022","164.80","169.55","170.27","164.38","1.85M","-2.06%"
"11/30/2022","168.26","163.78","168.54","159.78","3.30M","2.37%"
"11/29/2022","164.37","162.93","164.87","162.26","975.48K","1.08%"
"11/28/2022","162.61","166.04","166.77","162.29","1.53M","-3.01%"
"11/25/2022","167.65","167.96","168.82","167.04","597.49K","0.69%"
"11/23/2022","166.50","164.75","166.89","164.50","1.28M","0.92%"
"11/22/2022","164.98","164.13","165.50","163.80","1.55M","1.43%"
"11/21/2022","162.66","161.00","163.34","160.22","1.42M","0.93%"
"11/18/2022","161.16","161.34","161.72","159.85","1.85M","1.49%"
"11/17/2022","158.80","159.09","159.85","157.39","2.03M","-1.76%"
"11/16/2022","161.65","164.17","164.59","161.52","1.95M","-1.52%"
"11/15/2022","164.14","165.43","167.63","161.48","2.21M","0.52%"
"11/14/2022","163.29","165.55","165.90","163.22","2.74M","-1.49%"
"11/11/2022","165.76","164.94","167.50","164.16","2.76M","1.17%"
"11/10/2022","163.85","160.35","164.46","159.68","2.78M","5.34%"
"11/09/2022","155.55","157.11","157.68","154.11","2.44M","-1.96%"
"11/08/2022","158.66","156.64","160.16","156.14","3.29M","1.25%"
"11/07/2022","156.70","158.26","159.18","155.71","2.26M","0.13%"
"11/04/2022","156.50","155.37","157.28","153.23","3.58M","2.08%"
"11/03/2022","153.31","157.00","157.59","152.94","2.48M","-3.41%"
"11/02/2022","158.73","161.14","163.38","158.62","2.30M","-1.90%"
"11/01/2022","161.81","162.92","163.40","160.82","1.50M","-0.01%"
"10/31/2022","161.83","162.22","163.25","161.45","2.19M","-0.64%"
"10/28/2022","162.87","161.92","163.30","160.53","2.20M","1.16%"
"10/27/2022","161.00","163.53","164.94","160.79","1.75M","-0.45%"
"10/26/2022","161.72","163.88","164.85","161.62","1.99M","-0.92%"
"10/25/2022","163.22","159.17","164.15","159.04","2.06M","1.73%"
"10/24/2022","160.44","157.25","161.21","156.53","2.15M","2.60%"
"10/21/2022","156.37","147.49","156.67","146.89","2.62M","5.67%"
"10/20/2022","147.98","150.53","152.97","147.07","1.95M","-2.45%"
"10/19/2022","151.70","154.79","156.80","150.96","1.67M","-2.86%"
"10/18/2022","156.16","159.71","159.85","154.65","2.49M","0.20%"
"10/17/2022","155.85","153.34","156.47","152.18","2.82M","4.11%"
"10/14/2022","149.70","150.00","154.89","148.81","4.73M","-2.14%"
"10/13/2022","152.97","143.86","154.07","143.52","3.55M","4.69%"
"10/12/2022","146.12","147.00","148.28","145.77","1.72M","-1.06%"
"10/11/2022","147.68","149.89","150.78","147.19","1.78M","-2.10%"
"10/10/2022","150.85","152.44","153.43","149.95","1.24M","-0.32%"
"10/07/2022","151.34","154.52","154.76","150.74","1.69M","-2.81%"
"10/06/2022","155.71","158.09","159.00","155.35","1.76M","-2.21%"
"10/05/2022","159.23","158.00","159.98","157.52","1.13M","-0.88%"
"10/04/2022","160.64","156.16","160.74","156.11","2.10M","4.45%"
"10/03/2022","153.80","151.80","155.00","149.07","2.24M","2.93%"
"09/30/2022","149.42","150.75","153.69","149.22","2.14M","-0.87%"
