"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","59.37","59.28","59.86","58.88","2.32M","-1.40%"
"02/02/2023","60.21","58.49","60.85","58.09","4.26M","4.49%"
"02/01/2023","57.62","55.43","57.85","54.75","3.11M","4.04%"
"01/31/2023","55.38","52.00","55.60","52.00","5.71M","9.23%"
"01/30/2023","50.70","50.95","51.41","50.57","1.97M","-1.61%"
"01/27/2023","51.53","50.48","51.81","50.21","1.29M","1.86%"
"01/26/2023","50.59","51.09","51.09","50.15","1.28M","-0.30%"
"01/25/2023","50.74","49.86","50.77","49.52","1.24M","0.71%"
"01/24/2023","50.38","50.11","50.76","49.63","1.10M","-0.12%"
"01/23/2023","50.44","49.63","50.55","49.20","2.02M","2.60%"
"01/20/2023","49.16","48.34","49.19","47.90","2.04M","2.35%"
"01/19/2023","48.03","49.53","49.72","47.93","2.01M","-4.40%"
"01/18/2023","50.24","50.77","51.25","50.02","1.48M","-0.57%"
"01/17/2023","50.53","50.56","51.09","50.33","1.13M","0.02%"
"01/13/2023","50.52","50.01","50.77","49.92","1.58M","1.32%"
"01/12/2023","49.86","49.94","50.24","49.35","1.13M","0.65%"
"01/11/2023","49.54","48.44","49.58","48.11","1.92M","3.25%"
"01/10/2023","47.98","47.33","48.28","47.14","1.80M","1.03%"
"01/09/2023","47.49","47.00","47.97","46.45","2.05M","1.47%"
"01/06/2023","46.80","46.68","47.13","46.42","2.05M","1.39%"
"01/05/2023","46.16","46.23","46.78","46.00","870.88K","-1.16%"
"01/04/2023","46.70","45.88","47.15","45.78","2.00M","3.32%"
"01/03/2023","45.20","45.66","45.80","44.66","957.55K","0.49%"
"12/30/2022","44.98","44.84","45.18","44.44","1.02M","-0.60%"
"12/29/2022","45.25","44.34","45.65","44.21","805.49K","2.93%"
"12/28/2022","43.96","44.78","45.11","43.91","585.30K","-1.61%"
"12/27/2022","44.68","44.42","44.92","44.08","686.74K","0.63%"
"12/23/2022","44.40","44.17","44.46","43.91","860.07K","0.29%"
"12/22/2022","44.27","44.05","44.47","43.49","1.18M","-0.63%"
"12/21/2022","44.55","44.20","44.75","44.10","1.20M","2.04%"
"12/20/2022","43.66","43.64","44.07","43.46","1.54M","-0.39%"
"12/19/2022","43.83","43.71","45.12","43.60","1.68M","0.90%"
"12/16/2022","43.44","43.98","44.19","43.19","2.53M","-2.40%"
"12/15/2022","44.51","45.14","45.19","44.05","1.65M","-2.90%"
"12/14/2022","45.84","46.36","46.92","45.67","1.47M","-1.59%"
"12/13/2022","46.58","47.94","48.06","46.25","1.40M","1.26%"
"12/12/2022","46.00","45.16","46.01","45.08","1.53M","2.06%"
"12/09/2022","45.07","44.76","45.64","44.76","1.15M","0.51%"
"12/08/2022","44.84","45.14","45.44","44.50","1.02M","-0.16%"
"12/07/2022","44.91","44.56","45.22","44.33","883.72K","0.42%"
"12/06/2022","44.72","45.19","45.47","43.94","894.89K","-1.17%"
"12/05/2022","45.25","46.03","46.03","44.97","796.62K","-3.00%"
"12/02/2022","46.65","45.92","46.93","45.60","692.72K","0.02%"
"12/01/2022","46.64","46.35","47.75","46.35","1.53M","1.90%"
"11/30/2022","45.77","44.52","45.78","43.89","2.02M","2.44%"
"11/29/2022","44.68","44.41","45.05","44.21","678.77K","0.34%"
"11/28/2022","44.53","45.71","45.97","44.37","878.30K","-3.59%"
"11/25/2022","46.19","46.05","46.26","45.80","328.86K","0.52%"
"11/23/2022","45.95","45.55","46.21","45.55","769.85K","0.88%"
"11/22/2022","45.55","45.23","45.64","45.04","891.07K","1.27%"
"11/21/2022","44.98","44.80","45.15","44.69","781.79K","-0.11%"
"11/18/2022","45.03","45.13","45.36","44.12","1.40M","1.44%"
"11/17/2022","44.39","44.88","44.88","43.36","1.16M","-2.55%"
"11/16/2022","45.55","46.57","46.61","45.45","1.64M","-2.48%"
"11/15/2022","46.71","46.82","47.31","46.23","1.50M","1.61%"
"11/14/2022","45.97","46.33","46.70","45.90","1.29M","-1.54%"
"11/11/2022","46.69","45.13","47.13","44.82","1.92M","3.53%"
"11/10/2022","45.10","41.93","45.25","41.93","2.66M","11.11%"
"11/09/2022","40.59","41.41","41.61","40.39","1.26M","-2.80%"
"11/08/2022","41.76","42.11","42.78","41.21","1.27M","-0.29%"
"11/07/2022","41.88","41.11","41.89","40.67","1.41M","2.00%"
"11/04/2022","41.06","40.87","41.10","40.22","1.66M","2.19%"
"11/03/2022","40.18","39.91","40.69","39.53","1.70M","-0.52%"
"11/02/2022","40.39","42.09","42.54","40.33","1.87M","-4.74%"
"11/01/2022","42.40","43.40","43.47","42.21","1.74M","-1.28%"
"10/31/2022","42.95","42.56","43.12","42.48","4.05M","0.44%"
"10/28/2022","42.76","41.42","42.88","41.31","2.32M","3.51%"
"10/27/2022","41.31","42.13","42.56","41.12","1.88M","-1.29%"
"10/26/2022","41.85","42.14","42.68","41.45","2.79M","-0.90%"
"10/25/2022","42.23","40.51","44.87","40.20","3.18M","3.56%"
"10/24/2022","40.78","40.13","41.39","40.13","3.21M","2.93%"
"10/21/2022","39.62","39.29","39.77","38.56","2.94M","1.56%"
"10/20/2022","39.01","40.00","41.10","38.91","2.59M","-2.79%"
"10/19/2022","40.13","41.30","41.36","39.55","2.48M","-4.27%"
"10/18/2022","41.92","42.76","43.15","41.54","1.82M","0.31%"
"10/17/2022","41.79","41.66","42.11","41.30","1.60M","2.33%"
"10/14/2022","40.84","41.96","42.04","40.58","1.21M","-1.61%"
"10/13/2022","41.51","39.60","41.81","38.70","1.29M","2.29%"
"10/12/2022","40.58","40.85","40.98","40.38","1.10M","-0.66%"
"10/11/2022","40.85","40.84","41.40","40.24","1.49M","-0.41%"
"10/10/2022","41.02","41.45","41.58","40.92","1.32M","0.27%"
"10/07/2022","40.91","41.46","41.46","40.62","1.65M","-2.78%"
"10/06/2022","42.08","42.30","42.67","41.94","1.03M","-1.03%"
"10/05/2022","42.52","42.38","43.04","41.95","1.12M","-1.37%"
"10/04/2022","43.11","42.41","43.45","42.41","1.76M","3.11%"
