"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","101.86","102.18","102.90","101.16","1.71M","-0.93%"
"02/02/2023","102.82","104.79","104.79","102.00","1.84M","-1.38%"
"02/01/2023","104.26","104.00","105.31","103.15","1.41M","-0.65%"
"01/31/2023","104.94","103.79","104.96","102.47","2.06M","1.64%"
"01/30/2023","103.25","103.28","103.89","102.41","1.30M","-0.24%"
"01/27/2023","103.50","102.64","104.09","102.53","1.25M","0.65%"
"01/26/2023","102.83","102.10","102.95","101.13","1.19M","1.28%"
"01/25/2023","101.53","100.00","101.59","99.57","954.75K","0.64%"
"01/24/2023","100.88","87.58","101.15","87.58","1.15M","0.89%"
"01/23/2023","99.99","98.66","100.95","98.41","1.31M","1.38%"
"01/20/2023","98.63","97.34","98.65","96.74","1.41M","1.74%"
"01/19/2023","96.94","97.85","98.10","96.46","1.70M","-1.65%"
"01/18/2023","98.57","100.63","101.19","98.37","1.51M","-2.48%"
"01/17/2023","101.08","101.00","101.41","100.55","1.28M","0.08%"
"01/13/2023","101.00","98.79","101.25","98.32","1.24M","1.41%"
"01/12/2023","99.60","100.62","100.62","99.43","1.66M","-0.40%"
"01/11/2023","100.00","99.06","100.03","98.77","1.31M","0.65%"
"01/10/2023","99.35","98.40","99.44","97.71","1.20M","1.11%"
"01/09/2023","98.26","100.17","100.79","97.87","2.15M","-2.72%"
"01/06/2023","101.01","100.40","101.37","100.03","1.68M","1.58%"
"01/05/2023","99.44","100.67","100.85","98.82","1.37M","-1.72%"
"01/04/2023","101.18","100.51","101.66","100.20","1.32M","1.71%"
"01/03/2023","99.48","100.03","100.50","98.77","1.57M","0.02%"
"12/30/2022","99.46","99.17","99.89","98.56","937.34K","-0.42%"
"12/29/2022","99.88","98.93","100.44","98.74","1.24M","1.54%"
"12/28/2022","98.37","99.37","99.69","98.28","906.36K","-0.99%"
"12/27/2022","99.35","99.73","100.18","99.07","815.62K","-0.21%"
"12/23/2022","99.56","98.69","99.80","98.32","829.42K","0.91%"
"12/22/2022","98.66","99.79","99.79","96.82","1.54M","-1.69%"
"12/21/2022","100.36","99.35","100.55","99.20","1.29M","2.15%"
"12/20/2022","98.25","97.21","98.86","97.15","1.39M","1.16%"
"12/19/2022","97.12","98.09","99.00","96.57","1.62M","-0.77%"
"12/16/2022","97.87","97.77","98.47","96.66","4.78M","-1.88%"
"12/15/2022","99.75","100.52","101.07","99.21","2.07M","-2.27%"
"12/14/2022","102.07","103.21","104.33","101.28","1.60M","-1.11%"
"12/13/2022","103.22","105.01","105.26","102.54","1.61M","0.64%"
"12/12/2022","102.56","100.99","102.69","99.30","2.00M","1.17%"
"12/09/2022","101.37","100.91","101.96","100.35","1.58M","-0.23%"
"12/08/2022","101.60","103.35","103.36","101.39","1.78M","-1.00%"
"12/07/2022","102.63","102.84","104.61","102.53","1.59M","-0.64%"
"12/06/2022","103.29","104.98","105.39","102.68","1.63M","-1.38%"
"12/05/2022","104.74","107.10","107.10","104.01","1.47M","-2.73%"
"12/02/2022","107.68","106.70","107.85","106.63","1.17M","-0.05%"
"12/01/2022","107.73","108.50","108.81","107.27","1.37M","-0.28%"
"11/30/2022","108.03","106.33","108.25","104.41","2.82M","1.35%"
"11/29/2022","106.59","105.73","107.14","105.20","1.02M","0.99%"
"11/28/2022","105.55","106.53","107.54","105.23","1.34M","-2.06%"
"11/25/2022","107.77","107.44","108.38","107.37","581.26K","0.66%"
"11/23/2022","107.06","107.47","108.07","106.81","1.32M","-1.38%"
"11/22/2022","108.56","107.77","108.76","107.47","1.34M","1.48%"
"11/21/2022","106.98","105.80","107.22","105.55","1.30M","-0.33%"
"11/18/2022","107.33","108.34","108.83","106.37","1.70M","0.51%"
"11/17/2022","106.79","106.12","106.88","105.52","1.38M","-0.88%"
"11/16/2022","107.74","107.91","108.55","107.47","1.19M","-0.16%"
"11/15/2022","107.91","109.53","110.22","107.10","2.19M","-0.30%"
"11/14/2022","108.23","109.75","110.69","108.16","2.07M","-1.80%"
"11/11/2022","110.21","108.44","110.96","107.84","2.77M","2.31%"
"11/10/2022","107.72","105.05","107.86","104.61","2.29M","5.17%"
"11/09/2022","102.42","102.68","103.73","102.19","1.14M","-0.85%"
"11/08/2022","103.30","102.93","103.92","101.71","2.00M","0.09%"
"11/07/2022","103.21","105.22","105.54","101.54","3.16M","-1.76%"
"11/04/2022","105.06","103.72","105.64","102.82","1.96M","3.17%"
"11/03/2022","101.83","103.20","103.61","98.45","3.42M","-3.29%"
"11/02/2022","105.29","107.15","109.00","105.19","3.60M","-0.67%"
"11/01/2022","106.00","105.99","106.80","105.64","2.09M","0.77%"
"10/31/2022","105.19","104.89","105.67","104.27","2.51M","-0.08%"
"10/28/2022","105.27","102.47","105.77","102.19","3.11M","3.39%"
"10/27/2022","101.82","102.04","103.57","101.68","1.76M","0.67%"
"10/26/2022","101.14","101.80","102.81","101.03","1.71M","-0.26%"
"10/25/2022","101.40","99.30","101.67","98.97","1.88M","1.28%"
"10/24/2022","100.12","98.55","100.59","98.45","1.60M","1.86%"
"10/21/2022","98.29","95.52","98.44","95.00","1.85M","3.25%"
"10/20/2022","95.20","96.08","97.50","94.74","1.67M","-1.27%"
"10/19/2022","96.42","96.85","97.89","95.76","1.24M","-0.95%"
"10/18/2022","97.34","98.09","98.87","96.48","1.76M","1.51%"
"10/17/2022","95.89","96.81","97.70","95.08","2.04M","1.29%"
"10/14/2022","94.67","95.68","97.88","93.96","2.18M","-0.45%"
"10/13/2022","95.10","88.83","95.65","88.05","2.88M","5.44%"
"10/12/2022","90.19","90.52","91.43","89.56","1.37M","-0.72%"
"10/11/2022","90.84","90.56","92.32","89.99","1.57M","-0.34%"
