"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","98.81","99.28","100.61","98.51","3.53M","-0.17%"
"02/02/2023","98.98","98.00","99.00","96.34","4.65M","1.01%"
"02/01/2023","97.99","99.80","101.59","97.03","4.46M","-2.27%"
"01/31/2023","100.27","104.70","104.70","99.13","7.77M","-5.78%"
"01/30/2023","106.42","108.37","108.93","105.89","3.11M","-2.12%"
"01/27/2023","108.73","111.44","111.84","108.70","2.51M","-2.48%"
"01/26/2023","111.49","109.55","111.67","108.28","2.66M","2.43%"
"01/25/2023","108.85","106.36","108.86","105.54","2.89M","1.72%"
"01/24/2023","107.01","94.25","107.50","94.25","2.35M","0.07%"
"01/23/2023","106.94","107.50","108.68","106.60","3.04M","-0.02%"
"01/20/2023","106.96","104.80","107.24","103.83","2.99M","2.47%"
"01/19/2023","104.38","102.68","104.82","101.83","2.57M","1.63%"
"01/18/2023","102.71","103.22","105.51","102.30","2.87M","0.20%"
"01/17/2023","102.51","103.55","105.01","102.36","2.60M","-0.50%"
"01/13/2023","103.03","102.86","103.38","101.52","2.13M","0.17%"
"01/12/2023","102.86","101.94","103.77","101.72","2.23M","1.42%"
"01/11/2023","101.42","102.47","102.73","100.53","3.53M","-0.15%"
"01/10/2023","101.57","102.44","103.45","100.57","3.25M","-0.43%"
"01/09/2023","102.01","106.70","106.97","101.56","4.71M","-3.49%"
"01/06/2023","105.70","104.22","106.33","103.82","3.10M","2.60%"
"01/05/2023","103.02","100.20","103.07","100.20","3.35M","2.32%"
"01/04/2023","100.68","99.55","102.00","99.38","2.89M","-0.35%"
"01/03/2023","101.03","103.40","104.47","100.54","2.86M","-2.93%"
"12/30/2022","104.08","103.84","104.88","103.51","2.09M","-0.03%"
"12/29/2022","104.11","102.00","104.29","101.67","1.82M","1.92%"
"12/28/2022","102.15","104.40","104.72","101.99","1.91M","-2.32%"
"12/27/2022","104.58","104.57","104.79","103.69","2.47M","0.62%"
"12/23/2022","103.94","101.05","104.02","101.05","2.22M","3.39%"
"12/22/2022","100.53","103.40","103.49","98.97","2.29M","-2.73%"
"12/21/2022","103.35","104.24","104.66","102.27","2.47M","0.69%"
"12/20/2022","102.64","101.00","103.45","100.60","2.43M","2.02%"
"12/19/2022","100.61","101.31","102.39","99.57","2.27M","-0.03%"
"12/16/2022","100.64","99.75","100.95","99.06","7.24M","-0.82%"
"12/15/2022","101.47","100.75","101.53","99.68","2.44M","0.19%"
"12/14/2022","101.28","102.20","103.17","101.05","2.48M","-0.83%"
"12/13/2022","102.13","103.97","104.33","101.74","2.95M","0.06%"
"12/12/2022","102.07","98.67","102.15","98.02","3.63M","4.15%"
"12/09/2022","98.00","100.46","101.25","97.94","3.21M","-2.87%"
"12/08/2022","100.90","104.63","104.75","100.47","2.90M","-2.05%"
"12/07/2022","103.01","102.75","104.96","101.92","2.77M","-0.07%"
"12/06/2022","103.08","103.35","105.36","101.96","3.61M","-1.03%"
"12/05/2022","104.15","107.80","108.17","103.20","2.98M","-2.35%"
"12/02/2022","106.66","107.20","108.70","106.05","2.68M","-1.28%"
"12/01/2022","108.04","109.08","109.67","106.86","3.18M","-0.37%"
"11/30/2022","108.44","110.16","110.37","107.00","3.76M","-0.49%"
"11/29/2022","108.97","109.12","110.32","108.41","3.58M","1.07%"
"11/28/2022","107.82","108.25","110.09","107.60","3.50M","-2.67%"
"11/25/2022","110.78","111.04","111.81","110.35","1.41M","0.06%"
"11/23/2022","110.71","110.48","111.84","109.45","2.66M","-1.41%"
"11/22/2022","112.29","110.83","112.85","110.55","3.49M","2.99%"
"11/21/2022","109.03","107.49","109.27","105.90","3.05M","0.04%"
"11/18/2022","108.99","107.97","109.30","106.89","3.70M","-0.67%"
"11/17/2022","109.73","106.03","109.87","105.80","2.45M","1.90%"
"11/16/2022","107.68","108.88","110.60","107.39","3.01M","-3.09%"
"11/15/2022","111.11","110.71","111.69","109.31","3.78M","0.77%"
"11/14/2022","110.26","111.00","113.53","110.23","3.97M","-0.93%"
"11/11/2022","111.30","107.83","112.71","107.78","5.59M","4.76%"
"11/10/2022","106.24","106.17","106.40","104.31","3.46M","2.07%"
"11/09/2022","104.09","106.59","108.51","103.23","4.64M","-0.97%"
"11/08/2022","105.11","105.27","105.74","103.62","2.47M","-0.30%"
"11/07/2022","105.43","103.87","105.95","103.87","3.05M","1.88%"
"11/04/2022","103.48","105.14","105.82","102.39","3.06M","0.35%"
"11/03/2022","103.12","102.57","103.94","101.56","3.07M","-0.12%"
"11/02/2022","103.24","106.71","106.88","103.01","3.66M","-3.86%"
"11/01/2022","107.38","107.00","109.98","106.33","5.81M","2.96%"
"10/31/2022","104.29","102.67","105.34","102.67","3.53M","0.09%"
"10/28/2022","104.20","104.52","106.06","102.70","3.56M","0.62%"
"10/27/2022","103.56","104.00","105.96","103.45","3.33M","1.27%"
"10/26/2022","102.26","100.68","102.98","100.39","3.17M","2.04%"
"10/25/2022","100.22","99.65","100.73","98.60","2.59M","-0.18%"
"10/24/2022","100.40","100.30","101.40","99.92","1.99M","-0.04%"
"10/21/2022","100.44","98.26","100.68","97.79","3.26M","2.76%"
"10/20/2022","97.74","98.77","99.90","97.47","3.03M","-0.21%"
"10/19/2022","97.95","96.46","98.86","95.60","3.34M","1.91%"
"10/18/2022","96.11","95.96","97.29","93.97","2.72M","0.68%"
"10/17/2022","95.46","95.77","97.99","94.54","3.67M","1.45%"
"10/14/2022","94.10","96.50","97.50","93.92","3.91M","-2.89%"
"10/13/2022","96.90","91.96","97.90","91.81","3.66M","4.26%"
"10/12/2022","92.94","89.89","93.73","89.03","2.84M","2.88%"
"10/11/2022","90.34","90.12","91.97","88.64","2.93M","-0.85%"
"10/10/2022","91.11","93.16","93.88","90.80","2.78M","-1.50%"
"10/07/2022","92.50","93.90","94.50","91.86","3.28M","-0.92%"
"10/06/2022","93.36","91.91","93.78","91.55","3.22M","0.81%"
"10/05/2022","92.61","89.60","93.80","89.45","5.44M","2.49%"
"10/04/2022","90.36","86.48","90.45","85.49","5.35M","6.83%"
"10/03/2022","84.58","83.63","85.27","82.32","3.89M","4.78%"
"09/30/2022","80.72","79.68","81.43","79.37","3.26M","0.11%"
"09/29/2022","80.63","80.73","81.41","79.34","3.12M","-0.95%"
"09/28/2022","81.40","76.36","81.58","76.22","5.38M","6.80%"
"09/27/2022","76.22","75.54","77.44","75.39","4.14M","2.78%"
"09/26/2022","74.16","75.00","76.64","74.02","4.72M","-2.41%"
"09/23/2022","75.99","79.39","79.46","75.54","5.63M","-7.63%"
"09/22/2022","82.27","82.20","83.39","81.14","2.96M","1.23%"
"09/21/2022","81.27","84.85","84.90","81.20","2.87M","-2.34%"
"09/20/2022","83.22","81.13","83.85","80.85","3.48M","1.57%"
"09/19/2022","81.93","78.59","82.15","78.55","3.09M","1.49%"
"09/16/2022","80.73","81.94","81.94","79.01","6.84M","-1.39%"
"09/15/2022","81.87","84.07","84.29","81.16","5.02M","-4.80%"
"09/14/2022","86.00","86.83","88.86","84.91","3.84M","-0.19%"
"09/13/2022","86.16","87.99","89.42","86.01","2.99M","-3.80%"
"09/12/2022","89.56","89.23","91.07","88.84","2.45M","1.74%"
"09/09/2022","88.03","87.82","88.39","86.95","2.48M","2.44%"
"09/08/2022","85.93","86.68","86.90","85.00","2.47M","-0.45%"
"09/07/2022","86.32","85.08","86.76","84.03","2.61M","-0.51%"
"09/06/2022","86.76","89.19","89.22","86.40","2.56M","-1.92%"
"09/02/2022","88.46","88.28","89.91","87.70","2.64M","2.47%"
"09/01/2022","86.33","87.76","88.38","84.40","4.00M","-3.50%"
"08/31/2022","89.46","87.82","91.09","87.56","2.79M","-0.77%"
"08/30/2022","90.15","91.94","91.98","89.34","2.83M","-3.27%"
"08/29/2022","93.20","92.17","94.42","91.81","2.57M","1.11%"
"08/26/2022","92.18","94.11","94.75","92.14","2.75M","-1.74%"
"08/25/2022","93.81","92.65","94.23","92.42","2.73M","1.56%"
"08/24/2022","92.37","91.41","92.70","90.89","3.19M","1.05%"
"08/23/2022","91.41","89.10","91.69","88.91","3.13M","3.60%"
"08/22/2022","88.23","87.76","89.44","86.28","2.69M","-0.24%"
"08/19/2022","88.44","88.54","89.26","87.86","3.17M","-0.28%"
"08/18/2022","88.69","90.29","90.58","86.66","5.46M","-1.31%"
"08/17/2022","89.87","87.46","90.54","87.08","3.06M","0.57%"
"08/16/2022","89.36","89.58","91.00","88.31","3.42M","0.22%"
"08/15/2022","89.16","87.28","89.45","86.20","3.07M","-0.93%"
"08/12/2022","90.00","87.89","90.03","87.66","2.80M","1.89%"
"08/11/2022","88.33","87.03","88.60","86.22","2.78M","3.15%"
"08/10/2022","85.63","86.11","86.35","83.66","2.19M","0.12%"
"08/09/2022","85.53","84.91","85.84","84.44","2.06M","2.06%"
"08/08/2022","83.80","84.00","84.81","83.27","1.68M","0.05%"
"08/05/2022","83.76","81.71","84.49","81.51","1.80M","1.34%"
"08/04/2022","82.65","84.90","85.05","82.43","2.98M","-3.34%"
"08/03/2022","85.51","88.98","89.83","84.85","3.54M","-2.32%"
"08/02/2022","87.54","87.62","88.78","86.18","2.46M","0.06%"
"08/01/2022","87.49","87.64","88.20","85.65","2.91M","-1.70%"
"07/29/2022","89.00","88.32","89.47","86.76","4.75M","1.12%"
"07/28/2022","88.01","89.24","90.08","86.70","3.16M","-0.37%"
"07/27/2022","88.34","86.50","88.81","85.54","2.25M","2.78%"
"07/26/2022","85.95","88.26","88.55","85.35","1.85M","-1.48%"
"07/25/2022","87.24","85.74","87.44","84.71","2.75M","3.21%"
"07/22/2022","84.53","85.06","86.08","84.06","2.71M","-0.80%"
"07/21/2022","85.21","84.45","85.31","81.53","3.60M","-1.89%"
"07/20/2022","86.85","85.30","87.30","84.62","3.50M","1.69%"
