"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","92.06","90.64","93.81","89.80","551.06K","-0.31%"
"02/02/2023","92.35","93.18","94.51","91.51","922.82K","-0.79%"
"02/01/2023","93.09","90.02","93.82","89.45","1.01M","3.55%"
"01/31/2023","89.90","87.67","90.17","87.67","905.23K","3.04%"
"01/30/2023","87.25","86.60","88.20","86.57","778.04K","-0.78%"
"01/27/2023","87.94","88.62","89.16","87.81","759.61K","-1.32%"
"01/26/2023","89.12","90.15","90.47","88.29","461.42K","0.13%"
"01/25/2023","89.00","88.64","89.78","87.33","740.88K","-0.78%"
"01/24/2023","89.70","88.77","90.64","88.75","478.52K","-0.47%"
"01/23/2023","90.12","86.62","90.58","86.22","1.38M","4.22%"
"01/20/2023","86.47","85.32","88.34","83.69","1.55M","3.83%"
"01/19/2023","83.28","83.73","84.50","82.73","760.86K","-2.25%"
"01/18/2023","85.20","87.00","88.09","84.78","962.77K","-1.55%"
"01/17/2023","86.54","85.75","86.84","85.51","751.02K","0.42%"
"01/13/2023","86.18","82.83","86.65","82.34","1.02M","3.01%"
"01/12/2023","83.66","81.90","84.11","81.32","1.24M","2.16%"
"01/11/2023","81.89","80.56","83.15","80.21","989.62K","2.11%"
"01/10/2023","80.20","79.09","80.40","78.39","742.67K","0.99%"
"01/09/2023","79.41","79.80","80.51","77.80","929.97K","-0.86%"
"01/06/2023","80.10","77.84","80.19","77.65","1.23M","4.24%"
"01/05/2023","76.84","74.45","77.46","72.92","1.67M","2.07%"
"01/04/2023","75.28","72.45","75.38","72.07","1.20M","5.49%"
"01/03/2023","71.36","71.98","73.17","70.78","1.21M","1.09%"
"12/30/2022","70.59","69.43","70.71","69.29","901.16K","-0.40%"
"12/29/2022","70.87","69.45","71.20","69.30","651.27K","2.61%"
"12/28/2022","69.07","71.09","71.29","68.74","581.93K","-2.96%"
"12/27/2022","71.18","70.59","71.78","69.74","554.61K","1.60%"
"12/23/2022","70.06","68.84","70.07","68.47","608.72K","1.37%"
"12/22/2022","69.11","68.01","69.15","67.37","808.61K","0.55%"
"12/21/2022","68.73","69.81","70.15","68.45","895.83K","1.39%"
"12/20/2022","67.79","68.56","69.07","67.36","903.69K","-1.70%"
"12/19/2022","68.96","69.89","69.96","68.10","876.55K","-1.33%"
"12/16/2022","69.89","69.65","70.33","69.05","2.38M","-0.99%"
