"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","152.43","150.81","153.75","150.40","850.24K","0.49%"
"02/02/2023","151.68","153.59","154.21","149.54","991.45K","-0.78%"
"02/01/2023","152.87","151.51","154.38","150.85","568.76K","0.45%"
"01/31/2023","152.19","149.43","152.24","148.77","705.50K","2.07%"
"01/30/2023","149.10","149.53","151.18","148.42","742.97K","-0.60%"
"01/27/2023","150.00","149.72","151.13","149.28","645.30K","-0.04%"
"01/26/2023","150.06","149.65","150.17","147.41","840.38K","0.79%"
"01/25/2023","148.89","150.00","150.03","145.65","915.24K","-1.73%"
"01/24/2023","151.51","148.83","153.57","148.18","803.97K","1.31%"
"01/23/2023","149.55","147.44","149.78","147.00","766.08K","2.26%"
"01/20/2023","146.24","143.75","146.38","143.22","931.81K","1.92%"
"01/19/2023","143.49","143.13","144.32","142.18","1.68M","-0.56%"
"01/18/2023","144.30","148.78","150.59","143.34","753.24K","-2.68%"
"01/17/2023","148.27","148.50","150.34","147.87","849.88K","-0.15%"
"01/13/2023","148.50","147.19","149.17","146.47","770.80K","0.47%"
"01/12/2023","147.81","141.55","147.98","141.20","1.20M","5.06%"
"01/11/2023","140.69","141.04","143.67","139.96","875.71K","0.85%"
"01/10/2023","139.51","138.01","139.63","138.01","939.34K","0.63%"
"01/09/2023","138.64","139.49","142.96","138.22","815.82K","-0.35%"
"01/06/2023","139.12","137.75","140.96","136.77","894.84K","2.62%"
"01/05/2023","135.57","138.00","139.46","134.61","1.05M","-2.15%"
"01/04/2023","138.55","140.84","141.40","137.88","922.22K","-1.47%"
"01/03/2023","140.61","142.86","143.33","139.16","764.28K","-1.33%"
"12/30/2022","142.50","141.38","142.96","140.43","400.92K","-0.14%"
"12/29/2022","142.70","142.79","143.40","141.61","502.37K","0.98%"
"12/28/2022","141.32","143.83","145.02","140.85","444.48K","-1.84%"
"12/27/2022","143.97","144.50","145.43","143.30","417.63K","-0.16%"
"12/23/2022","144.20","142.71","144.22","141.94","405.66K","1.13%"
"12/22/2022","142.59","143.38","144.32","140.42","657.95K","-1.47%"
"12/21/2022","144.71","143.81","145.51","143.50","653.81K","1.44%"
"12/20/2022","142.66","142.10","145.21","142.10","1.66M","0.21%"
"12/19/2022","142.36","143.98","144.33","141.52","1.29M","-0.64%"
"12/16/2022","143.27","142.90","144.20","141.71","2.22M","-1.07%"
"12/15/2022","144.82","149.31","149.31","143.94","1.92M","-4.78%"
"12/14/2022","152.09","153.56","154.80","150.80","1.52M","-0.30%"
"12/13/2022","152.54","154.88","155.00","150.21","980.72K","1.52%"
"12/12/2022","150.26","148.66","150.43","148.34","549.97K","1.43%"
"12/09/2022","148.14","150.49","151.67","147.85","744.98K","-1.44%"
"12/08/2022","150.31","150.07","151.56","148.98","617.22K","1.35%"
"12/07/2022","148.31","149.29","150.90","148.08","613.16K","-0.86%"
"12/06/2022","149.59","151.23","152.18","148.97","475.84K","-0.82%"
"12/05/2022","150.82","151.84","152.34","149.01","726.65K","-1.47%"
"12/02/2022","153.07","150.66","154.65","150.38","627.13K","0.88%"
"12/01/2022","151.73","150.50","153.02","149.30","906.97K","1.23%"
"11/30/2022","149.88","144.40","150.17","144.17","1.56M","3.69%"
"11/29/2022","144.55","144.03","145.17","143.10","579.70K","0.69%"
"11/28/2022","143.56","148.58","150.55","142.72","880.95K","-3.34%"
"11/25/2022","148.52","146.93","149.19","146.47","271.73K","1.59%"
"11/23/2022","146.20","147.51","149.89","145.27","683.04K","-1.08%"
"11/22/2022","147.79","150.00","151.77","147.72","923.26K","-0.77%"
"11/21/2022","148.94","147.83","149.64","147.52","621.07K","0.19%"
"11/18/2022","148.66","150.00","150.40","146.84","749.50K","-0.06%"
"11/17/2022","148.75","145.02","148.86","144.42","884.87K","1.38%"
"11/16/2022","146.73","143.62","147.00","142.85","826.67K","1.86%"
"11/15/2022","144.05","144.03","145.43","141.93","779.29K","1.31%"
"11/14/2022","142.19","144.05","144.80","142.12","907.35K","-1.58%"
"11/11/2022","144.47","147.07","149.00","144.17","1.07M","-1.76%"
"11/10/2022","147.06","147.83","148.99","143.93","1.34M","2.81%"
"11/09/2022","143.04","145.92","147.90","142.61","823.76K","-3.19%"
"11/08/2022","147.76","147.25","149.79","146.00","1.00M","0.35%"
"11/07/2022","147.25","147.72","149.03","145.23","1.22M","0.33%"
"11/04/2022","146.77","147.65","149.50","140.78","1.64M","1.63%"
"11/03/2022","144.41","144.56","146.70","136.96","2.40M","5.58%"
"11/02/2022","136.78","140.99","142.96","136.59","1.23M","-3.86%"
"11/01/2022","142.27","143.58","144.06","141.71","719.87K","0.16%"
"10/31/2022","142.04","140.61","142.28","140.46","753.86K","0.61%"
"10/28/2022","141.18","140.88","142.72","139.47","830.57K","0.66%"
"10/27/2022","140.26","141.38","142.64","139.77","751.51K","-0.16%"
"10/26/2022","140.49","143.20","144.31","140.06","982.19K","-1.31%"
"10/25/2022","142.35","137.73","142.75","137.31","1.37M","3.60%"
"10/24/2022","137.41","134.38","137.77","133.92","958.19K","3.00%"
"10/21/2022","133.41","131.02","134.04","130.60","775.52K","2.04%"
"10/20/2022","130.74","132.86","134.07","130.33","706.16K","-1.38%"
"10/19/2022","132.57","132.23","133.16","130.51","601.93K","-0.64%"
"10/18/2022","133.42","133.16","135.99","131.68","871.07K","2.88%"
"10/17/2022","129.69","126.40","130.30","125.91","902.03K","5.09%"
"10/14/2022","123.41","130.76","131.53","123.25","816.83K","-5.22%"
"10/13/2022","130.21","124.17","130.63","123.60","843.01K","3.05%"
"10/12/2022","126.36","129.88","129.88","126.29","775.52K","-2.38%"
"10/11/2022","129.44","129.47","132.68","127.67","1.06M","0.32%"
"10/10/2022","129.03","128.58","131.07","128.29","565.35K","0.39%"
"10/07/2022","128.53","131.67","131.75","127.53","622.99K","-2.79%"
"10/06/2022","132.22","134.37","136.38","132.13","698.71K","-1.73%"
"10/05/2022","134.55","134.44","135.81","131.99","757.59K","-1.09%"
"10/04/2022","136.03","133.30","136.97","133.30","888.58K","3.56%"
"10/03/2022","131.35","129.39","132.29","128.00","787.13K","3.11%"
"09/30/2022","127.39","128.37","130.13","126.49","1.03M","-0.42%"
"09/29/2022","127.93","129.00","129.00","124.91","857.65K","-1.74%"
"09/28/2022","130.20","126.80","131.07","126.62","962.89K","3.70%"
"09/27/2022","125.55","127.66","128.83","124.13","1.03M","-0.15%"
"09/26/2022","125.74","128.08","131.04","125.43","1.28M","-2.35%"
"09/23/2022","128.76","133.69","133.69","126.64","1.65M","-5.12%"
"09/22/2022","135.71","137.50","137.91","135.37","761.04K","-0.60%"
"09/21/2022","136.53","139.13","142.14","136.42","699.72K","-1.47%"
"09/20/2022","138.57","140.64","140.90","137.53","1.27M","-1.92%"
"09/19/2022","141.28","135.99","142.15","135.74","1.75M","2.81%"
"09/16/2022","137.42","137.10","138.52","134.86","3.61M","-1.05%"
"09/15/2022","138.88","139.94","142.10","138.04","1.62M","-2.45%"
"09/14/2022","142.37","141.50","143.21","140.12","1.57M","0.65%"
"09/13/2022","141.45","141.75","144.30","140.89","730.81K","-2.89%"
"09/12/2022","145.66","147.53","148.15","144.63","774.67K","-0.75%"
"09/09/2022","146.76","147.75","148.00","145.56","730.00K","0.10%"
"09/08/2022","146.61","141.97","146.66","141.12","990.66K","2.93%"
"09/07/2022","142.43","140.13","142.60","139.23","886.77K","1.55%"
"09/06/2022","140.26","140.39","141.68","138.51","889.86K","-0.24%"
"09/02/2022","140.60","141.35","144.68","140.10","790.32K","1.08%"
"09/01/2022","139.10","140.46","141.37","137.02","1.33M","-1.56%"
"08/31/2022","141.30","140.67","142.06","139.95","1.42M","0.38%"
"08/30/2022","140.76","146.17","146.66","139.71","758.63K","-2.84%"
"08/29/2022","144.87","143.00","146.63","142.30","654.36K","0.17%"
"08/26/2022","144.63","148.21","148.21","143.96","982.87K","-2.11%"
"08/25/2022","147.75","146.37","149.33","146.14","863.57K","1.82%"
"08/24/2022","145.11","141.70","145.52","141.70","731.88K","2.75%"
"08/23/2022","141.22","140.52","143.01","140.16","725.71K","0.86%"
