"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","220.00","220.00","224.53","219.83","2.48M","0.00%"
"02/02/2023","220.00","222.82","224.70","218.25","2.88M","-1.77%"
"02/01/2023","223.96","228.35","229.68","220.68","2.31M","-2.77%"
"01/31/2023","230.35","229.74","232.07","228.26","1.36M","0.23%"
"01/30/2023","229.83","231.15","232.71","229.12","1.80M","-1.95%"
"01/27/2023","234.39","237.36","239.22","233.95","1.78M","-1.10%"
"01/26/2023","237.00","239.46","239.80","232.85","2.19M","0.33%"
"01/25/2023","236.22","235.53","236.34","228.41","1.76M","-0.64%"
"01/24/2023","237.74","240.51","242.85","236.66","1.17M","-1.54%"
"01/23/2023","241.45","241.89","243.36","240.25","1.19M","0.86%"
"01/20/2023","239.40","239.42","239.92","236.15","1.61M","0.43%"
"01/19/2023","238.38","232.00","239.18","229.71","1.65M","1.88%"
"01/18/2023","233.97","242.03","243.11","233.65","1.63M","-1.65%"
"01/17/2023","237.90","240.00","243.73","237.53","1.44M","-0.46%"
"01/13/2023","238.99","239.28","240.00","234.95","1.15M","-0.08%"
"01/12/2023","239.18","233.04","240.26","233.04","1.60M","3.27%"
"01/11/2023","231.60","234.58","234.59","228.40","1.18M","0.19%"
"01/10/2023","231.16","231.96","232.45","228.61","1.30M","0.43%"
"01/09/2023","230.16","236.50","237.15","228.41","1.78M","-1.41%"
"01/06/2023","233.46","231.00","235.33","230.47","1.82M","2.79%"
"01/05/2023","227.13","222.68","228.21","222.40","1.21M","1.83%"
"01/04/2023","223.05","216.88","225.14","216.53","1.81M","1.27%"
"01/03/2023","220.25","225.37","228.87","217.25","2.75M","-3.56%"
"12/30/2022","228.39","226.44","228.81","225.52","949.22K","0.75%"
"12/29/2022","226.68","222.50","228.42","222.25","1.17M","1.02%"
"12/28/2022","224.39","230.73","231.79","223.85","1.27M","-3.08%"
"12/27/2022","231.53","230.78","233.19","229.48","1.52M","1.06%"
"12/23/2022","229.11","222.93","229.19","222.00","1.56M","4.07%"
"12/22/2022","220.15","226.00","226.40","216.37","2.13M","-2.40%"
"12/21/2022","225.56","225.00","226.39","221.40","1.61M","2.69%"
"12/20/2022","219.65","218.00","221.60","217.27","1.70M","0.72%"
"12/19/2022","218.07","219.81","222.47","216.91","2.03M","-0.39%"
"12/16/2022","218.92","218.92","220.99","215.08","3.75M","-2.53%"
"12/15/2022","224.61","222.88","225.00","218.78","2.20M","-0.23%"
"12/14/2022","225.12","227.10","228.84","222.46","1.94M","0.13%"
"12/13/2022","224.82","224.23","227.00","223.09","2.51M","2.68%"
"12/12/2022","218.96","214.89","219.38","213.54","2.82M","2.32%"
"12/09/2022","214.00","220.04","222.68","213.90","2.68M","-3.29%"
"12/08/2022","221.28","233.23","234.07","220.37","2.49M","-3.53%"
"12/07/2022","229.38","227.00","229.67","224.88","2.35M","1.43%"
"12/06/2022","226.14","228.00","232.02","223.41","2.52M","-1.84%"
"12/05/2022","230.37","243.98","245.02","228.40","2.02M","-3.78%"
"12/02/2022","239.41","238.35","242.68","238.35","1.66M","0.14%"
"12/01/2022","239.07","238.91","242.85","236.89","2.06M","1.31%"
"11/30/2022","235.99","242.95","244.06","233.21","5.30M","-1.99%"
"11/29/2022","240.78","242.50","243.83","239.70","1.76M","-1.81%"
"11/28/2022","245.21","248.63","249.69","244.61","3.20M","-3.51%"
"11/25/2022","254.14","255.40","258.06","253.28","1.08M","-0.09%"
"11/23/2022","254.37","247.02","254.48","246.19","1.92M","1.31%"
"11/22/2022","251.08","247.53","251.95","245.45","2.30M","2.69%"
"11/21/2022","244.51","244.00","246.21","235.12","2.84M","-2.17%"
"11/18/2022","249.94","250.45","251.12","246.14","2.40M","-2.58%"
"11/17/2022","256.56","250.82","256.92","247.86","1.60M","0.96%"
"11/16/2022","254.11","259.82","261.84","253.96","2.18M","-3.16%"
"11/15/2022","262.39","257.99","262.42","255.44","1.99M","2.72%"
"11/14/2022","255.44","254.68","261.20","254.31","1.74M","-0.07%"
"11/11/2022","255.63","252.01","255.93","248.02","2.23M","4.15%"
