"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","106.88","105.29","109.54","104.69","2.58M","-0.08%"
"02/02/2023","106.97","110.41","110.41","102.60","3.74M","-5.78%"
"02/01/2023","113.53","109.26","114.59","108.95","3.05M","4.48%"
"01/31/2023","108.66","106.73","108.72","106.63","1.41M","0.90%"
"01/30/2023","107.69","109.89","110.75","107.59","1.46M","-3.51%"
"01/27/2023","111.61","111.30","112.98","111.00","725.19K","-0.82%"
"01/26/2023","112.53","111.41","112.76","110.61","1.27M","2.20%"
"01/25/2023","110.11","106.18","110.38","106.11","1.17M","1.85%"
"01/24/2023","108.11","108.24","110.37","107.53","1.17M","-1.21%"
"01/23/2023","109.43","103.83","109.69","103.49","1.84M","6.88%"
"01/20/2023","102.39","100.16","102.48","98.66","1.04M","3.64%"
"01/19/2023","98.79","100.03","100.31","98.28","1.30M","-2.16%"
"01/18/2023","100.97","102.28","104.72","100.93","1.21M","-0.30%"
"01/17/2023","101.27","100.20","102.89","100.06","1.47M","0.87%"
"01/13/2023","100.40","98.48","100.46","98.13","747.95K","0.74%"
"01/12/2023","99.66","99.69","100.52","97.94","952.23K","0.62%"
"01/11/2023","99.05","96.20","99.10","95.06","899.39K","2.98%"
"01/10/2023","96.18","94.65","96.56","93.76","946.92K","1.02%"
"01/09/2023","95.21","95.00","97.24","94.70","1.36M","1.99%"
"01/06/2023","93.35","90.80","93.94","90.18","1.16M","3.39%"
"01/05/2023","90.29","90.20","91.86","89.56","1.21M","-0.78%"
"01/04/2023","91.00","90.82","91.54","89.66","1.14M","2.09%"
"01/03/2023","89.14","92.59","92.65","89.03","1.44M","-1.65%"
"12/30/2022","90.64","88.70","90.72","87.88","858.99K","0.37%"
"12/29/2022","90.31","88.99","91.24","88.63","964.79K","2.87%"
"12/28/2022","87.79","88.62","89.50","86.99","1.24M","-1.94%"
"12/27/2022","89.53","89.83","90.14","88.62","943.84K","-1.07%"
"12/23/2022","90.50","90.46","91.32","88.97","667.65K","-0.63%"
"12/22/2022","91.07","91.15","91.35","88.21","1.53M","-2.25%"
"12/21/2022","93.17","91.50","93.67","91.42","1.16M","2.58%"
"12/20/2022","90.83","91.45","93.02","90.69","1.36M","-2.35%"
