"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","68.44","68.08","69.39","67.61","3.06M","-1.30%"
"02/02/2023","69.34","68.14","70.18","67.60","4.21M","3.08%"
"02/01/2023","67.27","65.00","67.45","64.25","3.80M","3.59%"
"01/31/2023","64.94","63.85","64.96","63.07","2.56M","3.06%"
"01/30/2023","63.01","62.90","64.72","62.55","2.64M","-1.25%"
"01/27/2023","63.81","64.00","64.60","63.29","3.02M","-0.19%"
"01/26/2023","63.93","64.53","64.70","62.98","2.55M","0.08%"
"01/25/2023","63.88","62.89","63.95","61.83","2.54M","-0.16%"
"01/24/2023","63.98","62.69","64.72","62.67","3.00M","0.95%"
"01/23/2023","63.38","63.32","63.87","62.95","3.24M","0.62%"
"01/20/2023","62.99","61.54","63.40","61.16","3.57M","3.64%"
"01/19/2023","60.78","61.05","61.67","59.94","4.06M","-2.31%"
"01/18/2023","62.22","65.00","65.26","61.86","4.05M","-3.02%"
"01/17/2023","64.16","63.55","64.49","62.76","4.14M","1.07%"
"01/13/2023","63.48","61.60","63.53","61.44","4.46M","1.67%"
"01/12/2023","62.44","60.10","63.37","59.39","7.64M","5.47%"
"01/11/2023","59.20","59.22","59.68","58.50","4.07M","0.46%"
"01/10/2023","58.93","57.76","59.22","57.07","4.27M","2.86%"
"01/09/2023","57.29","55.86","57.44","55.09","5.32M","4.18%"
"01/06/2023","54.99","53.77","55.14","53.31","3.12M","3.02%"
"01/05/2023","53.38","50.99","53.85","50.76","4.47M","1.41%"
"01/04/2023","52.64","49.30","52.95","48.88","4.58M","8.07%"
"01/03/2023","48.71","50.54","50.87","48.68","2.88M","-1.46%"
"12/30/2022","49.43","49.04","49.72","48.69","2.02M","-0.74%"
"12/29/2022","49.80","48.31","50.24","47.94","3.23M","3.75%"
"12/28/2022","48.00","48.74","49.29","47.91","2.59M","-1.84%"
"12/27/2022","48.90","49.46","50.33","48.73","2.57M","-1.79%"
"12/23/2022","49.79","49.44","50.03","48.40","2.39M","0.59%"
"12/22/2022","49.50","51.10","51.49","48.35","4.27M","-4.46%"
"12/21/2022","51.81","51.25","53.60","50.89","4.70M","1.83%"
"12/20/2022","50.88","51.04","52.30","50.70","3.41M","-1.15%"
"12/19/2022","51.47","53.50","53.50","50.79","3.76M","-3.63%"
"12/16/2022","53.41","53.79","54.93","53.02","3.82M","-2.29%"
"12/15/2022","54.66","54.21","55.15","53.72","3.95M","-1.12%"
"12/14/2022","55.28","55.77","56.33","54.17","4.55M","-0.86%"
"12/13/2022","55.76","59.80","60.16","55.09","3.97M","-2.18%"
"12/12/2022","57.00","56.00","57.05","54.81","3.08M","1.41%"
"12/09/2022","56.21","57.25","57.55","56.17","2.02M","-1.54%"
"12/08/2022","57.09","57.60","58.42","56.56","2.18M","0.97%"
"12/07/2022","56.54","57.64","58.49","56.05","3.08M","-1.89%"
"12/06/2022","57.63","57.82","58.69","56.25","4.81M","-3.01%"
"12/05/2022","59.42","59.60","61.56","59.16","3.78M","-1.80%"
"12/02/2022","60.51","59.60","60.85","59.10","2.95M","-0.66%"
"12/01/2022","60.91","60.39","61.78","60.36","4.01M","1.64%"
"11/30/2022","59.93","59.94","60.29","58.06","4.20M","0.00%"
"11/29/2022","59.93","58.35","60.34","58.34","2.63M","3.15%"
"11/28/2022","58.10","59.12","59.92","57.98","2.54M","-2.65%"
"11/25/2022","59.68","59.34","60.31","59.07","1.08M","0.57%"
"11/23/2022","59.34","58.70","59.43","57.86","2.24M","0.92%"
"11/22/2022","58.80","58.91","59.78","57.53","2.83M","0.07%"
