"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","342.39","341.09","342.55","335.63","242.28K","0.28%"
"02/02/2023","341.43","355.20","355.20","339.00","444.95K","-4.18%"
"02/01/2023","356.33","347.75","359.39","346.05","321.99K","1.90%"
"01/31/2023","349.69","347.94","350.26","344.23","160.44K","0.80%"
"01/30/2023","346.92","350.97","353.27","346.66","133.45K","-1.16%"
"01/27/2023","350.99","356.69","359.11","349.67","151.24K","-1.70%"
"01/26/2023","357.05","351.65","357.77","350.53","186.51K","1.77%"
"01/25/2023","350.84","342.83","352.12","342.46","194.26K","2.14%"
"01/24/2023","343.50","337.00","343.77","334.36","222.26K","1.35%"
"01/23/2023","338.91","339.93","341.22","336.67","156.84K","0.17%"
"01/20/2023","338.32","345.92","345.92","336.00","309.99K","-1.79%"
"01/19/2023","344.49","344.31","346.51","342.27","246.91K","-0.29%"
"01/18/2023","345.48","347.95","348.32","343.86","184.15K","-0.34%"
"01/17/2023","346.67","353.13","354.23","345.59","318.78K","-1.77%"
"01/13/2023","352.91","347.73","355.46","347.46","362.62K","0.94%"
"01/12/2023","349.61","352.76","355.46","349.25","297.43K","-0.90%"
"01/11/2023","352.77","359.55","361.67","351.71","305.38K","-1.72%"
"01/10/2023","358.95","354.29","359.26","352.30","278.89K","1.77%"
"01/09/2023","352.69","350.59","356.80","348.28","372.37K","0.37%"
"01/06/2023","351.40","344.95","352.09","344.28","381.68K","2.71%"
"01/05/2023","342.14","340.80","344.40","338.06","301.17K","0.31%"
"01/04/2023","341.09","335.24","341.38","335.24","278.68K","2.31%"
"01/03/2023","333.38","330.79","337.54","329.79","248.05K","0.64%"
"12/30/2022","331.27","332.55","334.45","328.96","151.92K","-1.07%"
"12/29/2022","334.86","336.72","336.72","332.95","121.66K","0.27%"
"12/28/2022","333.95","337.10","338.68","333.88","136.64K","-0.63%"
"12/27/2022","336.08","335.33","338.37","334.49","135.20K","0.35%"
"12/23/2022","334.92","332.57","336.10","330.16","158.35K","0.64%"
"12/22/2022","332.80","334.04","336.18","328.75","261.26K","-0.72%"
"12/21/2022","335.23","329.23","335.41","327.85","225.83K","2.51%"
"12/20/2022","327.01","324.64","329.39","324.64","239.05K","1.44%"
"12/19/2022","322.38","323.18","326.43","319.80","219.12K","-0.23%"
"12/16/2022","323.11","319.95","325.01","318.03","1.19M","0.19%"
"12/15/2022","322.49","323.23","326.30","320.85","523.58K","-0.89%"
"12/14/2022","325.39","330.83","330.94","323.41","444.72K","-1.80%"
"12/13/2022","331.35","335.57","338.61","329.07","305.27K","-0.36%"
"12/12/2022","332.54","332.40","332.95","327.61","331.84K","-0.01%"
"12/09/2022","332.56","333.81","336.79","332.19","249.17K","-0.35%"
"12/08/2022","333.74","336.27","336.80","332.56","208.87K","0.24%"
"12/07/2022","332.95","335.66","338.23","330.21","180.13K","-1.13%"
"12/06/2022","336.76","331.73","338.25","331.73","281.13K","1.87%"
"12/05/2022","330.59","332.25","333.56","327.50","165.52K","-0.86%"
"12/02/2022","333.47","329.29","336.12","329.29","226.62K","0.95%"
"12/01/2022","330.34","339.85","340.66","329.82","299.32K","-2.25%"
"11/30/2022","337.94","332.75","338.00","328.39","374.87K","1.54%"
"11/29/2022","332.80","329.01","333.84","329.01","190.72K","1.11%"
"11/28/2022","329.14","332.67","334.97","328.52","219.64K","-1.58%"
"11/25/2022","334.42","331.40","336.04","331.09","95.28K","1.68%"
"11/23/2022","328.91","327.84","332.87","327.84","238.13K","0.51%"
"11/22/2022","327.25","324.92","327.47","322.38","234.83K","0.99%"
"11/21/2022","324.05","323.23","325.38","320.03","232.93K","0.17%"
"11/18/2022","323.49","321.12","325.98","318.14","430.00K","1.93%"
"11/17/2022","317.38","314.44","320.01","312.28","229.99K","-0.01%"
"11/16/2022","317.40","316.06","320.71","313.44","239.14K","0.38%"
"11/15/2022","316.21","312.05","316.23","307.90","280.09K","1.98%"
"11/14/2022","310.08","310.13","315.21","309.86","229.90K","0.44%"
"11/11/2022","308.71","321.96","322.15","306.02","444.16K","-3.59%"
"11/10/2022","320.19","326.81","327.76","318.41","336.75K","0.05%"
"11/09/2022","320.04","322.69","325.96","319.49","252.37K","-1.73%"
"11/08/2022","325.68","327.55","331.96","325.25","238.44K","-0.94%"
"11/07/2022","328.77","333.79","333.88","325.56","301.61K","-1.32%"
"11/04/2022","333.16","333.89","337.50","327.65","587.48K","0.63%"
"11/03/2022","331.07","320.18","331.90","318.84","450.32K","2.86%"
"11/02/2022","321.87","316.16","328.10","313.92","617.86K","1.85%"
"11/01/2022","316.03","324.01","324.92","314.80","561.37K","-2.05%"
"10/31/2022","322.66","318.16","324.63","316.93","422.54K","0.32%"
"10/28/2022","321.64","303.71","321.78","303.71","709.89K","6.59%"
"10/27/2022","301.76","291.53","304.36","289.55","510.07K","7.17%"
"10/26/2022","281.58","286.14","287.31","279.89","320.08K","-0.52%"
"10/25/2022","283.06","280.64","283.19","277.09","295.85K","-0.47%"
"10/24/2022","284.39","281.97","284.90","281.03","219.50K","1.61%"
"10/21/2022","279.88","271.16","282.40","270.34","398.98K","3.66%"
"10/20/2022","270.01","276.67","276.67","269.79","339.76K","-3.46%"
"10/19/2022","279.68","277.14","280.68","275.98","245.89K","0.51%"
"10/18/2022","278.26","278.31","280.62","277.11","265.84K","1.68%"
"10/17/2022","273.65","275.03","275.08","271.57","221.60K","1.24%"
