"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","24.00","23.84","24.20","23.79","6.16M","0.21%"
"02/02/2023","23.95","23.91","24.33","23.66","6.03M","0.71%"
"02/01/2023","23.78","23.33","24.09","23.21","8.60M","1.02%"
"01/31/2023","23.54","23.27","23.55","23.01","7.18M","1.47%"
"01/30/2023","23.20","23.24","23.37","23.15","5.91M","-0.85%"
"01/27/2023","23.40","23.25","23.50","23.18","5.11M","0.86%"
"01/26/2023","23.20","23.05","23.25","22.95","5.57M","1.31%"
"01/25/2023","22.90","22.76","22.93","22.60","6.28M","0.31%"
"01/24/2023","22.83","22.99","23.12","22.61","7.76M","-0.57%"
"01/23/2023","22.96","22.83","23.04","22.60","10.15M","1.19%"
"01/20/2023","22.69","22.76","23.22","21.74","14.21M","4.61%"
"01/19/2023","21.69","21.48","21.75","21.11","12.62M","-0.60%"
"01/18/2023","21.82","22.28","22.55","21.80","8.58M","-2.72%"
"01/17/2023","22.43","22.37","22.51","22.14","6.40M","0.00%"
"01/13/2023","22.43","22.00","22.48","21.63","9.81M","0.31%"
"01/12/2023","22.36","22.29","22.49","22.13","5.31M","1.04%"
"01/11/2023","22.13","22.10","22.24","21.91","6.59M","0.45%"
"01/10/2023","22.03","21.91","22.19","21.85","5.69M","-0.27%"
"01/09/2023","22.09","22.29","22.37","22.07","6.03M","-1.34%"
"01/06/2023","22.39","21.81","22.47","21.58","5.83M","3.32%"
"01/05/2023","21.67","21.73","21.84","21.41","5.70M","-1.10%"
"01/04/2023","21.91","21.80","22.07","21.62","7.60M","2.05%"
"01/03/2023","21.47","21.77","21.95","21.32","7.74M","-0.42%"
"12/30/2022","21.56","21.49","21.70","21.41","3.32M","-0.28%"
"12/29/2022","21.62","21.27","21.66","21.26","3.70M","1.74%"
"12/28/2022","21.25","21.44","21.54","21.15","4.21M","-0.89%"
"12/27/2022","21.44","21.29","21.44","21.11","3.65M","1.04%"
"12/23/2022","21.22","21.06","21.32","21.05","4.01M","0.66%"
"12/22/2022","21.08","20.91","21.10","20.58","5.78M","0.19%"
"12/21/2022","21.04","20.97","21.17","20.94","5.17M","1.59%"
"12/20/2022","20.71","20.72","20.91","20.56","5.87M","0.53%"
"12/19/2022","20.60","20.56","20.89","20.47","6.99M","0.10%"
"12/16/2022","20.58","20.63","20.94","20.38","15.60M","-1.15%"
"12/15/2022","20.82","20.90","20.98","20.59","8.26M","-1.42%"
"12/14/2022","21.12","21.67","21.78","21.07","9.30M","-2.45%"
"12/13/2022","21.65","22.85","22.94","21.45","11.45M","-3.31%"
"12/12/2022","22.39","22.08","22.52","21.78","6.49M","1.68%"
"12/09/2022","22.02","21.96","22.23","21.83","5.09M","-0.18%"
"12/08/2022","22.06","21.76","22.11","21.53","7.74M","2.18%"
"12/07/2022","21.59","21.27","21.90","21.23","10.43M","-0.05%"
"12/06/2022","21.60","22.00","22.10","21.30","10.50M","-1.73%"
"12/05/2022","21.98","23.00","23.03","21.76","10.00M","-5.09%"
"12/02/2022","23.16","22.77","23.35","22.75","8.93M","0.74%"
"12/01/2022","22.99","23.37","23.44","22.75","8.12M","-0.95%"
"11/30/2022","23.21","22.81","23.24","22.15","9.06M","1.31%"
"11/29/2022","22.91","22.58","22.93","22.48","4.43M","1.64%"
"11/28/2022","22.54","22.66","22.83","22.43","5.42M","-1.44%"
"11/25/2022","22.87","22.85","22.98","22.80","1.38M","0.57%"
"11/23/2022","22.74","22.67","22.80","22.59","2.78M","0.35%"
