"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","111.87","108.53","113.81","108.00","1.50M","2.79%"
"02/02/2023","108.83","112.66","113.30","108.37","2.28M","-2.92%"
"02/01/2023","112.10","111.76","113.28","110.94","1.15M","-0.59%"
"01/31/2023","112.77","111.73","112.84","109.85","1.22M","0.91%"
"01/30/2023","111.75","111.05","113.11","110.79","1.40M","-0.02%"
"01/27/2023","111.77","112.96","113.80","110.43","1.87M","-1.42%"
"01/26/2023","113.38","120.20","120.73","112.22","2.72M","-4.00%"
"01/25/2023","118.11","115.31","118.15","115.31","1.13M","0.95%"
"01/24/2023","117.00","116.63","118.10","115.51","807.99K","0.68%"
"01/23/2023","116.21","113.31","116.45","113.01","1.37M","2.23%"
"01/20/2023","113.68","113.01","114.72","112.65","4.87M","1.10%"
"01/19/2023","112.44","112.81","113.10","110.46","1.62M","-1.73%"
"01/18/2023","114.42","117.00","117.00","114.09","1.29M","-2.21%"
"01/17/2023","117.01","115.58","117.38","115.00","1.57M","1.26%"
"01/13/2023","115.55","112.60","115.86","112.46","1.31M","1.51%"
"01/12/2023","113.83","112.45","115.07","111.87","1.44M","1.82%"
"01/11/2023","111.80","111.67","112.18","110.99","1.15M","0.75%"
"01/10/2023","110.97","110.82","111.12","109.41","918.42K","0.27%"
"01/09/2023","110.67","110.67","111.75","110.29","1.19M","0.44%"
"01/06/2023","110.18","108.63","110.35","108.26","1.16M","2.73%"
"01/05/2023","107.25","104.70","107.78","104.51","1.06M","1.62%"
"01/04/2023","105.54","106.84","107.10","104.85","2.02M","-0.54%"
"01/03/2023","106.11","107.30","107.49","104.72","1.29M","-0.69%"
"12/30/2022","106.85","106.90","108.07","106.18","781.82K","-1.06%"
"12/29/2022","107.99","106.92","108.16","106.45","750.12K","1.63%"
"12/28/2022","106.26","106.61","107.49","106.21","880.54K","-0.26%"
"12/27/2022","106.54","107.61","108.25","106.18","935.46K","-0.75%"
"12/23/2022","107.35","106.02","107.58","105.49","961.68K","1.19%"
"12/22/2022","106.09","105.55","106.20","104.33","1.17M","-0.61%"
"12/21/2022","106.74","106.61","107.73","105.72","917.22K","1.08%"
"12/20/2022","105.60","105.33","106.51","104.55","1.17M","0.43%"
"12/19/2022","105.15","106.40","106.79","104.32","1.48M","-1.50%"
"12/16/2022","106.75","106.62","108.26","105.55","2.58M","-1.03%"
"12/15/2022","107.86","108.95","108.95","107.21","1.34M","-2.19%"
"12/14/2022","110.28","111.28","112.30","109.51","1.16M","-1.11%"
"12/13/2022","111.52","117.08","117.36","110.42","1.88M","-2.67%"
"12/12/2022","114.58","113.36","114.72","112.65","1.20M","0.99%"
"12/09/2022","113.46","113.14","114.23","112.77","844.10K","-0.18%"
"12/08/2022","113.66","114.84","115.46","113.37","964.08K","-0.22%"
"12/07/2022","113.91","116.07","116.73","113.80","1.38M","-1.86%"
"12/06/2022","116.07","115.88","117.50","114.95","1.38M","-0.09%"
"12/05/2022","116.17","117.40","118.00","114.59","1.16M","-2.51%"
"12/02/2022","119.16","117.04","119.85","116.73","1.25M","1.49%"
"12/01/2022","117.41","116.90","117.94","114.47","1.52M","0.44%"
"11/30/2022","116.90","115.20","117.05","113.48","1.93M","1.33%"
"11/29/2022","115.37","115.85","116.43","115.03","1.23M","-0.41%"
"11/28/2022","115.85","117.63","118.20","115.69","1.72M","-3.10%"
"11/25/2022","119.56","119.92","120.80","119.18","632.89K","-0.67%"
"11/23/2022","120.37","122.99","123.14","120.03","1.75M","-2.55%"
"11/22/2022","123.52","123.31","124.63","122.49","777.57K","0.38%"
"11/21/2022","123.05","121.53","124.26","121.02","1.10M","1.20%"
"11/18/2022","121.59","121.33","121.73","119.50","1.39M","1.70%"
"11/17/2022","119.56","119.01","119.63","117.72","1.00M","-0.80%"
"11/16/2022","120.53","122.51","122.72","119.79","1.08M","-1.90%"
"11/15/2022","122.86","123.39","124.29","122.18","1.12M","0.84%"
"11/14/2022","121.84","122.85","123.46","121.68","1.32M","-1.26%"
"11/11/2022","123.40","125.16","126.00","122.95","1.82M","-0.47%"
"11/10/2022","123.98","125.00","125.15","121.34","1.78M","2.02%"
"11/09/2022","121.52","122.04","123.77","121.13","1.10M","-1.24%"
"11/08/2022","123.05","121.88","124.62","121.64","1.32M","1.28%"
"11/07/2022","121.50","121.38","121.63","120.04","689.63K","0.88%"
"11/04/2022","120.44","119.27","120.56","118.44","1.05M","2.05%"
"11/03/2022","118.02","116.46","118.90","116.04","1.23M","0.55%"
"11/02/2022","117.38","117.72","119.56","116.47","1.97M","-0.36%"
"11/01/2022","117.81","119.28","120.56","117.67","1.69M","-0.28%"
"10/31/2022","118.14","118.54","119.25","117.76","1.46M","-0.92%"
"10/28/2022","119.24","115.29","119.72","114.11","1.85M","4.63%"
"10/27/2022","113.96","109.20","115.04","106.33","2.36M","6.58%"
"10/26/2022","106.92","105.00","106.95","104.70","2.22M","2.04%"
"10/25/2022","104.78","102.75","104.83","101.34","1.69M","2.52%"
"10/24/2022","102.20","101.38","102.52","99.74","1.40M","1.20%"
"10/21/2022","100.99","97.81","101.05","97.24","4.02M","2.99%"
"10/20/2022","98.06","100.43","101.08","97.86","1.38M","-1.94%"
"10/19/2022","100.00","101.55","102.92","99.09","1.81M","-2.69%"
