"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","224.60","224.50","227.25","223.28","536.68K","-0.89%"
"02/02/2023","226.61","229.00","229.83","225.46","781.55K","-1.05%"
"02/01/2023","229.02","229.07","231.83","224.15","835.25K","0.28%"
"01/31/2023","228.37","223.89","228.43","223.37","648.05K","2.54%"
"01/30/2023","222.71","221.87","224.83","219.40","619.74K","-0.84%"
"01/27/2023","224.59","235.51","235.53","221.58","1.18M","-3.26%"
"01/26/2023","232.17","231.18","233.60","230.23","537.63K","0.44%"
"01/25/2023","231.16","231.25","231.86","228.51","711.28K","-1.05%"
"01/24/2023","233.62","235.20","235.87","232.61","463.22K","-1.23%"
"01/23/2023","236.53","233.46","239.36","233.01","671.46K","0.77%"
"01/20/2023","234.73","230.32","235.62","229.63","914.57K","2.37%"
"01/19/2023","229.30","226.07","230.47","226.00","680.59K","1.47%"
"01/18/2023","225.97","230.00","231.94","225.13","713.52K","0.26%"
"01/17/2023","225.38","220.43","225.79","220.23","636.31K","3.34%"
"01/13/2023","218.10","214.49","218.72","214.26","661.05K","1.92%"
"01/12/2023","214.00","214.29","214.62","211.89","461.26K","-0.25%"
"01/11/2023","214.53","214.16","214.75","212.14","842.99K","0.87%"
"01/10/2023","212.68","210.85","214.91","210.85","677.53K","1.43%"
"01/09/2023","209.69","210.99","213.02","209.56","624.60K","0.38%"
"01/06/2023","208.89","206.60","211.61","202.04","1.00M","1.86%"
"01/05/2023","205.07","209.00","210.00","204.45","741.84K","-2.76%"
"01/04/2023","210.90","211.69","214.38","209.31","774.38K","0.86%"
"01/03/2023","209.11","210.07","211.25","206.05","588.94K","0.47%"
"12/30/2022","208.13","208.00","208.44","205.53","359.73K","-0.59%"
"12/29/2022","209.37","208.08","210.24","206.98","605.60K","1.75%"
"12/28/2022","205.77","206.89","208.49","205.17","414.19K","-0.54%"
"12/27/2022","206.89","208.89","210.40","205.80","607.97K","-0.69%"
"12/23/2022","208.32","208.33","208.97","206.50","565.41K","-0.39%"
"12/22/2022","209.14","209.56","210.91","206.00","429.58K","-0.48%"
"12/21/2022","210.14","210.28","211.02","208.17","784.42K","0.59%"
"12/20/2022","208.91","209.05","209.93","207.05","490.10K","-0.11%"
"12/19/2022","209.15","209.48","210.00","206.91","578.03K","-0.31%"
"12/16/2022","209.80","213.78","214.43","208.09","963.30K","-2.44%"
"12/15/2022","215.04","218.69","225.18","214.14","524.98K","-2.64%"
"12/14/2022","220.86","224.53","225.04","219.14","617.05K","-1.27%"
"12/13/2022","223.70","227.50","227.50","222.61","503.04K","1.27%"
"12/12/2022","220.90","220.97","221.50","219.23","539.49K","0.56%"
"12/09/2022","219.68","221.80","222.43","219.57","293.71K","-1.27%"
"12/08/2022","222.50","222.90","224.24","220.80","773.91K","0.14%"
"12/07/2022","222.18","218.70","224.37","218.70","490.77K","2.04%"
"12/06/2022","217.73","218.40","218.94","215.77","601.94K","-0.74%"
"12/05/2022","219.35","229.81","229.81","219.03","493.73K","-5.82%"
"12/02/2022","232.90","227.50","234.37","227.50","368.57K","1.55%"
"12/01/2022","229.34","231.82","232.81","228.11","474.95K","-0.37%"
"11/30/2022","230.20","224.40","230.31","223.14","1.01M","3.14%"
"11/29/2022","223.20","225.49","226.50","222.90","350.23K","-1.04%"
"11/28/2022","225.54","229.03","230.61","224.17","427.59K","-1.91%"
"11/25/2022","229.92","229.80","231.00","229.03","196.38K","0.25%"
"11/23/2022","229.34","230.00","232.15","228.56","323.57K","-0.14%"
"11/22/2022","229.66","225.54","229.96","224.47","321.99K","1.98%"
"11/21/2022","225.21","223.16","227.54","222.44","318.28K","0.36%"
"11/18/2022","224.40","224.04","226.04","222.11","412.83K","2.48%"
"11/17/2022","218.98","221.97","221.97","217.47","265.49K","-2.49%"
"11/16/2022","224.58","224.44","225.98","223.18","291.63K","0.42%"
"11/15/2022","223.63","223.72","227.43","221.71","517.73K","1.25%"
"11/14/2022","220.88","222.94","224.14","218.50","360.72K","-0.96%"
"11/11/2022","223.03","227.48","228.15","222.27","488.70K","-0.95%"
"11/10/2022","225.18","219.96","225.71","217.96","450.10K","6.24%"
"11/09/2022","211.96","213.19","215.35","210.49","306.78K","-0.73%"
"11/08/2022","213.51","211.93","214.18","207.38","507.56K","0.41%"
"11/07/2022","212.64","210.98","212.99","209.06","657.74K","0.83%"
"11/04/2022","210.89","212.31","213.04","206.67","698.73K","0.93%"
"11/03/2022","208.94","215.23","215.23","208.81","681.63K","-4.16%"
"11/02/2022","218.00","220.95","227.15","217.87","597.77K","-1.30%"
"11/01/2022","220.87","225.24","225.54","219.01","748.34K","-1.26%"
"10/31/2022","223.69","218.45","224.10","217.65","712.73K","2.27%"
"10/28/2022","218.73","215.12","219.45","209.30","1.23M","-5.84%"
"10/27/2022","232.29","232.72","235.64","230.22","812.79K","-0.72%"
"10/26/2022","233.97","230.50","236.75","229.61","591.03K","1.73%"
"10/25/2022","229.98","224.00","230.55","223.33","642.72K","1.93%"
"10/24/2022","225.63","224.47","226.33","223.00","558.61K","1.51%"
"10/21/2022","222.28","217.94","223.46","213.50","506.84K","2.24%"
"10/20/2022","217.42","218.31","221.51","215.48","721.92K","0.98%"
"10/19/2022","215.30","217.63","218.63","213.50","311.22K","-1.64%"
"10/18/2022","218.90","221.36","222.96","214.97","610.31K","1.81%"
"10/17/2022","215.00","214.05","215.75","212.75","560.50K","1.53%"
"10/14/2022","211.75","216.67","217.69","210.80","415.09K","-1.41%"
"10/13/2022","214.78","206.35","216.21","206.30","537.91K","2.21%"
"10/12/2022","210.13","213.56","213.56","209.82","546.49K","-2.27%"
"10/11/2022","215.00","217.64","217.74","213.51","553.27K","-1.91%"
"10/10/2022","219.18","223.19","223.19","217.98","231.93K","-1.45%"
"10/07/2022","222.41","227.84","227.87","221.15","330.09K","-3.24%"
"10/06/2022","229.85","231.33","232.14","228.81","452.49K","-0.82%"
"10/05/2022","231.76","231.15","235.00","227.78","597.67K","1.32%"
"10/04/2022","228.73","225.98","229.51","222.51","516.19K","2.00%"
"10/03/2022","224.25","220.19","226.62","218.03","460.62K","2.73%"
"09/30/2022","218.30","219.26","223.13","217.71","517.55K","-0.07%"
"09/29/2022","218.46","217.25","220.30","215.82","445.18K","-0.13%"
"09/28/2022","218.75","214.09","219.37","212.63","454.02K","3.03%"
"09/27/2022","212.32","217.15","217.58","211.52","319.53K","-1.29%"
"09/26/2022","215.10","213.66","216.87","213.38","300.08K","0.28%"
"09/23/2022","214.51","212.17","214.72","210.52","287.53K","0.38%"
"09/22/2022","213.69","216.24","216.81","213.54","255.63K","-1.79%"
"09/21/2022","217.59","222.11","224.15","217.35","381.52K","-1.19%"
"09/20/2022","220.20","223.02","223.02","218.24","331.15K","-1.81%"
"09/19/2022","224.26","221.35","224.61","219.29","406.67K","0.53%"
"09/16/2022","223.07","225.68","225.68","219.88","803.40K","-1.27%"
"09/15/2022","225.95","232.38","233.80","225.79","436.23K","-3.11%"
"09/14/2022","233.20","235.32","235.53","232.33","513.23K","-0.61%"
"09/13/2022","234.64","233.62","236.00","233.62","652.95K","-1.42%"
"09/12/2022","238.01","236.12","239.10","236.12","601.30K","0.84%"
"09/09/2022","236.03","233.59","237.62","232.03","412.24K","1.27%"
"09/08/2022","233.07","230.93","233.42","228.91","405.48K","0.77%"
"09/07/2022","231.29","221.00","231.84","221.00","697.16K","4.82%"
"09/06/2022","220.66","216.92","221.36","216.87","501.15K","2.17%"
"09/02/2022","215.98","221.42","221.85","214.60","255.77K","-1.59%"
"09/01/2022","219.48","219.13","219.78","214.86","403.20K","-0.20%"
"08/31/2022","219.92","221.36","222.55","219.61","555.37K","0.22%"
"08/30/2022","219.44","221.18","221.42","218.35","322.57K","-0.54%"
"08/29/2022","220.63","219.24","221.99","218.70","303.45K","-0.24%"
"08/26/2022","221.15","228.63","228.63","221.04","269.54K","-3.52%"
"08/25/2022","229.23","226.31","229.38","224.59","293.49K","2.46%"
"08/24/2022","223.72","224.89","225.65","223.62","343.82K","-0.43%"
"08/23/2022","224.68","228.57","228.76","223.08","472.19K","-2.04%"
"08/22/2022","229.36","231.63","232.95","228.75","313.35K","-1.77%"
"08/19/2022","233.49","236.00","236.00","232.59","485.41K","-1.06%"
"08/18/2022","236.00","236.74","236.78","233.33","374.55K","-0.17%"
"08/17/2022","236.41","235.03","236.74","234.60","378.79K","0.13%"
"08/16/2022","236.10","236.76","238.84","235.05","484.25K","-0.43%"
"08/15/2022","237.11","239.00","241.19","235.00","521.22K","-1.20%"
