"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","289.96","288.03","293.34","287.61","534.78K","-0.41%"
"02/02/2023","291.16","284.87","292.99","282.81","998.86K","2.93%"
"02/01/2023","282.87","279.49","286.18","277.06","831.54K","0.30%"
"01/31/2023","282.03","279.08","282.24","273.00","1.06M","1.27%"
"01/30/2023","278.50","283.20","286.89","277.77","861.44K","-2.78%"
"01/27/2023","286.46","282.75","287.28","276.11","1.03M","1.63%"
"01/26/2023","281.87","290.43","294.21","271.30","1.50M","1.36%"
"01/25/2023","278.08","273.56","278.89","272.34","814.08K","0.04%"
"01/24/2023","277.98","273.35","278.42","271.15","688.00K","0.86%"
"01/23/2023","275.62","272.10","277.19","270.10","582.20K","2.08%"
"01/20/2023","270.00","267.36","270.03","265.60","862.12K","1.76%"
"01/19/2023","265.32","272.17","272.29","265.32","853.22K","-3.32%"
"01/18/2023","274.42","282.94","283.06","273.72","729.62K","-2.75%"
"01/17/2023","282.19","284.26","285.96","281.61","734.18K","-1.07%"
"01/13/2023","285.24","279.03","285.35","279.03","525.04K","1.36%"
"01/12/2023","281.41","280.65","283.60","276.35","712.69K","0.47%"
"01/11/2023","280.10","272.70","280.10","272.70","881.85K","3.11%"
"01/10/2023","271.66","267.78","272.42","267.78","542.12K","0.86%"
"01/09/2023","269.34","270.85","274.62","269.26","692.45K","0.68%"
"01/06/2023","267.52","262.40","268.83","259.77","550.80K","3.46%"
"01/05/2023","258.58","258.76","262.12","255.49","610.41K","-0.75%"
"01/04/2023","260.53","262.39","263.14","256.02","777.11K","-0.34%"
"01/03/2023","261.42","259.75","262.41","258.52","711.30K","1.49%"
"12/30/2022","257.57","258.08","259.28","255.33","301.52K","-0.79%"
"12/29/2022","259.63","258.13","261.00","257.80","299.36K","1.74%"
"12/28/2022","255.19","257.72","259.14","254.46","390.36K","-0.92%"
"12/27/2022","257.55","257.51","260.10","255.80","281.12K","0.32%"
"12/23/2022","256.74","256.50","257.84","254.83","297.49K","0.30%"
"12/22/2022","255.97","256.71","257.91","251.68","449.77K","-1.31%"
"12/21/2022","259.36","256.87","262.78","256.01","642.92K","1.95%"
"12/20/2022","254.40","250.35","255.56","249.71","466.15K","1.49%"
"12/19/2022","250.66","253.29","254.13","248.71","564.34K","-0.95%"
"12/16/2022","253.07","253.14","255.74","249.68","1.46M","-1.59%"
"12/15/2022","257.15","264.40","264.40","256.33","685.48K","-4.47%"
"12/14/2022","269.17","270.98","273.61","267.88","1.01M","-0.94%"
"12/13/2022","271.73","272.99","276.83","267.06","1.35M","2.75%"
"12/12/2022","264.45","257.68","264.61","257.68","676.25K","1.79%"
"12/09/2022","259.81","258.00","262.42","256.99","663.81K","1.03%"
"12/08/2022","257.17","255.98","258.26","255.15","542.24K","0.94%"
"12/07/2022","254.77","256.34","258.75","253.28","846.94K","-0.78%"
"12/06/2022","256.77","263.00","264.08","255.36","637.94K","-2.25%"
"12/05/2022","262.67","262.67","263.50","258.56","740.94K","-1.06%"
"12/02/2022","265.49","261.80","266.03","260.21","887.41K","-0.47%"
"12/01/2022","266.75","265.53","266.79","260.86","650.86K","0.96%"
"11/30/2022","264.22","258.53","264.83","255.44","1.27M","1.77%"
"11/29/2022","259.63","260.71","261.87","257.12","384.38K","-0.41%"
"11/28/2022","260.71","261.75","264.96","258.85","461.75K","-1.57%"
"11/25/2022","264.86","266.32","268.25","264.37","287.67K","-0.66%"
"11/23/2022","266.61","266.96","269.02","265.85","376.86K","-0.13%"
"11/22/2022","266.97","266.06","269.86","265.67","459.05K","1.28%"
"11/21/2022","263.59","263.43","266.00","262.20","503.02K","-0.43%"
"11/18/2022","264.74","262.51","264.86","260.98","705.52K","2.35%"
"11/17/2022","258.67","260.29","261.00","253.26","833.38K","-2.13%"
"11/16/2022","264.31","269.24","271.25","262.89","690.41K","-1.94%"
"11/15/2022","269.54","271.38","273.98","267.24","751.98K","0.80%"
"11/14/2022","267.39","273.35","278.42","267.15","1.05M","-2.24%"
"11/11/2022","273.53","267.26","275.78","266.11","1.03M","3.01%"
"11/10/2022","265.54","265.67","269.98","260.33","814.85K","4.77%"
"11/09/2022","253.45","252.60","257.39","252.60","486.18K","-0.35%"
"11/08/2022","254.33","252.46","260.38","251.08","763.92K","1.37%"
"11/07/2022","250.89","248.53","251.41","246.45","764.72K","1.40%"
"11/04/2022","247.43","246.17","249.71","240.30","1.01M","1.89%"
"11/03/2022","242.83","231.79","245.67","230.90","1.12M","3.17%"
"11/02/2022","235.38","240.15","248.02","234.06","2.24M","-7.93%"
"11/01/2022","255.65","257.95","259.26","252.87","910.45K","0.14%"
"10/31/2022","255.30","255.72","259.87","255.00","912.92K","-0.69%"
"10/28/2022","257.08","250.00","258.06","248.29","852.62K","4.23%"
"10/27/2022","246.65","242.95","248.49","242.92","904.43K","2.36%"
"10/26/2022","240.96","242.29","244.87","240.18","385.81K","-0.29%"
"10/25/2022","241.65","235.27","241.93","235.27","514.34K","2.71%"
"10/24/2022","235.27","234.46","236.62","230.88","611.89K","1.47%"
"10/21/2022","231.87","225.20","232.49","221.83","1.03M","2.96%"
