"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","35.68","35.96","36.08","35.58","1.49M","-1.19%"
"02/02/2023","36.11","36.47","36.75","36.06","1.52M","-0.63%"
"02/01/2023","36.34","36.18","36.58","35.80","1.20M","-0.16%"
"01/31/2023","36.40","35.82","36.40","35.62","1.62M","2.02%"
"01/30/2023","35.68","35.97","36.18","35.68","1.03M","-0.94%"
"01/27/2023","36.02","36.03","36.15","35.72","911.07K","-0.33%"
"01/26/2023","36.14","36.53","36.71","35.92","1.03M","-0.55%"
"01/25/2023","36.34","36.03","36.67","35.76","1.23M","0.06%"
"01/24/2023","36.32","36.24","36.42","35.80","1.02M","0.47%"
"01/23/2023","36.15","36.18","36.41","35.90","1.01M","0.11%"
"01/20/2023","36.11","35.81","36.25","35.61","1.19M","0.78%"
"01/19/2023","35.83","36.54","36.64","35.79","1.23M","-2.32%"
"01/18/2023","36.68","37.47","37.47","36.62","1.15M","-1.48%"
"01/17/2023","37.23","37.91","38.13","37.23","1.23M","-1.46%"
"01/13/2023","37.78","37.42","37.86","37.42","861.47K","0.61%"
"01/12/2023","37.55","37.72","37.72","37.34","881.12K","-0.45%"
"01/11/2023","37.72","36.69","37.81","36.69","1.88M","3.34%"
"01/10/2023","36.50","36.40","36.62","36.34","980.60K","-0.08%"
"01/09/2023","36.53","36.54","36.94","36.35","1.40M","0.00%"
"01/06/2023","36.53","36.60","36.94","36.42","1.34M","0.61%"
"01/05/2023","36.31","36.74","36.83","36.26","1.39M","-1.71%"
"01/04/2023","36.94","36.77","37.42","36.64","1.50M","1.07%"
"01/03/2023","36.55","36.61","36.83","36.22","1.26M","0.03%"
"12/30/2022","36.54","36.50","36.71","36.16","1.14M","-0.33%"
"12/29/2022","36.66","36.73","37.01","36.51","866.86K","0.33%"
"12/28/2022","36.54","36.96","37.25","36.51","918.69K","-1.30%"
"12/27/2022","37.02","37.08","37.18","36.77","645.04K","-0.27%"
"12/23/2022","37.12","36.97","37.25","36.85","710.83K","0.41%"
"12/22/2022","36.97","37.05","37.05","36.52","1.20M","-1.12%"
"12/21/2022","37.39","37.33","37.47","36.93","1.20M","0.73%"
"12/20/2022","37.12","36.91","37.33","36.83","1.94M","0.49%"
"12/19/2022","36.94","36.67","37.18","36.62","2.14M","0.49%"
"12/16/2022","36.76","36.94","37.05","36.50","4.91M","-1.16%"
"12/15/2022","37.19","37.83","38.06","37.15","2.59M","-2.47%"
"12/14/2022","38.13","38.41","38.67","37.89","2.56M","-0.44%"
"12/13/2022","38.30","39.05","39.05","38.10","2.28M","-0.10%"
"12/12/2022","38.34","38.81","38.93","38.15","2.31M","-0.44%"
"12/09/2022","38.51","39.31","39.39","38.40","1.90M","-1.86%"
"12/08/2022","39.24","39.44","39.68","39.05","892.39K","-0.61%"
"12/07/2022","39.48","39.15","39.63","39.15","1.04M","0.69%"
"12/06/2022","39.21","39.73","39.94","39.20","1.58M","-0.98%"
"12/05/2022","39.60","40.00","40.17","39.25","1.34M","-2.17%"
"12/02/2022","40.48","39.99","40.58","39.68","1.22M","0.22%"
"12/01/2022","40.39","40.69","40.74","39.85","1.60M","-0.12%"
"11/30/2022","40.44","39.86","40.59","39.53","2.93M","1.53%"
"11/29/2022","39.83","39.78","39.94","39.34","1.66M","0.13%"
"11/28/2022","39.78","39.78","40.34","39.67","1.75M","-0.53%"
"11/25/2022","39.99","39.86","40.15","39.78","597.15K","0.68%"
"11/23/2022","39.72","39.73","39.98","39.53","1.77M","0.46%"
"11/22/2022","39.54","39.87","40.29","39.31","4.80M","-6.13%"
"11/21/2022","42.12","42.60","42.66","41.94","1.16M","-0.80%"
"11/18/2022","42.46","42.20","42.73","41.63","1.62M","1.48%"
"11/17/2022","41.84","41.77","41.85","41.02","1.09M","-0.45%"
"11/16/2022","42.03","41.67","42.54","41.62","952.12K","1.35%"
"11/15/2022","41.47","42.04","42.21","41.36","1.17M","-0.98%"
"11/14/2022","41.88","41.66","42.47","41.61","1.49M","0.70%"
"11/11/2022","41.59","42.20","42.20","41.26","2.09M","-1.02%"
"11/10/2022","42.02","42.73","42.86","41.47","2.13M","1.13%"
"11/09/2022","41.55","41.75","42.07","41.49","1.13M","-1.07%"
"11/08/2022","42.00","41.81","42.69","41.67","1.46M","0.60%"
"11/07/2022","41.75","41.91","42.00","41.55","1.25M","-0.38%"
"11/04/2022","41.91","42.54","43.00","41.56","1.51M","-0.90%"
"11/03/2022","42.29","41.57","42.74","41.51","1.39M","1.00%"
"11/02/2022","41.87","42.12","43.06","41.85","1.60M","-0.78%"
"11/01/2022","42.20","42.24","42.60","41.66","1.46M","0.29%"
"10/31/2022","42.08","41.58","42.24","41.47","2.16M","0.50%"
"10/28/2022","41.87","41.05","41.90","41.00","1.99M","2.07%"
"10/27/2022","41.02","40.00","41.31","39.84","2.53M","3.72%"
"10/26/2022","39.55","37.66","39.89","36.97","3.62M","10.04%"
"10/25/2022","35.94","35.82","36.08","35.06","2.01M","-0.94%"
"10/24/2022","36.28","36.94","37.20","36.27","1.40M","-0.41%"
"10/21/2022","36.43","36.03","36.54","35.66","1.17M","1.22%"
"10/20/2022","35.99","36.90","37.08","35.65","1.30M","-2.41%"
"10/19/2022","36.88","36.55","36.90","36.29","1.04M","0.57%"
"10/18/2022","36.67","36.67","36.94","36.35","899.22K","1.47%"
"10/17/2022","36.14","35.40","36.25","35.40","1.09M","3.20%"
"10/14/2022","35.02","36.46","36.56","34.48","2.38M","-2.88%"
"10/13/2022","36.06","35.48","36.36","34.53","1.60M","-0.39%"
"10/12/2022","36.20","36.56","36.56","36.17","1.17M","-0.44%"
"10/11/2022","36.36","36.41","36.62","36.03","1.01M","-0.25%"
"10/10/2022","36.45","36.32","36.63","36.00","757.95K","0.80%"
"10/07/2022","36.16","36.84","36.99","36.06","1.15M","-2.61%"
"10/06/2022","37.13","36.63","37.19","36.45","1.28M","1.23%"
"10/05/2022","36.68","36.78","37.10","36.18","1.00M","-1.13%"
"10/04/2022","37.10","35.75","37.12","35.60","1.46M","4.86%"
"10/03/2022","35.38","34.91","35.63","34.72","1.31M","2.02%"
"09/30/2022","34.68","35.14","35.61","34.64","1.33M","-1.31%"
"09/29/2022","35.14","34.78","35.25","34.69","888.27K","0.69%"
"09/28/2022","34.90","34.59","35.07","34.25","905.22K","1.63%"
"09/27/2022","34.34","34.92","35.00","34.20","737.69K","-0.84%"
"09/26/2022","34.63","34.77","35.04","34.42","832.51K","-0.43%"
"09/23/2022","34.78","34.70","34.98","34.29","857.82K","-0.34%"
"09/22/2022","34.90","35.34","35.41","34.83","576.62K","-1.69%"
"09/21/2022","35.50","36.01","36.34","35.45","688.61K","-0.73%"
"09/20/2022","35.76","36.04","36.17","35.49","833.40K","-1.30%"
"09/19/2022","36.23","35.39","36.25","35.29","973.75K","1.86%"
"09/16/2022","35.57","35.57","35.74","35.22","2.35M","-0.64%"
"09/15/2022","35.80","36.26","36.27","35.69","1.16M","-1.46%"
"09/14/2022","36.33","36.02","36.82","35.98","1.37M","1.11%"
"09/13/2022","35.93","35.73","36.38","35.57","1.45M","-0.91%"
"09/12/2022","36.26","36.15","36.40","36.06","858.32K","0.39%"
"09/09/2022","36.12","36.21","36.45","35.97","1.10M","-0.30%"
"09/08/2022","36.23","35.74","36.27","35.67","1.11M","0.75%"
"09/07/2022","35.96","35.84","36.18","35.58","1.80M","0.50%"
"09/06/2022","35.78","34.73","36.09","34.44","3.11M","6.05%"
"09/02/2022","33.74","34.50","34.51","33.56","942.60K","-1.23%"
"09/01/2022","34.16","33.67","34.17","33.38","1.36M","1.18%"
"08/31/2022","33.76","33.95","33.95","33.56","2.47M","-0.27%"
"08/30/2022","33.85","34.05","34.12","33.66","936.77K","-0.56%"
"08/29/2022","34.04","34.20","34.38","34.02","1.05M","-1.28%"
"08/26/2022","34.48","35.67","35.69","34.46","1.10M","-3.34%"
"08/25/2022","35.67","35.71","35.72","35.34","717.04K","0.22%"
"08/24/2022","35.59","35.99","36.01","35.28","1.01M","-0.61%"
"08/23/2022","35.81","36.18","36.31","35.72","1.12M","-1.62%"
"08/22/2022","36.40","36.23","36.74","36.08","1.86M","-0.38%"
"08/19/2022","36.54","37.08","37.10","36.43","1.33M","-1.75%"
"08/18/2022","37.19","37.13","37.26","37.01","1.33M","0.40%"
"08/17/2022","37.04","37.00","37.32","36.92","1.68M","-1.20%"
"08/16/2022","37.49","36.57","37.88","36.57","1.73M","1.60%"
"08/15/2022","36.90","36.69","37.06","36.58","1.11M","-0.19%"
"08/12/2022","36.97","36.68","37.08","36.45","1.39M","0.87%"
"08/11/2022","36.65","37.22","37.49","36.56","1.16M","-1.82%"
