"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","123.08","122.39","123.40","121.17","1.50M","0.44%"
"02/02/2023","122.54","124.57","124.57","122.39","1.94M","-1.80%"
"02/01/2023","124.79","123.44","126.03","122.01","2.26M","-0.02%"
"01/31/2023","124.82","124.33","124.85","123.39","1.58M","0.56%"
"01/30/2023","124.12","123.83","125.50","123.81","1.22M","0.22%"
"01/27/2023","123.85","123.63","124.04","122.52","1.02M","-0.02%"
"01/26/2023","123.87","124.78","124.91","123.07","898.69K","-0.33%"
"01/25/2023","124.28","122.52","124.30","122.23","909.07K","0.87%"
"01/24/2023","123.21","123.51","124.25","107.88","1.25M","-0.09%"
"01/23/2023","123.32","123.34","124.02","122.31","1.15M","0.14%"
"01/20/2023","123.15","121.42","123.27","120.58","1.19M","1.26%"
"01/19/2023","121.62","121.79","122.83","121.48","1.45M","-0.42%"
"01/18/2023","122.13","125.73","126.69","122.12","1.16M","-2.82%"
"01/17/2023","125.68","125.60","126.48","124.79","1.86M","0.63%"
"01/13/2023","124.89","122.92","124.97","122.50","2.37M","1.31%"
"01/12/2023","123.27","127.06","127.06","122.93","1.89M","-2.88%"
"01/11/2023","126.92","126.37","126.97","125.20","2.09M","1.40%"
"01/10/2023","125.17","125.54","125.93","123.20","3.22M","-2.00%"
"01/09/2023","127.73","128.99","129.67","127.31","2.35M","-0.49%"
"01/06/2023","128.36","126.35","129.08","126.35","2.27M","2.26%"
"01/05/2023","125.52","127.74","128.02","125.06","1.87M","-2.13%"
"01/04/2023","128.25","128.98","129.18","127.57","1.51M","-0.33%"
"01/03/2023","128.68","129.68","129.99","127.74","1.35M","-0.24%"
"12/30/2022","128.99","129.88","130.13","128.00","801.28K","-1.35%"
"12/29/2022","130.75","130.14","131.39","129.74","875.86K","1.04%"
"12/28/2022","129.41","131.04","131.30","129.32","727.92K","-1.15%"
"12/27/2022","130.92","130.81","131.13","129.95","607.32K","0.11%"
"12/23/2022","130.77","129.02","130.97","128.71","519.51K","1.03%"
"12/22/2022","129.44","131.11","131.11","128.18","806.27K","-1.55%"
"12/21/2022","131.48","130.77","131.57","129.88","922.58K","1.11%"
"12/20/2022","130.04","129.49","130.46","128.61","1.12M","0.30%"
"12/19/2022","129.65","131.00","131.06","129.06","1.73M","-1.44%"
"12/16/2022","131.55","132.29","132.51","130.98","2.49M","-1.39%"
"12/15/2022","133.40","134.87","135.18","132.38","1.01M","-1.86%"
"12/14/2022","135.93","136.77","138.12","135.36","1.03M","-0.34%"
"12/13/2022","136.40","138.37","138.37","135.99","895.21K","-0.31%"
"12/12/2022","136.82","136.69","137.56","135.59","767.09K","0.74%"
"12/09/2022","135.81","136.56","137.44","135.78","642.99K","-0.40%"
"12/08/2022","136.35","135.50","136.92","135.48","707.17K","0.58%"
"12/07/2022","135.57","135.13","136.87","134.88","843.08K","-0.97%"
"12/06/2022","136.90","138.81","139.04","136.21","841.10K","-1.59%"
"12/05/2022","139.11","139.23","139.66","138.16","759.17K","-1.00%"
"12/02/2022","140.52","138.98","140.60","137.82","809.94K","0.55%"
"12/01/2022","139.75","140.41","140.98","139.44","1.04M","0.33%"
"11/30/2022","139.29","136.13","139.29","136.04","2.11M","1.93%"
"11/29/2022","136.65","136.14","136.88","135.31","1.33M","0.10%"
"11/28/2022","136.52","136.37","138.02","136.03","1.44M","-0.26%"
"11/25/2022","136.88","136.49","137.44","136.04","510.23K","0.70%"
"11/23/2022","135.93","135.25","136.77","134.83","1.41M","0.40%"
