"Date";"american_tower";"alexandria_re";"avalonbay";"boston_properties";"cbre_a";"crown_castle";"camden_property";"digital";"equinix";"equity_residential";"essex_property";"extra_space_storage";"federal_realty";"host_hotels_resorts";"iron_mountain";"kimco_reality";"mid_america_apartment";"realty_income";"healthpeak_properties";"prologis";"public_storage";"regency_centers";"sba_communications";"simon_property";"udr";"ventas";"welltower";"weyerhaeuser"
2023-01-20;221,41;157,04;170,35;71,2;84,29;148,12;114,68;106,74;720,06;61,33;216,19;150,91;107,65;17,61;51,82;21,44;155,46;66,38;26,85;122,82;289,1;64,35;296,81;123,65;39,98;49,28;72,83;32,03
2023-01-19;223,35;154,34;168,7;70,43;83,39;145,24;114,54;104,96;702,76;60,71;216,21;150;106,52;17,08;51,1;21,14;155,26;65,31;26,61;121,29;287,55;63,46;294,45;120,93;39,61;48,36;71,65;31,1
2023-01-18;225,19;155,19;168,65;71,13;83,61;145,25;115,26;105,44;702,68;60,73;215,34;150,82;108,5;17,14;52,07;21,35;157,7;66,04;26,74;122,65;285,78;64,12;292,48;122,25;40;48,81;71,65;31,33
2023-01-17;231,05;156,16;170,01;71,8;84,7;150,31;117,74;106,85;718;61,37;220,08;153,1;110,86;17,41;52,32;21,95;161,37;66,89;27,02;121,42;291,6;65,97;302,82;125,02;40,47;49,09;71,71;31,71
2023-01-13;232,81;155,57;167,85;71,2;86,11;150,86;117,95;106;721,89;60,62;218,54;151,9;109,15;17,01;52,63;21,35;159,91;66,19;27,05;121,9;290,87;65,98;306,55;125,57;40,15;48,99;71,15;31,82
2023-01-12;232,21;155,88;170,27;71,22;85,63;151,25;118,33;107,28;725,34;61,52;220,5;154,11;109,59;17,4;52,15;21,7;160,49;66,55;27,32;122,12;296,08;66,49;306,44;125,99;40,46;49,76;72,1;32,13
2023-01-11;228,12;153,7;169,88;69,76;84,83;151,59;118,28;105,03;715,12;61,39;222,47;153,82;107,07;17,26;51,53;21,03;160,6;66;27,08;120,95;293,67;64,32;306,09;121,36;40,27;49,08;71,83;31,94
2023-01-10;221,95;147,66;162,99;67,39;82,73;147,1;113,39;102,32;695,15;58,75;214,06;146,48;101,83;16,45;50,16;20,38;154,72;64,14;26,15;116,05;281,18;62,03;293,83;116,85;38,59;47,79;68,99;30,86
2023-01-09;219,3;146,59;162,47;65,72;81,76;145,38;113,01;101,14;681,16;58,6;212,57;147,3;102,9;16,2;50,46;21,09;155,76;64,7;26,27;116,06;281,21;62,53;291,39;118,32;38,47;47,81;69,27;31,42
2023-01-06;218,5;147,6;163,63;67,05;80,92;145,71;114;101,38;673,94;59,36;214,7;144;104,24;16,17;50,69;21,53;158,31;64,08;26,74;116,65;276,76;63,59;291,45;118,87;38,7;47,82;69,78;31,61
2023-01-05;212,13;143,05;157,98;64,18;78,43;140,75;109,67;98,08;660,62;57,47;205,88;141,04;102,72;15,79;48,95;20,97;153,01;63,39;25,96;112,85;271,27;62,29;281,37;117,42;37,63;46,76;67,39;30,3
2023-01-04;219;146,89;164,32;66,71;79,72;143,35;112,75;103,65;680,15;59,85;215,25;144,47;105,06;16,17;50,88;21,65;157,74;64,61;26,39;116,96;278,11;63,69;292,63;121,16;39,25;47,03;68,84;31,23
2023-01-03;214,67;144,11;161,5;66,62;78,44;138,31;110,68;102,83;662,51;58,84;211,31;144,29;102,66;15,93;49,67;21,24;155,42;63,8;25,44;112,69;274,18;62,83;281,74;117,54;38,59;45,37;66,95;30,86
2022-12-30;211,86;145,67;161,52;67,58;76,96;135,64;111,88;100,27;655,03;59;211,92;147,18;101,04;16,05;49,85;21,18;156,99;63,43;25,07;112,73;280,19;62,5;280,31;117,48;38,73;45,05;65,55;31
2022-12-29;215,74;145,2;162,65;67,54;77,55;138,41;112,94;101,3;665,37;59,84;214,27;149,01;102,23;15,81;50,13;21,16;157,74;64,03;25,2;113,97;282,58;62,64;284,89;117,32;38,91;45,56;65,83;31,32
2022-12-28;210,1;143,45;161,08;66,34;75,41;134,86;109,86;99,4;652,54;58,78;209,23;145,33;100,67;15,84;49;20,88;153,89;63,23;24,71;110,45;277,99;61,65;278,7;115,06;37,94;44,81;64,84;30,63
2022-12-27;210,9;146,45;162,8;68,9;76,49;136,93;111,51;100,35;654,58;59,47;210,94;147,54;102,52;16,16;50,7;21,3;156,82;64,11;25,31;113,29;283,04;62,61;282,5;118,1;38,52;45,82;65,94;31,47
2022-12-23;212,45;147,24;163,03;68,4;76,67;136,98;111,31;100,87;657,68;59,44;211,65;146,91;102,34;16,34;50,63;21,27;156,35;64,41;25,17;113,62;283,21;62,64;282,51;117,91;38,75;45,49;65,07;31,49
2022-12-22;210,6;146,07;161,85;68,25;75,68;135,6;110,16;99,86;655,08;59,02;208,93;146,08;101,25;16,05;50,68;20,9;154,93;63,45;24,93;113,27;279,99;62,27;280,09;116,36;38,42;45,26;64,53;31,05
2022-12-21;210,6;146,89;162,37;67,51;76,62;134,5;110,52;100,45;665,95;59,11;208,85;146,97;101,76;15,88;50,71;21,1;155,96;64,24;25,03;113,94;283,67;62,51;280,68;116,55;38,27;44,84;63,97;31,11
2022-12-20;208,69;144,87;161,21;66,96;74,87;133,81;109,8;98,74;652,15;58,95;207,5;145,99;100,88;16,91;50,11;20,92;154,11;63,11;24,74;112,18;282,26;61,67;278,36;115,66;38,01;44,66;63,55;30,91
2022-12-19;209,62;144,11;162,22;66,52;75,01;133,21;110,39;99,39;658,19;59,65;208,57;146,71;101,35;16,78;50,21;20,98;155,31;63,54;24,9;112,07;284,43;62,33;277,46;115,62;38,45;44,55;63,7;30,83
2022-12-16;213,45;144,9;165;67,28;75,8;134,77;112,2;101,54;667,84;60,83;212,12;149,3;102,53;17;51,61;21,23;157,6;63,48;25,15;112,24;286,47;62,73;280,29;116,32;39,12;44,65;64,32;31,3
2022-12-15;218,22;150,39;168,79;69,12;77,44;138;114,73;104,28;691,36;62,76;218,26;155,62;104,49;17,12;54,32;21,53;161,17;64,64;25,5;118,59;298,81;63,45;288,65;118,21;40,37;46,28;67,12;31,76
2022-12-14;219,85;152,97;172,08;69,54;79,41;137,48;116,78;104,64;703,43;63,93;220,94;156,01;108,78;17,58;54,96;22,01;164,46;64,66;25,49;121,58;300,18;65,53;294,39;119,71;40,58;46,47;67,35;32,67
2022-12-13;223,39;152,7;173,4;68,04;79,86;144,97;118,44;111,09;707,01;64,16;223,21;157,64;108,55;18,07;55,54;21,95;165,63;64,96;25,63;121,09;301,92;65,68;301,48;120,24;40,89;46,29;66,26;32,89
2022-12-12;215,87;150,07;171,55;67,68;76,5;140,73;116,29;108,33;680,37;63,54;218,61;158,62;107,65;18,1;54,83;21,82;163,62;64,67;25,3;118,03;301,42;65,57;290,53;118,62;40,3;45,87;65,73;32,32
