"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","104.30","104.58","106.44","103.04","15.20M","-4.44%"
"02/02/2023","109.15","110.04","110.83","108.00","9.60M","-0.76%"
"02/01/2023","109.99","108.97","110.78","107.98","5.82M","0.78%"
"01/31/2023","109.14","108.26","109.15","107.50","5.82M","0.68%"
"01/30/2023","108.40","108.26","108.87","107.42","6.88M","-0.57%"
"01/27/2023","109.02","108.74","109.76","108.34","6.85M","0.24%"
"01/26/2023","108.76","107.30","108.80","107.06","6.32M","1.66%"
"01/25/2023","106.98","106.06","107.14","105.90","5.41M","0.32%"
"01/24/2023","106.64","106.40","106.87","105.41","5.49M","0.40%"
"01/23/2023","106.21","105.04","106.89","104.40","6.21M","1.11%"
"01/20/2023","105.04","104.40","105.20","103.89","6.54M","0.75%"
"01/19/2023","104.26","105.00","105.70","104.24","5.08M","-0.70%"
"01/18/2023","105.00","107.14","107.47","104.91","5.73M","-1.64%"
"01/17/2023","106.75","106.95","107.60","106.31","7.45M","-0.45%"
"01/13/2023","107.23","105.07","107.30","105.07","5.53M","1.30%"
"01/12/2023","105.85","106.29","106.44","105.17","4.88M","-0.42%"
"01/11/2023","106.30","105.81","106.44","104.86","5.63M","0.28%"
"01/10/2023","106.00","104.36","106.43","104.17","4.18M","1.20%"
"01/09/2023","104.74","106.52","106.68","104.43","9.43M","-1.83%"
"01/06/2023","106.69","105.38","107.00","105.01","9.64M","2.16%"
"01/05/2023","104.43","104.49","105.10","103.49","5.57M","-0.03%"
"01/04/2023","104.46","102.69","104.73","102.55","8.14M","3.60%"
"01/03/2023","100.83","100.56","101.17","99.47","6.60M","1.64%"
"12/30/2022","99.20","99.19","99.25","98.24","3.99M","-0.57%"
"12/29/2022","99.77","99.00","100.65","98.67","3.97M","1.19%"
"12/28/2022","98.60","99.41","99.91","98.39","3.49M","-0.60%"
"12/27/2022","99.20","98.57","99.46","98.21","4.40M","0.95%"
"12/23/2022","98.27","97.59","98.30","96.88","3.94M","0.52%"
"12/22/2022","97.76","98.45","98.56","96.17","4.76M","-0.92%"
"12/21/2022","98.67","96.72","99.07","96.35","5.56M","0.68%"
"12/20/2022","98.00","98.19","98.57","97.27","4.52M","-0.31%"
"12/19/2022","98.30","98.43","98.81","97.73","5.75M","-0.54%"
"12/16/2022","98.83","99.28","99.54","98.02","13.86M","-1.16%"
"12/15/2022","99.99","101.21","101.55","99.44","7.20M","-2.15%"
"12/14/2022","102.19","102.32","103.30","100.70","5.62M","0.08%"
"12/13/2022","102.11","104.82","105.20","100.99","7.06M","-0.57%"
"12/12/2022","102.70","101.13","102.85","100.82","5.49M","0.89%"
"12/09/2022","101.79","103.43","103.50","101.75","8.00M","-1.88%"
"12/08/2022","103.74","102.74","103.90","102.40","5.33M","1.84%"
"12/07/2022","101.87","101.29","102.97","101.06","4.10M","-0.21%"
"12/06/2022","102.08","103.82","104.19","101.44","8.20M","-1.42%"
"12/05/2022","103.55","103.39","104.24","103.00","9.26M","-1.43%"
"12/02/2022","105.05","102.02","105.54","101.82","7.92M","1.63%"
"12/01/2022","103.37","102.33","103.56","101.95","7.45M","1.14%"
"11/30/2022","102.20","99.05","102.56","98.52","15.00M","3.59%"
"11/29/2022","98.66","98.96","99.33","98.20","4.42M","0.00%"
"11/28/2022","98.66","98.99","100.16","98.56","5.26M","-0.90%"
"11/25/2022","99.56","99.64","99.88","98.52","2.32M","0.04%"
"11/23/2022","99.52","98.49","100.08","98.27","5.94M","1.11%"
"11/22/2022","98.43","98.50","98.73","97.52","5.40M","0.11%"
"11/21/2022","98.32","96.99","98.49","96.70","4.50M","0.38%"
"11/18/2022","97.95","97.75","98.35","97.13","5.96M","1.01%"
"11/17/2022","96.97","95.21","97.01","95.10","5.25M","-0.10%"
"11/16/2022","97.07","96.52","97.96","96.26","5.35M","-0.78%"
"11/15/2022","97.83","98.91","99.53","97.29","6.41M","0.42%"
"11/14/2022","97.42","97.13","98.56","96.68","8.52M","0.04%"
"11/11/2022","97.38","96.76","98.67","96.57","8.29M","1.16%"
"11/10/2022","96.26","93.89","96.42","93.33","10.41M","5.05%"
