"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","323.61","332.37","336.50","322.64","2.11M","1.31%"
"02/07/2023","319.41","319.98","321.91","311.15","884.67K","-0.04%"
"02/06/2023","319.55","310.41","321.04","310.21","600.83K","1.12%"
"02/03/2023","316.00","318.05","325.92","313.79","656.29K","-3.54%"
"02/02/2023","327.61","335.00","338.35","319.71","931.72K","-0.02%"
"02/01/2023","327.69","315.62","331.35","312.49","1.12M","2.68%"
"01/31/2023","319.13","305.17","319.35","304.33","899.79K","5.72%"
"01/30/2023","301.87","300.44","307.90","299.25","885.20K","-1.49%"
"01/27/2023","306.44","298.30","311.54","298.00","597.08K","1.01%"
"01/26/2023","303.38","308.23","309.08","295.26","656.74K","0.95%"
"01/25/2023","300.52","294.40","301.30","286.30","1.39M","-2.55%"
"01/24/2023","308.37","301.25","309.99","298.00","1.02M","-0.26%"
"01/23/2023","309.18","295.35","314.21","291.15","810.57K","4.90%"
"01/20/2023","294.73","290.35","296.31","285.01","1.31M","2.79%"
"01/19/2023","286.72","314.28","316.03","284.80","1.77M","-10.32%"
"01/18/2023","319.70","324.10","328.88","314.51","632.19K","-0.15%"
"01/17/2023","320.17","315.00","325.52","312.31","886.89K","1.63%"
"01/13/2023","315.02","303.01","316.79","303.01","660.88K","1.80%"
"01/12/2023","309.46","306.73","310.59","300.26","781.92K","2.42%"
"01/11/2023","302.15","286.41","306.16","285.50","1.20M","5.84%"
"01/10/2023","285.48","284.00","288.09","277.08","796.21K","0.47%"
"01/09/2023","284.14","284.45","297.69","283.96","886.70K","0.83%"
"01/06/2023","281.81","280.99","284.57","269.62","1.19M","1.83%"
"01/05/2023","276.75","285.47","286.84","276.42","689.07K","-4.75%"
"01/04/2023","290.56","290.00","296.37","287.07","653.19K","1.80%"
"01/03/2023","285.43","294.14","298.00","281.18","1.13M","0.76%"
"12/30/2022","283.27","276.16","283.59","273.67","485.68K","0.93%"
