"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","241.73","241.78","242.99","240.09","1.69M","-1.48%"
"02/02/2023","245.35","243.95","247.75","242.38","1.68M","0.88%"
"02/01/2023","243.22","236.15","244.47","235.02","1.81M","2.80%"
"01/31/2023","236.59","231.84","237.08","231.34","2.24M","2.47%"
"01/30/2023","230.88","230.47","232.86","229.78","2.28M","1.02%"
"01/27/2023","228.54","225.10","230.65","225.10","2.87M","1.55%"
"01/26/2023","225.06","220.80","230.28","219.07","7.69M","-8.92%"
"01/25/2023","247.09","245.53","249.37","244.70","1.59M","-0.91%"
"01/24/2023","249.36","246.53","249.74","243.40","1.10M","1.35%"
"01/23/2023","246.04","244.28","247.72","242.18","1.11M","0.30%"
"01/20/2023","245.31","236.02","246.31","234.66","1.65M","4.68%"
"01/19/2023","234.34","241.81","243.71","233.87","1.43M","-4.07%"
"01/18/2023","244.27","249.50","249.92","244.09","1.38M","-1.42%"
"01/17/2023","247.80","246.49","248.45","244.80","1.38M","0.78%"
"01/13/2023","245.88","241.03","246.45","241.03","827.10K","0.88%"
"01/12/2023","243.74","244.16","246.57","238.55","1.08M","-0.01%"
"01/11/2023","243.76","237.16","243.96","236.74","1.46M","4.13%"
"01/10/2023","234.10","233.94","235.87","232.62","865.39K","-0.81%"
"01/09/2023","236.01","237.10","241.26","234.07","1.05M","0.09%"
"01/06/2023","235.80","229.46","237.21","228.11","1.40M","3.53%"
"01/05/2023","227.75","239.80","241.14","226.50","1.60M","-6.73%"
"01/04/2023","244.18","242.41","245.10","240.68","789.34K","2.01%"
"01/03/2023","239.37","240.58","241.09","236.91","1.00M","0.86%"
"12/30/2022","237.33","239.62","240.86","235.10","877.69K","-1.65%"
"12/29/2022","241.32","239.31","242.10","239.00","605.21K","1.62%"
"12/28/2022","237.48","240.00","242.27","237.18","859.38K","-0.81%"
"12/27/2022","239.42","241.83","242.69","239.08","653.27K","-1.34%"
"12/23/2022","242.67","240.69","244.23","238.84","604.99K","0.57%"
"12/22/2022","241.30","239.18","241.53","237.72","934.24K","-0.38%"
"12/21/2022","242.21","239.48","242.31","238.52","1.05M","1.52%"
"12/20/2022","238.58","237.09","240.49","236.42","952.80K","0.20%"
"12/19/2022","238.11","239.67","241.61","237.15","1.03M","-0.98%"
"12/16/2022","240.47","242.01","243.54","238.51","2.30M","-1.52%"
"12/15/2022","244.19","246.01","246.01","241.23","1.32M","-1.81%"
"12/14/2022","248.68","254.00","258.93","248.64","1.74M","-3.93%"
"12/13/2022","258.86","261.88","265.64","255.03","1.31M","1.96%"
"12/12/2022","253.88","254.68","254.68","249.03","1.33M","0.40%"
"12/09/2022","252.88","254.19","255.22","251.95","972.67K","-0.62%"
"12/08/2022","254.45","251.52","254.58","249.88","1.15M","1.33%"
"12/07/2022","251.12","253.36","255.46","249.99","1.29M","-0.92%"
"12/06/2022","253.46","254.41","255.55","249.38","1.15M","-0.05%"
"12/05/2022","253.59","253.75","256.50","252.92","1.43M","-1.61%"
"12/02/2022","257.75","248.38","259.69","246.68","1.77M","2.44%"
"12/01/2022","251.61","253.31","253.31","248.89","1.06M","0.98%"
"11/30/2022","249.18","237.51","249.59","236.63","2.87M","3.15%"
"11/29/2022","241.57","245.00","246.95","239.61","1.24M","-1.62%"
"11/28/2022","245.56","247.37","249.80","245.11","816.96K","-1.59%"
"11/25/2022","249.52","248.00","249.87","246.94","403.94K","-0.19%"
"11/23/2022","250.00","243.59","250.06","241.64","1.38M","2.69%"
"11/22/2022","243.45","240.04","243.58","235.62","2.05M","1.75%"
"11/21/2022","239.26","240.50","243.97","238.74","1.58M","-0.32%"
"11/18/2022","240.04","240.00","244.89","237.60","1.39M","1.24%"
"11/17/2022","237.11","238.13","238.68","231.67","1.52M","-1.54%"
"11/16/2022","240.81","239.99","243.17","239.10","1.54M","0.09%"
"11/15/2022","240.59","239.00","243.56","237.87","1.80M","2.78%"
"11/14/2022","234.08","236.74","237.62","233.16","2.78M","-1.33%"
"11/11/2022","237.24","237.52","242.38","236.13","1.91M","-0.74%"
"11/10/2022","239.00","234.12","244.86","231.74","2.70M","7.66%"
"11/09/2022","222.00","224.25","225.99","221.44","988.25K","-1.52%"
"11/08/2022","225.42","223.53","228.28","221.75","1.27M","1.83%"
