"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","323.21","320.77","335.08","315.73","903.75K","-3.09%"
"02/02/2023","333.50","322.97","348.06","321.65","2.13M","6.42%"
"02/01/2023","313.38","300.69","318.54","298.80","1.16M","3.62%"
"01/31/2023","302.44","293.96","302.57","290.48","724.64K","2.88%"
"01/30/2023","293.96","295.92","302.33","290.49","634.98K","-2.80%"
"01/27/2023","302.44","293.63","305.12","292.48","664.91K","2.31%"
"01/26/2023","295.62","300.00","301.99","291.78","657.77K","0.29%"
"01/25/2023","294.76","282.90","295.33","278.85","833.79K","2.22%"
"01/24/2023","288.35","294.64","298.95","288.28","1.01M","-3.46%"
"01/23/2023","298.69","294.73","305.49","290.11","1.80M","2.49%"
"01/20/2023","291.44","286.66","305.67","274.30","3.09M","16.56%"
"01/19/2023","250.04","246.05","254.90","242.52","1.53M","-0.77%"
"01/18/2023","251.98","258.96","265.29","251.55","997.41K","-3.08%"
"01/17/2023","259.99","254.08","261.45","249.18","898.38K","2.87%"
"01/13/2023","252.73","248.06","255.65","243.17","1.10M","-0.43%"
"01/12/2023","253.82","259.19","261.26","250.48","843.45K","-0.46%"
"01/11/2023","254.99","255.31","257.52","251.30","745.71K","0.91%"
"01/10/2023","252.68","246.46","253.46","245.20","547.50K","1.30%"
"01/09/2023","249.43","247.96","254.94","244.53","1.10M","1.48%"
"01/06/2023","245.79","237.12","248.19","231.43","1.02M","5.68%"
"01/05/2023","232.59","235.71","237.39","222.41","985.26K","-3.11%"
"01/04/2023","240.06","230.10","241.63","228.71","853.42K","6.59%"
"01/03/2023","225.22","232.17","235.00","221.65","764.59K","-2.14%"
"12/30/2022","230.14","229.85","235.00","226.12","710.18K","-1.91%"
"12/29/2022","234.63","219.53","236.48","218.67","1.03M","8.40%"
"12/28/2022","216.45","215.61","217.81","212.84","480.00K","0.16%"
"12/27/2022","216.11","216.40","219.31","210.33","485.23K","-0.34%"
"12/23/2022","216.85","215.13","216.97","211.63","332.55K","0.49%"
"12/22/2022","215.80","213.65","215.98","207.37","813.54K","-0.71%"
"12/21/2022","217.35","216.19","219.80","215.16","603.60K","2.30%"
"12/20/2022","212.46","210.18","214.35","208.47","817.24K","0.98%"
"12/19/2022","210.39","212.91","212.91","208.00","724.14K","-1.41%"
"12/16/2022","213.40","219.08","220.37","209.99","1.91M","-3.26%"
"12/15/2022","220.60","224.15","228.65","219.78","1.05M","-4.32%"
"12/14/2022","230.57","231.76","237.78","228.70","967.56K","-1.53%"
"12/13/2022","234.15","233.94","247.50","229.07","1.92M","4.81%"
"12/12/2022","223.40","221.84","226.37","216.10","1.02M","1.42%"
"12/09/2022","220.27","223.50","225.00","219.44","891.73K","-1.06%"
"12/08/2022","222.64","210.59","223.29","208.25","1.52M","6.89%"
