"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","52.64","52.82","54.67","52.55","10.74M","0.67%"
"02/02/2023","52.29","55.26","55.26","51.97","17.00M","-6.12%"
"02/01/2023","55.70","56.91","57.44","55.00","10.43M","-2.25%"
"01/31/2023","56.98","56.28","57.44","55.98","5.95M","1.14%"
"01/30/2023","56.34","56.63","56.83","56.12","6.10M","-1.11%"
"01/27/2023","56.97","57.32","58.10","56.60","7.67M","-0.87%"
"01/26/2023","57.47","56.62","57.55","55.30","8.45M","2.17%"
"01/25/2023","56.25","55.15","56.50","54.27","8.87M","1.41%"
"01/24/2023","55.47","54.07","62.78","54.07","8.77M","-0.70%"
"01/23/2023","55.86","57.50","57.70","55.23","15.00M","-2.60%"
"01/20/2023","57.35","57.49","58.99","56.22","19.20M","-0.05%"
"01/19/2023","57.38","56.29","57.94","56.21","14.82M","0.44%"
"01/18/2023","57.13","58.94","59.45","57.03","11.33M","-2.28%"
"01/17/2023","58.46","58.15","58.92","57.96","8.46M","0.31%"
"01/13/2023","58.28","57.99","58.52","57.33","7.35M","0.48%"
"01/12/2023","58.00","56.23","58.60","56.18","12.80M","2.98%"
"01/11/2023","56.32","55.95","56.74","55.72","8.85M","0.64%"
"01/10/2023","55.96","55.60","56.17","54.95","6.72M","0.58%"
"01/09/2023","55.64","55.28","56.28","55.10","12.10M","2.09%"
"01/06/2023","54.50","53.45","54.70","53.30","10.17M","3.47%"
"01/05/2023","52.67","51.66","53.21","51.66","6.61M","1.88%"
"01/04/2023","51.70","50.46","52.03","50.19","9.07M","0.39%"
"01/03/2023","51.50","52.86","53.59","50.36","8.46M","-3.67%"
"12/30/2022","53.46","52.52","53.54","52.40","4.63M","1.04%"
"12/29/2022","52.91","52.41","53.16","52.06","5.20M","0.59%"
"12/28/2022","52.60","53.37","53.64","51.99","7.18M","-1.68%"
"12/27/2022","53.50","53.34","53.87","52.79","6.15M","0.96%"
"12/23/2022","52.99","52.20","53.00","51.38","8.08M","3.11%"
"12/22/2022","51.39","53.32","53.53","50.13","7.55M","-3.60%"
"12/21/2022","53.31","52.85","53.59","51.92","9.00M","2.99%"
"12/20/2022","51.76","49.95","52.09","49.82","11.47M","3.87%"
"12/19/2022","49.83","49.96","50.54","49.42","7.45M","0.91%"
"12/16/2022","49.38","48.95","49.46","48.25","22.95M","-1.46%"
"12/15/2022","50.11","50.12","50.45","49.35","10.50M","-0.63%"
"12/14/2022","50.43","51.33","51.56","49.94","10.21M","-1.21%"
"12/13/2022","51.05","50.25","51.38","49.95","11.55M","3.97%"
"12/12/2022","49.10","47.06","49.21","47.00","11.24M","4.53%"
"12/09/2022","46.97","49.92","50.53","46.83","16.08M","-5.91%"
"12/08/2022","49.92","50.91","51.62","49.50","9.32M","0.24%"
"12/07/2022","49.80","50.98","51.80","49.55","9.44M","-2.12%"
