"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","259.66","256.52","259.78","255.29","282.70K","0.66%"
"02/02/2023","257.97","254.60","259.55","251.85","751.86K","3.04%"
"02/01/2023","250.37","247.50","251.98","246.42","443.69K","0.66%"
"01/31/2023","248.73","243.42","248.99","242.02","363.69K","2.56%"
"01/30/2023","242.51","243.59","246.41","242.37","260.46K","-0.79%"
"01/27/2023","244.45","242.19","246.33","241.98","240.50K","0.65%"
"01/26/2023","242.87","242.01","243.34","239.84","175.37K","0.94%"
"01/25/2023","240.62","239.26","241.35","238.10","254.80K","-0.14%"
"01/24/2023","240.96","237.03","242.52","237.03","193.94K","0.89%"
"01/23/2023","238.83","239.48","240.39","237.47","181.60K","0.18%"
"01/20/2023","238.41","235.73","238.57","233.43","298.46K","1.67%"
"01/19/2023","234.49","240.41","240.72","234.49","414.95K","-2.66%"
"01/18/2023","240.89","246.14","248.49","240.82","312.79K","-1.83%"
"01/17/2023","245.38","248.48","250.63","244.93","256.36K","-1.38%"
"01/13/2023","248.81","247.09","249.77","246.13","236.46K","0.23%"
"01/12/2023","248.24","248.00","248.73","245.54","268.86K","0.53%"
"01/11/2023","246.93","245.30","247.68","245.30","348.32K","1.03%"
"01/10/2023","244.42","240.40","244.85","240.37","256.94K","1.67%"
"01/09/2023","240.40","237.50","245.43","236.98","365.13K","1.26%"
"01/06/2023","237.41","232.68","238.33","232.59","260.42K","3.20%"
"01/05/2023","230.05","231.43","232.19","229.21","256.12K","-0.98%"
"01/04/2023","232.32","230.99","232.41","229.59","189.84K","1.28%"
"01/03/2023","229.38","230.18","231.58","227.22","310.73K","0.39%"
"12/30/2022","228.49","229.18","229.68","226.78","180.01K","-0.75%"
"12/29/2022","230.21","227.86","230.97","226.98","163.76K","1.66%"
"12/28/2022","226.46","230.79","231.35","226.21","170.65K","-1.41%"
"12/27/2022","229.70","227.65","230.60","227.65","155.98K","0.86%"
"12/23/2022","227.74","225.32","227.86","224.45","124.96K","1.10%"
"12/22/2022","225.27","227.34","227.34","220.21","339.23K","-1.73%"
"12/21/2022","229.24","226.57","229.26","225.77","212.36K","2.03%"
"12/20/2022","224.67","223.48","225.50","223.07","214.06K","0.24%"
"12/19/2022","224.13","226.05","227.26","223.25","315.13K","-0.70%"
"12/16/2022","225.72","227.95","229.95","224.69","884.45K","-2.00%"
"12/15/2022","230.33","230.76","231.25","228.32","301.88K","-1.15%"
"12/14/2022","233.00","235.95","236.60","230.12","445.51K","-1.36%"
"12/13/2022","236.21","241.04","241.04","234.66","296.37K","0.22%"
"12/12/2022","235.68","234.21","236.40","233.19","291.36K","0.79%"
"12/09/2022","233.84","234.42","236.79","233.80","255.86K","-0.14%"
"12/08/2022","234.16","237.28","238.05","232.68","294.79K","-0.88%"
"12/07/2022","236.23","236.48","238.71","236.06","242.65K","-0.37%"
"12/06/2022","237.10","237.80","239.47","235.13","298.29K","-1.08%"
"12/05/2022","239.68","242.69","242.87","239.25","318.27K","-2.16%"
"12/02/2022","244.96","240.19","245.56","240.19","248.34K","1.16%"
"12/01/2022","242.14","242.83","243.76","240.08","268.94K","0.64%"
"11/30/2022","240.60","238.57","240.76","234.02","560.66K","0.59%"
"11/29/2022","239.18","239.22","240.77","238.14","342.29K","0.19%"
"11/28/2022","238.73","241.27","242.06","238.24","287.72K","-1.67%"
"11/25/2022","242.78","242.75","243.92","241.47","100.65K","0.67%"
"11/23/2022","241.17","240.16","242.21","239.36","155.69K","0.64%"
