"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","67.27","68.14","68.27","66.24","3.89M","-1.97%"
"02/02/2023","68.62","68.79","69.21","67.49","4.82M","-0.35%"
"02/01/2023","68.86","67.49","69.44","67.39","5.79M","1.74%"
"01/31/2023","67.68","67.68","67.80","66.87","5.42M","0.37%"
"01/30/2023","67.43","67.68","68.25","67.42","3.50M","-0.84%"
"01/27/2023","68.00","67.34","68.17","67.03","2.90M","0.71%"
"01/26/2023","67.52","66.95","67.76","66.77","3.24M","0.39%"
"01/25/2023","67.26","66.20","67.37","65.76","3.80M","0.84%"
"01/24/2023","66.70","74.93","74.93","58.85","3.44M","-0.24%"
"01/23/2023","66.86","66.95","67.76","66.55","3.50M","-0.39%"
"01/20/2023","67.12","66.33","67.16","65.13","3.96M","1.01%"
"01/19/2023","66.45","67.47","67.61","66.33","3.97M","-1.88%"
"01/18/2023","67.72","70.20","70.25","67.68","3.45M","-3.33%"
"01/17/2023","70.05","70.05","70.92","69.91","3.60M","-0.38%"
"01/13/2023","70.32","69.95","70.57","69.33","3.64M","-0.03%"
"01/12/2023","70.34","71.42","71.53","70.27","5.03M","-1.70%"
"01/11/2023","71.56","71.15","71.64","70.98","2.93M","0.63%"
"01/10/2023","71.11","71.37","71.37","70.44","3.21M","-0.55%"
"01/09/2023","71.50","71.40","72.19","71.24","3.17M","-0.18%"
"01/06/2023","71.63","71.14","72.06","70.92","4.04M","1.78%"
"01/05/2023","70.38","72.00","72.23","70.12","4.10M","-2.94%"
"01/04/2023","72.51","72.03","73.04","71.82","3.86M","0.85%"
"01/03/2023","71.90","71.43","72.02","70.69","3.76M","0.69%"
"12/30/2022","71.41","72.18","72.27","70.81","2.91M","-1.08%"
"12/29/2022","72.19","71.95","72.48","71.89","2.36M","0.75%"
"12/28/2022","71.65","72.42","72.82","71.47","2.27M","-0.86%"
"12/27/2022","72.27","71.75","72.43","71.40","3.51M","0.74%"
"12/23/2022","71.74","70.64","71.75","70.64","2.98M","1.38%"
"12/22/2022","70.76","70.64","70.89","69.69","3.55M","0.04%"
"12/21/2022","70.73","69.81","71.19","69.61","6.73M","1.81%"
"12/20/2022","69.47","68.85","70.00","68.47","4.94M","0.81%"
"12/19/2022","68.91","69.17","69.46","68.50","4.36M","-0.75%"
"12/16/2022","69.43","69.96","70.23","68.40","18.47M","-1.34%"
"12/15/2022","70.37","70.65","71.37","70.18","6.07M","-1.04%"
"12/14/2022","71.11","71.43","72.05","70.50","5.04M","-0.14%"
"12/13/2022","71.21","71.88","72.39","70.47","4.35M","0.25%"
"12/12/2022","71.03","69.75","71.11","69.29","5.79M","3.91%"
"12/09/2022","68.36","68.32","68.74","68.03","3.47M","-0.47%"
"12/08/2022","68.68","68.35","69.14","68.11","3.67M","0.26%"
"12/07/2022","68.50","68.35","69.27","68.24","4.82M","0.03%"
"12/06/2022","68.48","67.85","68.51","67.78","6.58M","1.48%"
"12/05/2022","67.48","66.79","67.77","66.69","4.26M","0.21%"
"12/02/2022","67.34","67.12","67.54","66.78","4.00M","-0.56%"
"12/01/2022","67.72","67.94","68.56","67.16","4.81M","0.12%"
"11/30/2022","67.64","65.62","67.82","65.47","8.26M","2.91%"
"11/29/2022","65.73","65.46","65.76","65.03","4.41M","-0.17%"
"11/28/2022","65.84","66.41","66.77","65.57","4.91M","-1.60%"
"11/25/2022","66.91","66.63","67.19","66.53","1.44M","0.83%"
"11/23/2022","66.36","65.82","66.38","65.60","3.90M","0.62%"
"11/22/2022","65.95","65.99","66.44","65.55","3.76M","0.33%"
"11/21/2022","65.73","65.38","65.92","65.11","4.84M","0.24%"
"11/18/2022","65.57","64.70","65.63","64.41","5.20M","1.00%"
"11/17/2022","64.92","65.31","65.74","64.61","4.47M","-1.38%"
"11/16/2022","65.83","66.00","66.46","65.48","5.34M","-0.09%"
"11/15/2022","65.89","65.29","65.94","64.66","5.91M","2.09%"
"11/14/2022","64.54","65.47","65.84","64.52","5.16M","-0.84%"
"11/11/2022","65.09","65.85","65.89","64.52","4.64M","-0.94%"
"11/10/2022","65.71","65.00","65.80","63.95","5.14M","3.58%"
"11/09/2022","63.44","63.87","64.37","63.31","3.40M","-0.80%"
"11/08/2022","63.95","63.55","64.37","63.39","3.35M","0.93%"
"11/07/2022","63.36","64.82","64.82","62.42","5.01M","-2.39%"
"11/04/2022","64.91","65.00","65.29","63.95","3.54M","0.09%"
"11/03/2022","64.85","64.26","65.44","63.88","4.16M","0.08%"
"11/02/2022","64.80","65.34","66.64","64.77","4.29M","-1.11%"
"11/01/2022","65.53","65.77","66.06","64.98","3.20M","0.08%"
"10/31/2022","65.48","65.99","66.28","65.15","5.05M","-1.30%"
"10/28/2022","66.34","65.51","67.12","65.51","4.51M","1.80%"
"10/27/2022","65.17","66.46","66.89","65.01","7.11M","-0.72%"
"10/26/2022","65.64","66.00","66.44","65.12","4.31M","-0.12%"
"10/25/2022","65.72","64.69","65.79","64.68","3.75M","1.75%"
"10/24/2022","64.59","64.62","65.04","63.81","4.33M","0.14%"
"10/21/2022","64.50","63.56","64.80","63.36","5.23M","1.57%"
"10/20/2022","63.50","65.04","65.04","63.39","4.10M","-1.84%"
"10/19/2022","64.69","64.55","65.12","64.18","3.16M","-1.07%"
"10/18/2022","65.39","65.17","65.86","64.82","3.84M","1.73%"
"10/17/2022","64.28","64.08","65.15","64.08","4.02M","1.21%"
"10/14/2022","63.51","64.65","65.77","63.20","5.08M","-0.84%"
"10/13/2022","64.05","60.96","64.14","60.71","5.25M","4.15%"
"10/12/2022","61.50","63.55","63.78","61.48","5.07M","-3.36%"
"10/11/2022","63.64","63.65","64.55","63.37","3.91M","-0.55%"
"10/10/2022","63.99","64.26","64.98","63.94","2.94M","-0.20%"
"10/07/2022","64.12","65.83","65.99","63.79","4.89M","-2.45%"
"10/06/2022","65.73","68.50","68.57","65.67","6.65M","-4.36%"
"10/05/2022","68.73","69.97","69.97","68.01","4.03M","-2.77%"
"10/04/2022","70.69","69.86","71.11","69.33","4.52M","1.38%"
"10/03/2022","69.73","69.27","70.28","68.52","4.28M","2.54%"
"09/30/2022","68.00","69.79","70.10","67.85","7.16M","-1.99%"
"09/29/2022","69.38","72.45","72.67","69.27","3.99M","-4.33%"
"09/28/2022","72.52","72.60","72.95","71.68","4.00M","1.12%"
"09/27/2022","71.72","73.60","73.60","71.46","3.98M","-1.95%"
"09/26/2022","73.15","74.94","74.95","72.21","4.10M","-2.45%"
"09/23/2022","74.99","75.30","75.52","74.24","3.28M","-1.25%"
"09/22/2022","75.94","76.13","76.54","75.55","2.83M","-0.25%"
"09/21/2022","76.13","77.63","78.22","76.12","2.46M","-1.41%"
"09/20/2022","77.22","77.82","77.91","76.40","3.00M","-1.34%"
"09/19/2022","78.27","77.03","78.34","76.69","3.98M","1.32%"
"09/16/2022","77.25","77.27","77.83","76.91","8.14M","-0.05%"
"09/15/2022","77.29","79.15","79.15","77.23","3.98M","-2.69%"
"09/14/2022","79.43","78.35","79.74","78.35","2.91M","1.53%"
"09/13/2022","78.23","79.47","79.78","77.89","3.21M","-2.40%"
"09/12/2022","80.15","79.60","80.32","79.40","3.37M","0.79%"
"09/09/2022","79.52","79.72","80.08","79.19","3.24M","0.14%"
"09/08/2022","79.41","79.54","80.02","79.04","2.68M","-0.43%"
