"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","155.90","160.07","160.88","154.65","1.46M","-3.25%"
"02/02/2023","161.13","160.78","162.00","158.20","1.94M","0.78%"
"02/01/2023","159.88","159.56","161.45","158.58","1.19M","-0.28%"
"01/31/2023","160.33","161.24","161.36","157.81","1.51M","-0.56%"
"01/30/2023","161.24","160.93","162.66","160.78","1.54M","-0.36%"
"01/27/2023","161.83","160.49","162.72","160.05","1.28M","0.83%"
"01/26/2023","160.50","158.50","160.51","158.21","822.05K","0.96%"
"01/25/2023","158.98","157.93","159.10","157.01","662.75K","-0.09%"
"01/24/2023","159.12","156.88","159.74","156.74","837.14K","0.24%"
"01/23/2023","158.74","158.00","160.13","156.77","802.99K","0.47%"
"01/20/2023","157.99","156.48","158.21","154.55","1.37M","1.42%"
"01/19/2023","155.78","156.49","157.14","153.81","1.49M","-0.58%"
"01/18/2023","156.69","162.53","162.53","156.11","1.15M","-3.14%"
"01/17/2023","161.77","161.21","163.63","161.04","1.47M","0.58%"
"01/13/2023","160.83","160.24","161.45","158.93","1.13M","-0.06%"
"01/12/2023","160.93","162.42","162.70","160.18","1.18M","-0.70%"
"01/11/2023","162.06","157.99","162.73","157.99","1.52M","2.89%"
"01/10/2023","157.51","157.03","157.76","154.86","988.61K","0.24%"
"01/09/2023","157.13","154.48","157.74","154.37","1.17M","1.68%"
"01/06/2023","154.54","154.33","156.36","154.15","1.28M","1.35%"
"01/05/2023","152.48","153.75","154.42","150.99","1.00M","-1.65%"
"01/04/2023","155.04","154.06","156.40","153.57","841.45K","0.87%"
"01/03/2023","153.71","154.30","155.82","150.54","1.33M","-0.54%"
"12/30/2022","154.54","155.75","156.37","153.18","1.07M","-0.86%"
"12/29/2022","155.88","156.50","157.06","155.67","935.77K","-0.28%"
"12/28/2022","156.32","158.91","159.28","155.75","791.77K","-1.59%"
"12/27/2022","158.84","158.24","159.08","157.06","521.15K","0.69%"
"12/23/2022","157.75","156.58","158.09","156.16","637.26K","0.45%"
"12/22/2022","157.04","156.50","157.18","153.42","1.17M","0.19%"
"12/21/2022","156.74","156.20","157.13","155.49","887.08K","0.13%"
