"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","219.03","219.30","220.81","216.46","466.52K","-0.83%"
"02/02/2023","220.86","215.16","221.90","213.85","726.90K","2.97%"
"02/01/2023","214.49","206.45","215.65","206.45","704.23K","3.86%"
"01/31/2023","206.51","203.19","206.56","202.54","339.44K","1.61%"
"01/30/2023","203.23","204.05","205.85","203.07","508.08K","-1.39%"
"01/27/2023","206.10","204.88","206.36","203.54","276.97K","0.58%"
"01/26/2023","204.92","205.07","206.22","203.26","336.39K","-0.04%"
"01/25/2023","205.00","202.76","206.01","202.30","544.82K","0.09%"
"01/24/2023","204.82","204.24","207.09","204.24","331.92K","-0.98%"
"01/23/2023","206.85","205.15","208.84","204.17","388.09K","0.85%"
"01/20/2023","205.11","200.25","205.41","199.71","504.35K","2.98%"
"01/19/2023","199.17","194.09","199.34","194.09","470.77K","2.07%"
"01/18/2023","195.14","199.93","200.14","194.71","307.83K","-2.37%"
"01/17/2023","199.88","201.25","202.68","197.38","430.33K","-1.06%"
"01/13/2023","202.03","199.01","202.66","198.63","338.05K","0.90%"
"01/12/2023","200.23","201.35","201.43","196.99","502.10K","-0.23%"
"01/11/2023","200.69","202.87","204.12","198.68","523.84K","-0.41%"
"01/10/2023","201.52","193.50","203.98","193.50","674.17K","5.59%"
"01/09/2023","190.85","192.61","193.66","190.09","352.45K","-0.47%"
"01/06/2023","191.75","189.40","192.11","186.73","280.72K","2.38%"
"01/05/2023","187.29","190.14","190.95","186.58","341.18K","-2.11%"
"01/04/2023","191.32","188.21","191.41","187.32","511.57K","3.09%"
"01/03/2023","185.58","186.57","188.85","184.19","363.84K","0.48%"
"12/30/2022","184.69","184.57","185.68","182.89","336.77K","-0.81%"
"12/29/2022","186.20","183.98","188.48","182.46","272.62K","2.11%"
"12/28/2022","182.35","183.00","186.15","182.07","415.80K","-0.46%"
"12/27/2022","183.20","181.99","184.28","180.05","276.03K","0.63%"
"12/23/2022","182.06","181.65","182.91","180.23","255.37K","0.11%"
"12/22/2022","181.86","180.11","181.87","176.78","489.58K","0.21%"
"12/21/2022","181.48","180.84","183.28","179.98","458.65K","0.74%"
"12/20/2022","180.15","179.41","182.34","178.41","525.53K","-0.19%"
"12/19/2022","180.50","182.86","184.30","179.96","440.98K","-1.38%"
"12/16/2022","183.03","185.83","187.49","182.27","1.03M","-2.57%"
"12/15/2022","187.86","190.82","191.68","187.18","556.70K","-3.02%"
"12/14/2022","193.72","198.22","199.37","193.00","612.33K","-2.69%"
"12/13/2022","199.08","200.19","200.84","195.05","851.89K","2.21%"
"12/12/2022","194.78","192.33","197.06","192.00","839.98K","1.47%"
"12/09/2022","191.96","189.27","192.43","188.99","834.95K","0.88%"
"12/08/2022","190.28","185.93","190.63","184.81","685.42K","2.54%"
"12/07/2022","185.56","183.98","185.95","182.36","483.84K","1.08%"
"12/06/2022","183.57","184.91","185.31","182.38","390.80K","-1.02%"
"12/05/2022","185.47","189.88","190.60","184.71","561.91K","-3.36%"
"12/02/2022","191.91","190.08","193.31","189.80","431.85K","-0.21%"
"12/01/2022","192.31","186.82","193.20","186.82","788.55K","3.54%"
"11/30/2022","185.74","178.84","185.76","178.27","813.70K","4.12%"
"11/29/2022","178.39","177.85","179.88","177.85","368.53K","0.08%"
