"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","91.08","91.49","92.97","90.50","3.33M","-1.40%"
"02/02/2023","92.37","92.58","93.26","91.67","3.08M","0.10%"
"02/01/2023","92.28","90.51","93.09","90.45","3.48M","1.04%"
"01/31/2023","91.33","90.15","91.42","89.90","4.53M","1.31%"
"01/30/2023","90.15","89.87","91.23","89.72","2.74M","-0.64%"
"01/27/2023","90.73","90.23","91.83","89.76","2.77M","0.55%"
"01/26/2023","90.23","88.99","90.26","88.25","3.31M","2.30%"
"01/25/2023","88.20","86.05","88.29","85.65","3.31M","1.34%"
"01/24/2023","87.03","86.22","87.91","75.03","3.22M","0.94%"
"01/23/2023","86.22","84.38","86.97","84.20","4.30M","2.30%"
"01/20/2023","84.28","83.35","85.00","82.06","4.79M","4.67%"
"01/19/2023","80.52","79.98","81.31","79.14","3.36M","-1.25%"
"01/18/2023","81.54","82.44","83.29","81.52","2.57M","-1.76%"
"01/17/2023","83.00","82.72","83.92","82.45","3.09M","0.04%"
"01/13/2023","82.97","81.36","84.14","81.01","4.27M","0.73%"
"01/12/2023","82.37","82.59","83.39","81.85","3.88M","0.04%"
"01/11/2023","82.34","81.66","82.64","81.30","3.10M","1.08%"
"01/10/2023","81.46","81.01","81.94","80.43","2.97M","0.68%"
"01/09/2023","80.91","81.13","82.18","80.87","3.21M","0.29%"
"01/06/2023","80.68","79.58","80.76","78.82","2.06M","2.50%"
"01/05/2023","78.71","78.74","79.34","78.23","1.98M","-0.97%"
"01/04/2023","79.48","78.98","80.79","78.41","2.23M","1.38%"
"01/03/2023","78.40","78.65","79.62","77.65","3.17M","1.07%"
"12/30/2022","77.57","77.13","77.59","76.46","1.39M","-0.98%"
"12/29/2022","78.34","77.32","78.45","76.80","1.59M","1.95%"
"12/28/2022","76.84","77.14","77.51","76.59","1.54M","-0.40%"
"12/27/2022","77.15","77.68","77.79","76.73","1.62M","-0.44%"
"12/23/2022","77.49","77.73","77.89","76.85","1.23M","-0.46%"
"12/22/2022","77.85","77.72","78.23","75.90","1.09M","-1.09%"
"12/21/2022","78.71","78.94","79.52","78.58","2.15M","0.92%"
"12/20/2022","77.99","77.88","78.66","77.43","2.29M","0.55%"
"12/19/2022","77.56","77.45","79.03","77.21","2.39M","-0.18%"
"12/16/2022","77.70","77.36","78.63","76.80","5.12M","-0.72%"
"12/15/2022","78.26","78.38","79.03","77.71","2.91M","-2.04%"
"12/14/2022","79.89","81.14","82.38","79.69","3.86M","-1.77%"
"12/13/2022","81.33","82.20","83.42","81.13","3.75M","1.33%"
"12/12/2022","80.26","78.71","80.53","78.67","2.64M","1.56%"
"12/09/2022","79.03","78.00","80.11","77.85","3.07M","1.16%"
"12/08/2022","78.12","80.72","81.25","77.71","2.74M","-2.90%"
"12/07/2022","80.45","75.03","82.32","75.03","5.98M","8.19%"
"12/06/2022","74.36","74.89","75.74","73.85","2.58M","-2.47%"
"12/05/2022","76.24","77.51","78.02","76.00","2.28M","-1.90%"
"12/02/2022","77.72","77.61","78.57","77.03","4.16M","-1.27%"
"12/01/2022","78.72","79.41","79.41","77.15","2.91M","-1.19%"
"11/30/2022","79.67","79.79","80.45","77.08","7.62M","7.76%"
"11/29/2022","73.93","73.21","73.98","72.85","1.50M","0.56%"
"11/28/2022","73.52","76.14","76.24","73.26","2.26M","-4.59%"
"11/25/2022","77.06","77.16","77.68","76.71","1.03M","0.01%"
"11/23/2022","77.05","76.36","77.68","76.33","1.87M","0.60%"
"11/22/2022","76.59","77.11","77.88","76.40","1.97M","-0.03%"
"11/21/2022","76.61","75.38","76.77","75.38","2.42M","1.35%"
"11/18/2022","75.59","75.98","77.01","75.13","3.90M","1.45%"
"11/17/2022","74.51","77.20","77.35","74.27","5.48M","-5.58%"
"11/16/2022","78.91","79.02","79.93","78.52","2.23M","-0.69%"
"11/15/2022","79.46","79.68","81.51","79.24","2.68M","0.58%"
"11/14/2022","79.00","79.96","81.79","78.79","3.11M","-2.46%"
"11/11/2022","80.99","80.48","82.14","79.97","2.90M","1.41%"
"11/10/2022","79.86","78.07","80.10","77.96","2.28M","6.17%"
"11/09/2022","75.22","75.46","76.36","75.08","1.69M","-1.22%"
"11/08/2022","76.15","75.81","77.02","75.16","2.13M","0.29%"
"11/07/2022","75.93","75.81","76.30","75.44","1.84M","0.64%"
"11/04/2022","75.45","74.31","75.99","74.18","1.76M","3.26%"
"11/03/2022","73.07","72.89","73.81","72.31","1.94M","-1.10%"
"11/02/2022","73.88","74.44","76.53","73.69","2.44M","-0.70%"
"11/01/2022","74.40","75.09","75.43","74.23","2.58M","0.54%"
"10/31/2022","74.00","74.15","74.76","73.90","2.74M","-1.04%"
"10/28/2022","74.78","73.40","75.08","72.81","2.37M","2.30%"
"10/27/2022","73.10","73.17","74.44","72.97","2.18M","1.13%"
"10/26/2022","72.28","72.36","73.53","71.95","2.28M","0.32%"
"10/25/2022","72.05","70.19","72.67","70.00","3.15M","2.17%"
"10/24/2022","70.52","69.50","70.95","69.29","2.74M","2.03%"
"10/21/2022","69.12","64.89","69.31","64.48","3.29M","6.57%"
"10/20/2022","64.86","64.65","66.40","64.26","2.87M","0.45%"
"10/19/2022","64.57","63.65","65.95","63.11","3.32M","0.23%"
"10/18/2022","64.42","65.42","65.58","59.24","6.02M","0.96%"
"10/17/2022","63.81","62.64","65.32","62.64","3.55M","4.42%"
"10/14/2022","61.11","63.89","64.93","60.90","2.69M","-3.76%"
"10/13/2022","63.50","59.27","63.89","58.62","2.00M","5.55%"
"10/12/2022","60.16","60.41","61.50","59.92","1.68M","-1.07%"
"10/11/2022","60.81","61.00","62.07","60.42","1.90M","-1.31%"
"10/10/2022","61.62","62.75","63.02","61.35","1.18M","-0.79%"
"10/07/2022","62.11","63.44","63.44","61.63","1.78M","-2.89%"
"10/06/2022","63.96","64.92","65.46","63.87","1.32M","-2.25%"
"10/05/2022","65.43","64.23","65.80","64.08","1.30M","-0.27%"
"10/04/2022","65.61","64.31","65.65","64.07","2.29M","3.96%"
"10/03/2022","63.11","61.56","63.76","60.24","2.62M","3.78%"
"09/30/2022","60.81","61.54","62.53","60.68","2.40M","-1.47%"
"09/29/2022","61.72","62.26","62.54","61.31","2.05M","-2.39%"
"09/28/2022","63.23","61.67","63.58","61.04","2.24M","3.18%"
"09/27/2022","61.28","63.15","63.43","60.30","2.81M","-2.12%"
"09/26/2022","62.61","63.21","64.00","62.19","3.23M","-1.60%"
"09/23/2022","63.63","65.49","65.66","62.72","2.56M","-3.71%"
"09/22/2022","66.08","68.19","68.19","65.86","1.20M","-2.49%"
"09/21/2022","67.77","69.40","70.28","67.76","1.90M","-1.71%"
"09/20/2022","68.95","70.09","70.35","68.44","1.69M","-2.71%"
"09/19/2022","70.87","69.17","71.30","69.17","1.30M","1.10%"
"09/16/2022","70.10","70.38","70.63","69.18","2.82M","-1.82%"
"09/15/2022","71.40","71.40","72.82","71.22","1.47M","0.00%"
"09/14/2022","71.40","72.12","72.51","70.50","2.15M","-1.01%"
"09/13/2022","72.13","72.23","73.76","71.88","2.21M","-2.78%"
"09/12/2022","74.19","73.60","74.74","73.40","3.12M","1.63%"
"09/09/2022","73.00","72.44","73.28","72.21","2.64M","1.30%"
"09/08/2022","72.06","69.24","72.07","68.50","2.45M","3.33%"
"09/07/2022","69.74","67.83","69.96","67.55","2.06M","2.47%"
"09/06/2022","68.06","68.15","68.31","66.87","1.34M","0.56%"
"09/02/2022","67.68","69.71","70.45","67.18","1.71M","-1.33%"
"09/01/2022","68.59","68.00","68.64","66.67","1.39M","0.35%"
"08/31/2022","68.35","69.74","69.74","68.12","1.86M","-1.06%"
"08/30/2022","69.08","69.28","69.62","68.19","1.26M","0.52%"
"08/29/2022","68.72","68.58","69.40","68.15","1.35M","-0.59%"
"08/26/2022","69.13","71.88","72.21","69.12","986.28K","-3.54%"
"08/25/2022","71.67","70.72","71.95","70.53","975.21K","1.62%"
"08/24/2022","70.53","70.54","71.24","70.01","942.15K","-0.34%"
"08/23/2022","70.77","70.94","71.54","70.72","614.30K","-0.16%"
"08/22/2022","70.88","70.90","71.42","70.37","1.05M","-1.91%"
"08/19/2022","72.26","73.41","73.41","71.94","1.34M","-2.61%"
"08/18/2022","74.20","73.57","74.31","73.17","946.45K","0.32%"
"08/17/2022","73.96","73.27","74.46","73.02","1.12M","-0.70%"
"08/16/2022","74.48","73.98","75.20","73.98","1.41M","0.03%"
"08/15/2022","74.46","74.13","74.82","73.83","1.07M","-0.63%"
"08/12/2022","74.93","74.12","74.95","73.67","1.59M","1.93%"
"08/11/2022","73.51","73.59","74.07","73.01","1.00M","1.37%"
"08/10/2022","72.52","71.89","73.09","71.75","1.20M","3.04%"
"08/09/2022","70.38","70.55","70.74","69.80","894.59K","0.11%"
"08/08/2022","70.30","71.39","71.64","70.29","1.28M","-0.51%"
"08/05/2022","70.66","69.85","71.06","69.69","1.47M","0.47%"
"08/04/2022","70.33","71.08","71.63","70.24","1.80M","-0.97%"
"08/03/2022","71.02","70.31","71.10","69.51","1.74M","2.60%"
"08/02/2022","69.22","69.51","70.14","68.85","1.42M","-1.62%"
"08/01/2022","70.36","70.07","70.88","69.28","1.79M","-0.96%"
"07/29/2022","71.04","69.95","71.50","69.95","3.99M","1.53%"
"07/28/2022","69.97","69.11","70.03","67.92","1.96M","1.54%"
"07/27/2022","68.91","67.65","69.34","67.00","1.48M","2.87%"
"07/26/2022","66.99","67.84","68.33","66.90","1.75M","-2.06%"
