"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","93.82","93.21","94.77","92.07","1.96M","-2.16%"
"02/02/2023","95.89","92.35","96.89","90.10","4.10M","5.19%"
"02/01/2023","91.16","88.92","91.86","87.97","2.32M","2.07%"
"01/31/2023","89.31","85.62","89.31","85.16","3.52M","5.36%"
"01/30/2023","84.77","84.81","86.64","84.62","1.70M","-1.61%"
"01/27/2023","86.16","84.42","86.71","83.85","1.44M","2.06%"
"01/26/2023","84.42","86.83","87.01","83.86","1.83M","-1.61%"
"01/25/2023","85.80","86.71","87.00","85.17","1.61M","-2.09%"
"01/24/2023","87.63","87.50","89.84","86.93","1.25M","-0.95%"
"01/23/2023","88.47","86.75","89.01","85.57","1.79M","3.08%"
"01/20/2023","85.83","84.09","85.87","82.89","1.38M","2.91%"
"01/19/2023","83.40","86.95","87.06","82.82","1.92M","-5.01%"
"01/18/2023","87.80","89.29","90.64","87.39","2.22M","-1.01%"
"01/17/2023","88.70","88.77","89.82","88.40","2.75M","-0.24%"
"01/13/2023","88.91","85.52","89.30","85.27","1.92M","3.06%"
"01/12/2023","86.27","87.00","87.00","84.55","1.62M","0.52%"
"01/11/2023","85.82","84.94","85.86","84.09","1.58M","2.13%"
"01/10/2023","84.03","81.73","84.06","81.43","1.44M","2.28%"
"01/09/2023","82.16","81.57","83.87","80.84","2.56M","1.34%"
"01/06/2023","81.07","79.46","81.59","77.85","2.62M","3.09%"
"01/05/2023","78.64","77.97","79.10","76.71","1.67M","0.05%"
"01/04/2023","78.60","77.51","79.60","77.15","1.98M","3.16%"
"01/03/2023","76.19","76.32","77.00","74.40","1.54M","1.42%"
"12/30/2022","75.12","75.00","75.70","74.33","1.48M","-1.04%"
"12/29/2022","75.91","72.88","76.40","72.77","1.52M","5.17%"
"12/28/2022","72.18","74.46","75.11","72.16","1.22M","-3.00%"
"12/27/2022","74.41","73.94","74.65","73.25","1.12M","0.64%"
"12/23/2022","73.94","73.29","74.14","72.60","891.18K","0.89%"
"12/22/2022","73.29","72.30","73.35","71.27","1.93M","0.03%"
"12/21/2022","73.27","74.90","75.43","73.20","2.03M","-1.82%"
"12/20/2022","74.63","74.25","75.34","73.95","1.31M","-0.21%"
"12/19/2022","74.79","76.11","76.98","74.13","1.43M","-1.99%"
"12/16/2022","76.31","77.39","78.10","75.51","3.44M","-2.25%"
"12/15/2022","78.07","79.80","80.29","77.94","1.93M","-3.95%"
"12/14/2022","81.28","82.38","83.20","80.65","1.49M","-1.82%"
"12/13/2022","82.79","84.32","85.65","81.75","2.15M","3.14%"
"12/12/2022","80.27","79.51","80.32","78.33","1.14M","1.31%"
"12/09/2022","79.23","77.87","80.47","77.71","1.82M","1.23%"
"12/08/2022","78.27","77.13","78.36","76.64","1.19M","1.32%"
"12/07/2022","77.25","77.17","78.54","76.86","1.42M","-0.62%"
"12/06/2022","77.73","78.39","79.08","76.58","3.17M","-1.13%"
"12/05/2022","78.62","81.07","81.60","78.28","1.48M","-4.05%"
"12/02/2022","81.94","80.69","82.50","80.01","1.62M","-0.46%"
"12/01/2022","82.32","82.80","84.38","82.12","1.95M","0.73%"
"11/30/2022","81.72","79.98","81.72","77.96","2.37M","1.50%"
"11/29/2022","80.51","79.92","80.97","79.59","1.54M","0.83%"
"11/28/2022","79.85","82.00","82.97","79.67","1.78M","-3.89%"
"11/25/2022","83.08","82.54","83.24","82.42","496.65K","0.97%"
"11/23/2022","82.28","82.18","82.39","80.99","1.13M","0.01%"
"11/22/2022","82.27","81.15","82.32","80.78","1.31M","1.87%"
"11/21/2022","80.76","79.46","80.89","79.33","1.04M","0.70%"
"11/18/2022","80.20","81.80","82.68","78.88","1.33M","-0.37%"
"11/17/2022","80.50","80.01","80.90","79.02","1.95M","-1.47%"
"11/16/2022","81.70","84.94","85.31","80.97","1.92M","-4.27%"
"11/15/2022","85.34","83.25","86.19","83.21","2.36M","5.14%"
"11/14/2022","81.17","84.09","84.15","81.02","1.79M","-3.60%"
"11/11/2022","84.20","81.49","85.65","81.32","2.74M","3.38%"
"11/10/2022","81.45","77.52","81.46","76.76","3.69M","10.28%"
"11/09/2022","73.86","75.59","76.12","73.48","1.92M","-3.44%"
"11/08/2022","76.49","77.10","78.79","75.33","1.26M","0.03%"
"11/07/2022","76.47","75.73","76.89","74.00","1.21M","2.45%"
"11/04/2022","74.64","72.79","74.81","72.42","1.62M","4.16%"
"11/03/2022","71.66","71.74","73.29","70.70","2.11M","-2.21%"
"11/02/2022","73.28","76.02","77.38","73.24","2.00M","-4.32%"
"11/01/2022","76.59","79.55","80.30","76.56","1.83M","-2.42%"
"10/31/2022","78.49","78.07","79.49","77.39","5.73M","-0.03%"
"10/28/2022","78.51","75.49","78.61","74.88","2.81M","3.75%"
