"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","19.10","19.23","19.40","18.98","32.74M","-0.68%"
"01/20/2023","19.23","18.96","19.23","18.77","37.84M","1.53%"
"01/19/2023","18.94","18.93","19.02","18.78","40.02M","-0.42%"
"01/18/2023","19.02","19.29","19.33","18.97","38.00M","-1.60%"
"01/17/2023","19.33","19.55","19.57","19.26","38.23M","-1.13%"
"01/13/2023","19.55","19.39","19.59","19.28","25.48M","0.72%"
"01/12/2023","19.41","19.48","19.57","19.37","31.70M","0.00%"
"01/11/2023","19.41","19.47","19.49","19.25","29.99M","-0.31%"
"01/10/2023","19.47","19.35","19.48","19.20","32.76M","2.26%"
"01/09/2023","19.04","19.24","19.24","18.98","51.76M","-2.51%"
"01/06/2023","19.53","19.35","19.79","19.34","36.05M","1.67%"
"01/05/2023","19.21","19.14","19.32","18.96","30.85M","0.37%"
"01/04/2023","19.14","18.87","19.37","18.81","43.86M","2.13%"
"01/03/2023","18.74","18.51","18.85","18.41","42.10M","1.79%"
"12/30/2022","18.41","18.42","18.48","18.22","26.20M","-0.22%"
"12/29/2022","18.45","18.27","18.55","18.24","23.66M","1.26%"
"12/28/2022","18.22","18.45","18.55","18.19","26.47M","-1.30%"
"12/27/2022","18.46","18.25","18.52","18.22","30.34M","0.82%"
"12/23/2022","18.31","18.17","18.32","18.10","25.16M","0.22%"
"12/22/2022","18.27","18.01","18.28","17.92","32.59M","0.66%"
"12/21/2022","18.15","18.18","18.27","18.07","41.69M","0.44%"
"12/20/2022","18.07","17.85","18.09","17.83","40.29M","1.18%"
"12/19/2022","17.86","18.26","18.32","17.64","62.15M","-3.41%"
"12/16/2022","18.49","18.35","18.51","18.22","76.41M","0.11%"
"12/15/2022","18.47","18.64","18.81","18.36","46.86M","-2.28%"
"12/14/2022","18.90","19.05","19.10","18.76","44.03M","-1.15%"
"12/13/2022","19.12","19.41","19.50","19.07","53.72M","-0.93%"
"12/12/2022","19.30","19.14","19.31","19.07","30.67M","1.10%"
"12/09/2022","19.09","19.07","19.35","19.03","29.82M","-0.16%"
"12/08/2022","19.12","19.43","19.52","19.02","45.63M","-0.93%"
"12/07/2022","19.30","19.05","19.42","19.00","45.25M","0.68%"
"12/06/2022","19.17","18.89","19.18","18.81","45.82M","2.24%"
"12/05/2022","18.75","18.92","18.98","18.69","28.44M","-1.42%"
"12/02/2022","19.02","19.05","19.06","18.85","33.48M","-0.89%"
