"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","713.50","704.25","713.86","704.25","261.08K","0.23%"
"02/02/2023","711.84","730.00","733.47","707.00","495.52K","-2.24%"
"02/01/2023","728.15","713.45","729.49","713.43","290.55K","1.45%"
"01/31/2023","717.75","706.59","718.18","704.21","285.46K","1.48%"
"01/30/2023","707.25","708.82","712.34","702.50","299.36K","-0.48%"
"01/27/2023","710.69","706.04","717.00","704.53","363.30K","0.08%"
"01/26/2023","710.14","703.50","710.21","695.53","343.06K","1.38%"
"01/25/2023","700.50","686.44","701.23","683.91","275.83K","0.90%"
"01/24/2023","694.25","678.53","696.42","677.56","304.14K","1.35%"
"01/23/2023","685.00","673.03","686.74","671.92","431.61K","1.84%"
"01/20/2023","672.65","664.75","673.33","661.08","427.92K","1.88%"
"01/19/2023","660.24","666.92","671.17","659.59","292.34K","-1.77%"
"01/18/2023","672.11","685.35","689.55","671.48","329.16K","-1.21%"
"01/17/2023","680.35","685.00","691.00","678.72","382.73K","-0.52%"
"01/13/2023","683.88","676.96","685.71","673.10","347.32K","0.54%"
"01/12/2023","680.20","674.96","682.49","669.86","432.46K","0.95%"
"01/11/2023","673.83","660.00","673.94","659.91","535.04K","2.28%"
"01/10/2023","658.80","647.25","658.81","645.06","266.96K","1.23%"
"01/09/2023","650.82","653.63","658.13","648.33","245.82K","0.28%"
"01/06/2023","649.03","640.00","652.51","638.78","282.04K","1.97%"
"01/05/2023","636.46","629.61","637.22","627.39","272.55K","0.46%"
"01/04/2023","633.56","627.15","638.42","627.15","271.69K","1.24%"
"01/03/2023","625.77","633.04","633.93","623.58","207.38K","-0.62%"
"12/30/2022","629.65","622.57","629.85","622.51","164.61K","0.20%"
"12/29/2022","628.40","625.88","632.75","625.27","190.62K","1.08%"
"12/28/2022","621.70","624.86","629.25","618.82","245.25K","-0.76%"
"12/27/2022","626.45","624.02","630.83","620.40","181.50K","0.99%"
"12/23/2022","620.32","619.07","623.47","615.57","153.52K","0.21%"
"12/22/2022","619.05","620.69","621.96","604.84","296.18K","-1.37%"
"12/21/2022","627.64","614.85","627.66","614.85","241.79K","2.86%"
"12/20/2022","610.16","602.72","611.18","602.35","266.05K","1.35%"
"12/19/2022","602.05","605.08","611.50","599.52","217.25K","-0.61%"
"12/16/2022","605.73","604.89","614.85","599.42","424.34K","-1.05%"
"12/15/2022","612.15","621.18","621.18","608.28","262.30K","-2.53%"
"12/14/2022","628.01","624.81","635.66","623.26","432.69K","0.23%"
"12/13/2022","626.59","635.00","636.82","623.05","431.68K","1.39%"
"12/12/2022","618.02","612.06","618.08","609.17","255.93K","1.36%"
"12/09/2022","609.70","611.79","618.68","609.70","181.70K","-0.78%"
"12/08/2022","614.47","618.25","631.44","611.58","326.72K","0.78%"
"12/07/2022","609.69","607.61","614.98","604.44","300.39K","0.37%"
