"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","433.58","431.14","436.12","429.13","183.41K","-0.10%"
"02/02/2023","434.03","433.54","436.36","431.01","206.93K","1.01%"
"02/01/2023","429.67","421.58","430.82","420.82","262.32K","1.28%"
"01/31/2023","424.26","419.84","424.26","417.06","203.37K","1.29%"
"01/30/2023","418.86","420.13","424.45","417.42","173.19K","-0.82%"
"01/27/2023","422.32","421.62","425.00","419.08","188.61K","-1.01%"
"01/26/2023","426.62","434.48","435.49","422.80","213.90K","-0.67%"
"01/25/2023","429.50","418.00","432.16","418.00","512.91K","4.67%"
"01/24/2023","410.32","407.80","413.00","404.85","285.88K","0.62%"
"01/23/2023","407.78","405.05","410.96","403.56","250.50K","0.88%"
"01/20/2023","404.23","402.17","406.93","400.71","211.68K","0.85%"
"01/19/2023","400.83","404.16","405.18","399.22","165.82K","-1.21%"
"01/18/2023","405.73","419.17","420.40","404.63","210.12K","-2.46%"
"01/17/2023","415.97","417.26","420.85","413.53","282.91K","-0.04%"
"01/13/2023","416.13","414.30","418.40","412.54","157.72K","0.00%"
"01/12/2023","416.13","411.41","416.44","408.56","143.80K","1.25%"
"01/11/2023","410.98","411.45","413.57","407.83","144.75K","0.42%"
"01/10/2023","409.25","409.09","411.36","406.76","93.45K","0.21%"
"01/09/2023","408.40","410.95","417.92","406.17","150.81K","-0.03%"
"01/06/2023","408.54","403.28","409.58","399.61","165.67K","2.54%"
"01/05/2023","398.43","404.59","405.31","396.96","127.19K","-2.46%"
"01/04/2023","408.48","404.64","409.09","401.99","186.53K","1.92%"
"01/03/2023","400.77","403.50","403.50","396.11","206.80K","0.22%"
"12/30/2022","399.91","395.73","401.27","392.75","157.81K","0.44%"
"12/29/2022","398.15","393.76","399.51","392.13","115.36K","1.91%"
"12/28/2022","390.69","396.95","400.68","390.01","124.37K","-1.60%"
"12/27/2022","397.03","395.75","398.26","391.62","97.49K","0.83%"
"12/23/2022","393.75","393.74","395.91","391.32","94.60K","0.11%"
"12/22/2022","393.31","397.14","397.14","388.25","132.68K","-1.59%"
"12/21/2022","399.66","394.37","399.71","392.35","156.90K","1.92%"
"12/20/2022","392.15","391.00","394.24","389.43","203.17K","0.48%"
"12/19/2022","390.28","396.06","398.25","389.86","193.67K","-1.56%"
"12/16/2022","396.46","400.86","403.48","394.90","331.55K","-2.16%"
"12/15/2022","405.21","415.92","415.92","404.41","180.22K","-3.77%"
"12/14/2022","421.07","420.51","425.05","417.48","190.81K","0.04%"
"12/13/2022","420.91","430.71","430.71","417.75","234.39K","0.26%"
"12/12/2022","419.80","411.09","420.14","407.10","272.45K","3.48%"
"12/09/2022","405.69","409.86","410.65","405.48","125.77K","-1.35%"
"12/08/2022","411.23","413.99","415.95","409.42","136.02K","0.02%"
"12/07/2022","411.13","412.29","418.01","411.00","153.00K","-0.52%"
"12/06/2022","413.26","424.79","424.79","412.84","178.45K","-2.42%"
"12/05/2022","423.53","423.40","424.96","421.13","223.20K","-0.86%"
"12/02/2022","427.19","420.00","428.18","420.00","155.22K","0.65%"
"12/01/2022","424.45","420.50","428.47","419.28","218.44K","1.04%"
"11/30/2022","420.10","407.99","420.12","406.80","249.58K","2.77%"
"11/29/2022","408.78","412.90","415.21","407.80","198.08K","-1.10%"
"11/28/2022","413.33","417.59","418.99","412.00","156.44K","-1.63%"
"11/25/2022","420.17","421.00","421.44","417.94","59.83K","0.05%"
"11/23/2022","419.94","414.84","420.92","412.19","173.46K","1.14%"
"11/22/2022","415.20","408.46","415.42","406.05","211.78K","2.55%"
"11/21/2022","404.86","404.68","405.45","403.59","304.34K","-0.55%"
"11/18/2022","407.09","410.30","410.30","404.33","269.35K","0.58%"
"11/17/2022","404.76","410.13","411.61","403.90","203.93K","-2.36%"
"11/16/2022","414.53","412.85","416.56","411.84","214.62K","0.30%"
"11/15/2022","413.27","412.59","413.30","406.26","296.64K","1.54%"
"11/14/2022","407.02","411.57","418.36","406.37","331.28K","-1.45%"
"11/11/2022","412.99","419.20","420.23","410.06","273.29K","-1.96%"
"11/10/2022","421.25","418.60","422.45","415.82","297.45K","3.92%"
"11/09/2022","405.36","406.16","408.08","402.53","245.24K","-0.70%"
"11/08/2022","408.21","410.00","413.11","403.72","464.43K","-0.02%"
"11/07/2022","408.28","396.65","408.30","393.28","366.20K","3.35%"
"11/04/2022","395.03","395.52","402.56","392.25","342.46K","1.02%"
"11/03/2022","391.03","384.77","392.77","382.80","363.95K","0.09%"
"11/02/2022","390.68","400.28","403.05","390.42","427.81K","-2.56%"
"11/01/2022","400.96","401.75","402.79","398.39","318.71K","0.75%"
"10/31/2022","397.98","392.45","401.11","392.45","552.38K","0.72%"
"10/28/2022","395.14","382.00","395.37","380.15","410.42K","4.00%"
"10/27/2022","379.93","380.82","383.94","378.99","349.87K","0.87%"
"10/26/2022","376.67","365.00","382.28","360.28","419.26K","4.52%"
"10/25/2022","360.39","358.34","362.09","355.54","320.44K","0.91%"
"10/24/2022","357.15","351.88","357.82","349.88","255.74K","1.90%"
"10/21/2022","350.48","341.65","352.00","340.82","259.20K","2.93%"
"10/20/2022","340.49","349.02","349.49","338.96","196.89K","-2.30%"
"10/19/2022","348.51","343.42","350.11","343.42","181.57K","0.68%"
"10/18/2022","346.15","350.60","352.58","345.42","281.86K","1.41%"
"10/17/2022","341.35","336.00","342.66","336.00","255.44K","3.10%"
"10/14/2022","331.10","342.23","347.54","330.95","299.41K","-2.97%"
"10/13/2022","341.24","325.68","341.24","325.00","650.05K","2.76%"
"10/12/2022","332.08","334.29","335.04","329.59","201.64K","-0.32%"
"10/11/2022","333.16","337.34","339.60","330.97","221.76K","-1.40%"
"10/10/2022","337.90","342.91","344.90","336.21","181.31K","-0.66%"
"10/07/2022","340.13","344.82","345.41","338.49","206.28K","-2.55%"
"10/06/2022","349.02","353.66","355.36","348.68","208.75K","-1.41%"
"10/05/2022","354.00","352.88","357.69","352.74","198.69K","-1.02%"
"10/04/2022","357.63","353.49","358.57","353.49","343.72K","2.89%"
"10/03/2022","347.60","341.78","349.31","338.84","382.01K","3.00%"
"09/30/2022","337.47","344.46","346.80","337.06","427.16K","-1.95%"
"09/29/2022","344.18","345.64","347.60","340.98","280.25K","-1.66%"
"09/28/2022","350.00","344.57","351.74","343.01","207.05K","1.82%"
"09/27/2022","343.76","353.00","353.00","340.88","229.15K","-1.37%"
"09/26/2022","348.54","350.02","354.49","347.52","170.55K","-0.81%"
"09/23/2022","351.40","357.47","357.47","348.61","278.12K","-2.48%"
"09/22/2022","360.34","367.27","368.15","360.34","430.05K","-2.12%"
"09/21/2022","368.15","375.50","378.68","367.34","237.07K","-1.26%"
"09/20/2022","372.84","369.94","374.72","367.60","251.00K","0.21%"
"09/19/2022","372.06","369.05","372.10","366.57","190.33K","0.19%"
"09/16/2022","371.36","369.04","372.46","366.74","299.25K","-0.25%"
"09/15/2022","372.30","379.50","380.53","371.65","210.74K","-2.08%"
"09/14/2022","380.21","373.54","380.97","372.83","229.08K","1.40%"
"09/13/2022","374.96","383.33","383.64","373.32","181.72K","-3.86%"
"09/12/2022","390.00","389.29","391.23","387.72","127.75K","0.61%"
"09/09/2022","387.65","382.37","388.86","382.37","154.36K","1.99%"
"09/08/2022","380.07","374.91","380.31","373.65","142.53K","0.81%"
"09/07/2022","377.01","366.66","377.69","366.45","183.30K","2.81%"
"09/06/2022","366.72","369.10","370.65","364.86","294.47K","-0.27%"
"09/02/2022","367.71","376.55","376.55","366.10","243.57K","-1.15%"
"09/01/2022","371.98","367.17","372.17","364.58","213.28K","0.98%"
"08/31/2022","368.36","370.68","371.55","365.64","276.90K","-0.76%"
"08/30/2022","371.19","378.67","378.67","370.30","221.29K","-1.73%"
"08/29/2022","377.74","379.84","382.14","376.66","148.36K","-1.55%"
"08/26/2022","383.70","393.24","393.42","383.70","312.76K","-2.43%"
"08/25/2022","393.27","389.22","393.46","385.50","152.65K","1.72%"
"08/24/2022","386.63","385.36","387.70","383.57","130.37K","0.80%"
"08/23/2022","383.58","387.68","387.68","382.80","113.77K","-0.49%"
"08/22/2022","385.47","392.57","392.92","384.71","135.14K","-2.93%"
"08/19/2022","397.11","401.66","401.80","396.11","180.15K","-1.58%"
"08/18/2022","403.48","401.00","404.29","400.02","148.04K","0.87%"
"08/17/2022","399.99","402.00","403.73","396.82","172.61K","-1.30%"
"08/16/2022","405.25","399.20","405.80","399.20","182.38K","0.83%"
"08/15/2022","401.93","399.14","404.10","399.14","300.69K","0.11%"
"08/12/2022","401.50","397.87","401.58","394.52","246.61K","1.62%"
"08/11/2022","395.09","398.76","401.93","394.53","204.92K","-0.05%"
