"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","79.16","79.30","80.08","77.66","1.25M","-2.09%"
"02/02/2023","80.85","80.73","86.14","79.94","2.28M","-0.53%"
"02/01/2023","81.28","79.91","81.87","79.07","1.53M","2.03%"
"01/31/2023","79.66","78.73","79.82","78.10","1.64M","1.25%"
"01/30/2023","78.68","80.76","80.94","78.54","853.62K","-3.09%"
"01/27/2023","81.19","79.95","82.01","79.32","864.96K","1.08%"
"01/26/2023","80.32","80.60","81.04","79.35","800.58K","0.61%"
"01/25/2023","79.83","79.01","79.84","77.87","827.23K","-0.40%"
"01/24/2023","80.15","81.53","81.57","79.67","711.11K","-2.60%"
"01/23/2023","82.29","81.58","82.79","81.51","645.30K","1.02%"
"01/20/2023","81.46","80.49","81.71","80.13","675.45K","0.83%"
"01/19/2023","80.79","79.64","81.32","78.70","882.86K","1.00%"
"01/18/2023","79.99","81.05","82.14","79.78","1.19M","-1.06%"
"01/17/2023","80.85","81.06","82.93","80.48","1.30M","0.00%"
"01/13/2023","80.85","81.21","82.21","80.23","2.22M","-1.61%"
"01/12/2023","82.17","86.31","86.31","81.00","2.44M","-5.14%"
"01/11/2023","86.62","87.19","88.85","86.39","545.38K","0.09%"
"01/10/2023","86.54","84.80","86.73","84.59","887.54K","3.10%"
"01/09/2023","83.94","83.37","84.62","82.82","712.97K","1.72%"
"01/06/2023","82.52","82.42","83.83","80.18","1.24M","0.28%"
"01/05/2023","82.29","83.57","83.57","81.61","771.13K","-2.49%"
"01/04/2023","84.39","83.76","85.15","83.09","622.68K","2.25%"
"01/03/2023","82.53","83.86","84.52","81.75","781.87K","-0.42%"
"12/30/2022","82.88","83.71","83.71","81.17","657.46K","-1.88%"
"12/29/2022","84.47","81.58","84.96","79.61","748.09K","4.68%"
"12/28/2022","80.69","82.40","84.03","80.65","479.13K","-1.85%"
"12/27/2022","82.21","82.73","83.38","81.45","489.55K","-0.63%"
"12/23/2022","82.73","82.39","83.11","81.91","398.44K","-0.27%"
"12/22/2022","82.95","81.86","83.03","80.90","434.51K","-0.26%"
"12/21/2022","83.17","81.60","83.69","81.19","559.06K","2.64%"
"12/20/2022","81.03","80.71","81.62","79.50","556.23K","0.30%"
"12/19/2022","80.79","81.82","82.70","80.33","562.99K","-1.93%"
"12/16/2022","82.38","83.59","84.30","81.41","2.93M","-2.15%"
"12/15/2022","84.19","85.21","85.99","83.76","742.20K","-3.02%"
"12/14/2022","86.81","86.98","88.18","85.56","838.18K","-0.20%"
"12/13/2022","86.98","86.99","88.49","85.61","983.61K","4.82%"
"12/12/2022","82.98","82.55","83.67","81.83","930.60K","2.79%"
"12/09/2022","80.73","81.27","82.32","79.69","581.12K","-1.49%"
"12/08/2022","81.95","80.67","82.49","79.87","909.10K","1.59%"
"12/07/2022","80.67","80.91","82.01","80.30","528.75K","0.00%"
"12/06/2022","80.67","82.24","82.79","79.43","683.09K","-2.34%"
"12/05/2022","82.60","83.18","83.18","80.63","720.33K","-2.47%"
"12/02/2022","84.69","84.40","86.39","83.66","501.07K","-1.99%"
"12/01/2022","86.41","85.11","86.69","84.11","836.73K","1.67%"
"11/30/2022","84.99","81.74","85.39","81.18","1.99M","3.94%"
"11/29/2022","81.77","82.30","83.00","81.21","812.71K","-1.00%"
"11/28/2022","82.60","84.47","85.02","82.21","1.03M","-2.53%"
"11/25/2022","84.74","83.80","85.78","83.69","456.78K","0.78%"
"11/23/2022","84.08","83.43","84.49","82.69","602.73K","1.15%"
"11/22/2022","83.12","83.46","83.60","82.27","803.45K","0.12%"
"11/21/2022","83.02","81.69","83.37","80.89","877.16K","1.06%"
"11/18/2022","82.15","83.94","84.04","82.05","947.01K","-0.93%"
"11/17/2022","82.92","85.90","85.90","82.12","1.45M","-4.82%"
"11/16/2022","87.12","88.06","88.06","86.00","980.58K","-1.08%"
"11/15/2022","88.07","87.67","89.39","87.18","1.16M","2.07%"
"11/14/2022","86.28","86.48","87.80","85.57","901.85K","-1.38%"
"11/11/2022","87.49","84.20","90.63","84.17","2.11M","3.82%"
"11/10/2022","84.27","81.62","84.38","81.53","1.66M","7.67%"
"11/09/2022","78.27","77.28","78.42","76.88","1.38M","0.86%"
"11/08/2022","77.60","79.12","79.90","77.12","1.07M","-1.39%"
