"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","133.89","133.16","135.05","132.96","2.67M","-0.79%"
"02/02/2023","134.95","131.36","135.04","131.36","2.56M","3.65%"
"02/01/2023","130.20","127.00","131.00","126.96","2.14M","2.40%"
"01/31/2023","127.15","126.06","127.46","126.00","1.64M","1.31%"
"01/30/2023","125.50","123.82","126.14","123.79","1.83M","0.12%"
"01/27/2023","125.35","123.71","126.26","123.33","1.44M","0.87%"
"01/26/2023","124.27","123.39","124.30","121.20","2.08M","0.57%"
"01/25/2023","123.57","121.00","124.44","121.00","2.56M","-0.87%"
"01/24/2023","124.65","124.39","125.57","124.06","2.98M","-0.10%"
"01/23/2023","124.77","122.99","125.58","122.63","1.98M","2.09%"
"01/20/2023","122.22","122.16","122.37","120.54","2.27M","0.73%"
"01/19/2023","121.34","121.71","122.12","119.94","2.28M","-1.58%"
"01/18/2023","123.29","125.23","125.75","123.17","1.90M","-0.74%"
"01/17/2023","124.21","124.89","125.18","123.26","1.67M","-0.02%"
"01/13/2023","124.24","123.07","124.63","122.47","1.86M","0.09%"
"01/12/2023","124.13","124.71","125.02","123.01","1.66M","0.31%"
"01/11/2023","123.75","122.91","123.96","122.14","2.54M","0.86%"
"01/10/2023","122.70","121.58","123.18","121.50","1.93M","1.06%"
"01/09/2023","121.41","121.60","123.36","120.81","1.95M","0.84%"
"01/06/2023","120.40","117.84","120.79","117.04","1.98M","3.56%"
"01/05/2023","116.26","116.37","117.17","115.50","1.19M","-1.16%"
"01/04/2023","117.62","116.37","118.20","115.94","1.64M","2.58%"
"01/03/2023","114.66","116.00","116.53","113.46","1.70M","-0.12%"
"12/30/2022","114.80","114.75","115.14","113.54","754.90K","-0.73%"
"12/29/2022","115.64","113.38","116.49","112.94","984.54K","3.04%"
"12/28/2022","112.23","113.90","114.47","111.94","1.45M","-1.43%"
"12/27/2022","113.86","114.52","114.52","113.22","972.63K","-0.08%"
"12/23/2022","113.95","114.22","114.58","112.95","1.36M","-0.25%"
"12/22/2022","114.23","114.42","115.36","112.16","1.27M","-1.10%"
"12/21/2022","115.50","115.65","117.10","115.27","1.17M","0.57%"
"12/20/2022","114.85","115.02","116.39","114.66","1.31M","-0.60%"
"12/19/2022","115.54","116.54","117.27","114.35","1.42M","-0.77%"
"12/16/2022","116.44","117.34","117.88","114.91","3.08M","-2.25%"
"12/15/2022","119.12","122.23","122.28","118.65","2.81M","-4.13%"
"12/14/2022","124.25","125.12","126.44","122.70","1.71M","-1.00%"
"12/13/2022","125.51","127.63","127.85","124.20","1.40M","1.32%"
"12/12/2022","123.88","121.53","124.31","121.37","1.60M","1.77%"
"12/09/2022","121.73","122.59","123.22","121.00","1.20M","-0.33%"
"12/08/2022","122.13","122.54","122.81","121.53","1.48M","0.47%"
"12/07/2022","121.56","120.41","121.99","119.88","1.07M","0.60%"
"12/06/2022","120.83","123.66","124.10","120.36","1.33M","-2.52%"
"12/05/2022","123.95","124.99","125.44","123.14","1.02M","-1.45%"
"12/02/2022","125.78","124.96","126.28","123.89","1.62M","-0.80%"
"12/01/2022","126.80","128.00","128.00","126.05","1.36M","0.54%"
"11/30/2022","126.12","124.33","126.19","122.11","2.98M","1.76%"
"11/29/2022","123.94","124.57","125.43","123.07","1.17M","-0.55%"
"11/28/2022","124.62","126.67","126.97","124.10","1.82M","-2.63%"
"11/25/2022","127.99","127.68","128.61","127.31","654.23K","0.57%"
"11/23/2022","127.26","127.00","127.66","126.19","1.67M","0.55%"
"11/22/2022","126.57","125.07","126.60","125.07","1.62M","1.51%"
"11/21/2022","124.69","125.96","126.47","124.23","1.05M","-1.35%"
"11/18/2022","126.39","126.39","126.86","125.23","1.45M","1.61%"
"11/17/2022","124.39","122.52","124.65","121.60","2.01M","-1.09%"
"11/16/2022","125.76","126.36","127.73","125.32","2.11M","-1.00%"
"11/15/2022","127.03","126.74","128.55","125.57","1.97M","2.02%"
"11/14/2022","124.52","124.00","127.26","123.50","2.49M","0.33%"
"11/11/2022","124.11","122.90","125.86","122.00","2.77M","1.60%"
"11/10/2022","122.15","119.73","122.71","118.92","2.05M","6.96%"
"11/09/2022","114.20","116.39","116.39","113.98","1.65M","-2.52%"
"11/08/2022","117.15","117.21","118.46","116.14","2.22M","0.31%"
"11/07/2022","116.79","117.91","117.99","115.56","2.30M","0.09%"
"11/04/2022","116.68","115.39","116.92","114.65","1.56M","3.30%"
"11/03/2022","112.95","113.00","115.50","110.88","2.27M","-0.61%"
"11/02/2022","113.64","117.15","118.38","113.02","4.04M","-7.94%"
"11/01/2022","123.44","123.69","124.08","121.76","1.90M","0.99%"
"10/31/2022","122.23","121.84","123.39","121.55","2.09M","-0.34%"
"10/28/2022","122.65","119.65","123.07","119.56","1.15M","3.07%"
"10/27/2022","119.00","120.00","120.80","118.77","1.57M","0.13%"
"10/26/2022","118.85","117.23","119.96","116.51","1.54M","1.35%"
"10/25/2022","117.27","114.96","117.28","114.38","1.58M","1.55%"
"10/24/2022","115.48","115.14","116.31","113.53","1.32M","0.51%"
"10/21/2022","114.89","110.71","115.18","110.41","1.15M","3.59%"
"10/20/2022","110.91","112.39","113.96","110.18","1.15M","-1.00%"
"10/19/2022","112.03","112.21","112.83","110.60","1.18M","-0.78%"
"10/18/2022","112.91","114.97","115.82","111.63","1.18M","0.89%"
"10/17/2022","111.91","110.12","112.16","109.88","1.58M","4.08%"
"10/14/2022","107.52","112.26","112.76","107.49","1.61M","-3.53%"
"10/13/2022","111.46","106.02","112.16","104.76","1.51M","3.07%"
"10/12/2022","108.14","110.35","110.35","107.88","1.38M","-1.62%"
"10/11/2022","109.92","111.20","112.50","109.00","1.49M","-1.57%"
"10/10/2022","111.67","115.62","115.62","111.43","1.26M","-2.18%"
