"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","258.47","259.15","264.25","258.45","476.93K","-1.43%"
"02/02/2023","262.22","250.72","265.24","250.09","470.90K","4.81%"
"02/01/2023","250.18","243.50","250.76","242.45","222.93K","2.78%"
"01/31/2023","243.42","241.03","243.59","240.55","179.70K","0.99%"
"01/30/2023","241.04","241.91","243.22","239.32","176.05K","-1.16%"
"01/27/2023","243.86","240.11","245.12","239.40","197.65K","1.18%"
"01/26/2023","241.01","241.60","241.85","237.88","196.01K","0.27%"
"01/25/2023","240.36","233.07","240.37","231.64","173.27K","2.01%"
"01/24/2023","235.62","237.40","239.61","235.29","185.06K","-1.12%"
"01/23/2023","238.28","236.18","239.35","236.09","276.62K","1.10%"
"01/20/2023","235.69","235.63","236.47","232.98","354.13K","0.21%"
"01/19/2023","235.20","235.51","237.73","234.79","363.16K","-0.52%"
"01/18/2023","236.44","241.40","243.26","235.19","241.65K","-1.93%"
"01/17/2023","241.10","240.46","242.60","238.02","323.97K","0.05%"
"01/13/2023","240.98","236.67","242.98","236.67","262.84K","1.02%"
"01/12/2023","238.54","239.45","241.16","232.63","543.60K","-0.51%"
"01/11/2023","239.77","260.44","260.44","237.80","1.01M","-7.60%"
"01/10/2023","259.48","257.24","261.08","256.72","236.29K","0.91%"
"01/09/2023","257.15","258.97","260.92","256.20","295.39K","-0.30%"
"01/06/2023","257.93","255.46","258.95","250.15","512.64K","1.95%"
"01/05/2023","253.00","254.38","255.15","248.77","395.35K","-1.75%"
"01/04/2023","257.50","253.23","257.62","252.09","287.80K","3.06%"
"01/03/2023","249.85","251.99","255.17","246.47","253.00K","0.09%"
"12/30/2022","249.63","249.54","250.40","247.20","240.79K","-0.68%"
"12/29/2022","251.35","249.43","254.72","247.43","210.88K","1.54%"
"12/28/2022","247.55","250.39","253.09","246.99","347.62K","-0.53%"
"12/27/2022","248.87","250.02","250.34","247.27","198.49K","0.02%"
"12/23/2022","248.81","247.26","249.68","245.06","276.03K","0.31%"
"12/22/2022","248.05","246.55","248.14","243.30","224.10K","0.14%"
"12/21/2022","247.71","244.17","249.98","244.17","399.15K","2.06%"
"12/20/2022","242.71","243.55","243.93","239.99","327.60K","-0.26%"
"12/19/2022","243.35","246.17","247.46","242.62","356.20K","-1.48%"
"12/16/2022","247.01","246.52","247.60","241.82","655.12K","-1.22%"
"12/15/2022","250.07","249.43","253.81","249.43","336.68K","-1.27%"
"12/14/2022","253.28","251.92","255.71","250.77","618.82K","-0.08%"
"12/13/2022","253.49","254.51","259.38","251.18","517.48K","2.02%"
"12/12/2022","248.47","246.89","251.25","245.81","496.23K","0.46%"
"12/09/2022","247.34","244.07","248.85","242.74","712.16K","0.90%"
"12/08/2022","245.13","240.84","245.70","239.81","441.30K","2.00%"
"12/07/2022","240.32","236.19","240.77","232.42","385.01K","1.84%"
"12/06/2022","235.97","235.71","236.84","233.70","474.85K","0.08%"
"12/05/2022","235.78","239.01","239.74","234.92","277.28K","-2.80%"
"12/02/2022","242.58","241.60","244.40","240.10","493.51K","-0.91%"
"12/01/2022","244.80","235.00","247.42","235.00","835.09K","4.56%"
"11/30/2022","234.12","226.16","234.33","225.00","633.53K","3.52%"
"11/29/2022","226.15","224.84","228.21","223.29","429.98K","0.74%"
"11/28/2022","224.49","223.15","226.60","221.69","425.28K","-0.47%"
"11/25/2022","225.54","225.39","226.65","224.57","151.61K","-0.08%"
"11/23/2022","225.71","217.61","225.88","216.58","456.90K","4.01%"
"11/22/2022","217.00","214.46","217.65","213.23","236.46K","1.38%"
"11/21/2022","214.04","216.46","218.75","213.45","320.71K","-1.55%"
"11/18/2022","217.40","217.32","218.48","214.24","414.80K","1.66%"
"11/17/2022","213.86","213.08","214.85","210.93","230.81K","-1.58%"
"11/16/2022","217.29","214.64","220.14","213.93","454.22K","1.06%"
"11/15/2022","215.02","212.57","215.34","210.36","494.30K","2.39%"
"11/14/2022","210.00","219.27","220.96","209.88","340.41K","-4.33%"
"11/11/2022","219.51","219.53","222.76","216.47","514.88K","0.60%"
"11/10/2022","218.20","207.97","218.41","207.85","339.77K","8.86%"
"11/09/2022","200.45","199.96","204.01","199.56","427.20K","-0.18%"
"11/08/2022","200.81","203.51","206.47","200.03","236.29K","-1.63%"
"11/07/2022","204.13","204.10","204.83","200.67","209.43K","0.86%"
"11/04/2022","202.39","203.79","205.15","199.12","292.66K","0.73%"
"11/03/2022","200.92","205.69","205.69","198.48","311.39K","-3.59%"
"11/02/2022","208.40","218.18","218.77","208.25","446.18K","-4.94%"
"11/01/2022","219.24","216.05","219.90","215.99","451.75K","2.18%"
"10/31/2022","214.56","213.55","215.51","211.40","504.74K","0.20%"
"10/28/2022","214.13","209.34","217.71","209.21","591.73K","1.48%"
"10/27/2022","211.00","210.37","214.12","204.31","547.56K","1.63%"
"10/26/2022","207.62","205.22","212.01","204.71","574.83K","1.58%"
"10/25/2022","204.39","195.97","204.61","194.89","369.34K","4.08%"
"10/24/2022","196.37","199.68","201.48","195.67","405.84K","-0.66%"
"10/21/2022","197.67","191.76","199.47","190.02","463.09K","2.07%"
"10/20/2022","193.67","198.14","200.49","193.44","441.82K","-2.14%"
"10/19/2022","197.90","200.10","201.90","196.04","218.06K","-2.18%"
"10/18/2022","202.31","207.30","210.00","201.76","392.31K","0.13%"
"10/17/2022","202.04","198.76","204.25","198.76","479.92K","3.26%"
"10/14/2022","195.67","195.89","198.28","193.76","399.93K","1.23%"
"10/13/2022","193.30","183.72","195.52","182.65","471.00K","3.50%"
"10/12/2022","186.76","190.47","190.67","186.00","548.51K","-2.24%"
"10/11/2022","191.03","189.99","193.10","186.52","337.32K","0.39%"
"10/10/2022","190.28","195.50","195.50","189.68","302.62K","-2.03%"
"10/07/2022","194.22","197.29","197.29","192.80","344.28K","-2.61%"
"10/06/2022","199.43","205.18","207.09","198.32","394.35K","-2.98%"
"10/05/2022","205.55","204.32","206.70","202.20","361.68K","-0.34%"
"10/04/2022","206.25","210.25","213.07","203.54","972.76K","-1.08%"
"10/03/2022","208.50","204.61","211.38","200.87","411.39K","3.49%"
"09/30/2022","201.46","204.09","208.39","200.86","412.82K","-1.23%"
"09/29/2022","203.97","205.70","207.74","202.97","277.10K","-1.92%"
"09/28/2022","207.96","204.43","209.09","202.63","316.37K","2.97%"
"09/27/2022","201.97","207.29","207.29","199.92","302.31K","-1.16%"
"09/26/2022","204.34","206.67","208.35","202.54","227.23K","-1.51%"
"09/23/2022","207.48","208.66","209.32","203.38","426.38K","-2.08%"
"09/22/2022","211.88","212.85","213.02","209.43","379.36K","-1.08%"
"09/21/2022","214.19","221.73","223.06","213.76","302.14K","-2.75%"
"09/20/2022","220.24","220.83","221.05","217.09","432.33K","-1.22%"
"09/19/2022","222.95","224.78","226.14","218.63","360.37K","-1.94%"
"09/16/2022","227.35","230.62","231.54","226.61","1.08M","-2.29%"
"09/15/2022","232.67","239.67","245.14","232.58","479.84K","-2.51%"
"09/14/2022","238.65","237.50","241.68","236.74","438.72K","0.40%"
"09/13/2022","237.69","240.93","241.75","237.04","398.93K","-3.04%"
"09/12/2022","245.15","242.80","246.30","242.80","345.98K","1.24%"
"09/09/2022","242.15","238.71","243.46","237.97","243.00K","1.98%"
"09/08/2022","237.46","231.16","237.74","231.16","296.12K","1.86%"
