"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","80.52","80.21","81.08","79.81","9.09M","0.16%"
"02/02/2023","80.39","82.32","82.54","80.26","9.31M","-2.46%"
"02/01/2023","82.42","81.99","82.77","81.03","5.35M","0.68%"
"01/31/2023","81.86","81.51","82.00","81.29","4.80M","0.43%"
"01/30/2023","81.51","81.90","82.19","81.22","4.29M","-0.46%"
"01/27/2023","81.89","82.70","82.99","81.71","3.92M","-0.69%"
"01/26/2023","82.46","82.80","83.06","81.81","5.02M","-0.23%"
"01/25/2023","82.65","80.85","82.65","80.39","4.97M","1.66%"
"01/24/2023","81.30","79.39","81.32","79.05","7.85M","2.69%"
"01/23/2023","79.17","79.66","79.98","78.93","5.87M","-0.47%"
"01/20/2023","79.54","79.15","79.54","78.51","10.63M","0.16%"
"01/19/2023","79.41","79.73","80.13","79.32","5.28M","-0.50%"
"01/18/2023","79.81","81.67","81.99","79.67","4.45M","-2.13%"
"01/17/2023","81.55","81.56","82.07","81.29","5.28M","0.02%"
"01/13/2023","81.53","81.83","82.54","81.26","4.65M","-0.48%"
"01/12/2023","81.92","82.17","82.31","81.05","5.27M","-0.43%"
"01/11/2023","82.27","82.92","83.03","81.90","6.03M","-0.21%"
"01/10/2023","82.44","81.50","82.50","81.40","3.90M","1.14%"
"01/09/2023","81.51","82.47","83.13","81.42","5.96M","-1.46%"
"01/06/2023","82.72","81.13","83.08","80.87","4.67M","2.57%"
"01/05/2023","80.65","80.08","80.94","79.57","4.76M","0.99%"
"01/04/2023","79.86","79.86","80.59","79.24","4.22M","1.08%"
"01/03/2023","79.01","79.73","79.98","78.54","4.04M","-0.74%"
"12/30/2022","79.60","78.92","79.72","78.63","3.07M","0.33%"
"12/29/2022","79.34","79.13","79.89","78.95","2.57M","0.83%"
"12/28/2022","78.69","78.96","79.33","78.25","3.04M","-0.43%"
"12/27/2022","79.03","79.65","80.00","78.92","3.34M","-0.59%"
"12/23/2022","79.50","78.36","79.50","78.00","2.32M","1.38%"
"12/22/2022","78.42","78.15","78.42","77.31","3.89M","-0.53%"
"12/21/2022","78.84","78.57","79.22","78.29","4.11M","1.61%"
"12/20/2022","77.59","78.24","78.39","77.47","3.95M","-0.64%"
"12/19/2022","78.09","78.00","78.68","77.63","3.91M","0.57%"
"12/16/2022","77.65","78.18","78.70","77.44","12.38M","-1.28%"
"12/15/2022","78.66","78.48","79.49","77.82","5.85M","-0.79%"
"12/14/2022","79.29","79.38","79.90","78.56","4.75M","0.16%"
"12/13/2022","79.16","80.69","80.69","78.55","5.73M","0.51%"
"12/12/2022","78.76","78.57","78.78","77.79","5.57M","0.90%"
"12/09/2022","78.06","77.63","78.41","76.77","6.59M","-0.79%"
"12/08/2022","78.68","80.00","80.40","78.49","5.31M","-0.91%"
"12/07/2022","79.40","79.19","79.91","78.91","5.09M","0.05%"
"12/06/2022","79.36","80.34","81.15","78.88","4.86M","-0.13%"
"12/05/2022","79.46","78.81","79.87","78.35","4.43M","-0.91%"
"12/02/2022","80.19","79.30","80.69","78.85","4.78M","0.56%"
"12/01/2022","79.74","80.39","80.39","78.77","6.76M","-0.39%"
"11/30/2022","80.05","80.00","80.16","78.91","10.39M","-0.14%"
"11/29/2022","80.16","80.34","80.49","79.42","4.77M","0.16%"
"11/28/2022","80.03","79.99","80.92","79.84","5.33M","-1.23%"
"11/25/2022","81.03","81.00","81.17","80.19","2.45M","0.61%"
"11/23/2022","80.54","80.00","80.86","79.88","6.50M","0.54%"
"11/22/2022","80.11","79.50","80.45","78.69","8.89M","1.41%"
"11/21/2022","79.00","77.39","79.06","77.39","5.49M","1.07%"
"11/18/2022","78.16","78.97","79.99","77.74","6.86M","0.22%"
