"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","587.76","584.56","592.84","582.65","1.28M","0.12%"
"02/02/2023","587.07","591.67","595.17","587.07","2.30M","-0.05%"
"02/01/2023","587.36","586.09","597.54","576.33","2.62M","2.99%"
"01/31/2023","570.33","562.18","570.63","558.00","1.80M","1.07%"
"01/30/2023","564.29","567.77","570.87","560.76","1.22M","-1.63%"
"01/27/2023","573.63","574.90","577.51","568.19","1.11M","-0.65%"
"01/26/2023","577.37","576.03","578.52","567.31","1.18M","0.36%"
"01/25/2023","575.32","571.15","576.02","566.92","1.24M","-0.93%"
"01/24/2023","580.72","609.85","609.85","576.78","2.10M","-3.98%"
"01/23/2023","604.82","593.21","609.22","590.00","2.31M","1.88%"
"01/20/2023","593.66","587.00","595.35","584.95","2.39M","1.68%"
"01/19/2023","583.86","575.03","587.16","573.70","1.63M","0.66%"
"01/18/2023","580.05","591.13","596.85","578.75","1.75M","-1.33%"
"01/17/2023","587.86","585.00","591.30","581.73","2.09M","0.69%"
"01/13/2023","583.84","578.65","584.86","572.47","2.04M","0.40%"
"01/12/2023","581.54","581.97","586.53","576.86","1.63M","-0.18%"
"01/11/2023","582.56","571.12","584.91","568.04","2.01M","2.56%"
"01/10/2023","568.03","547.47","572.63","547.43","2.10M","4.02%"
"01/09/2023","546.09","538.74","552.95","537.01","1.87M","2.07%"
"01/06/2023","535.00","555.76","555.76","522.78","2.94M","-3.94%"
"01/05/2023","556.94","555.79","564.32","552.30","2.22M","-0.89%"
"01/04/2023","561.92","559.30","567.81","554.96","1.94M","1.58%"
"01/03/2023","553.18","553.29","556.10","546.97","1.79M","0.45%"
"12/30/2022","550.69","552.80","555.00","545.25","686.05K","-1.13%"
"12/29/2022","557.01","548.61","561.57","546.14","1.03M","2.50%"
"12/28/2022","543.41","547.38","553.03","543.08","822.99K","-0.37%"
"12/27/2022","545.44","540.68","548.84","536.82","987.55K","0.88%"
"12/23/2022","540.68","537.98","543.09","535.33","621.42K","0.29%"
"12/22/2022","539.14","534.72","539.34","527.71","1.10M","-0.14%"
