"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","46.11","45.47","47.11","45.41","2.52M","-0.56%"
"02/02/2023","46.37","46.81","47.48","45.90","3.83M","-0.54%"
"02/01/2023","46.62","45.38","46.88","45.27","4.26M","2.30%"
"01/31/2023","45.57","44.49","45.63","44.25","3.35M","3.29%"
"01/30/2023","44.12","43.71","44.49","43.56","3.08M","0.00%"
"01/27/2023","44.12","43.97","44.38","43.75","2.14M","0.14%"
"01/26/2023","44.06","44.31","44.47","43.54","2.14M","0.87%"
"01/25/2023","43.68","43.25","43.72","42.66","2.49M","0.28%"
"01/24/2023","43.56","44.14","44.41","43.38","2.91M","-1.49%"
"01/23/2023","44.22","43.11","44.23","42.76","4.29M","1.17%"
"01/20/2023","43.71","42.91","43.83","42.61","3.12M","2.41%"
"01/19/2023","42.68","43.05","43.28","42.33","3.80M","-2.45%"
"01/18/2023","43.75","43.84","44.09","43.48","4.75M","0.28%"
"01/17/2023","43.63","43.30","43.75","43.20","3.22M","0.58%"
"01/13/2023","43.38","42.78","43.58","42.76","2.30M","0.65%"
"01/12/2023","43.10","42.42","43.29","42.35","4.45M","1.77%"
"01/11/2023","42.35","42.00","42.72","41.71","4.79M","0.98%"
"01/10/2023","41.94","41.09","41.98","40.74","3.64M","1.67%"
"01/09/2023","41.25","41.19","41.76","40.16","3.20M","0.49%"
"01/06/2023","41.05","40.13","41.21","40.05","2.69M","3.35%"
"01/05/2023","39.72","39.01","40.22","38.70","3.33M","0.18%"
"01/04/2023","39.65","39.21","39.93","38.96","3.06M","2.11%"
"01/03/2023","38.83","39.38","39.60","38.33","3.71M","1.97%"
"12/30/2022","38.08","37.35","38.12","37.28","2.06M","0.95%"
"12/29/2022","37.72","37.17","38.00","37.14","1.61M","2.17%"
"12/28/2022","36.92","38.02","38.30","36.53","3.16M","-3.12%"
"12/27/2022","38.11","37.43","38.37","37.40","3.12M","1.84%"
"12/23/2022","37.42","37.36","37.53","36.99","2.44M","0.05%"
"12/22/2022","37.40","36.94","37.42","36.54","2.63M","0.65%"
"12/21/2022","37.16","36.76","37.43","36.73","2.79M","3.37%"
