"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.30","60.45","61.44","60.22","683.10K","-2.28%"
"02/02/2023","61.71","61.26","62.01","60.82","1.04M","2.53%"
"02/01/2023","60.19","58.00","60.56","57.98","1.00M","3.67%"
"01/31/2023","58.06","57.03","58.11","56.78","938.39K","1.70%"
"01/30/2023","57.09","57.28","58.01","57.02","1.04M","-1.59%"
"01/27/2023","58.01","57.01","58.18","56.71","815.00K","1.40%"
"01/26/2023","57.21","57.23","57.48","56.25","569.76K","1.13%"
"01/25/2023","56.57","55.36","56.61","55.00","723.23K","0.52%"
"01/24/2023","56.28","56.48","56.92","56.18","605.12K","-0.99%"
"01/23/2023","56.84","56.01","57.06","55.73","827.35K","1.88%"
"01/20/2023","55.79","54.24","55.85","54.24","803.18K","2.93%"
"01/19/2023","54.20","53.86","54.64","53.56","712.48K","-0.29%"
"01/18/2023","54.36","55.75","56.47","54.32","783.80K","-1.93%"
"01/17/2023","55.43","54.70","55.58","54.48","1.01M","1.69%"
"01/13/2023","54.51","53.70","54.56","52.69","842.48K","0.68%"
"01/12/2023","54.14","53.43","54.42","52.82","2.82M","1.65%"
"01/11/2023","53.26","52.99","53.81","52.63","1.44M","1.45%"
"01/10/2023","52.50","52.30","52.85","51.82","1.37M","0.50%"
"01/09/2023","52.24","52.29","53.24","51.76","1.52M","1.44%"
"01/06/2023","51.50","50.87","51.56","50.27","1.32M","2.75%"
"01/05/2023","50.12","50.18","50.74","49.80","840.53K","-1.34%"
"01/04/2023","50.80","51.41","51.70","50.02","1.73M","0.40%"
"01/03/2023","50.60","51.11","51.71","50.03","920.49K","0.08%"
"12/30/2022","50.56","49.98","50.63","49.33","800.91K","0.16%"
"12/29/2022","50.48","49.30","50.72","48.52","845.22K","3.95%"
"12/28/2022","48.56","49.00","49.53","48.50","976.44K","-0.94%"
"12/27/2022","49.02","48.52","49.44","48.08","736.45K","0.99%"
"12/23/2022","48.54","48.57","48.90","48.10","593.94K","-0.39%"
"12/22/2022","48.73","49.09","49.19","47.52","1.02M","-2.17%"
"12/21/2022","49.81","49.49","50.26","49.01","1.47M","1.34%"
"12/20/2022","49.15","49.39","49.86","48.83","1.09M","-0.83%"
"12/19/2022","49.56","50.08","50.08","49.17","1.48M","-0.54%"
"12/16/2022","49.83","51.20","51.25","49.33","3.24M","-3.93%"
"12/15/2022","51.87","54.11","54.11","51.73","1.46M","-4.93%"
"12/14/2022","54.56","54.86","56.04","53.73","1.82M","-0.85%"
"12/13/2022","55.03","53.31","56.54","53.31","3.27M","-6.38%"
"12/12/2022","58.78","57.50","58.88","57.19","1.19M","2.23%"
"12/09/2022","57.50","57.71","58.39","56.34","1.75M","-0.36%"
"12/08/2022","57.71","57.91","58.13","57.15","973.43K","0.40%"
"12/07/2022","57.48","57.90","58.62","56.95","1.40M","-1.81%"
"12/06/2022","58.54","59.76","59.86","58.08","1.28M","-2.19%"
"12/05/2022","59.85","60.35","60.72","59.55","1.11M","-1.95%"
"12/02/2022","61.04","59.56","61.22","59.56","633.82K","-0.13%"
"12/01/2022","61.12","59.90","62.00","59.90","1.30M","2.29%"
"11/30/2022","59.75","56.53","59.91","55.95","2.12M","5.96%"
"11/29/2022","56.39","57.85","57.85","55.78","832.52K","-1.86%"
"11/28/2022","57.46","57.76","58.30","57.22","869.68K","-1.84%"
"11/25/2022","58.54","58.53","58.80","58.12","362.26K","-0.29%"
"11/23/2022","58.71","58.07","59.10","57.97","730.61K","1.61%"
"11/22/2022","57.78","57.45","57.88","56.19","750.69K","1.35%"
