"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","228.56","229.39","232.34","228.39","960.35K","-1.01%"
"02/02/2023","230.90","232.11","233.35","228.62","1.11M","0.38%"
"02/01/2023","230.03","227.25","230.93","224.19","1.17M","0.89%"
"01/31/2023","227.99","223.65","228.05","223.65","1.22M","2.33%"
"01/30/2023","222.79","225.63","226.82","222.17","1.30M","-1.28%"
"01/27/2023","225.67","229.18","229.44","222.25","1.35M","-0.46%"
"01/26/2023","226.72","230.92","235.36","217.48","2.29M","6.03%"
"01/25/2023","213.82","213.46","214.22","210.24","1.44M","-0.48%"
"01/24/2023","214.86","215.00","216.75","211.80","1.02M","-0.29%"
"01/23/2023","215.48","216.74","217.13","212.53","1.31M","1.61%"
"01/20/2023","212.07","207.32","213.26","206.23","1.44M","2.52%"
"01/19/2023","206.86","214.95","215.79","206.64","1.18M","-3.67%"
"01/18/2023","214.73","218.89","220.28","214.58","1.06M","-1.95%"
"01/17/2023","218.99","221.45","224.31","218.88","1.20M","-0.95%"
"01/13/2023","221.09","219.06","224.35","218.69","1.37M","0.16%"
"01/12/2023","220.74","223.11","224.92","220.43","1.05M","-0.39%"
"01/11/2023","221.60","222.73","224.75","220.82","1.00M","-0.06%"
"01/10/2023","221.74","217.84","221.77","214.43","1.12M","1.96%"
"01/09/2023","217.48","220.73","222.57","216.68","1.20M","-1.88%"
"01/06/2023","221.64","220.73","224.74","220.13","924.27K","0.92%"
"01/05/2023","219.63","221.00","222.00","218.32","1.13M","-0.84%"
"01/04/2023","221.49","224.51","225.33","220.05","890.63K","-0.76%"
"01/03/2023","223.18","225.39","226.09","221.19","1.09M","-0.80%"
"12/30/2022","224.97","224.87","226.13","223.02","719.07K","-0.89%"
"12/29/2022","226.98","220.99","227.74","220.87","786.88K","3.22%"
"12/28/2022","219.90","224.00","225.37","219.49","783.84K","-1.43%"
"12/27/2022","223.09","217.83","223.90","216.15","1.04M","2.78%"
"12/23/2022","217.06","213.50","217.11","212.26","728.55K","1.88%"
"12/22/2022","213.05","212.08","213.15","208.80","1.06M","-0.56%"
"12/21/2022","214.25","212.89","215.36","210.59","764.36K","1.93%"
"12/20/2022","210.20","211.09","211.37","207.57","914.87K","-0.60%"
"12/19/2022","211.46","211.50","213.09","210.10","922.59K","0.45%"
"12/16/2022","210.51","212.01","214.58","208.68","1.61M","-1.64%"
"12/15/2022","214.02","213.23","214.75","210.57","987.84K","-0.60%"
"12/14/2022","215.32","215.90","216.91","211.15","1.01M","0.52%"
"12/13/2022","214.20","220.31","220.70","210.91","1.08M","-0.13%"
"12/12/2022","214.47","218.93","219.33","212.09","941.23K","-1.76%"
"12/09/2022","218.32","217.83","220.91","216.21","848.38K","-0.55%"
"12/08/2022","219.52","217.05","220.17","216.04","732.25K","1.00%"
"12/07/2022","217.34","216.64","221.47","216.29","614.74K","0.10%"
"12/06/2022","217.13","220.59","221.53","214.63","881.68K","-1.73%"
"12/05/2022","220.95","221.87","223.39","219.77","941.44K","-1.77%"
"12/02/2022","224.94","223.65","225.84","220.77","718.95K","0.14%"
"12/01/2022","224.63","228.26","229.81","223.20","1.01M","-0.74%"
"11/30/2022","226.31","219.27","227.09","218.20","1.97M","3.33%"
"11/29/2022","219.01","221.38","221.79","218.40","798.79K","-1.29%"
"11/28/2022","221.88","223.81","225.47","221.68","1.00M","-0.96%"
"11/25/2022","224.02","227.42","228.10","223.27","416.34K","-0.77%"
"11/23/2022","225.76","224.23","227.40","223.36","832.43K","0.99%"
"11/22/2022","223.54","222.37","224.13","220.85","688.93K","1.41%"
"11/21/2022","220.44","216.36","221.51","216.19","970.27K","0.26%"
"11/18/2022","219.86","217.60","220.41","215.60","1.21M","2.32%"
"11/17/2022","214.88","216.34","217.99","211.15","1.02M","-1.93%"
"11/16/2022","219.10","212.85","220.54","209.56","2.07M","1.34%"
"11/15/2022","216.20","216.06","217.48","211.92","1.18M","1.61%"
"11/14/2022","212.78","210.10","217.30","209.26","1.60M","1.78%"
"11/11/2022","209.05","213.13","214.45","207.49","1.27M","-0.73%"
"11/10/2022","210.59","211.10","215.55","208.15","1.25M","3.53%"
"11/09/2022","203.40","205.86","208.10","202.84","1.08M","-1.81%"
"11/08/2022","207.15","210.07","212.96","205.09","1.24M","-0.88%"
"11/07/2022","208.99","205.78","210.42","200.94","1.83M","1.18%"
"11/04/2022","206.56","213.01","213.20","202.54","1.87M","-2.25%"
"11/03/2022","211.31","210.17","213.99","209.00","1.24M","-0.05%"
"11/02/2022","211.41","218.58","219.58","211.38","1.09M","-4.14%"
"11/01/2022","220.53","221.19","222.95","217.91","1.01M","0.35%"
"10/31/2022","219.77","221.11","222.67","217.44","1.56M","-1.51%"
"10/28/2022","223.14","215.69","224.09","215.69","989.50K","3.51%"
"10/27/2022","215.58","217.18","218.14","213.58","1.22M","-0.18%"
"10/26/2022","215.96","215.39","220.40","212.92","1.12M","0.78%"
"10/25/2022","214.29","207.89","214.65","207.59","1.51M","3.11%"
"10/24/2022","207.83","199.38","210.26","199.38","1.99M","5.30%"
"10/21/2022","197.37","188.02","199.46","187.55","1.76M","4.14%"
"10/20/2022","189.53","198.40","199.00","187.29","2.51M","-3.46%"
"10/19/2022","196.32","203.46","204.27","195.17","1.41M","-3.21%"
"10/18/2022","202.84","205.00","206.23","201.26","1.48M","0.56%"
"10/17/2022","201.71","201.91","203.54","199.76","1.16M","1.53%"
"10/14/2022","198.68","205.00","205.00","198.28","1.07M","-2.08%"
"10/13/2022","202.90","199.95","204.60","194.92","1.67M","-0.35%"
"10/12/2022","203.61","201.01","204.66","199.49","1.66M","1.42%"
"10/11/2022","200.76","195.63","202.50","195.63","1.14M","2.62%"
"10/10/2022","195.63","195.04","196.69","191.92","707.83K","0.52%"
"10/07/2022","194.62","198.49","198.83","193.85","978.68K","-2.73%"
"10/06/2022","200.08","202.49","203.51","199.20","1.08M","-0.75%"
"10/05/2022","201.59","196.29","203.40","195.71","1.21M","1.87%"
"10/04/2022","197.89","195.82","198.95","195.76","1.34M","1.94%"
"10/03/2022","194.12","187.00","195.92","186.35","1.35M","4.43%"
"09/30/2022","185.88","186.03","187.62","181.40","1.22M","-0.86%"
"09/29/2022","187.49","191.49","192.03","186.44","1.03M","-2.48%"
"09/28/2022","192.26","189.72","192.77","187.81","1.33M","1.96%"
"09/27/2022","188.57","188.21","190.84","186.54","1.54M","1.33%"
"09/26/2022","186.09","185.61","188.61","184.91","958.90K","0.27%"
"09/23/2022","185.59","186.76","188.25","183.06","1.06M","-1.50%"
"09/22/2022","188.41","189.28","189.41","186.32","1.46M","-0.82%"
"09/21/2022","189.96","192.51","194.28","189.86","1.08M","-0.23%"
"09/20/2022","190.40","191.06","191.58","187.86","1.30M","-1.34%"
"09/19/2022","192.98","188.86","193.22","188.58","1.15M","1.56%"
"09/16/2022","190.02","186.82","191.86","185.28","1.59M","1.10%"
"09/15/2022","187.96","189.01","190.80","186.04","1.06M","-0.56%"
"09/14/2022","189.01","194.48","195.68","187.59","1.43M","-2.38%"
"09/13/2022","193.61","200.03","200.19","193.23","1.24M","-4.46%"
"09/12/2022","202.65","202.52","205.44","200.67","1.38M","0.86%"
"09/09/2022","200.92","199.50","202.00","199.00","1.10M","0.57%"
"09/08/2022","199.79","194.67","200.01","193.69","1.10M","1.80%"
"09/07/2022","196.26","189.23","196.90","189.23","1.26M","4.37%"
